CollectionTitle,Department,New,Review,Ref,Frequency,Authority group,Data topics,Collection type,Link to return,Link to example of published data
Budget Requirement returns (BR1/BR2/BR3),DCLG,0,0,042-00,annual,"All local authorities, fire, police & GLA",11,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/counciltax/rates/
Quarterly Return of Council Taxes and Non-domestic rates (QRC1 to QRC3),DCLG,0,0,043-00,quarterly,Single tier & lower tier,3,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/counciltax/collectionrates/
Quarterly Return of Council Taxes and Non-domestic rates (QRC4),DCLG,0,0,166-00,annual,Single tier & lower tier,1,0,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/counciltax/collectionrates/
Quarterly Revenue Outturn (QRO),DCLG,0,0,044-00,quarterly,All local authorities,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localgovernmentfinance/quarterlyrevenue/,0
Council Tax Base (CTB),DCLG,0,0,045-00,annual,Single tier & lower tier,8,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/counciltaxbase/
National Non-domestic Rates Return (NNDR) 1,DCLG,0,0,046-00,annual,Single tier & lower tier,6,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/nondomesticrates/forecast/
National Non-domestic Rates Return (NNDR) 2: downward calculation,DCLG,0,0,047-00,as required,Single tier & lower tier,1,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,0
National Non-domestic Rates Return (NNDR) 3,DCLG,0,0,048-00,annual,Single tier & lower tier,2,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/nondomesticrates/outturn/
Local Government Pension Scheme Funds Form (SF3),DCLG,0,0,050-00,annual,Administering authorities,11,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/pensionscheme/
Monthly Borrowing and Lending Inquiry,DCLG,0,0,051-00,monthly,Sample of authorities,2,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,http://www.communities.gov.uk/publications/corporate/statistics/financialstatistics202010
Quarterly Borrowing and Lending Inquiry,DCLG,0,0,052-00,quarterly,All local authorities,2,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,http://www.communities.gov.uk/publications/corporate/statistics/financialstatistics202010
Public Contracts Regulations 2006 ,DCLG,0,0,213-00,annual,All local authorities,2,case based,http://webarchive.nationalarchives.gov.uk/+/http:/www.communities.gov.uk/localgovernment/efficiencybetter/nationalprocurementprogramme/nationalprocurementstrategy/euprocurementdirectives/eustatsreturns2008/,http://www.wto.org/english/tratop_e/gproc_e/gpstat_e.htm. 
Quarterly Return of Wages and Salaries (QRW),DCLG,0,0,053-00,quarterly,All local authorities,3,aggregate/summary,http://www.communities.gov.uk/localgovernment/localregional/localgovernmentfinance/statistics/usefulinformation/formstimetable/otherforms/,0
Fire and rescue incident data,DCLG,0,0,060-00,monthly or quarterly,Fire & rescue authorities,1,0,http://www.communities.gov.uk/fire/researchandstatistics/firestatistics/newincidentrecording/,http://www.communities.gov.uk/fire/researchandstatistics/firestatistics/
Fire and rescue service non-financial annual returns,DCLG,0,0,061-00,annual,Fire & rescue authorities,5,0,http://www.communities.gov.uk/fire/researchandstatistics/firestatistics/firerescue/,http://www.communities.gov.uk/fire/researchandstatistics/firestatistics/firestatisticsuk/
Fire Fighters Pension Fund - Non-financial data,DCLG,0,0,172-00,annual,Fire & rescue authorities,1,0,0,0
Fire Fighters Pension Fund - Financial data,DCLG,0,0,173-00,three times a year,Fire & rescue authorities,1,0,0,0
Emissions from local authority own estate and operations (former NI 185),DECC,0,0,067-00,annual,All local authorities,1,0,http://www.decc.gov.uk/en/content/cms/statistics/indicators/ni185/ni185.aspx,http://www.decc.gov.uk/en/content/cms/statistics/indicators/ni185/ni185.aspx
Imports of products of animal origin from third countries,DEFRA,0,0,068-00,monthly,Other,1,0,0,0
Animal Welfare: during transport; on Farm,DEFRA,0,0,069-00,annual,All local authorities,1,0,0,0
Animal Movement Licensing System (AMLS),DEFRA,0,0,070-00,continuous,All local authorities,1,case based,0,0
Animal Health & Welfare Management and Enforcement System (AMES),DEFRA,0,0,071-00,continuous,All local authorities,1,0,0,0
Contingency Planning/Capability for disease outbreak,DEFRA,0,0,072-00,continuous,All local authorities,1,0,0,0
Prosecutions under the Animal Health Act 1981 (and other animal health and welfare legislation) (Section 80 Report),DEFRA,0,0,073-00,every 6 months,All local authorities,1,case based,0,0
Stray dogs,DEFRA,0,0,074-00,annual,Single tier & lower tier,1,0,0,0
Local Pollution Control Statistical Survey (LPCSS),DEFRA,0,0,075-00,annual,Single tier & lower tier,6,0,0,http://www.defra.gov.uk/environment/quality/industrial/las-regulations/reports-surveys-reviews-newsletters/
Incidents under the Environmental Damage Regulations 2009,DEFRA,0,0,078-00,annual,All local authorities,1,0,0,http://www.defra.gov.uk/environment/quality/environmental-liability/
Fly-tipping incidents (Flycapture),DEFRA,0,Y,079-00,monthly,Single tier & lower tier,4,aggregate/summary,0,http://www.defra.gov.uk/statistics/environment/waste/
Flood and coastal erosion risk management and sustainable drainage systems,DEFRA,Y,0,080-00,annual,Upper tier & single tier,7,0,0,0
Developments in flood risk areas,DEFRA,0,0,243-00,annual,Single tier & lower tier,1,0,0,0
Local nature conservation/biodiversity,DEFRA,0,0,160-00,annual,Upper tier & single tier,1,0,0,0
WasteDataFlow - LA waste management statistics,DEFRA,0,0,082-00,quarterly,All local authorities,1,aggregate/summary,0,http://www.defra.gov.uk/statistics/environment/waste/wrfg23-wrmsannual/
Local Authority Private Water Supplies Data submission,DEFRA,0,0,083-00,annual,Single tier & lower tier,2,case based,http://www.dwi.gov.uk/stakeholders/information-letters/2010/13-2010annex1.xls,http://dwi.defra.gov.uk/about/annual-report/index.htm
Child and Adolescent Mental Health Service (CAMHS),DfE,0,Y,085-00,annual,Upper tier & single tier,1,0,0,http://www.education.gov.uk/rsgateway/DB/STR/d001002/index.shtml
Child Death Review Panels (LSCB1),DfE,0,0,086-00,annual,Upper tier & single tier,1,aggregate/summary,http://www.education.gov.uk/childrenandyoungpeople/safeguarding/safeguardingchildren/childdeathreview/a0070758/child-death-data-collection,http://www.education.gov.uk/rsgateway/DB/STR/d000943/index.shtml
Children in Need Census,DfE,0,Y,087-00,annual,Upper tier & single tier,5,client based,http://www.education.gov.uk/researchandstatistics/statisticalreturns/cincensus/a0013657/children-in-need-cin-census,0
Children Looked After (CLA) (SSDA903),DfE,0,0,088-00,annual,Upper tier & single tier,8,client based,http://www.education.gov.uk/researchandstatistics/statisticalreturns/childrenlar/a0063867/general-guidance-about-children-looked-after-ssda903-return-2009-10,http://www.education.gov.uk/rsgateway/DB/SFR/s000960/index.shtml
Missing from Care and Home,DfE,0,Y,089-00,annual,Upper tier & single tier,1,assessment score,0,0
Private Fostering (PF1),DfE,0,0,090-00,annual,Upper tier & single tier,2,aggregate/summary,http://www.education.gov.uk/researchandstatistics/statisticalreturns/a0063874/private-fostering-pf1-return,http://www.education.gov.uk/rsgateway/DB/SFR/s000859/index.shtml
Safeguarding – new information needs arising from Professor Munro’s review,DfE,Y,0,091-00,not decided,Upper tier & single tier,1,0,0,0
Secure Children's Homes (SA1),DfE,0,0,092-00,annual,Upper tier & single tier,2,aggregate/summary,http://www.dcsf.gov.uk/datastats1/guidelines/children/returns.shtml,http://www.education.gov.uk/rsgateway/DB/SFR/s000858/index.shtml
Children’s Centres and other parts of the Early Intervention Grant,DfE,Y,0,094-00,as required,Upper tier & single tier,1,0,0,0
Early Years Census,DfE,Y,0,096-00,annual,Upper tier & single tier,10,client based,http://www.education.gov.uk/schools/adminandfinance/schooladmin/ims/datacollections/earlyyearscensus/a0064427/early-years-census-2011,0
Early Years Foundation Stage Profile (EYFSP),DfE,0,0,098-00,annual,Upper tier & single tier,2,client based,http://www.education.gov.uk/schools/adminandfinance/schooladmin/ims/datacollections/EYFS/a0064539/early-years-foundation-stage-profile-eyfsp-return-2010,http://www.education.gov.uk/rsgateway/DB/SFR/s000961/index.shtml
Admissions: Parental Preferences met,DfE,Y,0,100-00,annual,Upper tier & single tier,3,0,0,0
Admissions: report to the School Adjudicator,DfE,0,0,101-00,annual,Upper tier & single tier,1,0,0,0
Key Stage assessment data,DfE,Y,0,161-00,annual,Upper tier & single tier,2,0,http://www.direct.gov.uk/en/Parents/Schoolslearninganddevelopment/ExamsTestsAndTheCurriculum/DG_10013041,http://www.education.gov.uk/rsgateway/DB/PER/p000988/index.shtml
School Census,DfE,0,0,159-00,termly (3/year),Upper tier & single tier,2,client based,http://www.education.gov.uk/schools/adminandfinance/schooladmin/ims/datacollections/schoolcensus/a0064400/school-census-2011,http://www.education.gov.uk/rsgateway/DB/SFR/s000925/index.shtml
Alternative Provision Census,DfE,0,Y,102-00,annual,Upper tier & single tier,5,client based,http://www.education.gov.uk/schools/adminandfinance/schooladmin/ims/datacollections/altprovisioncensus/a0064368/alternative-provision-census-2011,http://www.education.gov.uk/rsgateway/DB/SFR/s000925/sfr09-2010commentv2.pdf
Parental Responsibility (Attendance and Behaviour) [PRAB],DfE,0,0,104-00,annual,Upper tier & single tier,1,0,0,0
Family Intervention Project (FIP) monitoring,DfE,0,0,162-00,continuous,Upper tier & single tier,1,0,0,http://www.education.gov.uk/rsgateway/DB/STR/d000956/index.shtml
Pupil Referral Unit Census,DfE,0,0,105-00,annual,Upper tier & single tier,10,client based,http://www.education.gov.uk/schools/adminandfinance/schooladmin/ims/datacollections/prucensus/a0064419/pupil-referral-units-prus-census-2011,http://www.education.gov.uk/rsgateway/DB/SFR/s000925/sfr09-2010commentv2.pdf
School Admissions Appeals ,DfE,0,0,107-00,annual,Upper tier & single tier,1,0,0,http://www.education.gov.uk/rsgateway/DB/SFR/s000934/index.shtml
School Capacity,DfE,0,0,108-00,annual,Upper tier & single tier,1,0,http://www.partnershipsforschools.org.uk/library/school-capacity-collection.html,http://www.education.gov.uk/rsgateway/DB/STR/d000982/index.shtml
School Condition,DfE,0,0,216-00,continuous,Upper tier & single tier,1,0,0,0
School Exclusion Appeals ,DfE,0,0,109-00,annual,Upper tier & single tier,1,0,0,0
School Workforce Census,DfE,0,0,111-00,annual,Upper tier & single tier,8,0,http://www.education.gov.uk/schools/adminandfinance/schooladmin/ims/datacollections/swf/docsandtools/a0063775/information-for-software-suppliers,0
Section 251 financial return - budget,DfE,0,0,113-00,annual,Upper tier & single tier,4,aggregate/summary,http://www.education.gov.uk/childrenandyoungpeople/strategy/financeandfunding/section251,http://www.education.gov.uk/schools/adminandfinance/financialmanagement/schoolsrevenuefunding/Copy%20of%20section251/archive/a0071834/outturn-data-archive
Section 251 financial return - outturn,DfE,0,0,182-00,annual,Upper tier & single tier,1,0,http://www.education.gov.uk/childrenandyoungpeople/strategy/financeandfunding/section251,http://www.education.gov.uk/schools/adminandfinance/financialmanagement/schoolsrevenuefunding/Copy%20of%20section251/archive/a0071834/outturn-data-archive
Special Educational Needs – new information needs arising from the Green Paper,DfE,Y,0,114-00,not decided,Upper tier & single tier,1,0,0,0
Special Educational Needs Statement Completion,DfE,0,0,115-00,annual,Upper tier & single tier,1,aggregate/summary,0,http://www.education.gov.uk/rsgateway/DB/STR/d000973/index.shtml
Standards Fund monitoring (TO CEASE DURING 2011/12),DfE,0,Y,116-00,annual,Upper tier & single tier,1,0,0,0
Teacher Pension Contributions,DfE,0,0,117-00,annual,Upper tier & single tier,1,0,0,0
Teacher Pension Service,DfE,0,0,118-00,annual,Upper tier & single tier,1,0,0,0
NEET 16-18 Year-Olds,DfE,0,0,119-00,monthly,Upper tier & single tier,1,0,0,http://www.education.gov.uk/16to19/participation/neet/a0064101/strategies-for-16-to-18-year-olds-not-in-education-employment-or-training-neet
Chief Finance Officer Sign-Off Statements,DfE,0,0,120-00,annual,Upper tier & single tier,1,0,0,0
Consistent Financial Reporting (CFR),DfE,0,0,171-00,annual,Upper tier & single tier,1,0,0,0
Institution level data for maintained schools converting to academy status,DfE,Y,0,188-00,as required,Upper tier & single tier,1,0,0,0
Children with Statements of Special Educational Needs (SEN2),DfE,0,0,189-00,not decided,Upper tier & single tier,1,0,0,0
Concessionary Travel Survey,DfT,0,0,121-00,annual,Upper tier & single tier,6,aggregate/summary,0,0
Local bus and light rail punctuality,DfT,Y,0,122-00,annual,Upper tier & single tier,3,aggregate/summary,0,http://www2.dft.gov.uk/pgr/statistics/datatablespublications/public/bus/reliability/bus0902.xls
Taxi Survey,DfT,0,0,125-00,every 2 years,Single tier & lower tier,6,aggregate/summary,0,http://www2.dft.gov.uk/adobepdf/162469/221412/221535/224237/517849/supplement09.pdf
Blue Badge Parking Survey,DfT,0,0,127-00,annual,Upper tier & single tier,5,aggregate/summary,http://www.dft.gov.uk/pgr/statistics/datatablespublications/public/parkingbadges/technical/questionnaire.pdf,http://www2.dft.gov.uk/pgr/statistics/datatablespublications/public/parkingbadges/index.html
Civil Parking Enforcement Survey,DfT,0,0,128-00,annual,All local authorities,3,aggregate/summary,http://www.dft.gov.uk/pgr/statistics/datatablespublications/public/parkingstats/#technical,http://www.dft.gov.uk/pgr/statistics/datatablespublications/public/parkingstats/
Winter salt stock holdings,DfT,0,0,251-00,as required,Upper tier & single tier,1,aggregate/summary,0,0
Road condition data,DfT,0,0,130-00,annual,Upper tier & single tier,4,aggregate/summary,0,http://www2.dft.gov.uk/pgr/statistics/datatablespublications/roads/condition/index.html
Road Lengths Survey,DfT,0,0,132-00,annual,Upper tier & single tier,1,aggregate/summary,0,http://www2.dft.gov.uk/pgr/statistics/datatablespublications/roads/road-lengths/index.html
Personal Social Services Expenditure (PSSEX1) return,DH,0,0,133-00,annual,Upper tier & single tier,2,aggregate/summary,http://www.ic.nhs.uk/webfiles/Services/Social%20care/Collections%200910/PSSEX1/PSSEX09-10_Guidancev1%201.pdf,0
"Referrals, Assessments and Packages of Care (RAP)",DH,0,Y,134-00,annual,Upper tier & single tier,19,aggregate/summary,http://www.ic.nhs.uk/webfiles/Services/Social_care/Collections_201011/Proformas_for_RAP_2010-11_v1.0.pdf,0
Adult Social Care Survey (ASCS),DH,0,Y,135-00,annual,Upper tier & single tier,2,client based,http://www.ic.nhs.uk/services/social-care/social-care-collections/user-surveys/user-survey-guidance-2010-11,0
Adult Social Care Combined Activity Return (ASC-CAR),DH,0,Y,136-00,annual,Upper tier & single tier,8,aggregate/summary,http://www.ic.nhs.uk/webfiles/Services/Social_care/Collections_201011/ASC-CAR/Proformas_for_ASCCAR_2010-11_v1.0.pdf,0
Abuse of Vulnerable Adults (AVA) return,DH,0,0,137-00,annual,Upper tier & single tier,15,aggregate/summary,http://www.ic.nhs.uk/services/social-care/social-care-collections/vulnerable-abuse,0
Mental Health Guardianship (SSDA702) return,DH,0,0,138-00,annual,Upper tier & single tier,1,client based,http://www.ic.nhs.uk/services/omnibus-survey/using-the-service/data-collections/ssda702-guardianship,http://www.ic.nhs.uk/statistics-and-data-collections/mental-health/mental-health-act/guardianship-under-the-mental-health-act-1983-england-2010
Deprivation of Liberty Safeguards (DoLS) Return,DH,0,Y,139-00,quarterly,Upper tier & single tier,1,aggregate/summary,http://www.ic.nhs.uk/services/omnibus-survey/using-the-service/data-collections/dols--deprivation-of-liberty-safeguards,0
Carers Survey,DH,Y,0,140-00,annual,Upper tier & single tier,2,client based,http://www.ic.nhs.uk/services/social-care/social-care-collections/user-surveys/user-survey-guidance-2009-10/user-survey-guidance-carers-2009-10,0
National Minimum Data Set – Social Care (NMDS-SC) workforce data,DH,0,Y,142-00,annual,Upper tier & single tier,1,0,http://www.nmds-sc-online.org.uk,0
Register of blind and partially sighted people (SSDA902),DH,0,0,144-00,every 3 years,Upper tier & single tier,3,0,http://www.ic.nhs.uk/webfiles/Services/Social%20care/Collections/SSDA902/Guidance.pdf,http://www.ic.nhs.uk/statistics-and-data-collections/social-care/adult-social-care-information/people-registered-as-blind-and-partially-sighted-2008-england
Register of deaf or hard of hearing people (SSDA910) (PROPOSED FOR DELETION),DH,0,Y,174-00,every 3 years,Upper tier & single tier,1,aggregate/summary,http://www.ic.nhs.uk/webfiles/Services/Social%20care/Collections%200910/SSDA910/SSDA910%20Deaf%20and%20Hard%20of%20Hearing%202009-10%20v1.0.pdf,http://www.ic.nhs.uk/statistics-and-data-collections/social-care/adult-social-care-information/people-registered-deaf-or-hard-of-hearing--year-ending-31-march-2010-in-england
Grant Funded Services (GFS1) return (PROPOSED FOR DELETION),DH,0,Y,175-00,annual,Upper tier & single tier,2,case based,http://www.ic.nhs.uk/webfiles/Services/Social_care/Collections_201011/GFS/GFS_2010-11_proforma_v1.0.xls,http://www.ic.nhs.uk/statistics-and-data-collections/social-care/adult-social-care-information/community-care-statistics-2009-10-grant-funded-services-gfs1-report--england
Personal Social Services Staffing (SSDS001) return (PROPOSED FOR DELETION),DH,0,Y,176-00,annual,Upper tier & single tier,1,client based,http://www.ic.nhs.uk/webfiles/Services/Social%20care/Collections%200910/Staffing/SSDS001_2010-11_template_v1.0.xls,http://www.ic.nhs.uk/statistics-and-data-collections/social-care/adult-social-care-information/personal-social-services-staff-of-social-services-departments-england-at-30-september-2009
Single Housing Benefit Extract (SHBE),DWP,0,0,146-00,monthly,Single tier & lower tier,17,0,0,http://research.dwp.gov.uk/asd/index.php?page=hbctb
Housing Benefits Recoveries and Fraud Return (HBRF),DWP,0,0,147-00,quarterly,Single tier & lower tier,2,0,0,0
Returns on outcome of DWP data-matching referrals on HB & CTB claims,DWP,0,0,148-00,as required,Single tier & lower tier,1,0,0,0
Returns on individual HB & CTB related prosecutions and sanctions,DWP,0,0,149-00,as required,Single tier & lower tier,1,0,0,0
