EXAMPLES OF ePC EXPENDITURE,,,,
,,,,
MODGPC00184663,22/12/2017,Government, TRADE/VOCATIONAL SCHOOLS,"£1,377.80"
MODGPC00184665,22/12/2017,Auto/Vehicle Rentals, AVIS RENT-A-CAR,£520.93
MODGPC00184667,22/12/2017,Other Supplies, MISC SPECIALTY RETAIL,"£1,357.44"
MODGPC00184668,22/12/2017,Retail, MUSIC STORES/PIANOS,"£6,540.40"
MODGPC00184693,22/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,£838.32
MODGPC00184696,22/12/2017,Miscellaneous, FINANCIAL INST/MERCHANDISE,"£2,040.00"
MODGPC00184720,22/12/2017,Medical, OPTICIANS,£812.40
MODGPC00184722,22/12/2017,Miscellaneous, SPORT/RECREATIONAL CAMPS,"£3,001.40"
MODGPC00184726,22/12/2017,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£2,799.60"
MODGPC00184727,22/12/2017,Other Supplies, CAMERA & PHOTO SUPPLY STORE,"£1,279.00"
MODGPC00184728,22/12/2017,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£4,958.40"
MODGPC00184733,22/12/2017,Business To Business Eqpt/Furn, COMPUTERS/PERIPHERALS/SOFTWARE,"£2,175.00"
MODGPC00184734,22/12/2017,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,£748.80
MODGPC00184744,22/12/2017,Entertainment, RECREATION SERVICES,"£1,096.34"
MODGPC00184646,21/12/2017,Retail, SPORTING GOODS STORES,"£4,942.80"
MODGPC00184649,21/12/2017,Business To Business Facility/, HARDWARE EQUIPMENT/SUPPLIES,"£4,905.60"
MODGPC00184650,21/12/2017,Business To Business Facility/, HARDWARE EQUIPMENT/SUPPLIES,"£4,905.60"
MODGPC00184651,21/12/2017,Business To Business Facility/, HARDWARE EQUIPMENT/SUPPLIES,"£4,905.60"
MODGPC00184652,21/12/2017,Business To Business Facility/, HARDWARE EQUIPMENT/SUPPLIES,"£4,905.60"
MODGPC00184654,21/12/2017,Other Supplies, MISC GENERAL MERCHANDISE,"£4,018.32"
MODGPC00184658,21/12/2017,Professional Services, ARCHITECTURAL/ENG/SURVEY,"£3,075.60"
MODGPC00184659,21/12/2017,Retail, SPORTING GOODS STORES,"£2,349.60"
MODGPC00184666,21/12/2017,Professional Services, DETECTIVE/PROTECTIVE AGEN,"£1,277.54"
MODGPC00184670,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£2,430.00"
MODGPC00184671,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,£529.92
MODGPC00184672,21/12/2017,Business Expenses/Services, COURIER SERVICES,"£1,618.07"
MODGPC00184673,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£3,788.06"
MODGPC00184674,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£3,777.64"
MODGPC00184675,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£12,627.36"
MODGPC00184676,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£13,446.54"
MODGPC00184677,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£13,359.72"
MODGPC00184678,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£14,512.98"
MODGPC00184679,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£5,026.80"
MODGPC00184680,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£5,514.48"
MODGPC00184682,21/12/2017,Business Expenses/Services, COURIER SERVICES,"£4,631.89"
MODGPC00184683,21/12/2017,Professional Services, TAX PREPARATION SERVICE,"£3,066.00"
MODGPC00184684,21/12/2017,Business Expenses/Services, COURIER SERVICES,"£10,497.12"
MODGPC00184685,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£2,255.40"
MODGPC00184688,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL EQUIPMENT - DEFAULT,"£1,227.55"
MODGPC00184689,21/12/2017,Business Services, BUSINESS SERVICES - DEFAULT,£552.00
MODGPC00184690,21/12/2017,Business Services, BUSINESS SERVICES - DEFAULT,£552.00
MODGPC00184691,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL EQUIPMENT - DEFAULT,"£1,188.00"
MODGPC00184692,21/12/2017,Government, TRADE/VOCATIONAL SCHOOLS,"£1,654.85"
MODGPC00184694,21/12/2017,Business Expenses/Services, COURIER SERVICES,"£4,233.36"
MODGPC00184721,21/12/2017,Business Expenses/Services, COURIER SERVICES,£696.70
MODGPC00184723,21/12/2017,Facilities/Repair Supplies, AUTOMOTIVE PARTS STORES,£604.68
MODGPC00184724,21/12/2017,Facilities/Repair Supplies, AUTOMOTIVE PARTS STORES,£789.71
MODGPC00184729,21/12/2017,Facilities/Repair Supplies, AUTOMOTIVE PARTS STORES,£949.44
MODGPC00184730,21/12/2017,Facilities/Repair Supplies, AUTOMOTIVE PARTS STORES,"£1,884.74"
MODGPC00184732,21/12/2017,Auto/Vehicle Dealers, BOAT DEALERS,£897.35
MODGPC00184768,21/12/2017,Business Expenses/Services, COURIER SERVICES,"£6,828.50"
MODGPC00184795,21/12/2017,Government, BUSINESS/SECRETARIAL SCHOOL,"£2,874.00"
MODGPC00184797,21/12/2017,Auto/Vehicle Expenses, AUTO BODY REPAIR SHOPS,"£1,716.27"
MODGPC00184799,21/12/2017,Professional Services, PROFESSIONAL SERVICES - DEF,"£1,832.88"
MODGPC00184803,21/12/2017,Business To Business Other Sup, UNIFORMS & COMMERCIAL CLOTHING,"£4,902.48"
MODGPC00184805,21/12/2017,Other Supplies, MISC SPECIALTY RETAIL,"£1,592.00"
MODGPC00184806,21/12/2017,Auto/Vehicle Expenses, AUTO BODY REPAIR SHOPS,"£1,963.44"
MODGPC00184807,21/12/2017,Business Services, BUSINESS SERVICES - DEFAULT,"£4,056.00"
MODGPC00184808,21/12/2017,Government, GOV'T SERV - DEFAULT,£516.66
MODGPC00184809,21/12/2017,Business To Business Other Sup, UNIFORMS & COMMERCIAL CLOTHING,£601.53
MODGPC00184810,21/12/2017,Other Supplies, CATALOG MERCHANT,"£1,345.58"
MODGPC00184811,21/12/2017,Professional Services, ESTATE AGENTS AND PROPERTY SERVICES,"£5,407.39"
MODGPC00184812,21/12/2017,Medical, OPTICIANS,£651.83
MODGPC00184813,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£4,064.23"
MODGPC00184814,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£13,528.80"
MODGPC00184815,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£1,225.08"
MODGPC00184816,21/12/2017,Business Expenses/Services, COURIER SERVICES,"£1,992.13"
MODGPC00184817,21/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,£706.32
MODGPC00184819,21/12/2017,Miscellaneous, MEMBER ORGANIZATIONS - DEF,£891.12
MODGPC00184831,21/12/2017,Auto/Vehicle Expenses, AUTO BODY REPAIR SHOPS,£550.80
MODGPC00184833,21/12/2017,Business Expenses/Services, COURIER SERVICES,"£3,473.12"
MODGPC00184834,21/12/2017,Miscellaneous, CONTINUITY/SUBSCRIPTION MERCHT,£511.08
MODGPC00184835,21/12/2017,Business To Business Other Sup, UNIFORMS & COMMERCIAL CLOTHING,"£4,498.70"
MODGPC00184836,21/12/2017,Equipment And Furniture, HOUSEHOLD APPLIANCE STORES,"£1,195.95"
MODGPC00184837,21/12/2017,Facilities/Repair Services, ELECTRICAL CONTRACTORS,"£1,600.00"
MODGPC00184838,21/12/2017,Professional Services, MGMT/CONSULT/PUBLIC REL SER,£528.00
MODGPC00184839,21/12/2017,Professional Services, MGMT/CONSULT/PUBLIC REL SER,£504.00
MODGPC00184840,21/12/2017,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,£610.08
MODGPC00184841,21/12/2017,Retail, SPORTING GOODS STORES,£757.00
MODGPC00184842,21/12/2017,Auto/Vehicle Expenses, AUTO SERVICE SHOPS/NON DEALER,£652.81
MODGPC00184843,21/12/2017,Eating And Drinking Places, RESTAURANTS,"£4,733.40"
MODGPC00184457,20/12/2017,Other Supplies, MISC GENERAL MERCHANDISE,£641.70
MODGPC00184513,20/12/2017,Other Supplies, MISC GENERAL MERCHANDISE,"£2,112.00"
MODGPC00184514,20/12/2017,Professional Services, PROFESSIONAL SERVICES - DEF,"£1,527.36"
MODGPC00184515,20/12/2017,Facilities/Repair Services, SMALL APPLIANCE REPAIR DEF,£864.00
MODGPC00184516,20/12/2017,Miscellaneous, MEMBER ORGANIZATIONS - DEF,£633.00
MODGPC00184517,20/12/2017,Utilities, UTILITIES/ELEC/GAS/H2O/SANI,"£1,333.24"
MODGPC00184518,20/12/2017,Other Supplies, VARIETY STORES,£918.00
MODGPC00184653,20/12/2017,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£3,684.00"
MODGPC00184656,20/12/2017,Other Supplies, MISC SPECIALTY RETAIL,"£4,759.75"
MODGPC00184664,20/12/2017,Clothing/Shoes/Uniforms, MENS/WOMENS CLOTHING STORES,"£1,182.00"
MODGPC00184669,20/12/2017,Business Services, ADVERTISING SERVICES,"£2,430.00"
MODGPC00184741,20/12/2017,Auto/Vehicle Rentals, AUTOMOBILE RENTAL AGENCY,"£2,624.25"
MODGPC00184745,20/12/2017,Facilities/Repair Supplies, AUTOMOTIVE PARTS STORES,"£2,851.85"
MODGPC00184746,20/12/2017,Auto/Vehicle Expenses, AUTO BODY REPAIR SHOPS,"£1,987.27"
MODGPC00184747,20/12/2017,Medical, MED/HEALTH SERVICES - DEF,"£1,152.00"
MODGPC00184749,20/12/2017,Business Services, BUSINESS SERVICES - DEFAULT,"£1,232.91"
MODGPC00184750,20/12/2017,Other Supplies, MISC SPECIALTY RETAIL,"£1,051.08"
MODGPC00184751,20/12/2017,Other Supplies, MISC SPECIALTY RETAIL,"£2,207.79"
MODGPC00184752,20/12/2017,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£1,998.47"
MODGPC00184753,20/12/2017,Equipment And Furniture, HOUSEHOLD APPLIANCE STORES,"£2,987.30"
MODGPC00184755,20/12/2017,Business To Business Eqpt/Furn, COMPUTER SOFTWARE STORES,"£1,475.28"
MODGPC00184756,20/12/2017,Freight/Courier/Warehouse Svcs, MOTOR FREIGHT CARRIERS,"£3,221.40"
MODGPC00184757,20/12/2017,Business To Business Eqpt/Furn, DURABLE GOODS - DEFAULT,£889.50
MODGPC00184758,20/12/2017,Business To Business Eqpt/Furn, COMMERCIAL EQUIPMENT - DEFAULT,£500.00
MODGPC00184759,20/12/2017,Business To Business Eqpt/Furn, COMPUTER SOFTWARE STORES,"£1,873.44"
MODGPC00184760,20/12/2017,Retail, PET STORES/FOOD & SUPPLY,£600.00
MODGPC00184763,20/12/2017,Other Supplies," GIFT, CARD, NOVELTY STORES","£1,182.79"
MODGPC00184764,20/12/2017,Auto/Vehicle Dealers, CAR & TRUCK DEALERS/USED ONLY,£817.01
MODGPC00184765,20/12/2017,Facilities/Repair Supplies, AUTOMOTIVE PARTS STORES,"£1,203.04"
MODGPC00184766,20/12/2017,Auto/Vehicle Expenses, AUTO BODY REPAIR SHOPS,"£2,107.16"
MODGPC00184767,20/12/2017,Auto/Vehicle Expenses, AUTO BODY REPAIR SHOPS,"£4,031.48"
MODGPC00184769,20/12/2017,Government, GOV'T SERV - DEFAULT,"£1,454.40"
MODGPC00184770,20/12/2017,Facilities/Repair Supplies, BICYCLE SHOPS/SALES/SERVICE,£557.98
MODGPC00184771,20/12/2017,Equipment And Furniture, HOUSEHOLD APPLIANCE STORES,"£1,782.63"
MODGPC00184772,20/12/2017,Retail, ELECTRONICS STORES,"£1,435.73"
MODGPC00184773,20/12/2017,Medical," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",£598.80
MODGPC00184774,20/12/2017,Government, SCHOOLS - DEFAULT,"£2,280.00"
MODGPC00184775,20/12/2017,Government, SCHOOLS - DEFAULT,"£2,280.00"
MODGPC00184776,20/12/2017,Retail, SPORTS/RIDING APPAREL STORES,£887.90
MODGPC00184777,20/12/2017,Retail, SPORTS/RIDING APPAREL STORES,"£1,152.00"
MODGPC00184778,20/12/2017,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£1,214.64"
MODGPC00184779,20/12/2017,Business To Business Eqpt/Furn, BOOK STORES,"£3,600.00"
MODGPC00184780,20/12/2017,Business Services, BUSINESS SERVICES - DEFAULT,£552.00
MODGPC00184781,20/12/2017,Utilities, COMPUTER NETWORK/INFO SVCS,"£2,160.00"
MODGPC00184782,20/12/2017,Facilities/Repair Supplies, FLOOR COVERING STORES,£563.65
MODGPC00184783,20/12/2017,Miscellaneous, OTHER DIRECT MARKETERS,"£2,336.90"
MODGPC00184784,20/12/2017,Clothing/Shoes/Uniforms, MENS/WOMENS CLOTHING STORES,"£2,311.34"
MODGPC00184785,20/12/2017,Business To Business Other Sup, UNIFORMS & COMMERCIAL CLOTHING,"£1,198.54"
MODGPC00184786,20/12/2017,Retail, SPORTING GOODS STORES,"£1,388.00"
MODGPC00184787,20/12/2017,Business To Business Facility/, ELECTRICAL PARTS/EQUIPMENT,"£1,526.58"
MODGPC00184788,20/12/2017,Government, SCHOOLS - DEFAULT,"£13,803.04"
MODGPC00184789,20/12/2017,Business To Business Eqpt/Furn, BOOK STORES,£870.00
MODGPC00184790,20/12/2017,Equipment And Furniture, FURNITURE/EQUIP STORES,£993.06
MODGPC00184791,20/12/2017,Business To Business Facility/, ELECTRICAL PARTS/EQUIPMENT,"£2,890.80"
MODGPC00184792,20/12/2017,Business To Business Facility/, ELECTRICAL PARTS/EQUIPMENT,£831.84
MODGPC00184793,20/12/2017,Business To Business Other Sup, UNIFORMS & COMMERCIAL CLOTHING,"£4,004.41"
MODGPC00184794,20/12/2017,Business Services, BUSINESS SERVICES - DEFAULT,£552.00
MODGPC00184796,20/12/2017,Business To Business Facility/, MOTOR VEHICLE SUPPLY/NEW PARTS,£964.26
MODGPC00184801,20/12/2017,Auto/Vehicle Expenses, AUTO BODY REPAIR SHOPS,"£2,393.76"
MODGPC00184802,20/12/2017,Auto/Vehicle Expenses, AUTO BODY REPAIR SHOPS,"£1,135.69"
MODGPC00184804,20/12/2017,Retail," HOBBY, TOY & GAME SHOPS","£4,999.92"
MODGPC00184820,20/12/2017,Medical, MED/HEALTH SERVICES - DEF,£756.00
MODGPC00184821,20/12/2017,Facilities Maintenance, CARPENTRY,"£1,275.00"
MODGPC00184822,20/12/2017,Professional Services, ARCHITECTURAL/ENG/SURVEY,"£2,192.23"
MODGPC00184823,20/12/2017,Professional Services, ARCHITECTURAL/ENG/SURVEY,£929.89
MODGPC00184824,20/12/2017,Government, GOV'T SERV - DEFAULT,"£2,786.75"
MODGPC00184826,20/12/2017,Miscellaneous, MEMBER ORGANIZATIONS - DEF,"£3,815.00"
MODGPC00184827,20/12/2017,Professional Services, PROFESSIONAL SERVICES - DEF,"£1,818.24"
MODGPC00184828,20/12/2017,Government, COLLEGES/UNIV/JC/PROFESSION,£672.00
MODGPC00184829,20/12/2017,Medical, HOSPITALS,"£3,100.00"
MODGPC00184830,20/12/2017,Clothing/Shoes/Uniforms, MENS/WOMENS CLOTHING STORES,£972.00
MODGPC00184832,20/12/2017,Equipment And Furniture, FURNITURE/EQUIP STORES,£595.00
MODGPC00184844,20/12/2017,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,£788.54
MODGPC00185513,20/12/2017,Business To Business Eqpt/Furn, COMPUTER SOFTWARE STORES,"£1,267.80"
MODGPC00184447,19/12/2017,Retail, SPORTING GOODS STORES,£755.28
MODGPC00184449,19/12/2017,Eating And Drinking Places, RESTAURANTS,£982.80
MODGPC00184450,19/12/2017,Miscellaneous, CHARITABLE/SOC SERVICE ORGS,£985.02
MODGPC00184451,19/12/2017,Business To Business Eqpt/Furn, BOOK STORES,£545.00
MODGPC00184452,19/12/2017,Miscellaneous, VETERINARY SERVICES,"£1,402.80"
MODGPC00184454,19/12/2017,Business To Business Facility/, CHEMICALS/ALLIED PRODS - DEF,"£4,187.16"
MODGPC00184455,19/12/2017,Government, COLLEGES/UNIV/JC/PROFESSION,"£2,180.00"
MODGPC00184456,19/12/2017,Business To Business Eqpt/Furn, DURABLE GOODS - DEFAULT,"£1,080.00"
MODGPC00184458,19/12/2017,Business To Business Facility/, ELECTRICAL PARTS/EQUIPMENT,£531.07
MODGPC00184459,19/12/2017,Business To Business Eqpt/Furn, DURABLE GOODS - DEFAULT,"£4,371.78"
MODGPC00184461,19/12/2017,Business To Business Facility/, ELECTRICAL PARTS/EQUIPMENT,"£4,741.74"
MODGPC00184462,19/12/2017,Government, BUSINESS/SECRETARIAL SCHOOL,£815.40
MODGPC00184463,19/12/2017,Miscellaneous, MEMBER ORGANIZATIONS - DEF,"£11,633.04"
MODGPC00184464,19/12/2017,Retail, RECORD STORES,£775.80
MODGPC00184465,19/12/2017,Miscellaneous, CHARITABLE/SOC SERVICE ORGS,£658.00
MODGPC00184466,19/12/2017,Business To Business Facility/, HARDWARE EQUIPMENT/SUPPLIES,£780.00
MODGPC00184467,19/12/2017,Miscellaneous, CHARITABLE/SOC SERVICE ORGS,"£1,428.00"
MODGPC00184468,19/12/2017,Equipment And Furniture, TELECOMMUNICATION EQUIPMENT,£659.89
MODGPC00184469,19/12/2017,Freight/Courier/Warehouse Svcs, PUBLIC WAREHOUSING,"£3,947.05"
MODGPC00184470,19/12/2017,Government, SCHOOLS - DEFAULT,£675.00
MODGPC00184471,19/12/2017,Medical, OPTICIANS,"£1,640.00"
MODGPC00184474,19/12/2017,Medical, HOSPITALS,"£1,800.00"
MODGPC00184475,19/12/2017,Business Services, BUSINESS SERVICES - DEFAULT,"£1,000.00"
MODGPC00184476,19/12/2017,Retail, GROCERY STORES/SUPERMARKETS,£600.00
MODGPC00184477,19/12/2017,Miscellaneous, OTHER DIRECT MARKETERS,£600.00
MODGPC00184478,19/12/2017,Professional Services, MGMT/CONSULT/PUBLIC REL SER,"£7,550.40"
MODGPC00184479,19/12/2017,Business To Business Services, METAL SERVICE CENTERS,£972.00
MODGPC00184480,19/12/2017,Business To Business Facility/, ELECTRICAL PARTS/EQUIPMENT,"£2,520.00"
MODGPC00184481,19/12/2017,Business Services, BUSINESS SERVICES - DEFAULT,£532.80
MODGPC00184485,19/12/2017,Government, TRADE/VOCATIONAL SCHOOLS,"£1,298.40"
MODGPC00184486,19/12/2017,Government, GOV'T SERV - DEFAULT,£516.66
MODGPC00184487,19/12/2017,Eating And Drinking Places, RESTAURANTS,£548.00
MODGPC00184488,19/12/2017,Government, SCHOOLS - DEFAULT,"£5,456.88"
MODGPC00184489,19/12/2017,Government, SCHOOLS - DEFAULT,"£5,996.77"
MODGPC00184490,19/12/2017,Equipment And Furniture, HOUSEHOLD APPLIANCE STORES,£833.47
MODGPC00184492,19/12/2017,Government, GOV'T SERV - DEFAULT,"£17,391.90"
MODGPC00184493,19/12/2017,Government, GOV'T SERV - DEFAULT,"£17,222.40"
MODGPC00184494,19/12/2017,Government, COLLEGES/UNIV/JC/PROFESSION,"£2,430.00"
MODGPC00184495,19/12/2017,Auto/Vehicle Expenses, AUTO BODY REPAIR SHOPS,"£1,808.55"
MODGPC00184497,19/12/2017,Government, GOV'T SERV - DEFAULT,"£3,500.00"
MODGPC00184498,19/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,"£2,243.64"
MODGPC00184499,19/12/2017,Business To Business Eqpt/Furn, COMMERCIAL FURNITURE,£972.48
MODGPC00184501,19/12/2017,Government, GOV'T SERV - DEFAULT,£652.50
MODGPC00184502,19/12/2017,Clothing/Shoes/Uniforms, SHOE STORES,£999.98
MODGPC00184503,19/12/2017,Other Supplies, MISC SPECIALTY RETAIL,£623.88
MODGPC00184504,19/12/2017,Government, GOV'T SERV - DEFAULT,£800.00
MODGPC00184506,19/12/2017,Equipment And Furniture, HOUSEHOLD APPLIANCE STORES,"£1,211.94"
MODGPC00184507,19/12/2017,Business Expenses/Services, POSTAGE STAMPS,£505.87
MODGPC00184509,19/12/2017,Government, SCHOOLS - DEFAULT,"£2,511.00"
MODGPC00184510,19/12/2017,Government, SCHOOLS - DEFAULT,"£2,000.00"
MODGPC00184511,19/12/2017,Other Supplies, MISC SPECIALTY RETAIL,£595.68
MODGPC00184520,19/12/2017,Business To Business Facility/, HARDWARE EQUIPMENT/SUPPLIES,"£1,304.80"
MODGPC00184521,19/12/2017,Caterers Food, CATERERS,"£3,039.29"
MODGPC00184522,19/12/2017,Professional Services, TAX PREPARATION SERVICE,"£1,779.60"
MODGPC00184523,19/12/2017,Government, COLLEGES/UNIV/JC/PROFESSION,"£3,500.00"
MODGPC00184524,19/12/2017,Government, COLLEGES/UNIV/JC/PROFESSION,"£1,965.00"
MODGPC00184525,19/12/2017,Government, GOV'T SERV - DEFAULT,£500.00
MODGPC00184526,19/12/2017,Government, GOV'T SERV - DEFAULT,£525.00
MODGPC00184527,19/12/2017,Government, COLLEGES/UNIV/JC/PROFESSION,"£3,240.00"
MODGPC00184528,19/12/2017,Government, COLLEGES/UNIV/JC/PROFESSION,"£3,472.00"
