A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 01/11/2013 15:28:20,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1546959,"236,087.69",,80133459,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1411300,"117,000.36",,8014001625,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,1473607,"1,232,905.76",,OP38,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,1473620,"1,270,182.66",,OP41,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,1473654,"220,146.82",,OP44,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,1473660,"72,673.00",,200563,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,1473664,"-1,634,015.63",,OP45,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1382182,"79,797.00",,4097750,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1411422,"750,000.00",,4097696,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1411618,"14,890,068.00",,4097734,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1546983,"26,700.00",,4098157,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,1382141,"1,298,125.00",,820481,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,1424633,"33,917.00",,820881,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,1411434,"74,512.58",,X0106765,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,1411444,"28,567.36",,X0106801,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,HERTFORDSHIRE COMMUNITY NHS TRUST,1370181,"90,037.12",,28006801,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Cost per Case,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,1411352,"33,241.22",,28006780,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,1412034,"2,423,201.00",,28006941,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,1581730,"185,256.00",,1801447086,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,1581749,"331,000.00",,1801447089,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,1581749,"858,000.00",,1801447089,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,1581749,"4,272,000.00",,1801447089,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,1486841,"320,330.35",,2178,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,1555738,"32,066.97",,HT000004296,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,1555738,"2,033.15",,HT000004296,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1439383,"27,145.00",,185880,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,External Consultancy Fees,CEO/ BOARD OFFICE,LEAP ORGANISATION LTD,1547038,"34,744.00",,127,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,1412002,"92,875.50",,52948324,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Oth-NHS-Contract Cost per Case,REABLEMENT,MARIE STOPES INTERNATIONAL,1424382,"57,498.00",,MS131086,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Oth-NHS-Contract Cost per Case,COMMISSIONING - NON ACUTE,MARIE STOPES INTERNATIONAL,1486817,"68,269.00",,MS131334,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Oth-NHS-Contract Cost per Case,COMMISSIONING - NON ACUTE,MARIE STOPES INTERNATIONAL,1581834,"55,294.00",,MS131547,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,MID ESSEX HOSPITALS SERVICES NHS TRUST,1411750,"84,214.00",,ME2000079704,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,1382256,"198,113.00",,IC0017746,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,1450547,"85,210.00",,IC0017283,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,1555747,"-88,840.05",,HT000004305,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,1555748,"180,221.66",,HT000004306,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Charges from CSU,CORPORATE COSTS & SERVICES,NHS HERTFORDSHIRE INTEGRATED CSU,1370301,"549,035.21",,7311100107,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1382129,"191,550.00",,20039,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH WEST LONDON HOSPITALS NHS TRUST,1411381,"49,962.43",,I0151495,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,OXFORD FERTILITY UNIT,1355641,"166,185.00",,OFUEOE9063,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,OXFORD FERTILITY UNIT,1412020,"102,330.00",,OFUEOE9064,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,1382087,"-87,620.60",,C0006576,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,1382219,"104,706.00",,I0081038,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,1382273,"793,388.00",,ENHCCGPINOCT13,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,1500818,"354,776.05",,ENHCCGPINERIVSPRINVFINJUL,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1355658,"3,728,750.00",,BL130701,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,1370160,"161,570.02",,I0162023,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,1382286,"434,755.00",,1327068,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,1399492,"42,572.00",,B0022420,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,1399501,"-52,194.00",,B0022741,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,1512223,"39,308.00",,I0035193,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,1512251,"39,308.00",,I0035668,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,1512262,"39,308.00",,I0035855,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,PALLIATIVE CARE,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,1531754,"41,014.00",,I0036377,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,1370331,"82,589.00",,06K011013PFBSH,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1355678,"443,688.33",,202395,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,1555773,"-48,170.88",,HT000004332,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,1555774,"95,188.75",,HT000004333,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1370191,"189,768.00",,214860,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,1555769,"1,538.60",,HT000004328,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,1555769,"40,083.03",,HT000004328,
,,,,,,,,,,
,,,,,,,"38,988,746.36",,,
