IMCR-4.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Key radio metrics: 2012,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom, Pricewaterhouse Coopers. All figures are nominal.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,UK ,FRA ,GER ,ITA ,USA ,CAN ,JPN ,AUS ,ESP ,NED ,SWE ,IRL ,POL ,BRA ,RUS ,IND ,CHN 
IMCR-4.03,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Changes in radio revenue, by country: 2011 and 2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Revenue (£m),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PricewaterhouseCoopers Global Entertainment and Media Outlook 2013-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.580 to the GBP, representing the IMF average for 2012. Note that the UK radio industry figure is sourced from broadcaster returns made to Ofcom.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.04,,,,,,,,,,,,,,,,,
,,,,,,BRA,IND,UK,CAN,CHN,USA,"2012 
revenue",,,,,
Figure 4.4,,,,,,24.6835443,28.48101266,32.294764,36.70886076,131.6455696,420.2531646,23605.40085,,,,,
,,,,,,22931.33394,22956.01748,22984.49849,23016.79326,23053.50212,23185.14769,,,,,,
"The most substantial increases in radio revenue, by component: 2011-2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Revenue (£m),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PricewaterhouseCoopers Global Entertainment and Media Outlook 2013-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.580 to the GBP, representing the IMF average for 2012. Note that the UK radio industry figure is sourced from broadcaster returns made to Ofcom.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Public radio licence fees,Satellite radio subscription,Advertising,Tot rad yoy growth,,,,,,,,,,,,
17,CHN,,,131.6455696,0.118653736,,,,,,,,,,,,
16,IND,,,28.60427234,0.173076923,,,,,,,,,,,,
15,RUS,,,23.51906837,0.09273183,,,,,,,,,,,,
14,BRA,,,24.79036936,0.067241379,,,,,,,,,,,,
6,CAN,,13.34866042,24.15471886,0.031132582,,,,,,,,,,,,
5,USA,,226.5822785,193.6708861,0.036047774,,,,,,,,,,,,
1,UK,15,,17.294764,0.027823398,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Changes in radio revenue among comparator countries with licence fees, by component: 2011-2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Revenue (£m),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PricewaterhouseCoopers Global Entertainment and Media Outlook 2013-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.580 to the GBP, representing the IMF average for 2012. Note that the UK radio industry figure is sourced from broadcaster returns made to Ofcom.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Tot rad,,,,,,,,,,,,,
,Row Labels,Public radio licence fees,Advertising,Sum of yoy growth,,,,,,,,,,,,,
13,POL,-1.3,-2.5,-2.70%,,,,,,,,,,,,,
12,IRL,-1.3,-3.2,-4.20%,,,,,,,,,,,,,
11,SWE,1.3,0,1.60%,,,,,,,,,,,,,
10,NED,-0.6,-2.5,-1.90%,,,,,,,,,,,,,
7,JPN,-1.9,-12,-1.40%,,,,,,,,,,,,,
4,ITA,1.3,-36.7,-8.20%,,,,,,,,,,,,,
3,GER,-23.4,11.4,-0.40%,,,,,,,,,,,,,
2,FRA,-1.9,-3.8,-0.50%,,,,,,,,,,,,,
1,UK,15,17.3,2.80%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.06,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Use of a smartphone / mobile phone to consume audio content,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All respondents with a mobile phone/ smartphone (%),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September 2013Base: All respondents with a mobile phone/ smartphone, UK=894, FRA=850, GER=890, ITA=904, USA=793, JPN=855, AUS=877, ESP=897, CHN=936. Q.15d Which, if any, of the following audio activities do you use each of your devices for?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,Listening to music I own,Listening to the radio,Listening to streaming audio,,,,,,,,,,,,,,
UK,33,21,14,,,,,,,,,,,,,,
FRA,32,20,9,,,,,,,,,,,,,,
GER,33,21,10,,,,,,,,,,,,,,
ITA,38,31,16,,,,,,,,,,,,,,
USA,27,17,22,,,,,,,,,,,,,,
JPN,27,9,8,,,,,,,,,,,,,,
AUS,35,16,14,,,,,,,,,,,,,,
ESP,51,34,18,,,,,,,,,,,,,,
CHN,68,41,37,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.07,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Frequency of listening to music on a mobile phone,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of mobile phone users (%),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: comScore MobiLens, August 2013 (3 month average, mobile phone users 15+) ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column1,Monthly,Weekly,,,,,,,,,,,,,,,
UK,31.311,9.817,,,,,,,,,,,,,,,
FRA,25.321,7.791,,,,,,,,,,,,,,,
GER,28.085,8.604,,,,,,,,,,,,,,,
ITA,30.601,8.561,,,,,,,,,,,,,,,
USA,32.451,10.629,,,,,,,,,,,,,,,
JPN,14.034,4.523,,,,,,,,,,,,,,,
ESP,35.608,11.003,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.08,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source of music listened to on a mobile phone ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of mobile phone users (%),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: comScore MobiLens, August 2013 (3 month average, mobile phone users 15+) ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column1,Downloaded from music service,Streamed from music service,Transferred from PC,Other,Don't know,,,,,,,,,,,,
UK,13,8,18,1,1,,,,,,,,,,,,
FRA,8,9,16,1,1,,,,,,,,,,,,
GER,8,7,19,1,1,,,,,,,,,,,,
ITA,9,7,19,1,1,,,,,,,,,,,,
USA,13,18,14,1,1,,,,,,,,,,,,
JPN,4,1,9,0,1,,,,,,,,,,,,
ESP,13,10,21,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Number of music streaming services used by mobile internet users,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Number of sources used,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: comScore MobiLens, August 2013 (3 month average, mobile internet users 15+) ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,Series 1,,,,,,,,,,,,,,,,
UK,15,,,,,,,,,,,,,,,,
FRA,16,,,,,,,,,,,,,,,,
GER,21,,,,,,,,,,,,,,,,
ITA,21,,,,,,,,,,,,,,,,
USA,26,,,,,,,,,,,,,,,,
JPN,8,,,,,,,,,,,,,,,,
ESP,14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sources used for streaming music content,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of mobile internet users (%),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: comScore MobiLens, August 2013 (3 month average, mobile internet users 15+) ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Amazon.com,Deezer,Google,iHeartRadio,Last.fm,Pandora,Spotify,TuneIn Radio,VEVO,YouTube,,,,,,,
UK,2,1,1,,1,,3,1,,4,,,,,,,
FRA,,6,1,,,,1,,,6,,,,,,,
GER,1,,1,,1,,2,2,,6,,,,,,,
ITA,,,2,,,,2,,,4,,,,,,,
USA,3,,2,5,1,17,3,1,2,8,,,,,,,
JPN,,,,,,,,,,1,,,,,,,
ESP,,,1,,1,,4,1,,5,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Worldwide industry revenues: 2008-2012,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Revenue (£bn),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PricewaterhouseCoopers Global Entertainment and Media Outlook 2013-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.580 to the GBP, representing the IMF average for 2012. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UK £,2008,2009,2010,2011,2012,,,,,,,,,,,,
Total,27.76835443,25.30759494,26.11582278,26.81835443,27.53797468,,,,,,,,,,,,
Advertising,22.14050633,19.53987342,20.24683544,20.83227848,21.32278481,,,,,,,,,,,,
Public radio licence fees,4.12278481,4.199367089,4.212658228,4.192405063,4.181012658,,,,,,,,,,,,
Satellite radio subscription,1.505063291,1.568987342,1.656329114,1.793670886,2.033544304,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Radio industry revenues: 2012,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Revenue (£bn),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PricewaterhouseCoopers Global Entertainment and Media Outlook 2013-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.580 to the GBP, representing the IMF average for 2012. Note that the UK radio industry figure is sourced from broadcaster returns made to Ofcom.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2012,yoy change,yoy growth,,,,,,,,,,,,,
1,UK,1.2,32.3,2.80%,,,,,,,,,,,,,
2,FRA,1,-5.7,-0.50%,,,,,,,,,,,,,
3,GER,2.8,-12,-0.40%,,,,,,,,,,,,,
4,ITA,0.4,-36.1,-8.20%,,,,,,,,,,,,,
5,USA,12.1,420.3,3.60%,,,,,,,,,,,,,
6,CAN,1.2,36.7,3.10%,,,,,,,,,,,,,
7,JPN,1,-13.9,-1.40%,,,,,,,,,,,,,
8,AUS,0.7,3.2,0.50%,,,,,,,,,,,,,
9,ESP,0.4,-42.4,-9.90%,,,,,,,,,,,,,
10,NED,0.2,-4.4,-1.90%,,,,,,,,,,,,,
11,SWE,0.1,1.9,1.60%,,,,,,,,,,,,,
12,IRL,0.1,-4.4,-4.20%,,,,,,,,,,,,,
13,POL,0.1,-3.2,-2.70%,,,,,,,,,,,,,
14,BRA,0.4,24.7,6.70%,,,,,,,,,,,,,
15,RUS,0.3,23.4,9.30%,,,,,,,,,,,,,
16,IND,0.2,28.5,17.30%,,,,,,,,,,,,,
17,CHN,1.2,131.6,11.90%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Radio industry revenue annual growth: 2011-12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Annual growth (%),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PricewaterhouseCoopers Global Entertainment and Media Outlook 2013-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.580 to the GBP, representing the IMF average for 2012. Note that the UK radio industry figure is sourced from broadcaster returns made to Ofcom.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2012,yoy change,yoy growth,,,,,,,,,,,,,
1,UK,1193,32.3,2.80%,,,,,,,,,,,,,
2,FRA,1049.5,-5.7,-0.50%,,,,,,,,,,,,,
3,GER,2845.8,-12.1,-0.40%,,,,,,,,,,,,,
4,ITA,408.1,-36.2,-8.20%,,,,,,,,,,,,,
5,USA,12130.8,422.1,3.60%,,,,,,,,,,,,,
6,CAN,1221.1,36.9,3.10%,,,,,,,,,,,,,
7,JPN,986.5,-14,-1.40%,,,,,,,,,,,,,
8,AUS,699.9,3.2,0.50%,,,,,,,,,,,,,
9,ESP,386.5,-42.6,-9.90%,,,,,,,,,,,,,
10,NED,235.8,-4.4,-1.90%,,,,,,,,,,,,,
11,SWE,120.8,1.9,1.60%,,,,,,,,,,,,,
12,IRL,101.7,-4.4,-4.20%,,,,,,,,,,,,,
13,POL,115.1,-3.2,-2.70%,,,,,,,,,,,,,
14,BRA,393.5,24.8,6.70%,,,,,,,,,,,,,
15,RUS,277.1,23.5,9.30%,,,,,,,,,,,,,
16,IND,193.9,28.6,17.30%,,,,,,,,,,,,,
17,CHN,1246.5,132.2,11.90%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Proportion of radio revenue, by source",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of total revenue,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PricewaterhouseCoopers Global Entertainment and Media Outlook 2013-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.580 to the GBP, representing the IMF average for 2012. Note that the UK radio industry figure is sourced from broadcaster returns made to Ofcom.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Radio advertising,Public radio licence fees,Satellite radio subscription,,,,,,,,,,,,,
1,UK,40%,60%,,,,,,,,,,,,,,
2,FRA,61%,39%,,,,,,,,,,,,,,
3,GER,21%,79%,,,,,,,,,,,,,,
4,ITA,79%,21%,,,,,,,,,,,,,,
5,USA,85%,0%,15%,,,,,,,,,,,,,
6,CAN,87%,0%,14%,,,,,,,,,,,,,
7,JPN,95%,5%,,,,,,,,,,,,,,
8,AUS,100%,0%,,,,,,,,,,,,,,
9,ESP,100%,0%,,,,,,,,,,,,,,
10,NED,81%,19%,,,,,,,,,,,,,,
11,SWE,62%,37%,,,,,,,,,,,,,,
12,IRL,78%,23%,,,,,,,,,,,,,,
13,POL,95%,4%,,,,,,,,,,,,,,
14,BRA,100%,0%,,,,,,,,,,,,,,
15,RUS,100%,0%,,,,,,,,,,,,,,
16,IND,100%,0%,,,,,,,,,,,,,,
17,CHN,100%,0%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Radio industry revenues, per head of population: 2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
£ per head (totals above bars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PricewaterhouseCoopers Global Entertainment and Media Outlook 2013-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.580 to the GBP, representing the IMF average for 2012. Note that the UK radio industry figure is sourced from broadcaster returns made to Ofcom. Population data from US Census Bureau (end of year estimates from mid-year values)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Advertising,Public radio licence fees,Satellite radio subscription,Tot rad,,,,,,,,,,,,
1,UK,7.5,11.4,0,18.9,,,,,,,,,,,,
2,FRA,9.7,6.2,0,15.9,,,,,,,,,,,,
3,GER,7.2,27.7,0,34.9,,,,,,,,,,,,
4,ITA,5.2,1.4,0,6.6,,,,,,,,,,,,
5,USA,32.4,0,5.9,38.3,,,,,,,,,,,,
6,CAN,30.5,0,4.8,35.3,,,,,,,,,,,,
7,JPN,7.3,0.4,0,7.7,,,,,,,,,,,,
8,AUS,31.5,0,0,31.5,,,,,,,,,,,,
9,ESP,8.2,0,0,8.2,,,,,,,,,,,,
10,NED,11.4,2.6,0,14,,,,,,,,,,,,
11,SWE,8.2,4.9,0,13.2,,,,,,,,,,,,
12,IRL,16.5,4.8,0,21.3,,,,,,,,,,,,
13,POL,2.8,0.1,0,3,,,,,,,,,,,,
14,BRA,2,0,0,2,,,,,,,,,,,,
15,RUS,1.9,0,0,1.9,,,,,,,,,,,,
16,IND,0.2,0,0,0.2,,,,,,,,,,,,
17,CHN,0.9,0,0,0.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Take-up of DAB radio sets among regular radio listeners: 2012 and 2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of radio listeners (%),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September 2013, September 2012Base: All regular radio listeners, 2013: UK=717, FRA=756, GER=775, ITA=741, USA=695, JPN=397, AUS=678, ESP=740, CHN=363, 2012: UK=757, FRA=796, GER=805, ITA=768, USA=749, JPN=384, AUS=700, ESP=763, CHN= 441Q.3a Which of the following devices do you have in your home?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column2,2012,2013,,,,,,,,,,,,,,,
UK,40,48,,,,,,,,,,,,,,,
FRA,9,10,,,,,,,,,,,,,,,
GER,9,12,,,,,,,,,,,,,,,
ITA,19,19,,,,,,,,,,,,,,,
USA,10,5,,,,,,,,,,,,,,,
JPN,7,8,,,,,,,,,,,,,,,
AUS,20,21,,,,,,,,,,,,,,,
ESP,21,18,,,,,,,,,,,,,,,
CHN,35,37,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.17,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.17,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Coverage of DAB/ DAB+/ DMB radio: 2012 and 2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Coverage (%),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: WorldDMB Global Update, Digital radio broadcasting using the DAB family of standards, September 2012; 2013Note: There are no data for France as digital radio is currently being trialled; the broadcasting authority Conseil Supèrieur de l’Audiovisuel has forecasted 60% coverage within seven years. No data for DAB coverage exist for Japan due to digital television and radio services being broadcast over ISBD standards. In the US satellite radio is the country’s main digital radio platform, which has grown to become a major component of US radio revenue since its introduction in the mid-2000s",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,2012,2013,,,,,,,,,,,,,,,
UK,94,94,,,,,,,,,,,,,,,
GER,47,90.1,,,,,,,,,,,,,,,
ITA,60,75,,,,,,,,,,,,,,,
AUS,60,64,,,,,,,,,,,,,,,
ESP,20,20,,,,,,,,,,,,,,,
CHN,2,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
" Take-up of any radio set, and FM, WiFi and satellite radio sets, among regular radio listeners",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of radio listeners (%),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September 2013Base: All respondents with a DAB Radio/ Satellite Radio/ WiFi Radio, UK=346, FRA=110, GER=154, ITA=137, USA=160, JPN=69, AUS=155, ESP=130, CHN=191. Q.15d Which, if any, of the following audio activities do you use each of your devices for?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,
Any radio,86,80,78,88,83,78,84,91,86,,,,,,,,
FM radio,69,77,71,84,79,75,78,87,72,,,,,,,,
WiFi radio,15,13,14,16,9,14,13,16,28,,,,,,,,
Satellite radio,6,3,6,6,12,4,4,6,17,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of adults who claim to regularly consume audio content,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All respondents (%),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September 2013Base: All respondents, UK=1000, FRA=1007, GER=1010, ITA=1010, USA=1004, JPN=1005, AUS=1007, ESP=1020, CHN=1007. Q.5 Which of the following do you regularly do (at least once a week)?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,
Listen to the radio,72,75,76,73,69,39,67,72,36,,,,,,,,
Listen to music on a portable media player,42,30,30,46,29,28,36,48,41,,,,,,,,
Listen to music on a hi-fi/CD or tape player,39,39,24,37,27,10,32,31,12,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Weekly use of home internet connection to consume audio content,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September 2013Base: All respondents, UK=1000, FRA=1007, GER=1010, ITA=1010, USA=1004, JPN=1005, AUS=1007, ESP=1020, CHN=1007. Q.9 Which, if any, of the following activities do you use your internet connection for at least once a week?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,Listen to/download audio content,Listen to radio online,,,,,,,,,,,,,,,
UK,38,31,,,,,,,,,,,,,,,
FRA,35,32,,,,,,,,,,,,,,,
GER,23,32,,,,,,,,,,,,,,,
ITA,46,35,,,,,,,,,,,,,,,
USA,36,28,,,,,,,,,,,,,,,
JPN,25,20,,,,,,,,,,,,,,,
AUS,35,22,,,,,,,,,,,,,,,
ESP,50,34,,,,,,,,,,,,,,,
CHN,80,23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
IMCR-4.21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Audio activities on a laptop/ desktop,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All respondents with a laptop/ desktop/ netbook,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September 2013Base: All respondents with a laptop/ desktop/ netbook, UK=952, FRA=941, GER=951, ITA=908, USA=940, JPN=942, AUS=960, ESP=931, CHN=966. Q.15d Which, if any, of the following audio activities do you use each of your devices for?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,
Listening to music I own,48,43,47,50,41,45,48,59,68,,,,,,,,
Downloading audio,37,32,26,46,29,29,42,51,78,,,,,,,,
Listening to streaming audio,29,32,20,42,32,22,25,30,52,,,,,,,,
