Entity,GL Date,Merchant name,Amount,Description
JNCC,21/01/2014,Ascension Island Government,£969.00,One return flight to Ascension Island to assist Ascension Island government in organising a Regional Overseas Territories Workshop - 16-21 February 2014
JNCC,08/01/2014,Dry-It-Out Ltd,"£1,799.00",Portable Industrial Air Conditioning Unit
Defra,28/01/2014,THE OXFORD FARMING CON   CARNFORTH    ,£537.00,Conference fee for the Oxford Farming Conference - 2 Jan 2014.
Defra,20/01/2014,WWW.PRINTERLAND.CO       01619 416962 ,£958.82,Cartridges/Ink for the Penrith site 'off-contract' printers and photocopiers.
Defra,10/01/2014,WWW.BONDSOLON.COM        0207 566 8291,"£1,128.00",Training for two people attending Legal core training - 14 November 2013.
Defra,10/01/2014,CIVIL SERVICE LEARNING   INTERNET     ,"£1,212.00","Fees for two people to attend two courses ""Be the leader you can be: An introduction to the future-engage-deliver"" 13 March and 15 April 2014 and ""Wicked problems and clumsy solutions: The role of leadership"" 17 March 2014"
Defra,16/01/2014,TRFSA   THOMSONREUTERS   08456009355  ,"£1,224.00",One copy of the Encyclopaedia of Environmental Law.
Defra,08/01/2014,ROSETTA STONE            WINDSOR      ,"£1,359.50","French, Spanish and English classes 1 April 2014-1 April 2015"
Cefas,20/01/2014,PALISADE EUROPE UK,"£1,047.60",@Risk V6 (standard) software licence  - For epidemiology team to model aquatic animal disease spread.
Cefas,17/01/2014,ROYAL YACHTING ASSO,£600.00,A licence for using data obtained from the Royal Yachting Association
Cefas,10/01/2014,RAC VEHICLE INSPEC,£525.00,British Vehicle Rental and Leasing Authority for damage inspection on each fleet vehicle before they are handed back to the lease company
Cefas,17/01/2014,EB  INTRODUCTION TO,"£1,050.00","Three people for an external training course on Linked Data - what Cefas will need to do for use, management and delivery"
Cefas,27/01/2014,SIGMA-ALDRICH COMP,£689.85,"Genetics consumables: oligonucleotide DNA primers, required to amplify and tag DNA for experimental purposes"
Cefas,17/01/2014,JUST CAR CLINIC-SCA,£624.10,Insurance excess for vehicle damage
Cefas,18/01/2014,PALACE,£879.01,Accommodation for one person for six nights attending a Marine Strategy Framework Directive workshop held at International Council for the Exploration of the Seas (ICES) in Copenhagen - 13-17 January 2014.
Cefas,24/01/2014,PIXMANIA,£749.86,"Fifteen external hard drives to supply Marine Protected Areas (MPA) data to external contractors for the Marine recorder contract. 
"
Cefas,16/01/2014,HOLIDAY INN DOWNTOW,£558.86,Accommodation for one person for five nights in a hotel in Kuwait. Will be reimbursed by the Kuwait Government under a commercial contract.
Cefas,16/01/2014,WWW.RQA.COM/,"£1,020.83",Training for one person attending Good Laboratory Practice Study Director training course 
Kew,14/01/2014,EUROCENTRE,£656.00,Tuition fees for English lessons for a PhD student with Kew
Kew,28/01/2014,APPLE STORE R227,£629.00,Mobile telephone purchase
Kew,14/01/2014,INTITUTEOFCONSERVATION,£520.00,Accreditation training for one person at the Institute of Conservation
Kew,23/01/2014,Amazon EU,"£1,172.00","Four Samsung Galaxy Note 2 16GB SIM-Free Smartphones used for Ethiopia field trip data capture regarding a project to “Build a Climate Resilient Coffee Economy for Ethiopia"""
Kew,23/01/2014,Amazon EU,£694.64,"Four Garmin eTrex Outdoor Handheld GPS Units for Ethiopia field trip data capture regarding a project to “Build a Climate Resilient Coffee Economy for Ethiopia"""
NE,07/01/2014,B & Q,£541.16,Paint for a new building
NE,07/01/2014,BARRY BENNETT LTD,£882.60,Specialist office equipment and furniture for specific health and safety requirements
NE,07/01/2014,WWW.NEOPOST.CO.UK,"£1,030.00",Franking machine Top Up for Reading office - 2 December 2013
NE,09/01/2014,CASA HOTEL,"£2,140.00","Accommodation and evening meal for 20 people for two nights for a team meeting to review the past year’s work, discuss the Natural England refresh and identify areas of work which the Team currently undertakes which could be transferred to a Local Area Team and how that would work in future"
NE,09/01/2014,COTSWOLD FARM PARK LTD,£809.40,"Staff training and subsistence costs for thirty eight people for one day for Cotswolds Catchment Sensitive Farming on-farm event, covering an indoor meeting for farmers about cover crops, crops trials, green manure and followed by a visit to in-field trial plots"
NE,09/01/2014,GOVNET COMMUNICATIONS LTD,£534.00,Staff training and subsistence costs for one person for one day for Understanding Strategic Thinking course
NE,09/01/2014,HARPER ADAMS COLLEGE,"£1,133.25",Staff training and subsistence costs for one person for five days for the a soil and water course including exam fees
NE,09/01/2014,JOHN LEWIS,"£2,306.95",High-end laptop for in-house graphic designers
NE,09/01/2014,KINGSNORTH ELECTRICAL,"£1,082.02",Installation of plug sockets and heaters at a reserve office
NE,09/01/2014,MACDONALD MARTIN LTD,"£1,290.40",Buildings works to make good for fire safety including new internal roof materials and fire alarm rewire at a National Nature Reserve office base
NE,09/01/2014,MOLE VALLEY FARMERS,£517.54,Fencing materials and cattle minerals for a National Nature Reserve
NE,09/01/2014,PERTEMPS LTD,"£68,831.80",Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,"£66,754.10",Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,"£62,648.47",Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,"£61,395.49",Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,"£1,546.01",Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,"£1,027.42",Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,"£1,027.42",Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,£633.07,Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,£627.30,Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,£508.82,Agency staff costs - Administration
NE,09/01/2014,PERTEMPS LTD,£506.27,Agency staff costs - Administration
NE,09/01/2014,ROBERT D WEBSTER,"£2,000.00","Materials for footbridge, include timber, fencing, gates and shuttering"
NE,09/01/2014,ROYAL MAIL GROUP,"£1,493.05",Postage costs for Newcastle office - 18 October-7 November 2013
NE,09/01/2014,ROYAL MAIL GROUP,£596.64,Postage costs for Newcastle office - 8-21 November 2013
NE,09/01/2014,SHELL GAS LPG UK,£579.01,Liquid Petroleum Gas
NE,09/01/2014,ST JOHN AMBULANCE,"£1,338.00",Defibrillator for office
NE,09/01/2014,TRUEMAN & PARTNERS,£627.78,Allen scythe and mini bailer repairs and servicing
NE,09/01/2014,WAYNE LEDBURY MOTORCYCLES,£778.03,Repairs to All Terrain Vehicle
NE,09/01/2014,WHATLEY & CO PEWSEY LTD,£690.33,Water pump repairs for a National Nature Reserve
NE,09/01/2014,WHITECLIFF OFF-ROAD CENTRE LTD,£760.00,Training and subsistence costs for four people for one day for off-road vehicle training course
NE,09/01/2014,YHA BERWICK,£568.50,Accommodation and evening meal for 26 people for one night and subsistence for two days attending team meeting to review the work position for the previous months and to outline future priorities
NE,13/01/2014,ALDRIDGE PILING EQUIPMENT CO LTD,"£1,242.30",Plastic piling for dam repair
NE,13/01/2014,BARRY BENNETT LTD,£911.70,Specialist office equipment and furniture for specific health and safety requirements
NE,13/01/2014,BURRELLS,"£1,290.00",Internal roof lights for a National Nature Reserve shed
NE,13/01/2014,CITY CAR CLUB LTD,£750.00,Repair costs for damaged hire vehicle
NE,13/01/2014,CIVIL SERVICE LEARNING,£688.80,Training and subsistence costs for one person for four days for Institution of Occupational Safety and Health (IOSH) Managing Health & Safety training
NE,13/01/2014,CIVIL SERVICE LEARNING,-£688.80,Training and subsistence costs for one person for four days for Institution of Occupational Safety and Health (IOSH) Managing Health & Safety training - credit
NE,13/01/2014,CPS FUELS LTD,£744.98,Red Diesel for use in Agricultural Vehicles
NE,13/01/2014,NHBS LTD,£625.01,Two remote cameras for use on a National Nature Reserve
NE,13/01/2014,PEACOCK & BINNINGTON,£633.47,Repairs and servicing on tractor and trailer and parts for overhaul of drive shaft of tractor mounted mower
NE,13/01/2014,PERTEMPS LTD,£982.21,Agency staff costs - Administration
NE,13/01/2014,PERTEMPS LTD,£943.90,Agency staff costs - Administration
NE,13/01/2014,WWW.BBOFFICESUPPLIES.CO.UK,£626.40,Specialist office equipment and furniture for specific health and safety requirements
NE,15/01/2014,IBIS LEEDS WEST,"£1,457.00",Accommodation and evening meal for twelve people for two nights and for seven people for one night attending for a bi-annual team meeting
NE,15/01/2014,INITIAL CONTRACT SERVICES,£579.96,Subsistence for fifteen people for two days for the Future Team Leader Programme training event
NE,15/01/2014,JOHN OWEN (AGGREGATES),"£1,269.12",Three loads of ballast to fill car park planters at a National Nature Reserve
NE,15/01/2014,M U ENTERPRISES,£504.00,Subsistence costs for sixteen people for one day to discuss the Natural England refresh programme
NE,15/01/2014,PERTEMPS LTD,"£1,030.97",Agency staff costs - Administration
NE,15/01/2014,PERTEMPS LTD,"£1,030.97",Agency staff costs - Administration
NE,15/01/2014,PERTEMPS LTD,"£1,030.97",Agency staff costs - Administration
NE,15/01/2014,PERTEMPS LTD,"£1,030.97",Agency staff costs - Administration
NE,15/01/2014,PERTEMPS LTD,£567.43,Agency staff costs - Administration
NE,15/01/2014,PERTEMPS LTD,£567.43,Agency staff costs - Administration
NE,15/01/2014,WATSON PETROLEUM LTD,"£1,574.20",Red Diesel for use in Agricultural Vehicles
NE,17/01/2014,H L PLASTICS,"£2,242.80",Recycled plastic sheet piling for damming on a National Nature Reserve
NE,17/01/2014,LOGOSOL AB,£600.00,Portable saw mill
NE,17/01/2014,NORTHUMBRIAN WATER,£981.54,"Ditch water analysis, looking at nitrates and phosphates along the Suffolk coast and on the River Waveney as part of a Catchment Sensitive Farming project"
NE,21/01/2014,ENTERPRISE RENT-A-CAR,"£2,372.70",Repair to damaged hire vehicle
NE,21/01/2014,FRANCOTYP,"£1,536.00",Franking machine Top-Up for Kendal office - 2 December 2013
NE,21/01/2014,HAWKINS AGRI LTD,£561.32,Annual tractor service costs
NE,21/01/2014,HOLIDAY INNS,£657.00,Accommodation and evening meal for one person for nine nights for a period of secondment while working on Defra's Common Agricultural Policy Delivery Programme
NE,21/01/2014,MOLE VALLEY FARMERS,"£1,576.06","Fencing materials for enclosures at a National Nature Reserve, including fencing posts, stakes, wire and gates"
NE,21/01/2014,PREMIER TRAVEL INN,"£1,478.16",Accommodation and evening meal for eighteen people for two nights for team event to plan for next year and beyond due to the team being disbanded and moving to an area delivery model
NE,21/01/2014,THE MOAT SHED,£567.87,Event for 100 National Nature Reserve volunteers to thank them for their work over the last year
NE,21/01/2014,VINCENT TRACTORS LTD,£915.68,Tractor trailer service including brake cables replacement bulbs and rewiring
NE,23/01/2014,BOSTON SEEDS,£570.00,Heather seed for recolonising a National Nature Reserve
NE,23/01/2014,CHUBB ELECTRONIC SECURITY,£683.17,Annual security alarm contract - 1 February 2014-31 January 2015
NE,23/01/2014,FRANCOTYP,"£1,048.00",Franking machine Top-Up for Crewe office - 23 December 2013
NE,23/01/2014,NATIONAL TRUST,"£1,750.00",Facilitation of educational work (with schools and other educational organisations) on a National Nature Reserve
NE,23/01/2014,PERTEMPS LTD,£528.44,Agency staff costs - Administration
NE,23/01/2014,PERTEMPS LTD,£525.16,Agency staff costs - Administration
NE,27/01/2014,PERTEMPS LTD,£639.28,Agency staff costs - Administration
NE,27/01/2014,PLASTECH LTD,£622.87,450mm twin wall drainage pipes
NE,27/01/2014,STUART J DAWS & CO LTD,£831.62,"Brush cutter, shredder blade and air filter"
NE,27/01/2014,TOTALJOBS GROUP LTD,£720.00,"Advertising for marine vacancies. The nature of the roles require specialist skills and in order to target the right individuals it was necessary to advertise on the appropriate forums i.e. Environment jobs, Computer Weekly"
NE,29/01/2014,WWW.NEOPOST.CO.UK,£526.58,Franking machine Top Up for Winchester office - 29 November 2013
FERA,22/11/2013,David Pearce,£975.00,30 Smith floors; Smith is the type of hive used to house bees colonies and the floors are a hive component that require regular replacement. A funded project so costs will be reimbursed.
FERA,09/12/2013,NYS CORPORATE,£735.40,Flights to Washington and Atlanta from Newcastle for one person. A funded project so costs will be reimbursed.
FERA,09/12/2013,NYS CORPORATE,"£1,699.84","Flight to Montreal, Canada from Heathrow for one person. A funded project so costs will be reimbursed."
FERA,09/12/2013,The Blue Bicycle,£607.73,Dinner for seventeen people attending  'Environmental Modelling & Risk Assessment for Pesticides' training. A funded project so costs will be reimbursed.
FERA,13/12/2013,Bluefire Consulting,£569.16,Temporary staff to cover Business and International Development Support / Tracker role for approximately 1.5 months
FERA,13/12/2013,Environmental Agency,"£1,910.00",Permit from the Environment Agency which was required before radioactive work can be carried out on site 
FERA,20/12/2013,NYS,£676.66,"Return flights from Heathrow to Raleigh, USA for one person to attend the Setac conference - Special Focus on Endocrine Disruption"
FERA,20/12/2013,NYS CORPORATE,£504.66,Return flights Manchester to Washington for one person. A funded project so costs will be reimbursed.
FERA,21/12/2013,HPSL/CDS,"£2,352.00",20 editions of Horticulture Week 2014 publications for the Information Centre (library)
FERA,23/12/2013,OFFLEY GROVE FARM,£656.47,Accommodation for two people for a total of three weeks for two field work projects. A funded project so costs will be reimbursed.
FERA,02/01/2014,NYS,£637.78,Flights to Moldova for two people for an European Union twinning project. A funded project so costs will be reimbursed.
FERA,02/01/2014,YORK PULLMAN BUS COMPA,£740.00,Coach hire from York for Plant Health Administration Support Team  staff to the Inspectorate Programme's Technical Training Event in Leicester. A funded project so costs will be reimbursed.
FERA,06/01/2014,Best Western Grosvenor Hotel,£915.00,"Accommodation for nine people for one night and for one person for two nights attending Bees Health Management and Safe Use of Veterinary Medicines training course, this is an industry qualification completed by all Regional Bee Inspectors. A funded project so costs will be reimbursed."
FERA,06/01/2014,WWW.NYSTRAVEL.CO.UK,£518.16,Rail travel from London to York for four people attending Defra Team Awards. A funded project so costs will be reimbursed.
FERA,08/01/2014,TRAVELODGE,£804.00,Accommodation for five people for two nights attending PHP (Software Development) Conference
GLA,,Civil Service College,"£1,794.00",Training course for one person for four days attending Information Assurance Policy Knowledge Application Course
EA,28/11/2013,3663,"£1,905.21","Catering supplies for Thames Barrier Cafe, London"
EA,04/12/2013,3663,£853.22,"Catering supplies for Thames Barrier Cafe, London"
EA,03/12/2013,A & W CUSHION LTD,£627.08,"Assorted timber for concrete shuttering at Waveney Works, Haddiscoe"
EA,12/12/2013,A.1. ROPES & RIGG,"£4,297.80","Two hundred screw pin shackles, 440 metres of staple rope and thirty heavy-duty rigging screws for the installation of buoys at various sites in the South East region"
EA,16/12/2013,A.1. ROPES & RIGG,"£3,592.80",120 rigging wires for Bolina buoy installation at various sites
EA,18/12/2013,ACLAND PLANT HIRE LTD,£912.00,"Hire of low loader to transport excavator from Bolingey to Perranporth, Cornwall"
EA,05/12/2013,ACT RADTAC CSM,£780.00,Fee for one person attending Foundation Certificate in Agile Practice training course 
EA,09/12/2013,ADLER & ALLAN LTD,"£1,319.76","Collection and disposal of hazardous waste from Tokyngton Park, London"
EA,17/12/2013,AFA PROJECT MANAGE,"£1,554.00",Fee for one person attending Managing Benefits Foundation and Practitioner training course
EA,29/11/2013,AGRIFACTORS(SOUTHERN)L,£780.00,Grass seed for Marsham Weir access
EA,16/12/2013,ALL PALLETS LTD,£624.24,Flooding incident response - sandbag pallets
EA,05/12/2013,ALLENS WASTE DISPOSAL,"£1,639.44","Collection and replacement of skips at Crossens Depot, Southport"
EA,05/12/2013,ALLENS WASTE DISPOSAL,£729.84,"Collection and disposal of operational waste from Great Hanging Bridge Depot, Preston"
EA,28/11/2013,ALP ELECTRICAL LTD,£747.60,Electrical isolation works for machinery in the workshop at Sunbury Depot
EA,13/12/2013,ALP ELECTRICAL LTD,£674.40,"Portable Appliance Testing of equipment at Rushey Weir and Osney Yard, Oxford"
EA,16/12/2013,Amazon  Mktplce EU-UK,£799.76,Digital Single Lens Reflex Camera for Environmental Monitoring Teams
EA,03/12/2013,Amazon Web Services,"£2,695.26",Monthly Amazon charges for November for innovation pilots
EA,04/12/2013,ANGLIA HANDLING SERVIC,£906.17,Investigation and repair of fault on crane at Wixoe Pumping Station
EA,18/12/2013,AQUARIUS SOLUTIONS,£561.60,Three cases of microfibre cloths for Field Teams at Pevensey office
EA,09/12/2013,ARCO LTD,£769.31,"Six anti-spill mats for plant equipment used by Field Teams at Riversmeet House, Tewkesbury"
EA,21/11/2013,ARCO LTD,£585.60,Gas bottle storage cage for Askham Depot
EA,01/12/2013,ARCO LTD,£520.84,"Fabrication and installation of secure cage for housing operational equipment at Osney Yard, Oxford"
EA,11/12/2013,ARMADA HOUSE CONFERENC,"£3,168.00","Room, equipment hire, lunch and refreshments for two days for 47 people attending Fisheries and Biodiversity Team meetings "
EA,12/12/2013,ARMADA HOUSE CONFERENC,"£2,472.00","Room, equipment hire, lunch and refreshments for ninety people attending Hydropower Training Workshop "
EA,13/12/2013,ARMADA HOUSE CONFERENC,"£1,819.92","Room, equipment hire, lunch and refreshments for 75 people attending Environment and Business Team meeting "
EA,05/12/2013,ARMADA HOUSE CONFERENC,"£1,486.44","Room, projector, refreshments and food for 46 people attending Catchment Management Meeting "
EA,03/12/2013,ARMADA HOUSE CONFERENC,£966.00,"Room hire, lunch and refreshments for 29 people attending Strategic Reviews Response Programme Monitoring Workshop "
EA,11/12/2013,ARMADA HOUSE CONFERENC,£821.76,Room hire plus lunch and refreshments for 17 people attending Publisher Tool training 
EA,20/12/2013,ARMADA HOUSE CONFERENC,£568.80,"Room, equipment hire, lunch and refreshments for twenty people attending Insights training course "
EA,28/11/2013,ARROW MILL HOTEL,£750.00,"Room hire, lunch and refreshments for fifty people attending Field Services Team Meeting"
EA,17/12/2013,ARTHUR IBBETT LTD,£792.00,Barbed wire and straining wire for Church Drain at Swavesey
EA,12/12/2013,ARTWORKS SOLUTIONS,"£5,000.00","Manufacture, supply and fitting of Environment Agency-branded banners to seven meeting rooms at Ergon House, London. Used to identify meeting rooms as Environment Agency and for Health and Safety to stop people from walking into glass walls."
EA,09/12/2013,AST CONNECTIONS LT,£534.00,Annual subscription to telecommunications system for Anglian Region Incident Room satellite phones
EA,29/11/2013,AT ENGINEERING,"£1,538.40","Security modifications to mobile monitoring station kit at Fobney Mead, Reading"
EA,05/12/2013,ATLANTIC HOTEL,"£2,100.00",Sandbags for emergency response to tidal surge - Boston
EA,04/12/2013,ATLAS TEREX,£960.00,Fees for two people attending Crane Operator Training Course
EA,10/12/2013,AZTEC CHEMICALS LTD,£508.48,"One hundred litres of screenwash, fifteen litres of de-icer, three litres of multi-purpose cleaner and twenty metres of heavy-duty tape for vehicles at Louds Mill Depot, Dorchester"
EA,13/12/2013,BACA SAFETY & WORKWEAR,"£1,037.71","Mesh Fencing, road cones, fencing pins, chain and claw hammer for incident response - tidal surge"
EA,04/12/2013,BAILEY'S OF NORFOLK LT,"£2,688.00",Flooding incident response - 1400 filled sandbags for East Coast surge event
EA,17/12/2013,BAILEY'S OF NORFOLK LT,"£1,440.00",Six hundred sandbags for emergency response works by Field Teams at King's Lynn Depot
EA,04/12/2013,BAILEY'S OF NORFOLK LT,£660.00,Flooding incident responses - filled sandbags for Wells Town floods
EA,18/12/2013,BALLYCLARE LTD,"£1,004.89",Foul-weather jackets for seven Field Team members
EA,12/12/2013,BALLYCLARE LTD,£994.37,"Sixteen Environment Agency-branded fleeces for Field Teams at Osney Yard, Oxford"
EA,12/12/2013,BALLYCLARE LTD,£528.46,Five foul-weather jackets for Field Team members at Lichfield office
EA,14/12/2013,BANNER BUSINESS SERVIC,£688.22,"Assorted stationery for Kings Meadow House, Reading"
EA,10/12/2013,BANNER BUSINESS SERVIC,£600.03,"Assorted stationery for Lateral House, Leeds."
EA,09/12/2013,BARRY BENNETT LTD,"£1,250.40","Specialist ergonomic chair and mouse for one person for Health, Safety and Wellbeing"
EA,13/12/2013,BARRY BENNETT LTD,£972.90,"Specialist ergonomic chair and mouse for one person for Health, Safety and Wellbeing"
EA,04/12/2013,BARRY BENNETT LTD,£948.30,"Specialist ergonomic chair for one person for Health, Safety and Wellbeing"
EA,09/12/2013,BARRY BENNETT LTD,£895.50,"Display Screen Equipment assessment for one person plus specialist ergonomic chair for one person for Health, Safety and Wellbeing"
EA,12/12/2013,BARRY BENNETT LTD,£890.10,Ergonomic assessment and subsequent replacement office chair to accommodate Display Screen Equipment requirements
EA,04/12/2013,BARRY BENNETT LTD,£849.60,"Specialist ergonomic chair and mouse for one person for Health, Safety and Wellbeing"
EA,29/11/2013,BARRY BENNETT LTD,£842.40,"Specialist ergonomic chair and mouse for one person for Health, Safety and Wellbeing"
EA,29/11/2013,BARRY BENNETT LTD,£720.00,"Display Screen Equipment assessment for one person at Sapphire East, Solihull"
EA,02/12/2013,BARRY BENNETT LTD,£712.50,New office chair and set-up for one person following Display Screen Equipment assessment
EA,29/11/2013,BARRY BENNETT LTD,£663.60,"Health, Safety and Wellbeing - chair and footrest, including set-up for one person following Display Screen Equipment assessment"
EA,11/12/2013,BARRY BENNETT LTD,£626.40,"Office chair for one person for Health, Safety and Wellbeing"
EA,02/12/2013,BARRY BENNETT LTD,£617.10,"Specialist chair for team member - Health, Safety and Wellbeing"
EA,18/12/2013,BARTLETT MITCHELL LTD,£931.25,Catering for two Strategic Development Team meetings for sixteen people and 35 people respectively
EA,17/12/2013,BDBS SERVICES,"£1,404.90",Purchase of materials for fencing along the Sedgeberrow flood walls
EA,16/12/2013,BDBS SERVICES,£778.68,Modifications to storage cages for flood defence equipment at Kidderminster office
EA,11/12/2013,BERESFORDS FLOORING LI,"£2,304.00","Two-month hire of mats for all-terrain crane use at Grafton, Oxfordshire"
EA,11/12/2013,BEWLEYS LEEDS FEXCO MC,£960.00,Accommodation for twelve people for one night while attending a Facilities Operations Team Meeting
EA,10/12/2013,BIGNEAT LTD,"£1,201.20","Annual service of fume cupboard in the laboratory at Hafren House, Shrewsbury"
EA,20/12/2013,BISHOPSMOVE.COM,£596.74,One-month storage of essential records and working hardcopy files for the Wessex Groundwater and Contaminated Land Team and the Devon and Cornwall team
EA,23/12/2013,BISHOPSMOVE.COM,£596.74,"One month off-site essential document storage for various teams at Manley House, Exeter"
EA,10/12/2013,BLACKPOLE RECYCLING AN,£603.96,"Collection and disposal of debris collected from field works from Mance House, Kidderminster"
EA,02/12/2013,BMT WBM PTY LTD,"£2,061.80",License upgrade to the Flood-Tide Simulation Software (TUFLOW)
EA,09/12/2013,BOC GASES,"£1,612.50","Maintenance and refill charges of oxygen canisters used by Field Team members at Owston Ferry Depot, Gainsborough"
EA,03/12/2013,BODET LTD,£780.00,"Call out of engineer to fix fault in clock-on system at Starcross Laboratory, Exeter"
EA,17/12/2013,BORDER AGGREGATES,£845.76,Flooding Incident response - sand for sandbags
EA,11/12/2013,BORDER TRAILERS,£960.00,"Customisation of flood defence posts at Mordiford Bridge, Herefordshire"
EA,19/12/2013,BRADAN LTD,"£1,871.50","Biosecurity audit for Calverton Fish Farm, Nottingham"
EA,06/12/2013,BRADFORDS BLDG SUP,"£1,224.00","Thirty bags of scalpings for field works by teams at Bradney Depot, Somerset"
EA,10/12/2013,BRADSTOCK POWER TOOLS,"£1,206.61","Assorted hand tools and associated equipment for Field Teams at Amwell End Depot, Ware"
EA,19/12/2013,BRETT AGGREGATES LTD,"£2,967.32",Emergency work to repair defence at Reydon (engineering clay)
EA,20/12/2013,BRETT AGGREGATES LTD,"£1,412.62",Emergency work to repair defence at Reydon (engineering clay)
EA,09/12/2013,BRETT CONCRETE LTD,£655.20,Concrete for flood defence works in the South East area
EA,23/12/2013,BRIDGWATER MOWERS,£554.40,"Ground maintenance works at Rivers House, Bridgwater"
EA,29/11/2013,BRISTOL MEDIA CIC,£840.00,Media and Corporate Communications Team annual membership to Bristol Media Creative Network
EA,16/12/2013,BRITISHGAS.CO.UK,£720.46,"Annual boiler service at Thames Barrier, London"
EA,11/12/2013,BRITTANIA LEATHERBARRO,£659.28,"One-month secure storage of essential documentation from Rivers House, Blandford"
EA,03/12/2013,BROOKRIDGE TIMBER,£855.36,"Assorted timber for repair works to Henley Bridge, Oxfordshire"
EA,16/12/2013,BSI STANDARDS,"£3,600.00",Annual contribution to secretariat services for the International Standards Organisation
EA,12/12/2013,BUILDBASE LIMITED,£682.92,Stone for access tracks for the Lower Dove flood defence scheme
EA,18/12/2013,BUILDERS EQUIPMENT,£598.80,Laser level set for emergency bank work for Blakeney West bank
EA,11/12/2013,BURDENS 11,£770.69,455 concrete blocks for flood defence works in Cornwall
EA,06/12/2013,BURLINGTON UNIFORMS LT,£582.34,Eighteen Environment Agency-branded polo shirts for staff members
EA,06/12/2013,BURLINGTON UNIFORMS LT,£549.98,Seventeen Environment Agency-branded polo shirts for Warwickshire Field Teams
EA,16/12/2013,BURY HILL TOPSOIL AND,"£1,775.00","Top soil for the reinstatement of a track way damaged by heavy machinery used to install a tilting weir at Pett Level, Hastings"
EA,17/12/2013,BURY HILL TOPSOIL AND,"£1,775.00","Top soil for the reinstatement of a track way damaged by heavy machinery used to install a tilting weir at Pett Level, Hastings"
EA,17/12/2013,BURY HILL TOPSOIL AND,"£1,420.00",Repairs to access to Marsham Weir
