Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Photographic Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,CRUZ IT LTD T/A CIT DIGITAL,172260,150,,S7 1NF,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publications,UK Trade and Investments - Marketing & Communications,CREST COMMUNICATIONS (PR) LTD,172284,200,,CV11 4LD,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Recoveries Account - Balance Sheet,Corporate Payments,UKTI OMIS SERVICE,172297,240,,NP10 8QQ,GOV,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172266,245,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172272,245,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172230,281.8,,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Outsourced Technical Support - UKTI Web Sites - Online Market Info Service,UK Trade and Investments - Chief Operating Officer,CABLE & WIRELESS COMMUNICATIONS PLC,172305,293.25,,MK3 5JP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Photographic Services - Trade Marketing Publication,UK Trade and Investments - Marketing & Communications,CRUZ IT LTD T/A CIT DIGITAL,172258,300,,S7 1NF,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Photographic Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,CRUZ IT LTD T/A CIT DIGITAL,172279,350,,S7 1NF,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Other IT Services - Trade Marketing Publication,UK Trade and Investments - Marketing & Communications,CRUZ IT LTD T/A CIT DIGITAL,172303,360,,S7 1NF,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172264,490,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Inward Investment Events,UK Trade and Investments - Investment Development,LOCATE IN KENT LTD,172056,500,,ME19 4DG,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Trade Development,WEST MIDLANDS INTERNATIONAL TRADE LLP,172288,500,,B15 3DH,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172296,531.68,,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Trade Development,WEST MIDLANDS INTERNATIONAL TRADE LLP,172285,600,,B15 3DH,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Trade Development,WEST MIDLANDS INTERNATIONAL TRADE LLP,172285,600,,B15 3DH,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Training - General - Gateway to Global Growth,UK Trade and Investments - Trade Development,GO GLOBAL NORTH EAST LTD,172300,650,,SR5 3HD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Travel and Subsistence O'seas - Export Explorer,UK Trade and Investments - Trade Development,DEEHURST LTD T/A TRAVELEADS,172310,659.85,,LS2 7EA,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Trade Marketing Publication,UK Trade and Investments - Strategic Trade,CRUZ IT LTD T/A CIT DIGITAL,172261,780,,S7 1NF,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Promotional Materials - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,AWARE PROMOTIONAL MERCHANDISE LTD,172100,846,,PE7 1DY,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172246,955,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Video Production Services - UKTI Corporate Marketing,UK Trade and Investments - Marketing & Communications,S K & E S MAHER T/A SKM PRODUCTIONS,172294,960,,BR6 9RP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Promotional Materials - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,AWARE PROMOTIONAL MERCHANDISE LTD,172100,966,,PE7 1DY,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Basic Grants - SESA Solo Support Scheme,UK Trade and Investments - Trade Development,THE COMFY CLIENT LTD,172241,"1,000.00",,ST1 4PZ,EXT,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Basic Grants - SESA Solo Support Scheme,UK Trade and Investments - Trade Development,INTO UEA LLP,172242,"1,000.00",,NR4 7TJ,EXT,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Basic Grants - SESA Solo Support Scheme,UK Trade and Investments - Trade Development,GEORGE EAST HOUSEWARES LTD,172243,"1,000.00",,IP16 4SD,EXT,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Basic Grants - SESA Solo Support Scheme,UK Trade and Investments - Trade Development,PLATFORM ARTS LTD,172244,"1,000.00",,TS1 1EG,EXT,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172295,"1,014.14",,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Video Production Services - UKTI Corporate Marketing,UK Trade and Investments - Marketing & Communications,S K & E S MAHER T/A SKM PRODUCTIONS,172292,"1,138.65",,BR6 9RP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Basic Grants - Trade Show Access Programme,UK Trade and Investments - Trade Development,SUBSEA UK,172238,"1,400.00",,AB32 6FE,EXT,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172275,"1,420.00",,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Travel and Subsistence UK - International Trade Team Contracting,UK Trade and Investments - Trade Development,RUSSELL BUSINESS SERVICES LTD,172306,"1,558.08",,BD16 3PF,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,IT Managed Service Contracts - UKTI Web Sites - Online Market Info Service,UK Trade and Investments - Chief Operating Officer,CABLE & WIRELESS COMMUNICATIONS PLC,172181,"1,747.20",,MK3 5JP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Authoring and Copywriting Costs - Trade Marketing Publicity,UK Trade and Investments - Marketing & Communications,KREATIVITY LTD,172257,"2,000.00",,NW4 2EA,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - International Trade Team Contracting,UK Trade and Investments - Trade Development,GO GLOBAL NORTH EAST LTD,172302,"2,000.00",,SR5 3HD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,RED STONE DESIGN LTD,172250,"2,090.00",,EC1V 0BX,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Asia Task Force,UK Trade and Investments - Trade Development,CLEARVIEW IMAGING SERVICES LTD,172253,"2,290.00",,E3 3JQ,SME,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Printing Costs - Ministerial Events,UK Trade and Investments - Strategic Trade,WILLIAMS LEA LTD,172247,"2,318.40",,W1F 8PR,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172277,"2,320.00",,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Professional Subscriptions - Sector Events - UK,UK Trade and Investments - Trade Development,CAMBRIDGE WIRELESS LTD,172249,"2,400.00",,CB4 0WS,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Video Production Services - UKTI Corporate Marketing,UK Trade and Investments - Marketing & Communications,S K & E S MAHER T/A SKM PRODUCTIONS,172263,"2,560.00",,BR6 9RP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Promotional Materials - Sector Events - Abroad,UK Trade and Investments - Trade Development,ACUMEN DESIGN CONSULTANCY LTD,172290,"2,800.00",,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172270,"2,975.00",,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Sponsors Grants - Trade Show Access Programme,UK Trade and Investments - Trade Development,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),172240,"3,000.00",,WC1N 3AR,,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,RED STONE DESIGN LTD,172018,"3,462.50",,EC1V 0BX,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - International Trade Team Contracting,UK Trade and Investments - Trade Development,RUSSELL BUSINESS SERVICES LTD,172306,"3,870.62",,BD16 3PF,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Trade Marketing Events,UK Trade and Investments - Trade Development,WEST MIDLANDS INTERNATIONAL TRADE LLP,172291,"4,245.00",,B15 3DH,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Trade Marketing Events,UK Trade and Investments - Trade Development,WEST MIDLANDS INTERNATIONAL TRADE LLP,172293,"4,375.00",,B15 3DH,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,RED STONE DESIGN LTD,172233,"4,983.00",,EC1V 0BX,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Trade Marketing Events,UK Trade and Investments - Trade Development,GO GLOBAL NORTH EAST LTD,172304,"5,505.80",,SR5 3HD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Depreciation - Website Costs - Trade Marketing Publicity,UK Trade and Investments - Strategic Trade,THE BLUE CUBE COMMUNICATIONS LTD,172245,"6,400.00",,B48 7QA,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Fiscal Compass Programme,UK Trade and Investments - Strategic Trade,PA CONSULTING GROUP LTD,172276,"6,406.00",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Trade Marketing Publication,UK Trade and Investments - Marketing & Communications,APPETITE CONSULTANCY LTD,172248,"7,500.00",,W1W 5PA,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Outsourced Technical Support - UKTI Web Sites - Online Market Info Service,UK Trade and Investments - Chief Operating Officer,CABLE & WIRELESS COMMUNICATIONS PLC,172305,"8,500.00",,MK3 5JP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Training - General - Passport Development & Events,UK Trade and Investments - Trade Development,GO GLOBAL NORTH EAST LTD,172300,"8,530.00",,SR5 3HD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Sponsors Grants - Trade Show Access Programme,UK Trade and Investments - Trade Development,SUBSEA UK,172239,"8,640.00",,AB32 6FE,EXT,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Sponsors Grants - Trade Show Access Programme,UK Trade and Investments - Trade Development,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),172298,"11,760.00",,WC1N 3AR,,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,RED STONE DESIGN LTD,172233,"12,000.00",,EC1V 0BX,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Export Communications Review,UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,172234,"12,500.00",,SE1 2JN,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Sponsors Grants - Trade Show Access Programme,UK Trade and Investments - Trade Development,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),172240,"16,920.00",,WC1N 3AR,,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Outward missions,UK Trade and Investments - Trade Development,THE CONSTRUCTION EQUIPMENT ASSOCIATION (CEA),172255,"16,946.00",,CR0 0XZ,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - R&D Programme Sector Specialists,UK Trade and Investments - Investment Development,PA CONSULTING GROUP LTD,172282,"20,057.89",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,RED STONE DESIGN LTD,171987,"21,180.00",,EC1V 0BX,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - International Trade Team Contracting,UK Trade and Investments - Trade Development,GO GLOBAL NORTH EAST LTD,172302,"23,041.08",,SR5 3HD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Sponsors Grants - Trade Show Access Programme,UK Trade and Investments - Trade Development,BRITISH PIG ASSOCIATION,172256,"28,320.00",,CB2 2LS,,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Fiscal Compass Programme,UK Trade and Investments - Strategic Trade,PA CONSULTING GROUP LTD,172280,"30,380.40",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Basic Grants - Trade Show Access Programme,UK Trade and Investments - Trade Development,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),172237,"33,000.00",,WC1N 3AR,,,,Grants
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Fiscal Compass Programme,UK Trade and Investments - Strategic Trade,PA CONSULTING GROUP LTD,172281,"41,244.84",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Export Market Research Scheme,UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,172211,"46,837.00",,SE1 2JN,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Fiscal Compass Programme,UK Trade and Investments - Strategic Trade,PA CONSULTING GROUP LTD,172278,"57,154.52",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Fiscal Compass Programme,UK Trade and Investments - Strategic Trade,PA CONSULTING GROUP LTD,172265,"67,500.00",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Fiscal Compass Programme,UK Trade and Investments - Strategic Trade,PA CONSULTING GROUP LTD,172269,"93,114.80",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Fiscal Compass Programme,UK Trade and Investments - Strategic Trade,PA CONSULTING GROUP LTD,172269,"140,031.05",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - R&D Programme Sector Specialists,UK Trade and Investments - Investment Development,PA CONSULTING GROUP LTD,172262,"324,755.47",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - International Trade Team Contracting,UK Trade and Investments - Trade Development,WEST MIDLANDS INTERNATIONAL TRADE LLP,172289,"378,750.00",,B15 3DH,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - Fiscal Compass Programme,UK Trade and Investments - Strategic Trade,PA CONSULTING GROUP LTD,172273,"539,933.18",,SG8 6DP,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172312,37.31,,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172274,70,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172690,70,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172683,105,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Rental of Accomodation - Attracting Global Entrepreneurs,UK Trade and Investments - Investment Development,CITY INN LTD T/A DOUBLETREE BY HILTON WESTMINSTER,172331,134.25,,SW18 4DD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172267,140,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172730,140,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172311,142.43,,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172684,175,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Travel and Subsistence O'seas - Export Explorer,UK Trade and Investments - Trade Development,DEEHURST LTD T/A TRAVELEADS,172317,181.9,,LS2 7EA,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172324,204.7,,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172715,210,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172729,210,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172710,280,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172720,280,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,M D WOODS T/A THAT GAMES COMPANY,170646,287.68,,GL20 5NR,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Trade Development,GO GLOBAL NORTH EAST LTD,172313,325,,SR5 3HD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172412,339.12,,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,ADECCO UK LTD,172136,341.87,,B37 7YE,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Trade Development,GO GLOBAL NORTH EAST LTD,172313,400,,SR5 3HD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172721,410,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Travel and Subsistence O'seas - Export Explorer,UK Trade and Investments - Trade Development,DEEHURST LTD T/A TRAVELEADS,172314,422.15,,LS2 7EA,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Event Management - Security Events,UK Trade and Investments - Defence and Security Organisation,CRUZ IT LTD T/A CIT DIGITAL,172693,450,,S7 1NF,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Photographic Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,CRUZ IT LTD T/A CIT DIGITAL,172326,450,,S7 1NF,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172728,455,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172712,490,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Travel and Subsistence O'seas - Passport Development & Events,UK Trade and Investments - Trade Development,SETGO LTD,172691,500,,L8 5RN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172731,525,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172718,550,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Trade Development,GO GLOBAL NORTH EAST LTD,172313,550,,SR5 3HD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172688,560,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,ADECCO UK LTD,172134,564.66,,B37 7YE,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,ADECCO UK LTD,172133,581.47,,B37 7YE,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172711,595,,RM7 7HL,,,,Programme
