Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/06/2017,CNST CONTRIBUTIONS,W&C SERVICES LINCOLN,NHS LITIGATION AUTHORITY,"352,640.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/06/2017,CNST CONTRIBUTIONS,GOVERNANCE,NHS LITIGATION AUTHORITY,"34,897.10",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),"154,223.95",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),"39,216.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),"95,439.14",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),"239,901.36",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),"205,251.87",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/06/2017,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),"198,467.74",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/06/2017,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),"226,785.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"837,307.50",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,SERVICES FROM OTHER NHS,W&C SERVICES LINCOLN,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUS,"26,000.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,SERVICES FROM OTHER NHS,W&C SERVICES LINCOLN,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUS,"26,000.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,NETWORK HARD/W,IMT,PERVASIVE NETWORKS LTD,"66,878.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,RENTS,CORPORATE ESTATES & FACIL,PROGRESS CARE HOUSING ASSOCIATION LTD,"96,635.67",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,MEDICAL RECORD STORAGE,FINANCE,RESTORE PLC - (WAS MAGNUM),"32,225.31",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"28,290.24",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"28,290.24",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"48,858.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"35,177.38",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"38,067.84",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"37,936.32",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"31,257.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"28,290.24",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,DIAGNOSTIC TESTS NON NHS,DIAGNOSTICS,SG RADIOLOGY & ASSOCIATES LIMITED,"80,883.56",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,DIAGNOSTIC TESTS NON NHS,DIAGNOSTICS,SG RADIOLOGY & ASSOCIATES LIMITED,"47,058.09",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,STRYKER UK,"32,700.38",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,SERVICES FROM NON-NHS BODIES,OPERATIONAL MGMT SUPPORT,SYNERGY HEALTH (UK) LTD,"258,738.43",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,SERVICES FROM NON-NHS BODIES,OPERATIONAL MGMT SUPPORT,SYNERGY HEALTH (UK) LTD,"258,738.43",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,MEDICAL LOCUMS,AE BOSTON,TARGET UMBRELLA LIMITED (UMBRELLA COMPAN,"38,013.30",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,MEDICAL LOCUMS,MEDICINE LINCOLN,THE LOCUM SPECIALISTS LTD,"22,800.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"58,916.96",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"26,264.80",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,TOSHIBA MEDICAL SYSTEMS,"41,940.00",Jun-17
,,,,,,"17,180,591.95",
