Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-05-12,2016-05-13,York,Official Meetings,,90.15,,,,90.15,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-05-17,2016-05-18,Belfast,FSA Board Meeting,148.64,,120,130.53,,399.17,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-05-25,2016-05-26,Birmingham,Executive Management Team Meeting,,31,,85,,116,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-06-06,2016-06-07,Manchester,Senior Leadership Team Meeting,,30,,165,,195,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-06-20,2016-06-21,York,Official Meeting,,147.5,,,,147.5,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-06-22,2016-06-23,Belfast,Meeting cancelled,217.64,,,,,217.64,
Jason Feeney,Chief Operating Officer,2016-04-04,2016-04-04,York / Harrogate,Official Meeting,,,30.15,,,30.15,
Jason Feeney,Chief Operating Officer,2016-04-05,2016-04-07,Manchester,Executive Management Team Meeting / Senior Leadership Team Meeting,,32.4,21,292,,345.4,
Jason Feeney,Chief Operating Officer,2016-04-08,2016-04-08,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-04-18,2016-04-18,London,Official Meeting,,160.2,25.2,5.69,,191.09,
Jason Feeney,Chief Operating Officer,2016-04-19,2016-04-19,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-04-20,2016-04-21,York,Executive Management Team Meeting ,,,29.25,100,,129.25,
Jason Feeney,Chief Operating Officer,2016-04-25,2016-04-25,London,Official Meeting,,224,25.2,5.19,,254.39,
Jason Feeney,Chief Operating Officer,2016-04-27,2016-04-27,London,Official Meeting,,224,25.2,5.55,,254.75,
Jason Feeney,Chief Operating Officer,2016-04-28,2016-04-28,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-05-03,2016-05-03,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-04-04,2016-04-05,Birmingham,Executive Management Team Meeting ,,96.45,43.2,85,,224.65,
Jason Feeney,Chief Operating Officer,2016-05-09,2016-05-09,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-05-10,2016-05-10,London,Official Meeting,,185.9,25.2,5.5,,216.6,
Jason Feeney,Chief Operating Officer,2016-05-11,2016-05-11,Leeds,Official Meeting,,,11.2,,,11.2,
Jason Feeney,Chief Operating Officer,2016-05-16,2016-05-18,Belfast,FSA Board Meeting,94.14,,,119,,213.14,
Jason Feeney,Chief Operating Officer,2016-05-20,2016-05-20,Leeds,Official Meeting,,,6.3,,,6.3,
Jason Feeney,Chief Operating Officer,2016-05-23,2016-05-23,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-05-25,2016-05-26,London / Birmingham,Executive Management Team Meeting ,,235.95,19.2,101.49,,356.64,
Jason Feeney,Chief Operating Officer,2016-06-01,2016-06-01,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-06-02,2016-06-02,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-06-06,2016-06-07,Birmingham,FSA Management Conference,,21.6,36.2,165,,222.8,
Jason Feeney,Chief Operating Officer,2016-06-08,2016-06-08,Peterborough,Official Meeting,,93,25.2,,,118.2,
Jason Feeney,Chief Operating Officer,2016-06-09,2016-06-09,London,Official Meeting,,185.9,25.2,4.69,,215.79,
Jason Feeney,Chief Operating Officer,2016-06-10,2016-06-10,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-06-28,2016-06-28,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-06-29,2016-06-29,York,Official Meeting,,,27.9,,,27.9,
Jason Feeney,Chief Operating Officer,2016-06-30,2016-06-30,Birmingham,Official Meeting,,110.2,25.2,,,135.4,
Chris Hitchen,Director of Finance & Performance,2016-04-05,2016-04-07,Manchester,Executive Management Team Meeting / Senior Leadership Team Meeting,,23.4,12,364.7,,400.1,
Chris Hitchen,Director of Finance & Performance,2016-04-18,2016-04-18,London,Official Meetings,,160.2,,8.09,,168.29,
Chris Hitchen,Director of Finance & Performance,2016-04-20,2016-04-21,York,Executive Management Team Meeting,,,12,119.38,,131.38,
Chris Hitchen,Director of Finance & Performance,2016-05-04,2016-05-04,Birmingham,Executive Management Team Meeting,,216.65,14,5.09,,235.74,
Chris Hitchen,Director of Finance & Performance,2016-05-05,2016-05-05,Birmingham,Executive Management Team Meeting,,120,14,5.09,,139.09,
Chris Hitchen,Director of Finance & Performance,2016-05-10,2016-05-10,London,Executive Management Team Meeting / Official Meetings,,185,,10,,195,
Chris Hitchen,Director of Finance & Performance,2016-05-10,2016-05-10,London,Oystercard Top-up,,20,,,,20,
Chris Hitchen,Director of Finance & Performance,2016-05-16,2016-05-18,Belfast,FSA Board Meeting,94.91,,31.91,262.47,,389.29,
Chris Hitchen,Director of Finance & Performance,2016-05-19,2016-05-19,York,Official Meetings,,24.3,,,,24.3,
Chris Hitchen,Director of Finance & Performance,2016-05-25,2016-05-26,Birmingham,Executive Management Team Meeting,,96.6,36,110,,242.6,
Chris Hitchen,Director of Finance & Performance,2016-06-06,2016-06-07,Manchester,FSA Management Conference,,25.6,18,165.3,,208.9,
Chris Hitchen,Director of Finance & Performance,2016-06-08,2016-06-08,London,Official Meetings,,224,18,10,,252,
Chris Hitchen,Director of Finance & Performance,2016-06-09,2016-06-09,London,Official Meetings,,185.9,,10.13,,196.03,
Chris Hitchen,Director of Finance & Performance,2016-06-13,2016-06-13,London,Official Meetings,,224,18,9.94,,251.94,
Chris Hitchen,Director of Finance & Performance,2016-06-20,2016-06-20,London,Official Meetings,,164.15,18,10,,192.15,
Chris Hitchen,Director of Finance & Performance,2016-06-22,2016-06-22,Belfast,Meeting Cancelled,134.14,,,,,134.14,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-04-01,2016-04-01,Belfast,Stakeholder Event,,,27.9,,,27.9,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-04-05,2016-04-06,Manchester,Executive Management Team Meeting,83.67,9.9,2.7,128,,224.27,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-04-06,2016-04-07,Manchester,Senior Leadership Team Meeting,,,,164,,164,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-04-12,2016-04-12,London,Official Meetings,0,,74.6,3.25,,77.85,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-04-14,2016-04-14,Holywood,Stakeholder Event,,,28.8,,,28.8,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-04-20,2016-04-21,York,Executive Management Team Meeting,0,,74.6,100,,174.6,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-05-04,2016-05-05,Birmingham,Executive Management Team Meeting,97.06,12,49.65,85,,243.71,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-05-12,2016-05-12,Lisburn,Stakeholder Event,,,9.9,,,9.9,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-05-20,2016-05-20,London,Official Meetings,161.98,,31.65,13,,206.63,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-05-25,2016-05-26,Birminhgam,Executive Management Team Meeting,92.06,6,2.7,85,,185.76,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-06-02,2016-06-02,Hillsborough,Stakeholder Event,,,18,,,18,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-06-02,2016-06-02,Stormont,Official Meeting,,,3.15,,,3.15,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-06-06,2016-06-07,Manchester,FSA Management Conference,76.15,9.9,45.7,292.18,,423.93,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-06-09,2016-06-09,London,Official Meetings,248.64,36,35.7,5,,325.34,
Maria Jennings,Director of FSA Northern Ireland & Organisational Development,2016-06-20,2016-06-20,London,Official Meetings,265.64,36,35.7,11.7,,349.04,
Julie Pierce,"Director of Openness, Data and Digital ",2016-04-05,2016-04-07,Manchester,Senior Leadership Team and Executive Management Team Meeting, ,146,24.4,296.5,,466.9,
Julie Pierce,"Director of Openness, Data and Digital ",2016-04-20,2016-04-21,York,Executive Management Team Meeting ,,114.65,17,108.55,,240.2,
Julie Pierce,"Director of Openness, Data and Digital ",2016-04-25,2016-04-25,Trowbridge ,Official Meetings,,185,9.6,,,194.6,
Julie Pierce,"Director of Openness, Data and Digital ",2016-04-27,2016-04-27,Bristol,Official Meetings,,75.9,12,30,,117.9,
Julie Pierce,"Director of Openness, Data and Digital ",2016-05-04,2016-05-05,Birmingham,Executive Management Team Meeting ,,95.5,6.05,87.4,,188.95,
Julie Pierce,"Director of Openness, Data and Digital ",2016-05-12,2016-05-12,Birmingham,Official visit ,,54,18.84,1.9,,74.74,
Julie Pierce,"Director of Openness, Data and Digital ",2016-05-14,2016-05-14,Bristol,Official Meetings,,,12,,,12,
Julie Pierce,"Director of Openness, Data and Digital ",2016-05-16,2016-05-17,Belfast,FSA Board Meeting ,166.64,,79.35,133,,378.99,
Julie Pierce,"Director of Openness, Data and Digital ",2016-05-19,2016-05-19,London,Official Meetings,,,1.5,,,1.5,
Julie Pierce,"Director of Openness, Data and Digital ",2016-05-20,2016-05-20,London,Official Meetings,,,5.3,,,5.3,
Julie Pierce,"Director of Openness, Data and Digital ",2016-05-24,2016-05-24,London,Official Meetings,,,20.28,,,20.28,
Julie Pierce,"Director of Openness, Data and Digital ",2016-05-25,2016-05-26,Birmingham,Executive Management Team Meeting ,,136.5,8,87.4,,231.9,
Julie Pierce,"Director of Openness, Data and Digital ",2016-06-06,2016-06-07,Manchester,Management Conference ,,151.2,8,3.8,,163,
Julie Pierce,"Director of Openness, Data and Digital ",2016-06-14,2016-06-14,London,Official Meetings,,2.4,,,,2.4,
Julie Pierce,"Director of Openness, Data and Digital ",2016-06-15,2016-06-15,London,Attendance at Conference,,,21,125,,146,
Julie Pierce,"Director of Openness, Data and Digital ",2016-06-16,2016-06-16,London,Official Meetings,,2.4,,,,2.4,
Julie Pierce,"Director of Openness, Data and Digital ",2016-06-20,2016-06-20,London,Stakeholder visit ,,,13,,,13,
Julie Pierce,"Director of Openness, Data and Digital ",2016-06-21,2016-06-21,York,Official Meetings,,99.15,9.6,,,108.75,
Julie Pierce,"Director of Openness, Data and Digital ",2016-06-28,2016-06-28,London,Attendance at Conference,,,15.45,,,15.45,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-04-05,2016-04-06,Manchester,Executive Management Team Meeting ,,63,,128,,191,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-04-06,2016-04-07,Manchester,Senior Leadership Team Meeting,,,,164,,164,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-04-11,2016-04-12,London,Stakeholder Meetings,,95.3,,117.7,,213,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-04-14,2016-04-15,London,Stakeholder Meetings,,72.45,,169.77,,242.22,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-04-27,2016-04-27,Bristol,Stakeholder Meetings,,29.3,,,,29.3,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-05-04,2016-05-05,Birmingham,Executive Management Team Meeting ,,,74.1,85,,159.1,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-05-16,2016-05-18,Belfast,FSA Board Meeting,83.77,,100.5,147.84,,332.11,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-05-20,2016-05-20,Cardiff,Stakeholder Meeting,,,5.2,,,5.2,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-05-24,2016-05-24,London,Stakeholder Meetings,,155.9,,11.25,,167.15,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-05-25,2016-05-26,Birmingham,Executive Management Team Meeting ,,,74.1,85,,159.1,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-06-01,2016-06-01,Cardiff,Stakeholder Event,,,78.15,,,78.15,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-06-06,2016-06-07,Manchester,FSA Management Conference,,37.6,,165,,202.6,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-06-08,2016-06-08,Cardiff,Stakeholder Meeting,,,98.65,,,98.65,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-06-09,2016-06-09,London,Stakeholder Meetings,,95.3,,,,95.3,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-06-20,2016-06-22,London,Stakeholder Meetings,217,,11,510,,738,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-06-29,2016-06-29,London,Stakeholder Meetings,95.8,,,5.99,,101.79,
Nina Purcell,Director of FSA Wales and Local Delivery,2016-06-30,2016-06-30,Carmarthen,Stakeholder Meeting,,,21.31,3.9,,25.21,
Steve Wearne,Director of Policy,2016-04-05,2016-04-06,Manchester,Executive Management Team Meeting,,36.2,,128,,164.2,
Steve Wearne,Director of Policy,2016-04-06,2016-04-07,Manchester,Senior Leadership Team Meeting,,36.2,15,164,,215.2,
Steve Wearne,Director of Policy,2016-04-12,2016-04-14,London,Official Meetings,,229.8,15,228.63,43.15,516.58,43.15 - Evening meal with 2 FSA Officials
Steve Wearne,Director of Policy,2016-04-19,2016-04-19,London,Official Meetings,,57.9,,114.06,,171.96,
Steve Wearne,Director of Policy,2016-04-20,2016-04-21,York,Executive Management Team Meeting,,159,15,101.4,,275.4,
Steve Wearne,Director of Policy,2016-04-26,2016-04-28,London,Official meetings,,98.2,15,243.76,,356.96,
Steve Wearne,Director of Policy,2016-04-29,2016-04-29,Hereford,Stakeholder visit,,,63,,,63,
Steve Wearne,Director of Policy,2016-05-03,2016-05-03,London,Official meetings,,112.4,,119.37,,231.77,
Steve Wearne,Director of Policy,2016-05-04,2016-05-05,Birmingham,Executive Management Team Meeting,,114.8,15,96.49,,226.29,
Steve Wearne,Director of Policy,2016-05-06,2016-05-06,London,Cancellation fee ,,10,,,,10,
Steve Wearne,Director of Policy,2016-05-16,2016-05-18,Belfast,FSA Board Meeting,83.06,,71.59,251.95,,406.6,
Steve Wearne,Director of Policy,2016-05-23,2016-05-24,London,Official Meetings,,33.7,,237.47,,271.17,
Steve Wearne,Director of Policy,2016-05-25,2016-05-26,Birmingham,Executive Management Team Meeting,,65.3,20,88.99,,174.29,
Steve Wearne,Director of Policy,2016-06-01,2016-06-01,London,Official Meetings,,170.3,,3.79,,174.09,
Steve Wearne,Director of Policy,2016-06-06,2016-06-07,Manchester,FSA Management Conference,,57,,177.75,,234.75,
Steve Wearne,Director of Policy,2016-06-08,2016-06-09,London,Official Meetings,,114.8,20,231.76,,366.56,
Steve Wearne,Director of Policy,2016-06-14,2016-06-16,London,Official meetings,,100.6,15,239.75,,355.35,
Steve Wearne,Director of Policy,2016-06-20,2016-06-20,London,Official meetings,,94.4,,,,94.4,
Steve Wearne,Director of Policy,2016-06-22,2016-06-22,London,Official meetings,,113.9,,92.28,,206.18,
Steve Wearne,Director of Policy,2016-06-23,2016-06-23,London,Executive Management Team Meeting,,52.9,10,3.79,,66.69,
Steve Wearne,Director of Policy,2016-06-27,2016-06-28,London,Stakeholder event / Official Meetings,,172.7,10,110.02,,292.72,
Steve Wearne,Director of Policy,2016-06-30,2016-06-30,London,Official Meetings,,224.8,,,,224.8,
