Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,DELL CORPORATION LTD,7401899379,"4,253.74"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/02/2012,RENT,HOTEL SERVICES,FRONTIS HOMES LTD,SINV/00101127,"30,457.06"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,HEALTHCARE SOFTWARE SYSTEMS LTD,3968,"24,333.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/02/2012,ADVERTISING AND STAFF RECRUITMENT,AGENCY STAFF,MEDACS HEALTHCARE PLC,914020,"40,283.30"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050717618,"15,000.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050717618,"6,900.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050717618,"3,000.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050717618,"1,380.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/02/2012,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,810211,"64,038.73"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/02/2012,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012166430,"64,376.72"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/02/2012,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012170867,"61,076.65"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012173930,"66,937.52"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012179330,"65,558.31"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,ELECTRICITY,UTILITIES,NPOWER LTD,LGUHCWRF,"57,583.77"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,ELECTRICITY,UTILITIES,NPOWER LTD,LGUHCWRF,"11,516.75"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/29,"23,973.26"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/29,"4,794.65"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/29,-164.23
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/29,-388.83
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/02/2012,DRUGS,PHARMACY,ROCHE PRODUCTS LTD,1321448997,"30,733.20"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,DRUGS,PHARMACY,ROCHE PRODUCTS LTD,1321454011,"25,146.60"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,X-RAY EQUIPMENT : PURCHASES,RADIOLOGY,SIEMENS PLC,1020285683,"101,281.03"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/02/2012,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050896534,"144,879.13"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/02/2012,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050896534,"129,897.05"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/02/2012,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050896534,"7,878.90"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/02/2012,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050896534,"7,103.18"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/02/2012,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050896534,"-144,879.13"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050905106,"129,897.05"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,INTEREST EXPENSE ON FINANCE LEASE NON PFI NHSFT,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050905106,"7,878.90"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,OBLIGATIONS UNDER FINANCE LEASES AND HIRE PURCHASE CONTRACTS > ONE YEAR,BALANCE SHEET,SODEXO HEALTHCARE SERVICES LTD,9050905106,"7,103.18"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,GAS,UTILITIES,TOTAL GAS AND POWER LTD,73849385/12,"54,194.39"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,GAS,UTILITIES,TOTAL GAS AND POWER LTD,73849385/12,"12,459.66"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,GAS,UTILITIES,TOTAL GAS AND POWER LTD,73849385/12,"4,137.16"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,GAS,UTILITIES,TOTAL GAS AND POWER LTD,73849385/12,"3,966.76"
