Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,16172541,1166.67,,SO000047790
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,16172541,80071.35,,SO000047790
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,16172541,287.27,,SO000047790
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,16172541,6333.33,,SO000047790
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,16172541,3008.36,,SO000047790
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,16172541,11030.07,,SO000047790
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,16172543,116,,SO000047792
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,16172543,833.33,,SO000047792
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,16172543,26550.77,,SO000047792
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,16172543,2186.83,,SO000047792
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,16172543,4438.35,,SO000047792
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,116,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,1000,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,71995.25,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,1021.47,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,2575,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,1087.19,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,7938.88,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,971.98,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,1639.14,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,16172545,705.7,,SO000047794
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,16172547,1250,,SO000047796
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,16172547,6521.13,,SO000047796
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,16172547,55984.91,,SO000047796
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,16172547,369.71,,SO000047796
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,16172547,4183.08,,SO000047796
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,16172547,6308.47,,SO000047796
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,16172550,2166.67,,SO000047800
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,16172550,87399.13,,SO000047800
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,16172550,2931.67,,SO000047800
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,16172550,494.08,,SO000047800
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,16172550,12223.11,,SO000047800
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,16172552,580,,SO000047802
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,16172552,833.33,,SO000047802
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,16172552,49851.32,,SO000047802
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,16172552,2885.34,,SO000047802
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,16172552,2861.66,,SO000047802
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,16172552,1220.05,,SO000047802
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,16172552,682.77,,SO000047802
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,16172552,5139.28,,SO000047802
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,16172554,1000,,SO000047804
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,16172554,51930.49,,SO000047804
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,16172554,3638.33,,SO000047804
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,16172554,6247.67,,SO000047804
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,16172556,1416.67,,SO000047806
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,16172556,37487.35,,SO000047806
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,16172556,2402.75,,SO000047806
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,16172556,820.83,,SO000047806
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,16172556,1076.83,,SO000047806
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,16172556,3933.64,,SO000047806
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,16178767,1724251,,94192683
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES  OOAR in hrs urgentcare,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,16195036,120,,SO000047798
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,16195036,928,,SO000047798
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,16195036,4000,,SO000047798
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,16195036,9229.99,,SO000047798
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,16195036,90770.76,,SO000047798
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,16195036,5591.25,,SO000047798
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,16195036,781.02,,SO000047798
