Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,D-U-N-S Number,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,04/11/2013,Legal Fees,Finance & Corporate Services,DLA PIPER UK LLP,,Large,,218124826,2100235948,Legal Advice,LS1 4BY,"-2,107.80",
Communities & Local Government,DCLG,04/11/2013,Legal Fees,Finance & Corporate Services,DLA PIPER UK LLP,,Large,,218124826,5106198370,Legal Advice,LS1 4BY,"2,107.80",
Communities & Local Government,DCLG,04/11/2013,Publications,Finance & Corporate Services,JONES YARRELL LEADENHALL LTD,,Large,,211522354,5106198381,Journals supply 2013-14,E3 3JH,330.44,
Communities & Local Government,DCLG,04/11/2013,Removals and Porterage,Finance & Corporate Services,AMARYLLIS LTD,,Medium,,672277696,5106198352,"JR434 Relocate 2 chairs,fit edging-desk",CM2 8TE,866.67,
Communities & Local Government,DCLG,04/11/2013,Security,Finance & Corporate Services,AMARYLLIS LTD,,Medium,,672277696,5106198352,JR434 Keys for pedestals,CM2 8TE,85.27,
Communities & Local Government,DCLG,04/11/2013,Training,Finance & Corporate Services,WHITEHALL & INDUSTRY GROUP,,Small,,385853957,5106198359,Enhancing Personal Impact & Presence,SW1H 9EX,450.00,
Communities & Local Government,DCLG,04/11/2013,Training,Finance & Corporate Services,WHITEHALL & INDUSTRY GROUP,,Small,,385853957,5106198359,Enhancing Personal Impact & Presence,SW1H 9EX,450.00,
Communities & Local Government,DCLG,04/11/2013,Training,Finance & Corporate Services,WHITEHALL & INDUSTRY GROUP,,Small,,385853957,5106198359,Enhancing Personal Impact & Presence,SW1H 9EX,450.00,
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ASTON UNIVERSITY,,Large,,,7600006578,Revenue Grant To Be Paid,B4 7ET,"50,562.79",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ASTON UNIVERSITY,,Large,,,7600006587,Revenue Grant To Be Paid,B4 7ET,"17,871.85",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ASTON UNIVERSITY,,Large,,,7600006592,Revenue Grant To Be Paid,B4 7ET,"43,261.68",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BIRMINGHAM CITY COUNCIL (NOT RATES),,Large,,,7600006581,Revenue Grant To Be Paid,B1 1BB,"10,377.99",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BIRMINGHAM CITY COUNCIL (NOT RATES),,Large,,,7600006582,Revenue Grant To Be Paid,B1 1BB,"12,732.59",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,COVENTRY UNIVERSITY ENTERPRISES LTD,,Medium,,,7600006586,Revenue Grant To Be Paid,CV1 2TT,"59,050.84",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,COVENTRY UNIVERSITY ENTERPRISES LTD,,Medium,,,7600006594,Revenue Grant To Be Paid,CV1 2TT,"26,296.21",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,COVENTRY UNIVERSITY ENTERPRISES LTD,,Medium,,,7600006597,Revenue Grant To Be Paid,CV1 2TT,"32,907.37",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,EAST ANGLIA UNIVERSITY,,,,,7600006598,Revenue Grant Clawback Offset,NR4 7TJ,"-25,393.20",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,EAST ANGLIA UNIVERSITY,,,,,7600006598,Revenue Grant To Be Paid,NR4 7TJ,"123,712.68",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LEICESTER UNIVERSITY,,Large,,,7600006588,Revenue Grant To Be Paid,LE1 7RH,"21,343.42",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LINCONSHIRE COUNTY COUNCIL,,Large,,,7600006589,Revenue Grant To Be Paid,LN1 1YT,"48,541.43",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORFOLK & WAVENEY ENTERPRISE SERV'S,,Medium,,,7600006590,Revenue Grant To Be Paid,NR2 1JH,"14,932.85",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTHAMPTON UNIVERSITY,,Large,,,7600006600,Revenue Grant Clawback Offset,NN2 7AL,"-35,158.37",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NORTHAMPTON UNIVERSITY,,Large,,,7600006600,Revenue Grant To Be Paid,NN2 7AL,"269,958.45",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SOLIHULL METROPOLITAN BC,,Large,,,7600006591,Revenue Grant To Be Paid,B91 3QS,"36,011.84",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF WOLVERHAMPTON,,Large,,,7600006580,Revenue Grant To Be Paid,WV1 1SB,"45,595.83",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY OF WOLVERHAMPTON,,Large,,,7600006583,Revenue Grant To Be Paid,WV1 1SB,"122,510.64",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WALSALL METROPOLITAN BC,,Large,,,7600006599,Revenue Grant To Be Paid,WS1 1TW,"2,257.47",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WEST MIDLANDS COUNCILS,,Large,,,7600006595,Revenue Grant To Be Paid,B1 2RA,"21,085.96",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WOLVERHAMPTON CITY COUNCIL,,Large,,,7600006593,Revenue Grant To Be Paid,WV1 1RL,"17,685.36",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WORCESTERSHIRE COUNTY COUNCIL,,Public Bodies,,,7600006579,Revenue Grant To Be Paid,WR5 2NP,"31,427.29",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WORCESTERSHIRE COUNTY COUNCIL,,Public Bodies,,,7600006585,Revenue Grant To Be Paid,WR5 2NP,"5,310.09",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WORCESTERSHIRE COUNTY COUNCIL,,Public Bodies,,,7600006596,Revenue Grant To Be Paid,WR5 2NP,"8,040.03",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,WORKING LINKS,,,,,7600006584,Revenue Grant To Be Paid,WC2E 9JL,"35,925.76",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,ASTON UNIVERSITY,,Large,,,7600006587,Capital Grant To Be Paid,B4 7ET,"270,113.26",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,EAST ANGLIA UNIVERSITY,,,,,7600006598,Capital Grant Clawback Offset,NR4 7TJ,"-6,908.47",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,EAST ANGLIA UNIVERSITY,,,,,7600006598,Capital Grant To Be Paid,NR4 7TJ,"128,486.83",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,WOLVERHAMPTON CITY COUNCIL,,Large,,,7600006593,Capital Grant To Be Paid,WV1 1RL,"14,910.48",Yes
Communities & Local Government,DCLG,04/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,WORCESTERSHIRE COUNTY COUNCIL,,Public Bodies,,,7600006579,Capital Grant To Be Paid,WR5 2NP,"13,927.58",Yes
Communities & Local Government,DCLG,05/11/2013,Advertising,Finance & Corporate Services,ENTER HERE LLP,,Medium,,672098311,5106198360,Fire Kills Marketing Campaign,EC1R 0JH,"1,920.00",
Communities & Local Government,DCLG,05/11/2013,Advertising,Finance & Corporate Services,ENTER HERE LLP,,Medium,,672098311,5106198363,Fire Kills Marketing Campaign,EC1R 0JH,"1,000.00",
Communities & Local Government,DCLG,05/11/2013,Advertising,Finance & Corporate Services,ENTER HERE LLP,,Medium,,672098311,5106198364,Fire Kills Marketing Campaign,EC1R 0JH,"7,500.00",
Communities & Local Government,DCLG,05/11/2013,Agency Staff,Finance & Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,,Medium,Yes,234388853,5106198393,Interim Manager (Qualified Accountant),,"3,796.08",
Communities & Local Government,DCLG,05/11/2013,Courier Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Eland House Mail 13-14,BS32 4NH,"7,886.12",
Communities & Local Government,DCLG,05/11/2013,Courier Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Rivergate Mail 13-14,BS32 4NH,"1,519.43",
Communities & Local Government,DCLG,05/11/2013,Current (non AEF) Grants to Local Authorities,Finance & Corporate Services,DURHAM & DARLINGTON FIRE RESCUE SER,,Public Bodies,,424872851,2100236017,Provide support to LA make the contractual Payment,DH1 1TW,"149,608.75",Yes
Communities & Local Government,DCLG,05/11/2013,Current (non AEF) Grants to Local Authorities,Finance & Corporate Services,GREATER LONDON AUTHORITY,,Large,,225353416,2100236016,Provide support to LA make the contractual Payment,SE10 1AP,"142,073.90",Yes
Communities & Local Government,DCLG,05/11/2013,Current (non AEF) Grants to Local Authorities,Finance & Corporate Services,GREATER MANCHESTER FIRE & RESCUE,,Public Bodies,,424873172,2100236015,Provide support to LA make the contractual Payment,M27 8US,"158,883.00",Yes
Communities & Local Government,DCLG,05/11/2013,Current Grants to Non Profit Bodies,Localism,BLACK TRAINING & ENTERPRISE GROUP,Yes,Small,,237255174,2100236020,Working with unemployed and socially disadvantaged young people,N1 9LH,"49,166.67",Yes
Communities & Local Government,DCLG,05/11/2013,Current Grants to Non Profit Bodies,Localism,FUTURE FOR YOUTH FOUNDATION,,Micro,,,2100236018,Organisation working to tackle youth enemployment,SE1 0EH,"12,500.00",Yes
Communities & Local Government,DCLG,05/11/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Eland House Cleaning 13-14,BS32 4NH,"27,469.95",
Communities & Local Government,DCLG,05/11/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,TQH Cleaning 13-14,BS32 4NH,"9,032.52",
Communities & Local Government,DCLG,05/11/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Hemel Hemp Cleaning 13-14,BS32 4NH,"2,185.31",
Communities & Local Government,DCLG,05/11/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Rivergate Cleaning 13-14,BS32 4NH,"5,167.99",
Communities & Local Government,DCLG,05/11/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Bridge House Cleaning 13-14,BS32 4NH,"3,029.46",
Communities & Local Government,DCLG,05/11/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Citygate Cleaning 13-14,BS32 4NH,"3,046.41",
Communities & Local Government,DCLG,05/11/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Queen Street Cleaning 13-14,BS32 4NH,"2,566.06",
Communities & Local Government,DCLG,05/11/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,5SPP Cleaning 13-14,BS32 4NH,"6,808.15",
Communities & Local Government,DCLG,05/11/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Paradise Cleaning 13-14,BS32 4NH,"3,114.09",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,AMEY COMMUNITY LTD,,Large,,,5106198408,2013-14 Lateral Variable Maint,OX4 4DQ,541.17,
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Eland House Off Site Management 13-14,BS32 4NH,"11,118.18",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Eland House Reception 13-14,BS32 4NH,"4,902.61",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,TQH Off Site Management 13-14,BS32 4NH,"7,874.37",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,TQH On Site Management 13-14,BS32 4NH,"3,181.32",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,TQH Reception 13-14,BS32 4NH,"1,663.29",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Hemel Hemp Off Site Management 13-14,BS32 4NH,877.78,
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Rivergate Off Site Management 13-14,BS32 4NH,"3,589.89",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Rivergate Reception 13-14,BS32 4NH,"1,653.74",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Bridge House Off Site Management 13-14,BS32 4NH,"1,733.80",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Bridge House On Site Management 13-14,BS32 4NH,"3,611.43",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Citygate Off Site Management 13-14,BS32 4NH,"2,946.06",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Citygate On Site Management 13-14,BS32 4NH,"2,493.40",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Citygate Reception 13-14,BS32 4NH,"1,589.29",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Queen Street Off Site Management 13-14,BS32 4NH,"1,596.05",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,5SPP Off Site Management 13-14,BS32 4NH,"2,911.74",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,5SPP On Site Management 13-14,BS32 4NH,"2,989.01",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,5SPP Reception 13-14,BS32 4NH,"2,813.24",
Communities & Local Government,DCLG,05/11/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Pardise Off Site Management 13-14,BS32 4NH,"1,673.87",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198396,Mast House Pass through costs,BS32 4NH,"6,973.20",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Bridge House Grounds Maintenance 13-14,BS32 4NH,259.21,
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Queen Street Grounds Maintenance 13-14,BS32 4NH,13.16,
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Eland House Maintenance 13-14,BS32 4NH,"39,360.08",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,TQH Maintenance 13-14,BS32 4NH,"6,027.81",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Hemel Hemp Maintenance 13-14,BS32 4NH,"5,359.95",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Rivergate Maintenance 13-14,BS32 4NH,"3,840.85",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Bridge House Maintenance 13-14,BS32 4NH,"4,987.45",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Citygate Maintenance 13-14,BS32 4NH,"3,585.11",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Queen Street Maintenance 13-14,BS32 4NH,"6,538.37",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,5SPP Maintenance 13-14,BS32 4NH,"10,796.00",
Communities & Local Government,DCLG,05/11/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Paradise Maintenance 13-14,BS32 4NH,"7,797.99",
Communities & Local Government,DCLG,05/11/2013,Photocopying,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Eland House Reproduction 13-14,BS32 4NH,348.04,
Communities & Local Government,DCLG,05/11/2013,Photocopying,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,TQH Reproduction 13-14,BS32 4NH,"6,529.09",
Communities & Local Government,DCLG,05/11/2013,Photocopying,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Hemel Hemp Reproduction 13-14,BS32 4NH,124.53,
Communities & Local Government,DCLG,05/11/2013,Photocopying,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,5SPP Reproduction 13-14,BS32 4NH,348.04,
Communities & Local Government,DCLG,05/11/2013,Professional services,Finance & Corporate Services,DAWES & FRASER CONSULTING LTD,,Small,,,5106198372,Contract and Technical support for IPC C,SE20 7BS,"5,688.00",
Communities & Local Government,DCLG,05/11/2013,Publications,Finance & Corporate Services,JONES YARRELL LEADENHALL LTD,,Large,,211522354,5106198379,Newspaper and Journal susbcription,E3 3JH,583.86,
Communities & Local Government,DCLG,05/11/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Eland House Security 13-14,BS32 4NH,"19,761.04",
Communities & Local Government,DCLG,05/11/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,TQH Security 13-14,BS32 4NH,"9,286.58",
Communities & Local Government,DCLG,05/11/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Hemel Hemp Security 13-14,BS32 4NH,"4,209.91",
Communities & Local Government,DCLG,05/11/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Rivergate Security 13-14,BS32 4NH,"6,764.25",
Communities & Local Government,DCLG,05/11/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Bridge House Security 13-14,BS32 4NH,"3,164.70",
Communities & Local Government,DCLG,05/11/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Citygate Security 13-14,BS32 4NH,"2,510.43",
Communities & Local Government,DCLG,05/11/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Queen Street Security 13-14,BS32 4NH,"2,321.36",
Communities & Local Government,DCLG,05/11/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,5SPP Security 13-14,BS32 4NH,"4,747.65",
Communities & Local Government,DCLG,05/11/2013,Security,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,364834825,5106198397,Paradise Security 13-14,BS32 4NH,"2,114.36",
