"BUCKINGHAMSHIRE PRIMARY CARE TRUST - EXPENDITURE WITH A VALUE OVER £25,000",,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transation Number,Amount
Department of Health,Buckinghamshire PCT,13/08/2010,H/Care-Nhs Trusts Ncas,Non Contract Activities,Buckinghamshire Hospitals Nhs Trust,21389,"54,841.13"
Department of Health,Buckinghamshire PCT,13/08/2010,Healthcare-Other Nhs Bodies,Prison Services,Obmh Nhs Foundation Trust,23203,"25,339.00"
Department of Health,Buckinghamshire PCT,20/08/2010,H/Care-Foundn Trusts O/Perf,Nhs Service Level Agreements (Acute),Milton Keynes  Hospital Nhs Foundation Trust,21921,"450,435.00"
Department of Health,Buckinghamshire PCT,20/08/2010,Healthcare - Non-Nhs Bodies,Mental Health,Buckinghamshire County Council - Receipts Acc,146427,"368,008.00"
Department of Health,Buckinghamshire PCT,20/08/2010,Healthcare - Non-Nhs Bodies,"Non-Nhs Service Level Agreements Acute: Istc,Bpas",Care Uk Plc,146705,"186,809.26"
Department of Health,Buckinghamshire PCT,20/08/2010,Healthcare - Non-Nhs Bodies,"Non-Nhs Service Level Agreements Acute: Istc,Bpas",Care Uk Plc,148832,"186,809.26"
Department of Health,Buckinghamshire PCT,20/08/2010,Healthcare - Non-Nhs Bodies,Non Contract Activities,Bmi The Chiltern Hospital,149382,"140,098.19"
Department of Health,Buckinghamshire PCT,20/08/2010,Healthcare - Non-Nhs Bodies,Non Contract Activities,Spire Hospitals Ltd,145593,"100,901.83"
Department of Health,Buckinghamshire PCT,20/08/2010,H/Care-Foundn Trusts O/Perf,Nhs Service Level Agreements (Acute),Milton Keynes  Hospital Nhs Foundation Trust,21738,"94,731.00"
Department of Health,Buckinghamshire PCT,20/08/2010,Healthcare - Non-Nhs Bodies,Specialist Palliative Care,Sue Ryder Care Centre,147241,"63,477.00"
Department of Health,Buckinghamshire PCT,20/08/2010,Dressings,Prescribing Costs,Lloyds Pharmacy,149414,"59,526.03"
Department of Health,Buckinghamshire PCT,20/08/2010,Healthcare - Non-Nhs Bodies,Non Contract Activities,Bmi The Shelburne Hospital,149368,"56,520.96"
Department of Health,Buckinghamshire PCT,20/08/2010,Healthcare - Non-Nhs Bodies,Continuing Care Budgets,Royal Borough Of Windsor & Maidenhead,137571,"33,827.16"
Department of Health,Buckinghamshire PCT,20/08/2010,H/Care-Nhs Trusts Sla,Patient Transport,South Central Ambulance Service  Nhs Trust,23322,"33,221.17"
Department of Health,Buckinghamshire PCT,20/08/2010,H/Care-Nhs Trusts Sla,Patient Transport,South Central Ambulance Service  Nhs Trust,23327,"32,628.75"
Department of Health,Buckinghamshire PCT,27/08/2010,Healthcare - Non-Nhs Bodies,Prison Services,Care Uk Clinical Services Ltd,149179,"184,750.00"
