Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department for Transport,Department for Transport,03/06/2014,Subsidies Private Se,Local,PC COACHES OF LINCOLN LTD,2000005054,14624.92,P C COACHES OF LINCOLN LTD,LN3 4NL
Department for Transport,Department for Transport,03/06/2014,Support Services,"Motoring, Freight & London",Environmental Scientifics Group,2000005026,4761.6,#,OX9 3SZ
Department for Transport,Department for Transport,03/06/2014,Support Services,Motoring Services,HIGHWAYS AGENCY,2000005023,1098000,#,B1 1RN
Department for Transport,Department for Transport,03/06/2014,Support Services,Aviation,MINISTRY OF DEFENCE,2000005045,9358,#,L2 3YL
Department for Transport,Department for Transport,03/06/2014,Support Services,Aviation,MINISTRY OF DEFENCE,2000005045,7586.4,#,L2 3YL
Department for Transport,Department for Transport,03/06/2014,Support Services,Aviation,MINISTRY OF DEFENCE,2000005045,2271.6,#,L2 3YL
Department for Transport,Department for Transport,03/06/2014,Transport  Consult,Major Projects & Growth,JACOBS UK LTD,2000005037,180019.8,#,G2 7HX
Department for Transport,Department for Transport,03/06/2014,Transport  Consult,Rail Franchising,ATKINS LTD (TRANSPORT PLANNING),2000005029,9452.56,#,WR5 1TX
Department for Transport,Department for Transport,03/06/2014,Transport  Consult,Rail Franchising,ATKINS LTD (TRANSPORT PLANNING),2000005029,20331.48,#,WR5 1TX
Department for Transport,Department for Transport,03/06/2014,Transport  Consult,Aviation,FRAZER-NASH CONSULTANCY LTD,2000005049,3695.55,#,RH4 1HJ
Department for Transport,Department for Transport,03/06/2014,Waste disposal/Refus,Group Procurement & Estate,Banner Business Services Ltd,2000005050,614.25,#,NR3 1QU
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Local,BROOK STREET (UK) LIMITED,2000005175,555.89,#,AL1 4JB
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Group Communication,MICHAEL PAGE INTERNATIONAL,2000005190,1379.94,#,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Group Communication,MICHAEL PAGE INTERNATIONAL,2000005190,13728.96,#,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Group Communication,NETWORKERS INTERNATIONAL (UK) PLC,2000005192,1013.52,#,BR1 1HP
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000005190,2880,#,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000005190,2568,#,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Programme Office,Badenoch & Clark c/o Lauren Rogers,2000005167,1404.53,#,B37 7YE
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000005166,3249.48,#,KT3 4JQ
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000005166,3249.48,#,KT3 4JQ
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD  ALSO T/A,2000005193,762.48,#,B37 7YE
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Major Projects & Growth,MICHAEL PAGE INTERNATIONAL,2000005190,6380.64,#,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Major Projects & Growth,MICHAEL PAGE INTERNATIONAL,2000005190,3544.8,PO 8000127032,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Major Projects & Growth,MICHAEL PAGE INTERNATIONAL,2000005190,-3544.8,PO 8000127032,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Major Projects & Growth,MICHAEL PAGE INTERNATIONAL,2000005190,-6380.64,PO 8000127032,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Major Projects & Growth,MICHAEL PAGE INTERNATIONAL,2000005190,-18300.4,#,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Major Projects & Growth,MICHAEL PAGE INTERNATIONAL,2000005190,16992,#,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Major Projects & Growth,NETWORKERS INTERNATIONAL (UK) PLC,2000005192,3519.65,#,BR1 1HP
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Major Projects & Growth,SPRING TECHNOLOGY LTD  ALSO T/A,2000005193,1056,#,B37 7YE
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Rail Commercial & Programme Office,NETWORKERS INTERNATIONAL (UK) PLC,2000005192,4126.26,#,BR1 1HP
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Rail Strategy & Funding,NETWORKERS INTERNATIONAL (UK) PLC,2000005192,959.46,#,BR1 1HP
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000005192,861,#,BR1 1HP
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Rail Franchising,Badenoch & Clark c/o Lauren Rogers,2000005167,4942.38,#,B37 7YE
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Rail Franchising,Badenoch & Clark c/o Lauren Rogers,2000005167,4942.38,#,B37 7YE
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000005175,860.58,#,AL1 4JB
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000005175,860.58,#,AL1 4JB
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000005175,879.01,#,AL1 4JB
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000005175,872.87,#,AL1 4JB
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000005175,688.46,#,AL1 4JB
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000005190,-11437.8,#,SL1 3SA
Department for Transport,Department for Transport,04/06/2014,Agency Staff Costs,Rail Strategy & Funding,NETWORKERS INTERNATIONAL (UK) PLC,2000005192,959.46,#,BR1 1HP
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,Barnesly MBC,2000005176,1000000,2014/15 DfT Local Pinch Point Fund Grant,S70 9FH
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,BIRMINGHAM CITY COUNCIL,2000005177,450000,2014/15 DfT Local Pinch Point Fund Grant,B1 1BB
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,BLACKBURN WITH DARWEN BC,2000005156,667000,2014/15 DfT Local Pinch Point Fund Grant,BB1 7DY
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,BLACKPOOL COUNCIL,2000005197,2128000,2014/15 DfT Local Pinch Point Fund Grant,FY3 7HW
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,BUCKINGHAMSHIRE CC (REVENUE),2000005127,900000,2014/15 DfT Local Pinch Point Fund Grant,HP20 1UD
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,CORNWALL COUNTY COUNCIL,2000005162,1906000,2014/15 DfT Local Pinch Point Fund Grant,TR1 38D
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,COVENTRY CITY COUNCIL,2000005178,601000,2014/15 DfT Local Pinch Point Fund Grant,CV1 2QL
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,DARLINGTON BC,2000005129,257000,2014/15 DfT Local Pinch Point Fund Grant,TS19 1JA
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000005180,951000,2014/15 DfT Local Pinch Point Fund Grant,HU17 9BA
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,GATESHEAD MBC,2000005157,1675000,2014/15 DfT Local Pinch Point Fund Grant,NE8 1HH
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,GLOUCESTERSHIRE COUNTY COUNCIL,2000005126,992000,2014/15 DfT Local Pinch Point Fund Grant,GL1 2TJ
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,HAMPSHIRE COUNTY COUNCIL,2000005132,4054000,2014/15 DfT Local Pinch Point Fund Grant,SO23 8UB
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,KINGSTON UPON HULL CITY COUNCIL,2000005181,1244000,2014/15 DfT Local Pinch Point Fund Grant,HU1 2AB
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,KNOWSLEY MBC,2000005133,1108000,2014/15 DfT Local Pinch Point Fund Grant,L32 1TX
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,LEEDS CITY COUNCIL,2000005182,2232000,2014/15 DfT Local Pinch Point Fund Grant,LS2 8JR
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,Leicester City Council,2000005135,1100000,2014/15 DfT Local Pinch Point Fund Grant,LE1 6ZG
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,LONDON BOROUGH OF CROYDON,2000005196,1800000,2014/15 DfT Local Pinch Point Fund Grant,CR9 1JT
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,MANCHESTER CITY COUNCIL,2000005164,1692000,2014/15 DfT Local Pinch Point Fund Grant,M60 2JX
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,MILTON KEYNES BC,2000005137,3856000,2014/15 DfT Local Pinch Point Fund Grant,MK9 3EE
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,NORTH EAST LINCOLN DC,2000005183,504000,2014/15 DfT Local Pinch Point Fund Grant,DN35 8LN
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,North Somerset Council,2000005138,1856000,2014/15 DfT Local Pinch Point Fund Grant,BS23 1UJ
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,NORTH TYNESIDE COUNCIL,2000005139,1111000,2014/15 DfT Local Pinch Point Fund Grant,NE27 0BY
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,OXFORDSHIRE CC,2000005140,4658000,2014/15 DfT Local Pinch Point Fund Grant,OX1 1TH
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,PETERBOROUGH CITY COUNCIL,2000005141,1115000,2014/15 DfT Local Pinch Point Fund Grant,PE1 1FF
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,PLYMOUTH CITY COUNCIL,2000005142,857000,2014/15 DfT Local Pinch Point Fund Grant,PL1 2AA
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,ROTHERHAM MBC,2000005184,3109000,2014/15 DfT Local Pinch Point Fund Grant,S60 1SN
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,SALFORD CITY COUNCIL,2000005143,1292000,2014/15 DfT Local Pinch Point Fund Grant,M27 5AW
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,SOUTH GLOUCESTERSHIRE COUNCIL,2000005146,743000,2014/15 DfT Local Pinch Point Fund Grant,BS15 9DW
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,STAFFORDSHIRE COUNTY COUNCIL,2000005185,701000,2014/15 DfT Local Pinch Point Fund Grant,ST16 2NF
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,Stockport MBC,2000005148,1042000,2014/15 DfT Local Pinch Point Fund Grant,SK1 3XE
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,STOCKTON ON TEES BC,2000005149,871000,2014/15 DfT Local Pinch Point Fund Grant,TS23 2YS
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,SUFFOLK COUNTY COUNCIL,2000005165,4635000,2014/15 DfT Local Pinch Point Fund Grant,IP1 2DH
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,SURREY COUNTY COUNCIL,2000005150,1031000,2014/15 DfT Local Pinch Point Fund Grant,KT1 2DN
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,TAMESIDE MBC,2000005151,1235000,2014/15 DfT Local Pinch Point Fund Grant,OL6 6DL
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,TORBAY BC,2000005152,550000,2014/15 DfT Local Pinch Point Fund Grant,TQ1 3DS
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,WAKEFIELD MDC,2000005188,2535000,2014/15 DfT Local Pinch Point Fund Grant,WF10 4JH
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,Warwickshire County Council,2000005160,954000,2014/15 DfT Local Pinch Point Fund Grant,CV34 4RH
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,WIGAN MBC,2000005153,425000,2014/15 DfT Local Pinch Point Fund Grant,WN1 3DS
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,WILTSHIRE COUNTY COUNCIL,2000005154,1905000,2014/15 DfT Local Pinch Point Fund Grant,BA14 8JJ
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,WOKINGHAM DC,2000005155,1757000,2014/15 DfT Local Pinch Point Fund Grant,RG40 1JW
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,WOLVERHAMPTON CITY COUNCIL,2000005189,859000,2014/15 DfT Local Pinch Point Fund Grant,WRV 1RL
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,BIRMINGHAM CITY COUNCIL,2000005177,3774538,Q4 LA Major Transport Grant Payment 13/14,B1 1BB
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,BLACKBURN WITH DARWEN BC,2000005156,3206069.24,Q4 LA Major Transport Grant Payment 13/14,BB1 7DY
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,CITY OF YORK COUNCIL,2000005128,4571420.3,Q4 LA Major Transport Grant Payment 13/14,Y01 7WH
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,Cornwall Council,2000005195,2301939.44,Q4 LA Major Transport Grant Payment 13/14,TR1 3AY
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,DEVON COUNTY COUNCIL,2000005130,12659322,Q4 LA Major Transport Grant Payment 13/14,EX2 4QJ
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,DONCASTER MBC,2000005179,676605,Q4 LA Major Transport Grant Payment 13/14,DN1 1ER
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000005180,3471279,Q4 LA Major Transport Grant Payment 13/14,HU17 9BA
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,EAST SUSSEX COUNTY COUNCIL,2000005163,7714132.78,Q4 LA Major Transport Grant Payment 13/14,BN7 1UE
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,HALTON BC,2000005131,52893000,Q4 LA Major Transport Grant Payment 13/14,WA8 6NB
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,LANCASHIRE COUNTY COUNCIL,2000005134,9270589.9,Q4 LA Major Transport Grant Payment 13/14,PR1 0LD
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,LEEDS CITY COUNCIL,2000005182,2630321,Q4 LA Major Transport Grant Payment 13/14,LS2 8JR
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,LEICESTERSHIRE COUNTY COUNCIL,2000005158,2226843.34,Q4 LA Major Transport Grant Payment 13/14,LE3 8RB
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,LUTON BOROUGH COUNCIL,2000005136,3953185,Q4 LA Major Transport Grant Payment 13/14,LU1 2BQ
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,NOTTINGHAM CITY COUNCIL,2000005191,2077278.75,Q4 LA Major Transport Grant Payment 13/14,NG1 5NT
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,OXFORDSHIRE CC,2000005140,1000000,Q4 LA Major Transport Grant Payment 13/14,OX1 1TH
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,PORTSMOUTH CITY COUNCIL,2000005159,2433874.35,Q4 LA Major Transport Grant Payment 13/14,PO1 2BG
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,SANDWELL MBC,2000005186,1099072.46,Q4 LA Major Transport Grant Payment 13/14,B69 3BS
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,SEFTON MBC,2000005144,1308140,Q4 LA Major Transport Grant Payment 13/14,PR8 1DA
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,SOMERSET COUNTY COUNCIL,2000005145,2266358.08,Q4 LA Major Transport Grant Payment 13/14,TA1 4DY
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,SOUTH YORKS PTE,2000005187,4424000,Q4 LA Major Transport Grant Payment 13/14,S2 5YT
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,ST HELENS MBC,2000005147,6035,Q4 LA Major Transport Grant Payment 13/14,WA10 1UQ
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,SUFFOLK COUNTY COUNCIL,2000005165,342229,Q4 LA Major Transport Grant Payment 13/14,IP1 2DH
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,West Yorkshire Combined Authority,2000005201,639704,Q4 LA Major Transport Grant Payment 13/14,LS1 2DE
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,WOLVERHAMPTON CITY COUNCIL,2000005189,3794780.46,Q4 LA Major Transport Grant Payment 13/14,WRV 1RL
Department for Transport,Department for Transport,04/06/2014,Cap Grt Loc Auth,Local,WORCESTERSHIRE COUNTY COUNCIL,2000005161,1890167,Q4 LA Major Transport Grant Payment 13/14,WR5 2NP
Department for Transport,Department for Transport,04/06/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Arnold Electrical,2000005205,17994.1,Arnold electrical March 2014 #17994.10,NG6 0GD
Department for Transport,Department for Transport,04/06/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000005202,376969.04,#,CF10 5BT
Department for Transport,Department for Transport,04/06/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000005202,1385250,#,CF10 5BT
Department for Transport,Department for Transport,04/06/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Konnected Ltd,2000005203,4998.36,Konnected March 2014 #4998.36,BA22 8NX
Department for Transport,Department for Transport,04/06/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Matrix Energy Systems,2000005204,17994.09,Matrix March and April 2014 #17994.09,S13 8DL
Department for Transport,Department for Transport,04/06/2014,Computer equipment,Air Accident Investigation Branch,DELL CORPORATION LTD,2000005169,1176.88,#,RG12 1LF
Department for Transport,Department for Transport,04/06/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,EUROTUNNEL,2000005118,4983548.51,EUROTUNNEL - MAY 2014,CT18 8XY
Department for Transport,Department for Transport,04/06/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,EUROTUNNEL (EURO PAYMENTS),2000005117,5203501.88,#,CT18 8X
Department for Transport,Department for Transport,04/06/2014,Financial Consultanc,Rail Franchising,PRICEWATERHOUSECOOPERS LLP,2000005173,17980.8,#,E14 9SQ
Department for Transport,Department for Transport,04/06/2014,Grt Aid to NDPBs,"Policy, Legislation and Funding",High Speed Two (HS2) Ltd,2000005194,10000000,HS2 June 2014 1st Tranche,SW1E 5DU
Department for Transport,Department for Transport,04/06/2014,IT Ser Running Costs,Analysis & Strategy,NETFUNDI LTD,2000005172,810,#,LA1 1SQ
Department for Transport,Department for Transport,04/06/2014,Machinery Rental,Marine Accident Investigation Branch,CANON (UK) LTD,2000005168,893.2,#,RH2 8BF
Department for Transport,Department for Transport,04/06/2014,Recruitment,"Motoring, Freight & London",OFFICE FOR NATIONAL STATISTICS,2000005121,3855,#,NP10 8XG
Department for Transport,Department for Transport,04/06/2014,Support Services,Local,PLANNING INSPECTORATE,2000005122,3790.57,#,BS1 6PN
Department for Transport,Department for Transport,04/06/2014,Support Services,Local,PLANNING INSPECTORATE,2000005122,19032.71,#,BS1 6PN
Department for Transport,Department for Transport,04/06/2014,Support Services,Local,PLANNING INSPECTORATE,2000005122,3784.41,#,BS1 6PN
Department for Transport,Department for Transport,04/06/2014,Training,Group Human Resource,OXFORD SAID BUSINESS SCHOOL LTD,2000005198,50000,#,OX1 5NY
Department for Transport,Department for Transport,04/06/2014,Transport  Consult,Transport Direct&Travel,AECOM Limited,2000005171,2707.2,#,AL1 3ER
Department for Transport,Department for Transport,04/06/2014,Transport  Consult,Rail Strategy & Funding,TRANSPORT RESEARCH LABORATORY,2000005174,1864.93,#,RG40 3GA
Department for Transport,Department for Transport,05/06/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000005257,4140,#,SL1 3SA
Department for Transport,Department for Transport,05/06/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000005231,2599.58,#,KT3 4JQ
Department for Transport,Department for Transport,05/06/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000005231,2599.58,#,KT3 4JQ
Department for Transport,Department for Transport,05/06/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000005231,3249.48,#,KT3 4JQ
Department for Transport,Department for Transport,05/06/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000005231,3249.48,#,KT3 4JQ
Department for Transport,Department for Transport,05/06/2014,Agency Staff Costs,Group Human Resource,REED SPECIALIST RECRUITMENT LTD,2000005244,894,#,SW20 0BA
