Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,272106,"-58,819.53"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,12/10/2012,RATES,ESTATES,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,REF:31000215 RATES BILL 2012/13,"222,130.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,GAS,UTILITIES,CORONA ENERGY LTD,7596628,"-2,222.86"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,GAS,UTILITIES,CORONA ENERGY LTD,7596628,"-6,777.64"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,GAS,UTILITIES,CORONA ENERGY LTD,7596628,"-31,665.33"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,05/10/2012,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,15128/09,"22,570.83"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,15284/10,"22,570.83"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,ELECTRICITY,UTILITIES,EDF ENERGY,6,"48,354.45"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,ELECTRICITY,UTILITIES,EDF ENERGY,6,"9,670.89"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,ELECTRICITY,UTILITIES,EDF ENERGY,6,35.39
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,19/10/2012,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/3143735,"27,885.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/3187948,"29,315.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,12/10/2012,ADVERTISING AND STAFF RECRUITMENT,AGENCY STAFF,MEDACS HEALTHCARE PLC,972878,"33,724.16"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,12/10/2012,ADVERTISING AND STAFF RECRUITMENT,AGENCY STAFF,MEDACS HEALTHCARE PLC,977222,"25,169.46"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,19/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808248,"29,500.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,19/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808248,"14,750.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,19/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808248,"8,500.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,19/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808248,"5,900.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,19/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808248,"2,950.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,19/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808248,"1,700.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,19/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808248,"-5,900.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,19/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808248,"-29,500.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808249,"29,500.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808249,"21,500.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808249,"14,500.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808249,"12,250.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808249,"5,900.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808249,"4,300.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808249,"2,900.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050808249,"2,450.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,12/10/2012,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,816627,"56,112.39"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,12/10/2012,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1013092567,"78,281.23"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1013100662,"84,511.76"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1013103650,"65,181.37"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/57,"22,104.13"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/57,"4,420.83"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/57,"1,701.57"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/57,344.59
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/57,196.82
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/57,39.36
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/57,21.38
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/57,-214.25
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/10/2012,PATIENTS APPLIANCES : PURCHASE,MOBILITY SERVICES,PEACOCKS MEDICAL GROUP LTD,A03266/57,-568.80
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,05/10/2012,DRUGS,PHARMACY,ROCHE PRODUCTS LTD,1321516995,"31,433.40"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,05/10/2012,X-RAY EQUIPMENT : PURCHASES,RADIOLOGY,SIEMENS PLC,1020437728,"108,507.51"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9900003797,"143,687.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9900003797,"128,704.92"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,OBLIGATIONS UNDER FINANCE LEASES AND HIRE PURCHASE CONTRACTS > ONE YEAR,BALANCE SHEET,SODEXO HEALTHCARE SERVICES LTD,9900003797,"7,886.86"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,INTEREST EXPENSE ON FINANCE LEASE NON PFI NHSFT,CATERING,SODEXO HEALTHCARE SERVICES LTD,9900003797,"7,095.22"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9900003797,"-143,687.00"
,,,,,,,
Report created October 10 - RX7 RWW,,,,,,,
