APRIL 2012,SPEND > œ25000,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,
Department of Health,T&W PCT,13/04/2012,Community Health Services,Bl Cont Gen - Primary Care,Shropshire Community Health NHS Trust,50001713,"1,831,043.00",,,
Department of Health,T&W PCT,13/04/2012,Mental Illness,Bl Cont Gen - Ment Illness,South Staffordshire And Shropshire Healthcare NHS Foundation Trust,APR12,"1,247,136.00",,,
Department of Health,T&W PCT,13/04/2012,Mental Illness,Spec Pl'mt Elec - Ment Illness,South Staffordshire And Shropshire Healthcare NHS Foundation Trust,I0045666,"29,760.00",,,
Department of Health,T&W PCT,13/04/2012,General And Acute,Bl Cont Gen - Gen  and  Acute,The Royal Wolverhampton Hospitals NHS Trust,APR12,"131,450.00",,,
Department of Health,T&W PCT,13/04/2012,General And Acute,Bl Cont Gen - Gen  and  Acute,University Hospital Birmingham NHS Foundation Trust,APR12,"125,580.00",,,
Department of Health,T&W PCT,13/04/2012,General And Acute,Bl Cont Gen - Gen  and  Acute,University Hospital Of North Staffs NHS Trust,APR12,"157,719.00",,,
Department of Health,T&W PCT,13/04/2012,General And Acute,Bl Cont Reg Spec - Gen  and  Acute,West Midlands Ambulance Service NHS Trust,APR12,"413,436.00",,,
Department of Health,T&W PCT,19/04/2012,Out of Hours Medical Provision,Discretionary OOH Developments,Shropshire Doctors Co-Op Ltd,1395,"142,719.83",,,
Department of Health,T&W PCT,19/04/2012,Community Health Services,Family Nurse + Vulnerable Women,Telford & Wrekin Council,4039049,"52,500.00",,,
Department of Health,T&W PCT,19/04/2012,Rates,Halesfield HQ estates maintenance,Telford & Wrekin Council,80286880-12/13,"60,456.00",,,
Department of Health,T&W PCT,20/04/2012,Ophthalmic,Optician Payments,Visionplus Telford,,"39,573.67",,,
Department of Health,T&W PCT,20/04/2012,Ophthalmic,Optician Payments,Visionplus Wellington,,"27,629.28",,,
Department of Health,T&W PCT,25/04/2012,Personal Medical Practice,GP Practice Payments,Lawley Medical Practice,,"44,224.31",,,
Department of Health,T&W PCT,25/04/2012,Community Health Services,Bl Cont Gen - Primary Care,Wye Valley NHS Trust,0000313016,"27,566.67",,,
Department of Health,T&W PCT,26/04/2012,External Consultancy Fees,Corporate Management  Commissioning,Finnamore Management Consultants,FMC206328,"62,984.04",,,
Department of Health,T&W PCT,26/04/2012,External Consultancy Fees,Corporate Management  Commissioning,Finnamore Management Consultants,FMC206329,"41,257.92",,,
Department of Health,T&W PCT,26/04/2012,External Consultancy Fees,Corporate Management  Commissioning,Finnamore Management Consultants,FMC206373,"45,509.36",,,
Department of Health,T&W PCT,26/04/2012,APMS Essential Services,APMS PRH Malling,Malling Health LLP,APR12 PRH PRACTICE,"62,830.45",,,
Department of Health,T&W PCT,26/04/2012,APMS Essential Services,APMS Town Centre Malling,Malling Health LLP,APR12 TCHC.,"68,949.68",,,
Department of Health,T&W PCT,26/04/2012,Residential Long Stay Expenditure,CHC MAR12,Telford & Wrekin Council,CHC MAR12,"287,053.95",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Charlton Group Medical Practice,,"63,404.85",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Church Close Surgery,,"33,847.40",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Dawley Medical Practice,,"59,611.47",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Donnington Medical Practice,,"72,155.85",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Ironbridge Medical Practice,,"27,485.56",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Linden Hall Surgery,,"77,463.90",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Oakengates Medical Practice,,"103,914.40",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Shawbirch Medical Practice,,"65,816.36",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Stirchley Medical Practice,,"70,930.43",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Sutton Hill Medical Practice,,"52,734.15",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Trinity Healthcare,,"47,072.33",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Wellington Medical Practice,,"119,625.99",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Wellington Road Surgery,,"82,849.85",,,
Department of Health,T&W PCT,30/04/2012,General Medical Services,GP Practice Payments,Woodside Medical Practice,,"44,148.99",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
