5. Internet and web-based content,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,
Internet and web-based content: key international statistics ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,UK ,FRA ,GER ,ITA ,USA ,CAN ,JPN ,AUS ,ESP ,NED ,SWE ,IRL ,POL ,BRA ,RUS ,IND ,CHN 
USA,2010,12,28,6,54,,,,,,,,,,,,
,2011,10,26,7,57,,,,,,,,,,,,
CAN,2010,26,31,2,41,,,,,,,,,,,,
,2011,25,32,3,40,,,,,,,,,,,,
JPN,2010,28,30,1,40,,,,,,,,,,,,
,2011,28,30,2,40,,,,,,,,,,,,
AUS,2010,23,26,1,50,,,,,,,,,,,,
,2011,24,23,2,51,,,,,,,,,,,,
ESP,2010,7,39,1,53,,,,,,,,,,,,
,2011,6,40,2,52,,,,,,,,,,,,
NED,2010,22,28,2,48,,,,,,,,,,,,
,2011,22,28,2,47,,,,,,,,,,,,
SWE,2010,30,35,3,32,,,,,,,,,,,,
,2011,30,35,4,32,,,,,,,,,,,,
IRL,2010,24,31,2,43,,,,,,,,,,,,
,2011,26,29,2,43,,,,,,,,,,,,
POL,2010,18,48,2,32,,,,,,,,,,,,
,2011,18,45,3,35,,,,,,,,,,,,
BRA,2010,15,17,1,67,,,,,,,,,,,,
,2011,15,17,1,66,,,,,,,,,,,,
RUS,2010,14,23,2,61,,,,,,,,,,,,
,2011,13,21,2,63,,,,,,,,,,,,
IND,2010,25,26,1,47,,,,,,,,,,,,
,2011,25,26,2,47,,,,,,,,,,,,
CHN,2010,21,22,1,55,,,,,,,,,,,,
,2011,21,22,2,55,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: PricewaterhouseCoopers Global Entertainment and Media Outlook: 2012-2016 www.pwc.com/outlook ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.5,,,,,,,,,,,,,,,,,
Mobile internet advertising expenditure 2007-12 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
GBP millions ,,,,,,,,,,,,,,,,,
Country,2007,2008,2009,2010,2011,,,,,,,,,,,,
UK,17,27,39,83,196,,,,,,,,,,,,
FRA,8,12,22,34,49,,,,,,,,,,,,
GER,17,25,33,45,76,,,,,,,,,,,,
ITA,17,17,17,19,25,,,,,,,,,,,,
USA,76,164,241,400,995,,,,,,,,,,,,
CAN,1,7,11,21,43,,,,,,,,,,,,
JPN,329,655,758,879,1018,,,,,,,,,,,,
AUS,3,4,5,7,9,,,,,,,,,,,,
ESP,2,2,6,8,14,,,,,,,,,,,,
NED,0,1,2,2,2,,,,,,,,,,,,
SWE,2,3,6,10,14,,,,,,,,,,,,
IRL,0,1,1,2,2,,,,,,,,,,,,
POL,1,2,5,6,11,,,,,,,,,,,,
BRA,1,1,3,4,6,,,,,,,,,,,,
RUS,2,3,4,7,13,,,,,,,,,,,,
IND,0,0,0,1,1,,,,,,,,,,,,
CHN,16,36,60,133,285,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: PricewaterhouseCoopers Global Entertainment and Media Outlook: 2012-2016 www.pwc.com/outlook ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.06,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.6,,,,,,,,,,,,,,,,,
Mobile internet advertising expenditure per head 2007-12 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
GBP/head ,,,,,,,,,,,,,,,,,
Country,2007,2008,2009,2010,2011,,,,,,,,,,,,
UK,0.28,0.44,0.63,1.33,3.12,,,,,,,,,,,,
FRA,0.12,0.19,0.34,0.52,0.75,,,,,,,,,,,,
GER,0.21,0.31,0.4,0.55,0.93,,,,,,,,,,,,
ITA,0.28,0.28,0.28,0.31,0.41,,,,,,,,,,,,
USA,0.25,0.54,0.78,1.29,3.18,,,,,,,,,,,,
CAN,0.03,0.21,0.33,0.62,1.26,,,,,,,,,,,,
JPN,2.57,5.13,5.94,6.89,7.99,,,,,,,,,,,,
AUS,0.14,0.19,0.23,0.32,0.41,,,,,,,,,,,,
ESP,0.04,0.04,0.13,0.17,0.3,,,,,,,,,,,,
NED,0,0.06,0.12,0.12,0.12,,,,,,,,,,,,
SWE,0.22,0.33,0.66,1.1,1.54,,,,,,,,,,,,
IRL,0,0.22,0.22,0.43,0.43,,,,,,,,,,,,
POL,0.03,0.05,0.13,0.16,0.29,,,,,,,,,,,,
BRA,0.01,0.01,0.02,0.02,0.03,,,,,,,,,,,,
RUS,0.01,0.02,0.03,0.05,0.09,,,,,,,,,,,,
IND,0,0,0,0,0,,,,,,,,,,,,
CHN,0.01,0.03,0.05,0.1,0.21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: PricewaterhouseCoopers Global Entertainment and Media Outlook: 2012-2016 www.pwc.com/outlook, and US Census Bureau (EoY estimates from mid-year values) ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.07,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.7,,,,,,,,,,,,,,,,,
Fixed broadband connections per 100 households ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Connections per 100 households ,,,,,,,,,,,,,,,,,
Country,2006,2007,2008,2009,2010,2011,,,,,,,,,,,
UK,51,60,66,69,73,77,,,,,,,,,,,
FRA,49,59,66,73,77,81,,,,,,,,,,,
GER,38,50,57,64,67,70,,,,,,,,,,,
ITA,36,42,46,49,53,54,,,,,,,,,,,
USA,52,61,65,68,72,76,,,,,,,,,,,
CAN,65,73,78,81,84,86,,,,,,,,,,,
JPN,52,56,59,62,66,67,,,,,,,,,,,
AUS,47,57,66,65,66,66,,,,,,,,,,,
ESP,44,51,57,60,63,65,,,,,,,,,,,
NED,71,80,84,87,90,93,,,,,,,,,,,
SWE,53,62,66,65,64,63,,,,,,,,,,,
IRL,36,51,60,65,68,71,,,,,,,,,,,
POL,19,29,30,37,40,42,,,,,,,,,,,
BRA,10,13,17,20,23,28,,,,,,,,,,,
RUS,6,10,17,28,37,44,,,,,,,,,,,
IND,1,1,2,4,5,6,,,,,,,,,,,
CHN,14,18,22,27,33,39,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.08,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.8,,,,,,,,,,,,,,,,,
Mobile broadband connections per 100 population ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Connections per 100 population ,,,,,,,,,,,,,,,,,
Country,2006,2007,2008,2009,2010,2011,,,,,,,,,,,
UK,0,0,4,7,8,8,,,,,,,,,,,
FRA,0,1,2,3,4,5,,,,,,,,,,,
GER,0,0,2,4,5,7,,,,,,,,,,,
ITA,0,0,3,7,9,10,,,,,,,,,,,
CAN,1,1,2,2,3,4,,,,,,,,,,,
JPN,7,7,7,7,8,8,,,,,,,,,,,
AUS,0,2,6,13,20,25,,,,,,,,,,,
ESP,1,1,3,4,7,7,,,,,,,,,,,
NED,0,0,1,3,4,6,,,,,,,,,,,
SWE,1,4,10,14,19,21,,,,,,,,,,,
IRL,0,0,7,10,12,13,,,,,,,,,,,
POL,0,2,3,5,7,9,,,,,,,,,,,
BRA,0,0,0,0,0,0,,,,,,,,,,,
RUS,0,0,0,0,0,0,,,,,,,,,,,
IND,0,0,0,0,0,0,,,,,,,,,,,
CHN,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.9,,,,,,,,,,,,,,,,,
Household devices used to access the internet ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internet users(%)  ,,,,,,,,,,,,,,,,,
Device,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,
Any computer,96,96,98,97,95,95,96,94,96,,,,,,,,
Laptop/Netbook,67,59,65,71,58,63,58,60,70,,,,,,,,
Desktop,49,62,58,57,59,48,54,64,65,,,,,,,,
Tablet,13,10,6,15,15,9,14,14,32,,,,,,,,
Any mobile phone,38,30,31,37,33,43,32,46,70,,,,,,,,
Smartphone,36,27,30,33,31,24,29,43,64,,,,,,,,
Feature phone,2,4,2,6,3,21,4,4,12,,,,,,,,
Games console,8,4,3,5,9,5,5,7,2,,,,,,,,
Smart TV,4,3,3,3,3,1,2,3,11,,,,,,,,
Portable media player,3,1,2,3,4,2,3,2,6,,,,,,,,
eBook Reader,3,1,2,2,7,1,2,3,5,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research, September 2012",,,,,,,,,,,,,,,,,
"Base: All adults 18+, who own and use any devices capable of connecting to the internet (UK=1060, FRA=1006, GER=1013, ITA=1006, USA=996, JPN=989, AUS=998, ESP=994, CHN=1007)",,,,,,,,,,,,,,,,,
"Q.7 Which of the following devices do you use to access the internet generally (e.g. visiting web sites, emailing, online gaming, downloading files)? ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.10,,,,,,,,,,,,,,,,,
Handheld devices used to access the internet ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internet users(%)  ,,,,,,,,,,,,,,,,,
Device,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,
Any computer,96,96,98,97,95,95,96,94,96,,,,,,,,
Laptop/Netbook,67,59,65,71,58,63,58,60,70,,,,,,,,
Desktop,49,62,58,57,59,48,54,64,65,,,,,,,,
Tablet,13,10,6,15,15,9,14,14,32,,,,,,,,
Any mobile phone,38,30,31,37,33,43,32,46,70,,,,,,,,
Smartphone,36,27,30,33,31,24,29,43,64,,,,,,,,
Feature phone,2,4,2,6,3,21,4,4,12,,,,,,,,
Games console,8,4,3,5,9,5,5,7,2,,,,,,,,
Smart TV,4,3,3,3,3,1,2,3,11,,,,,,,,
Portable media player,3,1,2,3,4,2,3,2,6,,,,,,,,
eBook Reader,3,1,2,2,7,1,2,3,5,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research, September 2012",,,,,,,,,,,,,,,,,
"Base: All adults 18+, who own and use any devices capable of connecting to the internet (UK=1060, FRA=1006, GER=1013, ITA=1006, USA=996, JPN=989, AUS=998, ESP=994, CHN=1007)",,,,,,,,,,,,,,,,,
"Q.7 Which of the following devices do you use to access the internet generally (e.g. visiting web sites, emailing, online gaming, downloading files)? ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.11,,,,,,,,,,,,,,,,,
Device used most frequently to access the internet ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internet users(%)  ,,,,,,,,,,,,,,,,,
 Country,Laptop,Desktop,Smartphone,Tablet, Mobile phone, Video games console, Portable media player (e.g. MP3 or MP4 player/iPod), Ebook reader (e.g. Kobo or Kindle), Connected or smart TV (a new type of TV that allows you to connect directly to the internet), Other,Don't know,Other*,,,,,
UK,51,37,6,3, *,1, *, -, -,1, *,2,,,,,
FRA,41,51,4,1, *,1, *, -, *,1,1,2,,,,,
GER,47,47,4,1, *, *, *, -, *,1,1,1,,,,,
ITA,50,40,6,2, *, *, *, -, -,1, *,1,,,,,
USA,39,46,9,2, *, *, *, *, *,1, *,1,,,,,
JPN,50,38,6,1,2, -, *, -, -,2, *,4,,,,,
AUS,41,45,7,3,1,1, -, -, -,1,1,3,,,,,
ESP,40,45,9,2, *, *,1,1, -,2,1,4,,,,,
CHN,40,44,10,2,1, -, *, -, *,2, -,3,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research, September 2012",,,,,,,,,,,,,,,,,
"Base: All adults 18+, who own and use any devices capable of connecting to the internet (UK=1060, FRA=1006, GER=1013, ITA=1006, USA=996, JPN=989, AUS=998, ESP=994, CHN=1007)",,,,,,,,,,,,,,,,,
"Note: Not all data labels sum to 100 due to rounding. *Other ? includes mobile phone, games console, portable media player, eBook reader, smart TV and other.",,,,,,,,,,,,,,,,,
 Q.C1 Which of the devices you own do you use most to connect to the internet? ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.12,,,,,,,,,,,,,,,,,
"Proportion of internet traffic using mobile, tablet, and other connected devices ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of internet traffic (%) ,,,,,,,,,,,,,,,,,
Country,Proportion of traffic,,,,,,,,,,,,,,,,
UK,16.4,,,,,,,,,,,,,,,,
FRA,5,,,,,,,,,,,,,,,,
GER,7,,,,,,,,,,,,,,,,
ITA,5.6,,,,,,,,,,,,,,,,
ESP,9.7,,,,,,,,,,,,,,,,
NED,9,,,,,,,,,,,,,,,,
SWE,9.2,,,,,,,,,,,,,,,,
POL,2.2,,,,,,,,,,,,,,,,
RUS,10.4,,,,,,,,,,,,,,,,
IRE,11.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: comScore Device Essentials, June 2012 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.13,,,,,,,,,,,,,,,,,
"Active internet users on laptop and desktop computers, August 2011 to 2012 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column1,USA,JPN,GER,FRA,UK,ITA,ESP,AUS,,,,,,,,,
11-Aug,203.4,63.4,46.6,40.6,39.5,28.2,22.1,15.3,,,,,,,,,
11-Sep,199.4,62.4,46.3,41.2,39.9,29.6,22.7,15,,,,,,,,,
11-Oct,201.7,62.7,47.1,41.5,40,29.9,23.2,14.8,,,,,,,,,
11-Nov,201.7,61.5,45.5,41.3,39.8,29.4,23,14.8,,,,,,,,,
11-Dec,200.3,62.4,47,41.8,40.5,29.7,23.6,14.4,,,,,,,,,
12-Jan,200.4,61.1,46.2,40.8,40.7,30.1,22.7,14.5,,,,,,,,,
12-Feb,197.2,60.2,45.4,41.7,39.8,30.1,22.9,14.2,,,,,,,,,
12-Mar,199.8,60.9,44.9,42.4,40.3,30.2,23.3,14.2,,,,,,,,,
12-Apr,195.2,60.8,45.9,42.8,39.7,31.2,23.5,13.8,,,,,,,,,
12-May,197.6,59.4,46,44.1,40.6,30.9,23.6,14.1,,,,,,,,,
12-Jun,193.5,59,47.4,43.6,41.6,30.5,23.5,13.8,,,,,,,,,
12-Jul,189.1,59.4,46.4,43.8,41.4,30.8,22.7,13.6,,,,,,,,,
12-Aug,199.3,59.9,48.3,44.1,41.3,29.6,21.8,13.8,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2011 and August 2012 (internet applications included, home & work)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Unique online audience on a laptop or desktop computer, by gender: August 2011 and August 2012 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Share of online audience (%) ,,,,,,,,,,,,,,,,,
Nation,Year,Male,Female,,,,,,,,,,,,,,
UK,2011,51,49,,,,,,,,,,,,,,
,2012,50,50,,,,,,,,,,,,,,
FRA,2011,50,50,,,,,,,,,,,,,,
,2012,50,50,,,,,,,,,,,,,,
GER,2011,54,46,,,,,,,,,,,,,,
,2012,54,46,,,,,,,,,,,,,,
ITA,2011,54,46,,,,,,,,,,,,,,
,2012,53,47,,,,,,,,,,,,,,
USA,2011,47,53,,,,,,,,,,,,,,
,2012,47,53,,,,,,,,,,,,,,
JPN,2011,57,43,,,,,,,,,,,,,,
,2012,57,43,,,,,,,,,,,,,,
AUS,2011,52,48,,,,,,,,,,,,,,
,2012,50,50,,,,,,,,,,,,,,
ESP,2011,53,47,,,,,,,,,,,,,,
,2012,52,48,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2011 and August 2012, home and work panel, applications included. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.15,,,,,,,,,,,,,,,,,
"Unique online audience on a laptop or desktop computer, by age: August 2011 and August 2012 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Share of online audience (%) ,,,,,,,,,,,,,,,,,
Nation,Year,17-Feb,18-34,35-64,65+,,,,,,,,,,,,
UK,2011,12,28,53,7,,,,,,,,,,,,
,2012,12,28,53,7,,,,,,,,,,,,
FRA,2011,12,26,55,7,,,,,,,,,,,,
,2012,15,24,54,7,,,,,,,,,,,,
GER,2011,9,27,56,8,,,,,,,,,,,,
,2012,9,26,56,9,,,,,,,,,,,,
ITA,2011,12,30,54,4,,,,,,,,,,,,
,2012,12,29,55,5,,,,,,,,,,,,
USA,2011,16,25,48,11,,,,,,,,,,,,
,2012,16,25,47,11,,,,,,,,,,,,
JPN*,2011,14,27,46,12,,,,,,,,,,,,
,2012,15,22,49,15,,,,,,,,,,,,
AUS,2011,16,25,49,10,,,,,,,,,,,,
,2012,9,32,47,12,,,,,,,,,,,,
ESP,2011,13,35,49,3,,,,,,,,,,,,
,2012,12,33,51,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2011 and August 2012, home and work panel, applications included.",,,,,,,,,,,,,,,,,
"* Japan data differs, ages breaks are 2-19, 20-34, 35-59 and 60+ respectively.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.16,,,,,,,,,,,,,,,,,
"Unique online audience on a laptop or desktop computer, by age and gender: August 2011 and August 2012 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Share of online audience (%) ,,,,,,,,,,,,,,,,,
Nation,Year,17-Feb,18-34,35-64,65+,,,,,,,,,,,,
UK,M,12,26,53,10,,,,,,,,,,,,
,F,13,30,53,4,,,,,,,,,,,,
FRA,M,15,21,54,9,,,,,,,,,,,,
,F,15,28,53,5,,,,,,,,,,,,
GER,M,8,24,56,12,,,,,,,,,,,,
,F,10,27,57,6,,,,,,,,,,,,
ITA,M,11,26,57,7,,,,,,,,,,,,
,F,13,32,53,2,,,,,,,,,,,,
USA,M,17,26,46,11,,,,,,,,,,,,
,F,15,24,49,12,,,,,,,,,,,,
JPN*,M,13,18,50,20,,,,,,,,,,,,
,F,16,27,48,9,,,,,,,,,,,,
AUS,M,9,31,47,12,,,,,,,,,,,,
,F,9,33,47,11,,,,,,,,,,,,
ESP,M,13,31,52,4,,,,,,,,,,,,
,F,12,35,50,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2012, home and work panel, applications included.",,,,,,,,,,,,,,,,,
"* Japan data differs, ages breaks are 2-19, 20-34, 35-59 and 60+ respectively",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.17,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.17,,,,,,,,,,,,,,,,,
Average number of minutes spent online on a laptop or desktop computer per week ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Minutes online per week ,,,,,,,,,,,,,,,,,
Column1,2010,2011,2012,,,,,,,,,,,,,,
UK,307,344,333,,,,,,,,,,,,,,
FRA,279,291,297,,,,,,,,,,,,,,
GER,294,329,302,,,,,,,,,,,,,,
ITA,188,200,208,,,,,,,,,,,,,,
USA,323,357,323,,,,,,,,,,,,,,
JPN,N/A,291,292,,,,,,,,,,,,,,
AUS,311,345,394,,,,,,,,,,,,,,
ESP,237,255,233,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Nielsen, August 2012, home and work panels, applications included.",,,,,,,,,,,,,,,,,
Note: 2010 data unavailable for Japan. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.18,,,,,,,,,,,,,,,,,
Time spent online and offline each week on a laptop or desktop computer ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Minutes on a computer per week ,,,,,,,,,,,,,,,,,
Country, ,Online,Offline,Total,,,,,,,,,,,,,
UK,2010,307,447,753.9677419,,,,,,,,,,,,,
,2011,344,401,745.6129032,,,,,,,,,,,,,
,2012,333,394,727.7741935,,,,,,,,,,,,,
FRA,2010,279,395,674.2580645,,,,,,,,,,,,,
,2011,291,374,665,,,,,,,,,,,,,
,2012,297,390,686.9032258,,,,,,,,,,,,,
GER,2010,294,399,693.6774194,,,,,,,,,,,,,
