"Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Invoice Number"
"Department of Health","Portsmouth Hospitals Trust","24/04/2012","SYS Inventory","Balance Sheet","GILEAD SCIENCES LTD",14753142,38717.14,"4410006504"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","SYS Inventory","Balance Sheet","HEALTHCARE PRODUCT SERVICES LTD",14708611,49351.01,"9770039515"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","SYS Inventory","Balance Sheet","IDIS LTD",14699682,30142.69,"923100/REG00"
"Department of Health","Portsmouth Hospitals Trust","17/04/2012","SYS Inventory","Balance Sheet","MARTINDALE PHARMACEUTICALS",14732865,27302.16,"3652819"
"Department of Health","Portsmouth Hospitals Trust","04/04/2012","SYS Inventory","Balance Sheet","MEDICINES CO UK LTD",14652348,29760,"440000708"
"Department of Health","Portsmouth Hospitals Trust","24/04/2012","SYS Inventory","Balance Sheet","NOVARTIS PHARMACEUTICALS UK LTD",14753124,287447.82,"91039663"
"Department of Health","Portsmouth Hospitals Trust","03/04/2012","Services Received - NHSTs","AUDIOLOGICAL MEDICINE","WESTERN SUSSEX HOSPITALS NHS TRUST",14714222,2,"22270100"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","Services Received - NHSTs","BOWEL CANCER SCREENING PROG","WESTERN SUSSEX HOSPITALS NHS TRUST",14737715,25296,"22262725"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","Services Received - NHSTs","BOWEL CANCER SCREENING PROG","WESTERN SUSSEX HOSPITALS NHS TRUST",14737716,33480,"22264005"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","Services Received - NHSTs","BOWEL CANCER SCREENING PROG","WESTERN SUSSEX HOSPITALS NHS TRUST",14737719,28272,"22266352"
"Department of Health","Portsmouth Hospitals Trust","03/04/2012","Services Received - NHSTs","ENT CENTRAL STATEMENT","WESTERN SUSSEX HOSPITALS NHS TRUST",14714222,834,"22270100"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","Services Received - NHSTs","ENT CENTRAL STATEMENT","WESTERN SUSSEX HOSPITALS NHS TRUST",14744258,374.48,"22270464"
"Department of Health","Portsmouth Hospitals Trust","03/04/2012","Services Received - NHSTs","F2","SOLENT NHS TRUST",14705962,38799.36,"8048088"
"Department of Health","Portsmouth Hospitals Trust","03/04/2012","Services Received - NHSTs","Onc/Haem OPD B Level","WESTERN SUSSEX HOSPITALS NHS TRUST",14714222,85125,"22270100"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","Services Received - NHSTs","Onc/Haem OPD B Level","WESTERN SUSSEX HOSPITALS NHS TRUST",14744258,97448.23,"22270464"
"Department of Health","Portsmouth Hospitals Trust","03/04/2012","Services Received - NHSTs","PHCT/PHT RECHARGES","SOUTHERN HEALTH (MH LD & SC) NHSFT",14666221,208376.35,"43590293"
"Department of Health","Portsmouth Hospitals Trust","03/04/2012","Services Received - NHSTs","PLASTIC SURGERY","WESTERN SUSSEX HOSPITALS NHS TRUST",14714222,35,"22270100"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","Services Received - NHSTs","PLASTIC SURGERY","WESTERN SUSSEX HOSPITALS NHS TRUST",14744258,33.29,"22270464"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","Services Received - PCTs","COMMUNITY HOSPITALS - GWMH","HAMPSHIRE PRIMARY CARE TRUST",14723752,73557.08,"19467447"
"Department of Health","Portsmouth Hospitals Trust","03/04/2012","Services Received - PCTs","COMMUNITY HOSPITALS - SMH","PORTSMOUTH CITY TEACHING PCT",14706171,-58842,"9578130"
"Department of Health","Portsmouth Hospitals Trust","03/04/2012","Services Received - PCTs","COMMUNITY HOSPITALS - SMH","PORTSMOUTH CITY TEACHING PCT",14714147,109219,"9578043"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","Services Received - PCTs","community hospitals - other","HAMPSHIRE PRIMARY CARE TRUST",14723752,6665.67,"19467447"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","Services Received - PCTs","community hospitals - p-field","HAMPSHIRE PRIMARY CARE TRUST",14723752,53183.25,"19467447"
"Department of Health","Portsmouth Hospitals Trust","13/04/2012","VAT Contr out Srv Input","Balance Sheet","BLOCK SOLUTIONS LTD",14505248,0.05,"2521"
