Transparency data above £500 for period ending October 2010,,,,,,,,,
,,,,,,,,,
Dept Family,Entity,Posting Date,Expense Type,Expense Area,Vendor Name,Document ref,Amount,Cost Centre,Cost Element
CLG,VTS,18/10/2010,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100075736,562.10,8028,40002
CLG,VTS,18/10/2010,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100075737,699.08,8028,40002
CLG,VTS,18/10/2010,IT Hardware,IT,MISCO,2100075706,511.11,8029,40529
CLG,VTS,18/10/2010,IT Hardware,IT,MISCO,2100075707,768.86,8029,40529
CLG,VTS,22/10/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100075857,857.70,8028,40002
CLG,VTS,22/10/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100075858,728.32,8028,40002
CLG,VTS,22/10/2010,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100075859,703.80,8028,40002
CLG,VTS,22/10/2010,IT support,IT,VALUATION OFFICE AGENCY,2100075864,"28,790.80",8029,40024
CLG,VTS,22/10/2010,Telecoms,IT,BT GLOBAL,2100075872,664.85,8029,40007
CLG,VTS,26/10/2010,Meeting expenses,VTE,HOLIDAY INN STRATFORD,2100075903,550.00,8039,40500
CLG,VTS,26/10/2010,Post,Central Services,NEOPOST LTD,2100075906,"5,000.00",8015,40093
CLG,VTS,27/10/2010,Meeting expenses,Operational,WINCHESTER HOTEL,2100075970,379.00,8012,40020
CLG,VTS,27/10/2010,Meeting expenses,Operational,BOURNEMOUTH LIBRARY,2100075989,21.61,8012,40020
CLG,VTS,27/10/2010,Tribunal Hearing Venues,Operational,WINCHESTER HOTEL,2100075970,225.00,8012,40224
CLG,VTS,27/10/2010,Tribunal Hearing Venues,Operational,BOURNEMOUTH LIBRARY,2100075989,499.50,8012,40224
,,,,,,,,,
,,,,,,,,,
