Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,07/05/2014,Training,Human Resources,F1 TRAINING COMPUTING SYSTEMS LTD,,Medium,,5106203486,Maintg Microsoft SQL Server 2008 - ,BA1 3AU,"1,850.00",
Communities & Local Government,PINS,08/05/2014,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106203458,Statutory Advertising for NID,W1T 7RQ,"1,782.53",
Communities & Local Government,PINS,08/05/2014,Advertising,Wales Director,TMP (UK) LIMITED,,Large,,5106203558,Statutory Advertising - PINS Wales,W1T 7RQ,"2,485.43",
Communities & Local Government,PINS,08/05/2014,Advertising,Wales Director,TMP (UK) LIMITED,,Large,,5106203559,Statutory Advertising - PINS Wales,W1T 7RQ,"1,935.80",
Communities & Local Government,PINS,08/05/2014,Agency Staff,ICT Head of Service,CAPITA RESOURCING LTD,,Large,,5106203359,Dev contractor (rollout) ,SL6 1DP,"1,780.80",
Communities & Local Government,PINS,08/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203493,5 X AA Agency Staff,SW20 0BA,426.24,
Communities & Local Government,PINS,08/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203495,5 X AA Agency Staff,SW20 0BA,436.73,
Communities & Local Government,PINS,08/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203496,5 X AA Agency Staff,SW20 0BA,387.17,
Communities & Local Government,PINS,08/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203497,5 X AA Agency Staff,SW20 0BA,412.03,
Communities & Local Government,PINS,08/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203498,5 X AA Agency Staff,SW20 0BA,369.41,
Communities & Local Government,PINS,08/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106203529,CN046AE - Cyan Cartridge for 8600,NG11 7EP,402.90,
Communities & Local Government,PINS,08/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106203529,CN047AE - Magenta Cartridge for 8600,NG11 7EP,322.32,
Communities & Local Government,PINS,08/05/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106203560,Stationery Order 23/04/14 ,NR3 1PD,229.31,
Communities & Local Government,PINS,08/05/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106203560,Stationery Order 23/04/14 PAPER ,NR3 1PD,490.91,
Communities & Local Government,PINS,09/05/2014,Agency Staff,"Finance, Commercial & Statistics",BROOK STREET (UK) LTD,,Large,,5106203578,Agency worker for Finance & Commercial,AL1 4JB,345.06,
Communities & Local Government,PINS,09/05/2014,Agency Staff,ICT Head of Service,CAPITA RESOURCING LTD,,Large,,2100020149,Dev contractor (rollout) ,SL6 1DP,"-1,780.80",
Communities & Local Government,PINS,09/05/2014,Agency Staff,ICT Head of Service,CAPITA RESOURCING LTD,,Large,,5106203586,Dev contractor (rollout) ,SL6 1DP,"1,780.80",
Communities & Local Government,PINS,09/05/2014,Courier Services,Wales Director,ROYAL MAIL,,Large,,5106203564,Postal services,S49 1HQ,647.05,
Communities & Local Government,PINS,09/05/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106203565,Postal Services,S49 1HQ,"2,691.47",
Communities & Local Government,PINS,09/05/2014,Steady State Service Provision,Human Resources,CGI IT UK LIMITED,,Large,,5106203566,CGI 2014/15,CF31 9AP,"3,356.28",
Communities & Local Government,PINS,09/05/2014,Vehicle hire,Inspector Costs,ENTERPRISE RENT-A-CAR,,Large,,5106203588,Car hire April 2014 (90220),TW20 8RX,"10,401.60",
Communities & Local Government,PINS,09/05/2014,Vehicle hire,Planning Casework,ENTERPRISE RENT-A-CAR,,Large,,5106203588,Car hire April 2014 (90310),TW20 8RX,136.93,
Communities & Local Government,PINS,09/05/2014,Vehicle hire,Enforcements,ENTERPRISE RENT-A-CAR,,Large,,5106203588,Car hire April 2014 (90340),TW20 8RX,280.60,
Communities & Local Government,PINS,09/05/2014,Vehicle hire,Common Land,ENTERPRISE RENT-A-CAR,,Large,,5106203588,Car hire April 2014 (90345),TW20 8RX,23.09,
Communities & Local Government,PINS,09/05/2014,Vehicle hire,National Infrastructure Casework,ENTERPRISE RENT-A-CAR,,Large,,5106203588,Car hire April 2014 (90410),TW20 8RX,856.99,
Communities & Local Government,PINS,09/05/2014,Vehicle hire,Operations,ENTERPRISE RENT-A-CAR,,Large,,5106203588,Car hire April 2014 (90420),TW20 8RX,139.39,
Communities & Local Government,PINS,09/05/2014,Vehicle hire,Wales Director,ENTERPRISE RENT-A-CAR,,Large,,5106203588,Car hire April 2014 (90700),TW20 8RX,876.01,
Communities & Local Government,PINS,12/05/2014,Agency Staff,Resource Management/Chart,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203494,Chart Agency Staff,SW20 0BA,419.14,
Communities & Local Government,PINS,12/05/2014,Office Machinery (<£5000),ICT Head of Service,NEW RICOH UK,,Large,,5106203609,2 Yr Extension to Ricoh MFD Contract,TW13 7HG,"11,522.89",
Communities & Local Government,PINS,12/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106203611,8600 Cyan Cartridges,NG11 7EP,354.55,
Communities & Local Government,PINS,12/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106203611,8600 Magenta Cartridges,NG11 7EP,386.78,
Communities & Local Government,PINS,12/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106203611,8600 Yellow Cartridges,NG11 7EP,499.60,
Communities & Local Government,PINS,12/05/2014,Online Database Information Retrieval,Strategy & Communications,GORKANA GROUP LTD,,Large,,5106203642,Subscription fees & pages,EC1Y 8QE,495.56,
Communities & Local Government,PINS,13/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106203670,Dev contractor (rollout) ,SL6 1DP,"1,780.80",
Communities & Local Government,PINS,13/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203656,5 X AA Agency Staff,SW20 0BA,528.30,
Communities & Local Government,PINS,13/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203658,5 X AA Agency Staff,SW20 0BA,532.80,
Communities & Local Government,PINS,13/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203659,5 X AA Agency Staff,SW20 0BA,525.70,
Communities & Local Government,PINS,13/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203664,5 X AA Agency Staff,SW20 0BA,525.70,
Communities & Local Government,PINS,13/05/2014,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106203684,PCS/Portal leased line - Jan 2014,HP2 4XN,"7,284.00",
Communities & Local Government,PINS,14/05/2014,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106203667,Statutory Advertising for NID,W1T 7RQ,491.93,
Communities & Local Government,PINS,14/05/2014,Agency Staff,Resource Management/Chart,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203657,Chart Agency Staff,SW20 0BA,525.70,
Communities & Local Government,PINS,14/05/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106203717,Paper Order 30/4/14 ,NR3 1PD,850.03,
Communities & Local Government,PINS,14/05/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106203717,Stationery Order 30/4/14 ,NR3 1PD,514.91,
Communities & Local Government,PINS,15/05/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,2100020287,Website Developer,SL6 1DP,"-1,113.00",
Communities & Local Government,PINS,15/05/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106203723,Services of a Web Developer for 119 days,SL6 1DP,"1,335.60",
Communities & Local Government,PINS,15/05/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106203724,Website Developer,SL6 1DP,"1,113.00",
Communities & Local Government,PINS,15/05/2014,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106203740,"2,000 Envelope 3s x 6 Deliveries",NR3 1PD,94.95,
Communities & Local Government,PINS,15/05/2014,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106203740,"3,000 Envelope 10s x 6 Deliveries",NR3 1PD,262.41,
Communities & Local Government,PINS,15/05/2014,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106203740,500 Envelope 4s x 6 Deliveries,NR3 1PD,42.94,
Communities & Local Government,PINS,15/05/2014,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106203740,"7,000 Envelope 1/2s x 6 Deliveries",NR3 1PD,136.81,
Communities & Local Government,PINS,15/05/2014,Vehicle hire,Inspector Costs,ENTERPRISE RENT-A-CAR,,Large,,5106203732,DAMAGE TO HIER CAR,TW20 8RX,263.30,
Communities & Local Government,PINS,16/05/2014,Agency Staff,"Finance, Commercial & Statistics",BROOK STREET (UK) LTD,,Large,,5106203728,Agency worker for Finance & Commercial,AL1 4JB,567.43,
Communities & Local Government,PINS,16/05/2014,Legal Fees,Wales Director,TREASURY SOLICITORS DEPT,,Public Bodies,,5106203779,"Fees, charges & disbursements",WC2B 4TS,356.88,
Communities & Local Government,PINS,16/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106203747,HP 80 Cyan Plotter Cartridge,NG11 7EP,82.21,
Communities & Local Government,PINS,16/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106203747,HP 8600 Black Cartridges,NG11 7EP,871.20,
Communities & Local Government,PINS,16/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106203747,HP 8600 Yellow Cartridges,NG11 7EP,483.48,
Communities & Local Government,PINS,19/05/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106203819,April air travel,BD1 3AZ,467.85,
Communities & Local Government,PINS,19/05/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106203819,April rail travel,BD1 3AZ,"19,740.19",
Communities & Local Government,PINS,19/05/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106203819,April foreign & UK hotel accomodation,BD1 3AZ,"39,355.43",
Communities & Local Government,PINS,19/05/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106203819,April GPS fee,BD1 3AZ,362.59,
Communities & Local Government,PINS,19/05/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106203819,April hotel fee,BD1 3AZ,500.98,
Communities & Local Government,PINS,19/05/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106203819,April rail ticketing fee,BD1 3AZ,9.50,
Communities & Local Government,PINS,19/05/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106203819,April service charge,BD1 3AZ,0.72,
Communities & Local Government,PINS,20/05/2014,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106203786,Statutory Advertising for NID,W1T 7RQ,342.00,
Communities & Local Government,PINS,20/05/2014,"IT - PC, Network & Hardware",Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106203885,Paper Order 8/5/14 ,NR3 1PD,713.69,
Communities & Local Government,PINS,20/05/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106203885,Stationery Order 8/5/14 ,NR3 1PD,256.93,
Communities & Local Government,PINS,21/05/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106203824,Website Developer,SL6 1DP,"1,113.00",
Communities & Local Government,PINS,21/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203843,5 X AA Agency Staff,SW20 0BA,419.14,
Communities & Local Government,PINS,21/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203845,5 X AA Agency Staff,SW20 0BA,345.16,
Communities & Local Government,PINS,21/05/2014,Agency Staff,Resource Management/Chart,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203846,Chart Agency Staff,SW20 0BA,419.14,
Communities & Local Government,PINS,21/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203849,5 X AA Agency Staff,SW20 0BA,404.93,
Communities & Local Government,PINS,21/05/2014,Courier Services,Estates,CITY LINK,,Large,,5106203912,City Link Service,CV3 4PA,"3,561.90",
Communities & Local Government,PINS,21/05/2014,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106203856,Horizon Tech Specialist Rate 2,GU22 6QX,950.40,
Communities & Local Government,PINS,21/05/2014,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106203882,Horizon Tech Specialist Rate 2,GU22 6QX,"2,534.40",
Communities & Local Government,PINS,21/05/2014,Publications,Library,TAYLOR & FRANCIS GROUP,,Data Not Provided,,5106203901,"Planning Theory & Practice Vol 2014, 1-4",CO3 3LP,319.20,
Communities & Local Government,PINS,21/05/2014,Publications,Library,TAYLOR & FRANCIS GROUP,,Data Not Provided,,5106203901,"Planning, Theory & Practice, Vol 2014, 1",CO3 3LP,266.00,
Communities & Local Government,PINS,22/05/2014,Advertising,Common Land,TMP (UK) LIMITED,,Large,,5106203895,Statutory Advertising - Common Land,W1T 7RQ,309.77,
Communities & Local Government,PINS,22/05/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106203924,Royal Mail Postal Charges w. VAT,S49 1HQ,"2,640.42",
Communities & Local Government,PINS,22/05/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106203924,Royal Mail Postal Charges w/o. VAT,S49 1HQ,8.48,
Communities & Local Government,PINS,22/05/2014,Safety equipment,Admin Support,BURLINGTON'S UNIFORMS LTD,,Small,,5106203917,High Visibility Jackets,EN3 7PX,72.00,
Communities & Local Government,PINS,22/05/2014,Safety equipment,Admin Support,BURLINGTON'S UNIFORMS LTD,,Small,,5106203917,High Visibility Waistcoats,EN3 7PX,9.18,
Communities & Local Government,PINS,22/05/2014,Safety equipment,Admin Support,BURLINGTON'S UNIFORMS LTD,,Small,,5106203917,Ladies  High Visibility Jackets,EN3 7PX,86.51,
Communities & Local Government,PINS,22/05/2014,Safety equipment,Admin Support,BURLINGTON'S UNIFORMS LTD,,Small,,5106203917,Safety Shoes,EN3 7PX,40.46,
Communities & Local Government,PINS,22/05/2014,Safety equipment,Admin Support,BURLINGTON'S UNIFORMS LTD,,Small,,5106203917,Waterproof Trousers,EN3 7PX,30.67,
Communities & Local Government,PINS,22/05/2014,Safety equipment,Admin Support,BURLINGTON'S UNIFORMS LTD,,Small,,5106203917,Wellington Boots,EN3 7PX,146.04,
Communities & Local Government,PINS,22/05/2014,Translations,Wales Director,TROSOL CYFYNGEDIG,,Small,,5106203922,Welsh Translation Services - PINS Wales,CF14 5GH,998.94,
Communities & Local Government,PINS,23/05/2014,Agency Staff,ICT Head of Service,CAPITA RESOURCING LTD,,Large,,5106203725,Dev contractor (rollout) ,SL6 1DP,"2,226.00",
Communities & Local Government,PINS,23/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106203726,SQL DBA contractor ME blanket order,SL6 1DP,"2,452.50",
Communities & Local Government,PINS,23/05/2014,Courier Services,Estates,CITY LINK,,Large,,5106203987,City Link Service Charges,CV3 4PA,"1,648.78",
Communities & Local Government,PINS,23/05/2014,IT - Software Maintenance,ICT Application Support,SOFTWARE BOX LTD,,Large,,5106203806,OpenText licences & support (Hzn; Cosmo),YO61 1ET,"136,411.49",
Communities & Local Government,PINS,23/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106203949,Magenta cartridges for HP 8600,NG11 7EP,805.80,
Communities & Local Government,PINS,23/05/2014,Physical Storage,Admin Support,TNT UK LTD,,Large,,5106203926,STORAGE,DE11 1EG,"8,836.71",
Communities & Local Government,PINS,27/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106203710,Test contractor  blanket order,SL6 1DP,"1,908.00",
Communities & Local Government,PINS,27/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106203880,Test contractor  blanket order,SL6 1DP,"1,526.40",
Communities & Local Government,PINS,27/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106204011,Dev contractor (rollout) ,SL6 1DP,"1,780.80",
Communities & Local Government,PINS,27/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106204012,SQL DBA contractor  blanket order,SL6 1DP,"1,962.00",
Communities & Local Government,PINS,27/05/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106203998,Royal Mail Credit Account Payment,S49 1HQ,"7,940.63",
Communities & Local Government,PINS,27/05/2014,DEV Exp (AUC) Intngble Software Acq Cost,ICT Head of Service,CACI INFORMATION SOLUTIONS LTD,,Large,,5106204018,NSI Recording & Reporting VAR 046,W14 8TS,"15,872.52",
Communities & Local Government,PINS,27/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106204023,Cyan cartridges for HP 8600,NG11 7EP,805.80,
Communities & Local Government,PINS,27/05/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106204006,Paper Order 16/5/14 ,NR3 1PD,595.87,
Communities & Local Government,PINS,27/05/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106204006,Stationery Order 16/5/14 ,NR3 1PD,677.01,
Communities & Local Government,PINS,28/05/2014,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106204042,Horizon Tech Specialist Rate 2,GU22 6QX,"22,492.80",
Communities & Local Government,PINS,29/05/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106204007,Services of a Web Developer for 119 days,SL6 1DP,"1,780.80",
Communities & Local Government,PINS,29/05/2014,Conferences and Meeting Facilities,Strategy & Communications,CALDER CONFERENCES LIMITED,,Small,,5106204056,Staff briefing April 2014,LS16 6RF,"11,954.63",
Communities & Local Government,PINS,29/05/2014,Courier Services,Estates,CITY LINK,,Large,,5106204081,City Link Service Costs,CV3 4PA,"2,417.87",
Communities & Local Government,PINS,29/05/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106204057,Postal Charges (VAT Free),S49 1HQ,16.57,
Communities & Local Government,PINS,29/05/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106204057,Postal Charges (VAT charged),S49 1HQ,"1,426.00",
Communities & Local Government,PINS,29/05/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106204080,Postage Costs (No VAT Charged),S49 1HQ,1.33,
Communities & Local Government,PINS,29/05/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106204080,Postage Costs (VAT Charged),S49 1HQ,"2,705.27",
Communities & Local Government,PINS,29/05/2014,"IT - PC, Network & Hardware",ICT Business Partner,INSIGHT DIRECT (UK) LTD,,Large,,5106204060,8GB USB 3.0 Datatraveler 100 G3,UB8 1PH,325.20,
Communities & Local Government,PINS,29/05/2014,IT Maintenance,ICT Business Partner,VIGLEN LTD,,Large,,5106204032,Hitachi AMS2100 Backup SAN support,AL2 2DQ,"2,999.00",
Communities & Local Government,PINS,29/05/2014,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106203870,Vodafone Blackberry a/c 670108871,NG24 2EG,-370.09,
Communities & Local Government,PINS,29/05/2014,Mobile phone costs,Admin Support,VODAFONE UK,,Large,,5106204058,Lone Workers System 12 Month s use,NG24 2EG,"1,958.10",
Communities & Local Government,PINS,29/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106204059,8600 Yellow Cartridges,NG11 7EP,805.80,
Communities & Local Government,PINS,29/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106204059,HP 90 Black Print-head,NG11 7EP,230.90,
Communities & Local Government,PINS,29/05/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106204059,HP 90 Yellow Cartridge,NG11 7EP,123.22,
Communities & Local Government,PINS,29/05/2014,Training,Strategy & Communications,IRP LTD,,Small,,5106204086,Training Costs,SE1 0DG,"4,215.00",
Communities & Local Government,PINS,30/05/2014,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106204093,Statutory Advertising - ROW New Work,W1T 7RQ,531.24,
Communities & Local Government,PINS,30/05/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106204090,Services of a Web Developer for 119 days,SL6 1DP,"2,226.00",
Communities & Local Government,PINS,30/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106204092,SQL DBA contractor blanket order,SL6 1DP,"2,452.50",
