YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEUBIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2017,Q4,10,26,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,15142.72,14569.62,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2044310,02044310|02044310,Ovis Aries,Ovis Aries|Ovis Aries,-
2017,Q4,10,27,US,GB,Stansted,GB,GB,US,United States,GB,CVEDP,No,Technical Use,13.6,10,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,10. Other,2017-12-21,2017,Q4,12,21,5059000,5059000,Aves,Aves,-
2017,Q4,10,27,US,GB,Stansted,GB,GB,US,United States,GB,CVEDP,No,Technical Use,13.6,10,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-12-21,2017,Q4,12,21,5059000,5059000,Aves,Aves,-
2017,Q4,11,2,BR,GB,"Felixstowe, P",RU,RU,BR,Brazil,RU,CVEDP,No,-,27736,26925,/,/,Not satisfactory,Not satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-12-01,2017,Q4,12,1,20714,20714,Gallus Gallus,Gallus Gallus,-
2017,Q4,11,2,BR,GB,"Felixstowe, P",RU,RU,BR,Brazil,RU,CVEDP,No,-,27736,26925,/,/,Not satisfactory,Not satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,3. Non Approved Establishment,2017-12-01,2017,Q4,12,1,20714,20714,Gallus Gallus,Gallus Gallus,-
2017,Q4,11,2,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23600,22800,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-19,2017,Q4,12,19,20714,20714,Gallus Gallus,Gallus Gallus,Salmonella enteritidis
2017,Q4,11,2,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23600,22800,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-19,2017,Q4,12,19,20714,20714,Gallus Gallus,Gallus Gallus,Salmonella spp.
2017,Q4,11,2,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23600,22800,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-19,2017,Q4,12,19,20714,20714,Gallus Gallus,Gallus Gallus,Salmonella typhimurium
2017,Q4,11,2,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,23642.75,22314.86,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-03,2017,Q4,12,3,2042250,02042250|02042250,Ovis Aries,Ovis Aries|Ovis Aries,-
2017,Q4,11,2,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,8708.77,8238.86,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-01,2017,Q4,12,1,2042250,2042250,Ovis Aries,Ovis Aries,-
2017,Q4,11,2,NZ,GB,"Southampton, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19474.8,18783.55,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2044250,02044250|02044250|02044250,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,2,NZ,GB,"Southampton, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13959.03,13456.79,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-16,2017,Q4,12,16,2044290,2044290,Ovis Aries,Ovis Aries,-
2017,Q4,11,2,BR,GB,"Felixstowe, P",RU,RU,BR,Brazil,RU,CVEDP,No,-,27813,27000,/,/,Not satisfactory,Not satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-12-01,2017,Q4,12,1,20714,20714,Gallus Gallus,Gallus Gallus,-
2017,Q4,11,2,BR,GB,"Felixstowe, P",RU,RU,BR,Brazil,RU,CVEDP,No,-,27813,27000,/,/,Not satisfactory,Not satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-12-01,2017,Q4,12,1,20714,20714,Gallus Gallus,Gallus Gallus,-
2017,Q4,11,3,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,2162.06,1548.96,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-04,2017,Q4,12,4,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,11,3,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,2162.06,1548.96,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-04,2017,Q4,12,4,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,11,3,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,14646.05,10179.79,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-04,2017,Q4,12,4,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,11,3,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,14646.05,10179.79,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-04,2017,Q4,12,4,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,11,3,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18007.92,13018.32,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,11,3,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18007.92,13018.32,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,11,3,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17954.12,13250.59,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,11,3,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17954.12,13250.59,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-05,2017,Q4,12,5,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,11,3,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23600,22800,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-19,2017,Q4,12,19,20714,20714,Gallus Gallus,Gallus Gallus,Salmonella enteritidis
2017,Q4,11,3,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23600,22800,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-19,2017,Q4,12,19,20714,20714,Gallus Gallus,Gallus Gallus,Salmonella spp.
2017,Q4,11,3,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23600,22800,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-19,2017,Q4,12,19,20714,20714,Gallus Gallus,Gallus Gallus,Salmonella typhimurium
2017,Q4,11,3,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6422.5,4200,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-13,2017,Q4,12,13,5119190,5119190,Invertebrata,Invertebrata,-
2017,Q4,11,3,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6422.5,4200,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-13,2017,Q4,12,13,5119190,5119190,Invertebrata,Invertebrata,-
2017,Q4,11,3,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6422.5,4200,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-13,2017,Q4,12,13,5119190,5119190,Invertebrata,Invertebrata,-
2017,Q4,11,3,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,12283.92,9306,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-04,2017,Q4,12,4,230910,230910,Pesca,Pesca,-
2017,Q4,11,3,BD,GB,"Southampton, P",GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,22500,10195,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-09,2017,Q4,12,9,3061799,3061799,Metapenaeus Spp,Metapenaeus Spp,-
2017,Q4,11,6,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,12962.72,12329.78,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2042230,02042230|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,6,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,12962.72,12329.78,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2042250,02042230|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,6,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,12962.72,12329.78,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2042300,02042230|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,6,BR,GB,London Gateway,NL,NL,BR,Brazil,GB,CVEDP,No,Human Consumption,27271.02,25800,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-19,2017,Q4,12,19,2109939,2109939,Aves,Aves,-
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18447.02,12623.52,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-13,2017,Q4,12,13,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18447.02,12623.52,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-13,2017,Q4,12,13,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18289.6,13348.8,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-13,2017,Q4,12,13,230910,230910,Pesca,Pesca,-
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18206.72,12042.24,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-13,2017,Q4,12,13,230910,230910,Aves,Aves,-
2017,Q4,11,7,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23600,22800,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Suspicion,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-22,2017,Q4,12,22,20714,20714,Gallus Gallus,Gallus Gallus,Salmonella spp.
2017,Q4,11,7,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23600,22800,/,/,Satisfactory,Satisfactory,Not satisfactory,Yes,Suspicion,Not Satisfactory,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,9. Micro Biological Contamination,2017-12-22,2017,Q4,12,22,20714,20714,Gallus Gallus,Gallus Gallus,Salmonella spp.
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10744.8,8205.12,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-21,2017,Q4,12,21,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10744.8,8205.12,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-21,2017,Q4,12,21,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,12807.5,10063.2,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-19,2017,Q4,12,19,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,12807.5,10063.2,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-19,2017,Q4,12,19,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,11,7,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6422.5,4200,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-19,2017,Q4,12,19,5119190,5119190,Invertebrata,Invertebrata,-
2017,Q4,11,7,NZ,GB,"Southampton, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,15121.22,14672.42,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-06,2017,Q4,12,6,2044310,2044310,Ovis Aries,Ovis Aries,-
2017,Q4,11,7,NZ,GB,"Southampton, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,11978.58,11295.48,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-06,2017,Q4,12,6,2044310,2044310,Ovis Aries,Ovis Aries,-
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,12475.42,9017.34,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-13,2017,Q4,12,13,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,11,7,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,12475.42,9017.34,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-13,2017,Q4,12,13,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,11,8,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,21630,20300,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-13,2017,Q4,12,13,4090000,4090000,Apis Melifera,Apis Melifera,-
2017,Q4,11,8,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,21630,20300,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-13,2017,Q4,12,13,4090000,4090000,Apis Melifera,Apis Melifera,-
2017,Q4,11,8,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,12672.61,12017.36,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-01,2017,Q4,12,1,2042250,02042250|02042250,Ovis Aries,Ovis Aries|Ovis Aries,-
2017,Q4,11,8,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,10860.52,10465.9,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2044230,02044230|02044230|02044250|02044250|02044290|02044290|02044290|02044290|02044290|02044310|02069099,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,8,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,10860.52,10465.9,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2044250,02044230|02044230|02044250|02044250|02044290|02044290|02044290|02044290|02044290|02044310|02069099,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,8,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,10860.52,10465.9,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2044290,02044230|02044230|02044250|02044250|02044290|02044290|02044290|02044290|02044290|02044310|02069099,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,8,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,10860.52,10465.9,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2044310,02044230|02044230|02044250|02044250|02044290|02044290|02044290|02044290|02044290|02044310|02069099,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,8,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,10860.52,10465.9,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2069099,02044230|02044230|02044250|02044250|02044290|02044290|02044290|02044290|02044290|02044310|02069099,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,8,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19798.61,19197.16,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2044290,02044290|02044290|02044290|02044290|02044290|02044310|02044390,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q4,11,8,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19798.61,19197.16,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-04,2017,Q4,12,4,2044310,02044290|02044290|02044290|02044290|02044290|02044310|02044390,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,-
