Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Organisation's Primary Business
OBS/GYNAE WARD DRUGS,OBS/GYNAE WARD DRUGS,26/08/2011,Drugs & Medical Gases,OBSTETRICS AND GYNAECOLOGY,PRESCRIPTION PRICING AUTHORITY,591262,"3,149.93","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
PHARMACY DEPARTMENT,PHARMACY DEPARTMENT,26/08/2011,Prescription Charges,PHARMACY DEPARTMENT,PRESCRIPTION PRICING AUTHORITY,591262,"-2,404.80","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
UNPLANNED CARE MANAGEMENT,UNPLANNED CARE MANAGEMENT,26/08/2011,Drugs & Medical Gases,NURSING - UNPLANNED CARE,PRESCRIPTION PRICING AUTHORITY,591262,"31,727.90","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
INCOME BLOCK CONTRACT,INCOME BLOCK CONTRACT,26/08/2011,Other Expenses,BLOCK INCOME,WALSALL PRIMARY CARE TRUST,591434,"25,000.00",Healthcare Provider.
12 Portland Street,12 Portland Street,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"1,109.00",Healthcare Provider.
8/9 Bentley Lane,8/9 Bentley Lane,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"3,475.00",Healthcare Provider.
Anchor Meadow,Anchor Meadow,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"4,793.00",Healthcare Provider.
Bentley Health Centre,Bentley Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"1,829.00",Healthcare Provider.
Broadway,Broadway,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"1,536.00",Healthcare Provider.
Darlaston Health Centre,Darlaston Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"1,563.00",Healthcare Provider.
Forrester Street MC,Forrester Street MC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,435,Healthcare Provider.
Harden Health Centre,Harden Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"4,771.00",Healthcare Provider.
Lichfield Street Surgery,Lichfield Street Surgery,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,295,Healthcare Provider.
Pinfold Health Centre,Pinfold Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"2,712.00",Healthcare Provider.
Pleck Health Centre,Pleck Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,141,Healthcare Provider.
Refuse-Dartmouth House,Refuse-Dartmouth House,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"3,332.00",Healthcare Provider.
Refuse-Hatherton Centre,Refuse-Hatherton Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"2,323.00",Healthcare Provider.
Refuse-Moat Road,Refuse-Moat Road,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"2,104.00",Healthcare Provider.
Rushall HC,Rushall HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,588,Healthcare Provider.
Sina Health Centre,Sina Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"1,186.00",Healthcare Provider.
SOFT SERVICES - ABLEWELL,SOFT SERVICES - ABLEWELL,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"6,642.00",Healthcare Provider.
Soft Services-78/80 Ida Road,Soft Services-78/80 Ida Road,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"2,731.00",Healthcare Provider.
Soft Services-Beechdale Centre,Soft Services-Beechdale Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"5,400.00",Healthcare Provider.
Soft Services-Blackwood HC,Soft Services-Blackwood HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"1,682.00",Healthcare Provider.
Soft Services-Blakenall Meadow,Soft Services-Blakenall Meadow,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"6,168.00",Healthcare Provider.
Soft Services-Brace Street HC,Soft Services-Brace Street HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"7,253.00",Healthcare Provider.
Soft Services-Brownhills,Soft Services-Brownhills,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"3,071.00",Healthcare Provider.
Soft services-Collingwood PMS,Soft services-Collingwood PMS,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,83,Healthcare Provider.
Soft services-Lichfield House,Soft services-Lichfield House,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"30,026.00",Healthcare Provider.
Soft Services-Shelfield Clinic,Soft Services-Shelfield Clinic,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"8,725.00",Healthcare Provider.
Soft Services-Short Heath Clin,Soft Services-Short Heath Clin,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"6,043.00",Healthcare Provider.
Soft Services-Willenhall HC,Soft Services-Willenhall HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"5,955.00",Healthcare Provider.
St Johns MC,St Johns MC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,75,Healthcare Provider.
Sycamore Hse - Utilities,Sycamore Hse - Utilities,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591436,"1,319.00",Healthcare Provider.
Psychology - DWMHPT,Psychology - DWMHPT,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Comm Adult Services,DUDLEY AND WALSALL MH PARTNERSHIP,591485,"72,666.66",Healthcare Provider.
Trust Wide,Trust Wide,05/08/2011,Med & Surg Related,Trust Wide,NHS SUPPLY CHAIN,591583,"86,520.01","Provide end-to-end supply chain services incorporating procurement, logistics, e-commerce, and customer and supplier support. They manage the procurement, sourcing and delivery of over 620,000 products ranging from bandages to baked beans, etc."
FINANCE DEPARTMENT,FINANCE DEPARTMENT,18/08/2011,Serv NHS Bodies-Non-Healthcare,FINANCE DIRECTOR,WEST MIDLANDS AMBULANCE SERVICE,591610,"39,200.00",Healthcare Provider.
BLOOD TRANSFUSION SERVICE,BLOOD TRANSFUSION SERVICE,05/08/2011,Other Clinical Supplies,PATHOLOGY,NHS BLOOD AND TRANSPLANT,591611,"93,515.19","NHSBT is a Special Health Authority in the NHS with responsibility for optimising the supply of blood, organs, and tissues and raising the quality, effectiveness and efficiency of blood and transplant services."
UNITARY PAYMENT,UNITARY PAYMENT,04/08/2011,External Gen Service Contracts,HOSPITAL REDEVELOPMENT,THE WALSALL HOSPITAL CO PLC,591626,"25,949.62",Private Finance Initiative service provider.
12 Portland Street,12 Portland Street,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"1,109.00",Healthcare Provider.
8/9 Bentley Lane,8/9 Bentley Lane,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"3,475.00",Healthcare Provider.
Anchor Meadow,Anchor Meadow,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"4,793.00",Healthcare Provider.
Bentley Health Centre,Bentley Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"1,829.00",Healthcare Provider.
Broadway,Broadway,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"1,536.00",Healthcare Provider.
Darlaston Health Centre,Darlaston Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"1,563.00",Healthcare Provider.
Forrester Street MC,Forrester Street MC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,435,Healthcare Provider.
Harden Health Centre,Harden Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"4,771.00",Healthcare Provider.
Lichfield Street Surgery,Lichfield Street Surgery,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,295,Healthcare Provider.
Pinfold Health Centre,Pinfold Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"2,712.00",Healthcare Provider.
Pleck Health Centre,Pleck Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,141,Healthcare Provider.
Refuse-Dartmouth House,Refuse-Dartmouth House,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"3,332.00",Healthcare Provider.
Refuse-Hatherton Centre,Refuse-Hatherton Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"2,323.00",Healthcare Provider.
Refuse-Moat Road,Refuse-Moat Road,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"2,104.00",Healthcare Provider.
Rushall HC,Rushall HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,588,Healthcare Provider.
Sina Health Centre,Sina Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"1,186.00",Healthcare Provider.
SOFT SERVICES - ABLEWELL,SOFT SERVICES - ABLEWELL,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"6,642.00",Healthcare Provider.
Soft Services-78/80 Ida Road,Soft Services-78/80 Ida Road,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"2,731.00",Healthcare Provider.
Soft Services-Beechdale Centre,Soft Services-Beechdale Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"5,400.00",Healthcare Provider.
Soft Services-Blackwood HC,Soft Services-Blackwood HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"1,682.00",Healthcare Provider.
Soft Services-Blakenall Meadow,Soft Services-Blakenall Meadow,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"6,168.00",Healthcare Provider.
Soft Services-Brace Street HC,Soft Services-Brace Street HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"7,253.00",Healthcare Provider.
Soft Services-Brownhills,Soft Services-Brownhills,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"3,071.00",Healthcare Provider.
Soft services-Collingwood PMS,Soft services-Collingwood PMS,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,83,Healthcare Provider.
Soft services-Lichfield House,Soft services-Lichfield House,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"30,026.00",Healthcare Provider.
Soft Services-Shelfield Clinic,Soft Services-Shelfield Clinic,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"8,725.00",Healthcare Provider.
Soft Services-Short Heath Clin,Soft Services-Short Heath Clin,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"6,043.00",Healthcare Provider.
Soft Services-Willenhall HC,Soft Services-Willenhall HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"5,955.00",Healthcare Provider.
St Johns MC,St Johns MC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,75,Healthcare Provider.
Sycamore Hse - Utilities,Sycamore Hse - Utilities,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,591669,"1,319.00",Healthcare Provider.
Trust Wide,Trust Wide,18/08/2011,Med & Surg Related,Trust Wide,NHS SUPPLY CHAIN,591797,"88,785.88","Provide end-to-end supply chain services incorporating procurement, logistics, e-commerce, and customer and supplier support. They manage the procurement, sourcing and delivery of over 620,000 products ranging from bandages to baked beans, etc."
Trust Wide,Trust Wide,26/08/2011,Med & Surg Related,Trust Wide,NHS SUPPLY CHAIN,591870,"87,477.85","Provide end-to-end supply chain services incorporating procurement, logistics, e-commerce, and customer and supplier support. They manage the procurement, sourcing and delivery of over 620,000 products ranging from bandages to baked beans, etc."
UNITARY PAYMENT,UNITARY PAYMENT,18/08/2011,External Gen Service Contracts,HOSPITAL REDEVELOPMENT,THE WALSALL HOSPITAL CO PLC,591883,"1,435,639.91",Private Finance Initiative service provider.
CATARACT SUITE,CATARACT SUITE,18/08/2011,Nursing-Employed,NURSING - PLANNED CARE,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"6,301.51",Healthcare Provider.
MR RAMANATHAN,MR RAMANATHAN,18/08/2011,Medical Staff-Employed,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"4,667.46",Healthcare Provider.
MR SANDRAMOULI,MR SANDRAMOULI,18/08/2011,Medical Staff-Employed,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"4,020.09",Healthcare Provider.
MR SANDRAMOULI,MR SANDRAMOULI,18/08/2011,Other Clinical Supplies,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"3,239.54",Healthcare Provider.
MR SANDRAMOULI,MR SANDRAMOULI,18/08/2011,Serv NHS Bodies-SubContrHealth,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"6,929.52",Healthcare Provider.
MR SHUN SHIN,MR SHUN SHIN,18/08/2011,Medical Staff-Employed,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"4,020.09",Healthcare Provider.
MR YANG,MR YANG,18/08/2011,Medical Staff-Employed,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"2,725.55",Healthcare Provider.
OPHTHAL MR BHATNAGAR,OPHTHAL MR BHATNAGAR,18/08/2011,Medical Staff-Employed,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"5,314.69",Healthcare Provider.
OPHTHALMOLOGY JUNIOR MED,OPHTHALMOLOGY JUNIOR MED,18/08/2011,Medical Staff-Employed,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"22,216.12",Healthcare Provider.
Ophthalmology OPD,Ophthalmology OPD,18/08/2011,Ancillary-Employed,NURSING - PLANNED CARE,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"1,922.13",Healthcare Provider.
Ophthalmology OPD,Ophthalmology OPD,18/08/2011,Nursing-Employed,NURSING - PLANNED CARE,ROYAL WOLVERHAMPTON NHS TRUST,10004811,"9,862.22",Healthcare Provider.
BIOCHEMISTRY,BIOCHEMISTRY,18/08/2011,Laboratory Equipment Related,PATHOLOGY,TOSOH BIOSCIENCE,10004837,"-30,339.86","Established manufacturer of stationary phases now offering instrumentation,diagnostic kits and polymers. Includes product range, HPLC applications database etc…"
ESTATES MANAGEMENT,ESTATES MANAGEMENT,11/08/2011,Business Rates,SUPPORT SERVICES DIRECTOR,WALSALL MBC,10004852,"82,142.00",Local Council.
12 Portland Street,12 Portland Street,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"2,219.00",Healthcare Provider.
8/9 Bentley Lane,8/9 Bentley Lane,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"6,950.00",Healthcare Provider.
Anchor Meadow,Anchor Meadow,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"9,586.00",Healthcare Provider.
Bentley Health Centre,Bentley Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"3,658.00",Healthcare Provider.
Broadway,Broadway,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"3,073.00",Healthcare Provider.
Darlaston Health Centre,Darlaston Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"3,127.00",Healthcare Provider.
Forrester Street MC,Forrester Street MC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,870,Healthcare Provider.
Harden Health Centre,Harden Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"9,542.00",Healthcare Provider.
Lichfield Hse Dns& HVs,Lichfield Hse Dns& HVs,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"60,052.00",Healthcare Provider.
Lichfield Street Surgery,Lichfield Street Surgery,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,590,Healthcare Provider.
Pinfold Health Centre,Pinfold Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"5,424.00",Healthcare Provider.
Pleck Health Centre,Pleck Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,281,Healthcare Provider.
Refuse-Dartmouth House,Refuse-Dartmouth House,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"6,664.00",Healthcare Provider.
Refuse-Hatherton Centre,Refuse-Hatherton Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"4,646.00",Healthcare Provider.
Refuse-Moat Road,Refuse-Moat Road,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"4,209.00",Healthcare Provider.
Rushall HC,Rushall HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"1,176.00",Healthcare Provider.
Sina Health Centre,Sina Health Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"2,371.00",Healthcare Provider.
SOFT SERVICES - ABLEWELL,SOFT SERVICES - ABLEWELL,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"13,285.00",Healthcare Provider.
Soft Services-78/80 Ida Road,Soft Services-78/80 Ida Road,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"5,462.00",Healthcare Provider.
Soft Services-Beechdale Centre,Soft Services-Beechdale Centre,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"10,800.00",Healthcare Provider.
Soft Services-Blackwood HC,Soft Services-Blackwood HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"3,363.00",Healthcare Provider.
Soft Services-Blakenall Meadow,Soft Services-Blakenall Meadow,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"12,337.00",Healthcare Provider.
Soft Services-Brace Street HC,Soft Services-Brace Street HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"14,506.00",Healthcare Provider.
Soft Services-Brownhills,Soft Services-Brownhills,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"6,141.00",Healthcare Provider.
Soft services-Collingwood PMS,Soft services-Collingwood PMS,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,165,Healthcare Provider.
Soft Services-Shelfield Clinic,Soft Services-Shelfield Clinic,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"17,449.00",Healthcare Provider.
Soft Services-Short Heath Clin,Soft Services-Short Heath Clin,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"12,086.00",Healthcare Provider.
Soft Services-Willenhall HC,Soft Services-Willenhall HC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"11,910.00",Healthcare Provider.
St Johns MC,St Johns MC,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,150,Healthcare Provider.
Sycamore Hse - Utilities,Sycamore Hse - Utilities,26/08/2011,SERVICES FROM OTHER NHS TRUSTS,Estates & Facilities,WALSALL PRIMARY CARE TRUST,20018285,"2,639.00",Healthcare Provider.
BIOCHEMISTRY,BIOCHEMISTRY,04/08/2011,Laboratory Equipment Related,PATHOLOGY,TOSOH BIOSCIENCE,20018706,"30,339.86","Established manufacturer of stationary phases now offering instrumentation,diagnostic kits and polymers. Includes product range, HPLC applications database etc…"
Clinical Haem FP10,Clinical Haem FP10,18/08/2011,Drugs & Medical Gases,PATHOLOGY,PRESCRIPTION PRICING AUTHORITY,20018788,"7,580.92","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
