UNIQUE REFERENCE NUMBER,TRANSACTION DATE, MERCHANT CATEGORY CODE DESCRIPTION2 ,LOCATION,MERCHANT CATEGORY GROUP DESCRIPTION3, AMOUNT ,SUPPLIER
FCOGPC2017091104,9/27/2017, CARIBBEAN ,GUY,Travel - Air/Rail/Road,625.37,BWIA      
FCOGPC2017091105,9/27/2017, HOTELS/MOTELS/RESORTS  ,DEU,Hotels,633.83,ACCOMODATION PROVIDER
FCOGPC2017091106,9/27/2017, HOUSEHOLD APPLIANCE STORES ,SAU,General Retail and Wholesale,637.6,AL ASASYAH ELECTRON
FCOGPC2017091107,9/27/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,LUX,General Retail and Wholesale,638.29,AMAZON MKTPLACE PMTS
FCOGPC2017091108,9/27/2017, HOTELS/MOTELS/RESORTS  ,SLV,Hotels,644.41,ACCOMODATION PROVIDER
FCOGPC2017091109,9/27/2017, CARIBBEAN ,GUY,Travel - Air/Rail/Road,648.47,BWIA      
FCOGPC2017091110,9/27/2017, ELECTRONIC SALES ,CRI,General Retail and Wholesale,682.08,VERDUGO ANDE 23 CTD
FCOGPC2017091111,9/27/2017," COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES ",IRL,Training and Educational,715.32,ISM
FCOGPC2017091112,9/27/2017," GROCERY STORES, SUPERMARKETS ",JAM,General Retail and Wholesale,729.01,JOHN R WONG SUPERMARKE
FCOGPC2017091113,9/27/2017, TRAVEL ,BEL,Airline,732.59,AIRLINE
FCOGPC2017091114,9/27/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,ZMB,General Retail and Wholesale,747.55,COSMIC COMPUTER
FCOGPC2017091115,9/27/2017," HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS ",ZAF,Building Services,778.75,GHIZA PLUMBERS (PTY) L
FCOGPC2017091116,9/27/2017, LIMOUSINES AND TAXICABS ,GBR,Travel - Air/Rail/Road,782.8,HILLSIDE TRAVEL
FCOGPC2017091117,9/27/2017," GROCERY STORES, SUPERMARKETS ",DOM,General Retail and Wholesale,812.23,CAVA ALTA
FCOGPC2017091118,9/27/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",JAM,Utilities and Non Automotive Fuel,830.48,SHAW HAULAGE LIMITED
FCOGPC2017091119,9/27/2017," COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES ",ECU,Training and Educational,852.16,UDLA PANADERIA LA CORT
FCOGPC2017091120,9/27/2017," AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING ",ZWE,"Vehicles, servicing and spares",902.05,PREMIER AUTO SERVICES
FCOGPC2017091121,9/27/2017," QUICK COPY,REPRODUCTION AND BLUEPRINTING SERVICES ",BHR,"Office Stationery, equipment and supplies",909.78,AKHBAR ALKHALEJ CLAS.
FCOGPC2017091122,9/27/2017," ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED ",IND,Clubs/Associations/Organisations,913.58,DADIAL ELECTRIC WORKS
FCOGPC2017091123,9/27/2017," EATING PLACES, RESTAURANTS ",AUS,Restuarants and Bars,916.68,SPOONFUL PTY LTD
FCOGPC2017091124,9/27/2017, TRAVEL AGENCIES ,PAK,Travel Agencies,946.47,GERRYS TRAVEL
FCOGPC2017091125,9/27/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,946.52,SAFELINCS - SAFETY
FCOGPC2017091126,9/27/2017, DIRECT MARKETING-CATALOG MERCHANTS ,JPN,Mail Order / Direct Selling,"1,032.14",SIMUL
FCOGPC2017091127,9/27/2017," CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS ",AUS,Professional Services,"1,065.92",TV EDUCATION NETWORK
FCOGPC2017091128,9/27/2017," CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS ",AUS,Professional Services,"1,065.92",TV EDUCATION NETWORK
FCOGPC2017091129,9/27/2017," PACKAGE STORES, BEER, WINE, LIQUOR ",ZMB,General Retail and Wholesale,"1,116.11",THE WINE SHOP
FCOGPC2017091130,9/27/2017," MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS ",ZAF,Catering and Catering Supplies,"1,157.95",HUTTON HYDE PARK
FCOGPC2017091131,9/27/2017, DUTY FREE STORES ,DNK,General Retail and Wholesale,"1,179.90",PETER JUSTESEN COMPANY
FCOGPC2017091132,9/27/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",USA,General Retail and Wholesale,"1,283.12",RAYMOUR & FLANIGAN PHO
FCOGPC2017091133,9/27/2017," EATING PLACES, RESTAURANTS ",GBR,Restuarants and Bars,"1,329.18",INTERSERVE FACILIT
FCOGPC2017091134,9/27/2017," COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS ",USA,Mail and Courier Services,"1,334.97",TROPICAL SHIPPING COM
FCOGPC2017091135,9/27/2017," COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS ",USA,Mail and Courier Services,"1,334.97",TROPICAL SHIPPING COM
FCOGPC2017091136,9/27/2017, DUTY FREE STORES ,DNK,General Retail and Wholesale,"1,356.39",PETER JUSTESEN COMPANY
FCOGPC2017091137,9/27/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,MOZ,Professional Services,"1,394.20",MALEIANE IMPORT E EXPO
FCOGPC2017091138,9/27/2017," EATING PLACES, RESTAURANTS ",GBR,Restuarants and Bars,"1,412.94",INTERSERVE FACILIT
FCOGPC2017091139,9/27/2017, STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP. ,GBR,"Office Stationery, equipment and supplies","1,434.27",CARTRIDGE SAVE
FCOGPC2017091140,9/27/2017, LIMOUSINES AND TAXICABS ,URY,Travel - Air/Rail/Road,"1,455.32",ABA TRANSPORTES
FCOGPC2017091141,9/27/2017," HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS ",BRA,Building Services,"1,544.88",PAG HIDROTECNICA
FCOGPC2017091142,9/27/2017, TRAVEL AGENCIES ,JPN,Travel Agencies,"1,926.23",KINKI NIPPON TOURIST C
FCOGPC2017091143,9/27/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Professional Services,"4,100.00",SQ  BENTAC TRAINING
FCOGPC2017091144,9/28/2017, BOOK STORES ,LUX,Books and Periodicals,502.14,AMAZON.CO.UK
FCOGPC2017091145,9/28/2017, BOOK STORES ,GBR,Books and Periodicals,542.74,STATIONERY OFFICE BOOK
FCOGPC2017091146,9/28/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",GBR,General Retail and Wholesale,548.4,DIPLOMATIC MISSION SUP
FCOGPC2017091147,9/28/2017, HARDWARE STORES ,JAM,General Retail and Wholesale,582.39,RAPID TRU VALUE
FCOGPC2017091148,9/28/2017," CLEANING, GARMENT, AND LAUNDRY SERVICES ",RWA,Cleaning Services and Supplies,606.53,ECO STEAM WASH
FCOGPC2017091149,9/28/2017," GROCERY STORES, SUPERMARKETS ",FRA,General Retail and Wholesale,617.72,METRO NANTER 16
FCOGPC2017091150,9/28/2017," GROCERY STORES, SUPERMARKETS ",ZAF,General Retail and Wholesale,634.24,PNP FAM SILVERTON
FCOGPC2017091151,9/28/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,LUX,General Retail and Wholesale,666.63,AMAZON.ES PAYMENTS
FCOGPC2017091152,9/28/2017, PETROLEUM AND PETROLEUM PRODUCTS ,NGA,Miscellaneous Industrial/Commercial Supplies,669.33,COGAD INTEGRATED SERVI
FCOGPC2017091153,9/28/2017, TRAVEL AGENCIES ,ESP,Travel Agencies,670.5,HOTELS.COM
FCOGPC2017091154,9/28/2017, ADVERTISING SERVICES ,USA,Print and advertising,695.28,SOUTHERN ADVERTISING
FCOGPC2017091155,9/28/2017, ADVERTISING SERVICES ,BRN,Print and advertising,712.52,BRUNEI PRESS SDN BHD
FCOGPC2017091156,9/28/2017, PLUMBING AND HEATING EQUIPMENT ,GBR,Building Materials,742,SCOTT COMBUSTION
FCOGPC2017091157,9/28/2017, TRAVEL AGENCIES ,KEN,Travel Agencies,775.81,HRG KENYA
FCOGPC2017091158,9/28/2017," COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS ",IND,Computer Equipment & Services,786.57,MIDASS SYSTEM PRODUCTS
FCOGPC2017091159,9/28/2017, FLOOR COVERING STORES ,TUR,General Retail and Wholesale,804.92,MKN INS.LTD.STI.
FCOGPC2017091160,9/28/2017, CRYSTAL AND GLASSWARE STORES ,IND,General Retail and Wholesale,814.69,CROCKERY EMPORIUM
FCOGPC2017091161,9/28/2017, HOTELS/MOTELS/RESORTS  ,CHN,Hotels,817.78,ACCOMODATION PROVIDER
FCOGPC2017091162,9/28/2017, HOME SUPPLY WAREHOUSE STORES ,FRA,General Retail and Wholesale,952.17,ESTELLE PRESTON
FCOGPC2017091163,9/28/2017, MISCELLANEOUS PUBLISHING AND PRINTING ,GBR,Print and advertising,980.4,LONDON CITY PRINT LTD
FCOGPC2017091164,9/28/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,SGP,Miscellaneous Industrial/Commercial Supplies,"1,002.83",WP-JOBSTREET.COM P
FCOGPC2017091165,9/28/2017," BUILDING MATERIALS, LUMBER STORES ",CMR,Building Materials,"1,004.98",PAFECKK
FCOGPC2017091166,9/28/2017," HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS ",KEN,Building Services,"1,006.96",TRANSAFRICA WAT
FCOGPC2017091167,9/28/2017, TRAVEL AGENCIES ,KEN,Travel Agencies,"1,017.20",HRG KENYA
FCOGPC2017091168,9/28/2017, WHOLESALE CLUBS ,GBR,General Retail and Wholesale,"1,036.01",WWW.ALIBABA.COM
FCOGPC2017091169,9/28/2017, NEWS DEALERS AND NEWSSTANDS ,FJI,Books and Periodicals,"1,038.09",FIJI TIMES LIMITED
FCOGPC2017091170,9/28/2017," FLORIST SUPPLIES,NURSERY STOCK & FLOWERS ",PAK,Estate and garden Services,"1,112.25",THE GREEN IMPEX
FCOGPC2017091171,9/28/2017," HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS ",TUR,Building Services,"1,147.20",HG KLIMA SISTEMLERI
FCOGPC2017091172,9/28/2017, HARDWARE EQUIPMENT AND SUPPLIES ,ZWE,Miscellaneous Industrial/Commercial Supplies,"1,241.88",HALSTEADSWORKINGTON2
FCOGPC2017091173,9/28/2017, TRAVEL AGENCIES ,ESP,Travel Agencies,"1,251.00",HOTELS.COM
FCOGPC2017091174,9/28/2017, WHOLESALE CLUBS ,TUR,General Retail and Wholesale,"1,271.84",BUKE FIDANCILIK
FCOGPC2017091175,9/28/2017, HOTELS/MOTELS/RESORTS  ,USA,Hotels,"1,272.46",ACCOMODATION PROVIDER
FCOGPC2017091176,9/28/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",CMR,General Retail and Wholesale,"1,337.45",FORSI E.A ETS
FCOGPC2017091177,9/28/2017, DUTY FREE STORES ,DNK,General Retail and Wholesale,"1,384.02",PJDK
FCOGPC2017091178,9/28/2017, WHOLESALE CLUBS ,TUR,General Retail and Wholesale,"1,462.61",BUKE FIDANCILIK
FCOGPC2017091179,9/28/2017," ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED ",IRL,Clubs/Associations/Organisations,"1,541.62",DUBLIN CHAMBER OF COMM
FCOGPC2017091180,9/28/2017," EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL ",BRA,Miscellaneous Industrial/Commercial Supplies,"7,330.04",PAG ARTESTAND
