Month of Year,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth
201701,firearms,22,1.18,4.55%,15.38%,00:03:13,1.55
201701,Pay rates,22,1.05,0.00%,13.04%,00:01:37,1.86
201701,road tax,22,1.73,31.82%,23.68%,00:03:40,0.73
201701,Access NI,21,1.48,4.76%,16.13%,00:05:27,3.05
201701,book mot,21,1.1,9.52%,0.00%,00:04:33,2.38
201701,Budget loan,21,1.33,14.29%,21.43%,00:01:38,2.14
201701,child maintenance,21,1.19,4.76%,16.00%,00:03:40,3.57
201701,death certificate,21,1.43,0.00%,20.00%,00:04:18,2.67
201701,grants,21,2.19,23.81%,17.39%,00:06:35,2.19
201701,name change,21,1.43,19.05%,10.00%,00:11:08,3.14
201701,national insurance,21,1.29,4.76%,22.22%,00:04:09,2.05
201701,Parking,21,1.1,4.76%,13.04%,00:02:01,2.38
201701,rates relief,21,1.95,9.52%,19.51%,00:03:16,2.81
201701,Retest,21,1.29,23.81%,18.52%,00:02:18,2.48
201701,rqia,21,1.14,4.76%,12.50%,00:02:16,1.05
201701,theory,21,1.48,0.00%,9.68%,00:04:53,3.43
201701,Address,20,1.1,15.00%,36.36%,00:00:52,1.2
201701,benefits,20,1.5,5.00%,16.67%,00:07:38,5.75
201701,birth cert,20,1.2,0.00%,12.50%,00:03:30,1.95
201701,cancel mot,20,1.45,10.00%,6.90%,00:01:27,1.6
201701,Child benefit,20,1.85,20.00%,21.62%,00:02:03,1.95
201701,Coleraine,20,1.25,40.00%,28.00%,00:02:11,1.65
201701,Dl1,20,1.4,10.00%,25.00%,00:01:21,1.75
201701,Driving licence fees,20,1,10.00%,10.00%,00:01:15,1.45
201701,Fishing licence,20,1.3,5.00%,7.69%,00:03:56,2.45
201701,Loan,20,1.9,25.00%,21.05%,00:03:00,2.15
201701,Maternity,20,1.5,10.00%,10.00%,00:05:37,2
201701,working tax credit,20,1.7,45.00%,17.65%,00:02:47,1.5
201701,Apply for an enhanced check through a registered body,19,2.32,0.00%,2.27%,00:09:47,3.74
201701,Bin collection,19,1.32,42.11%,4.00%,00:02:02,3.74
201701,birth,19,1.16,0.00%,22.73%,00:01:40,2.16
201701,Cpc,19,1.47,21.05%,17.86%,00:06:54,3.32
201701,cv builder,19,1.11,0.00%,4.76%,00:00:22,1.16
201701,Jsa,19,1.32,26.32%,20.00%,00:02:18,1.68
201701,maternity pay,19,1.21,5.26%,17.39%,00:04:59,3.16
201701,notice of appeal form,19,2.11,21.05%,7.50%,00:03:59,2.63
201701,power of attorney,19,1.37,10.53%,11.54%,00:02:35,1.74
201701,ssp,19,1.42,15.79%,37.04%,00:03:53,2.68
201701,Taxi,19,1.53,26.32%,13.79%,00:04:11,2.68
201701,1901 census,18,5.11,22.22%,1.09%,00:07:14,5
201701,Book theory,18,1.22,11.11%,4.55%,00:02:00,2
201701,career ideas,18,1.11,0.00%,10.00%,00:03:46,1.33
201701,Cold weather payment,18,2.06,5.56%,10.81%,00:03:41,4.72
201701,cpc,18,1.28,11.11%,26.09%,00:04:27,2.89
201701,cv,18,1.28,5.56%,8.70%,00:06:30,2.22
201701,dl1r,18,1.44,11.11%,11.54%,00:03:18,2.5
201701,Ema,18,1.33,22.22%,33.33%,00:02:52,2.11
201701,foundation degrees,18,1.67,0.00%,0.00%,00:03:44,3.67
201701,Groni,18,1.06,5.56%,0.00%,00:04:10,1.94
201701,job seekers allowance,18,1.33,0.00%,12.50%,00:02:58,2.17
201701,jobseekers,18,1.22,16.67%,18.18%,00:02:20,3.28
201701,public appointments,18,1.22,5.56%,0.00%,00:02:48,2.78
201701,retest,18,1.72,5.56%,9.68%,00:02:32,3.17
201701,street directories,18,1.22,5.56%,4.55%,00:05:50,2.33
201701,telephone number,18,1.39,22.22%,24.00%,00:01:34,2.17
201701,1939 register,17,1.47,29.41%,20.00%,00:02:14,2.59
201701,book theory test,17,1.94,0.00%,0.00%,00:07:01,6.41
201701,Change mot date,17,1.06,5.88%,11.11%,00:01:54,1.41
201701,Child maintenance,17,1.76,17.65%,13.33%,00:05:54,1.88
201701,Deaths,17,2.41,17.65%,19.51%,00:03:34,2.71
201701,disclosure certificates,17,1.47,5.88%,32.00%,00:03:54,5.65
201701,driving licence renewal,17,1.18,0.00%,25.00%,00:04:12,2.71
201701,employment and support allowance,17,1.24,5.88%,28.57%,00:05:55,3.65
201701,Jury,17,1.18,0.00%,5.00%,00:03:28,2.06
201701,Maternity allowance,17,1.12,11.76%,0.00%,00:05:28,1.76
201701,notice of appeal,17,1.59,0.00%,25.93%,00:02:09,2.18
201701,personal independence payment,17,1.29,5.88%,18.18%,00:04:39,2.82
201701,1939,16,1.25,31.25%,50.00%,00:00:26,0.75
201701,Apprenticeships,16,1.69,18.75%,3.70%,00:06:29,4.44
201701,challenge parking ticket,16,1.06,0.00%,11.76%,00:02:35,1.62
201701,Change mot,16,1.12,12.50%,11.11%,00:01:23,1.19
201701,Death,16,1.62,0.00%,19.23%,00:06:21,3.62
201701,Discretionary support,16,2.06,31.25%,12.12%,00:01:43,1.56
201701,Driving licence renewal,16,1.69,18.75%,7.41%,00:04:52,2.62
201701,dvlni,16,1.25,50.00%,5.00%,00:01:44,2.56
201701,Fishing,16,2.19,12.50%,2.86%,00:03:50,4.56
201701,Job seekers allowance,16,1.62,6.25%,0.00%,00:04:30,2.31
201701,national insurance number,16,1.44,6.25%,8.70%,00:05:06,3.5
201701,register,16,1.69,0.00%,29.63%,00:06:14,5.25
201701,sick pay,16,1.12,12.50%,27.78%,00:03:33,1.12
201701,Sick pay,16,1.69,12.50%,3.70%,00:02:23,1.31
201701,SORN,16,1.75,25.00%,17.86%,00:00:39,1.19
201701,welfare reform,16,1.12,12.50%,22.22%,00:03:50,3.19
201701,Accessni,15,1.47,13.33%,9.09%,00:05:35,3.73
201701,Bedroom tax,15,2.33,40.00%,11.43%,00:03:05,2.07
201701,blue badge renewal,15,1.4,0.00%,0.00%,00:08:18,2.93
201701,budgeting loans,15,2,13.33%,26.67%,00:05:46,4.93
201701,Check mot,15,1.73,6.67%,34.62%,00:01:05,1.8
201701,Childcare,15,1.2,40.00%,5.56%,00:03:25,1.53
201701,dvla,15,1.13,6.67%,5.88%,00:04:50,2.6
201701,enhanced disclosure,15,1.2,0.00%,5.56%,00:03:31,1.67
201701,Fishing license,15,1.27,13.33%,5.26%,00:11:49,4.8
201701,Genealogy,15,1.4,0.00%,14.29%,00:06:00,3.53
201701,jobseekers allowance,15,1.27,13.33%,15.79%,00:02:42,1.6
201701,Lost licence,15,1.33,13.33%,15.00%,00:02:41,2.07
201701,maternity leave,15,1.67,20.00%,12.00%,00:03:10,0.93
201701,Mot check,15,1.4,46.67%,23.81%,00:01:24,0.93
201701,provisional,15,1.33,6.67%,20.00%,00:03:20,1.87
201701,rates calculator,15,1.13,6.67%,11.76%,00:02:52,1.67
201701,skills in demand,15,1.47,6.67%,27.27%,00:04:00,1.67
201701,State pension online,15,2.33,6.67%,8.57%,00:08:03,2.73
201701,will,15,1.13,20.00%,47.06%,00:03:21,1.93
201701,Access no,14,1.07,14.29%,53.33%,00:00:31,0.93
201701,apply for an enhanced check through a registered body,14,1.36,0.00%,5.26%,00:08:11,3.21
201701,Armagh,14,1.43,21.43%,25.00%,00:01:47,1.43
201701,Attendance Allowance,14,1.36,0.00%,21.05%,00:07:23,3.21
201701,benefit cap,14,1.07,7.14%,13.33%,00:07:34,2.57
201701,boiler replacement,14,1.21,7.14%,23.53%,00:02:18,2.21
201701,Bus lane,14,1,7.14%,0.00%,00:01:25,1.79
201701,careers a-z,14,1.21,7.14%,5.88%,00:01:54,1.71
201701,consultations,14,1.14,14.29%,12.50%,00:01:53,1.07
201701,contact,14,1.07,42.86%,6.67%,00:02:02,2.86
201701,Contact us,14,1.5,35.71%,19.05%,00:00:51,1.21
201701,dl1 form,14,2,14.29%,21.43%,00:03:07,2.43
201701,DLM1,14,1.93,7.14%,14.81%,00:01:56,1.93
201701,GRONI,14,1.21,7.14%,0.00%,00:06:55,3.21
201701,hc1,14,1.36,0.00%,5.26%,00:01:52,1.93
201701,legal aid,14,1.29,14.29%,22.22%,00:03:49,1.43
201701,Licence fees,14,1.29,0.00%,11.11%,00:01:24,1.79
201701,Marriage records,14,2.07,7.14%,10.34%,00:02:33,2.5
201701,Newry,14,1.14,35.71%,0.00%,00:01:27,1.21
201701,Parking tickets,14,1.14,0.00%,25.00%,00:01:14,1.71
201701,Register,14,1.43,0.00%,35.00%,00:07:26,3.36
201701,Sf300,14,1.29,7.14%,50.00%,00:01:15,1.93
201701,statutory maternity pay,14,1.43,14.29%,25.00%,00:08:40,3.43
201701,street lights,14,1.07,7.14%,6.67%,00:02:46,1.71
201701,tax car,14,1.14,35.71%,12.50%,00:00:28,1.14
201701,Taxi licence,14,1.14,0.00%,25.00%,00:03:40,2.5
201701,Will,14,2.57,7.14%,27.78%,00:01:16,1.43
201701,Working tax credit,14,1.5,21.43%,23.81%,00:05:31,2.71
201701,working tax credits,14,1.43,50.00%,20.00%,00:02:34,1.21
201701,apprenticeship,13,1.85,15.38%,4.17%,00:04:58,3.54
201701,bag levy,13,1.08,0.00%,14.29%,00:00:38,0.92
201701,Bereavement,13,1.85,0.00%,16.67%,00:08:32,3.92
201701,Blue badge scheme,13,1.92,15.38%,8.00%,00:03:51,1.46
201701,bus lane,13,1.08,7.69%,0.00%,00:04:18,3.92
201701,carers,13,1.46,0.00%,31.58%,00:04:41,2.23
201701,Contact numbers,13,1.62,38.46%,14.29%,00:02:06,2
201701,death certificates,13,1.23,15.38%,18.75%,00:03:54,1.77
201701,dementia,13,1.31,7.69%,5.88%,00:04:29,3.38
201701,Disability living allowance,13,1.38,0.00%,27.78%,00:07:06,2.92
201701,Driving theory test,13,1,7.69%,0.00%,00:05:12,2.92
201701,DVA,13,1.08,7.69%,35.71%,00:04:23,2.31
201701,Dvlni,13,1.31,23.08%,17.65%,00:01:45,2.31
201701,education,13,1.69,53.85%,13.64%,00:01:02,0.23
201701,employment,13,1.15,23.08%,33.33%,00:02:58,3.54
201701,Employment and support allowance,13,1.31,7.69%,0.00%,00:02:29,2.77
201701,licence,13,1.08,23.08%,21.43%,00:02:29,3.15
201701,marriages,13,1.69,7.69%,22.73%,00:01:56,3.77
201701,Mot booking,13,1.15,23.08%,6.67%,00:03:38,3.15
201701,mot test,13,1.31,7.69%,11.76%,00:01:27,1.92
201701,motoring,13,1.38,15.38%,38.89%,00:03:51,2.31
201701,planning,13,1.69,15.38%,18.18%,00:02:36,3.77
201701,Savings credit,13,4.23,53.85%,1.82%,00:03:10,0.69
201701,Ulster covenant,13,1.15,7.69%,0.00%,00:02:48,1.38
201701,work experience,13,1.15,0.00%,13.33%,00:01:14,2.15
201701,Apprenticeship,12,2.42,8.33%,0.00%,00:05:08,4.83
201701,Budgeting loans,12,2.25,16.67%,7.41%,00:04:28,2.92
201701,business rates,12,1.58,25.00%,15.79%,00:02:22,1
201701,can i get tax back if i quit my job,12,1,100.00%,0.00%,00:00:00,0
201701,death records,12,2.08,8.33%,8.00%,00:06:48,5.17
201701,deaths,12,1.67,8.33%,30.00%,00:05:46,3.5
201701,Derry,12,1.17,41.67%,7.14%,00:01:20,1
201701,driving licence fees,12,1.33,0.00%,12.50%,00:02:12,1.5
201701,Dvla,12,1.33,16.67%,18.75%,00:00:59,1.92
201701,foundation degree,12,1.5,0.00%,16.67%,00:05:55,4.08
201701,gro,12,1.17,16.67%,7.14%,00:03:07,3.33
201701,Hc11,12,1.83,25.00%,4.55%,00:02:11,2.42
201701,health costs,12,1.08,0.00%,15.38%,00:04:11,1.5
201701,job,12,1.25,33.33%,13.33%,00:01:44,1.5
201701,Licence,12,1.25,16.67%,20.00%,00:05:22,2
201701,London,12,1.08,25.00%,7.69%,00:00:35,1.33
201701,long birth certificate,12,1.83,16.67%,4.55%,00:02:57,1.83
201701,Long birth certificate,12,1.33,8.33%,6.25%,00:05:48,1.92
201701,lost licence,12,1.25,0.00%,20.00%,00:03:10,1.67
201701,marriage certificates,12,1.33,0.00%,6.25%,00:01:21,1.75
201701,newry,12,1.17,8.33%,35.71%,00:02:21,1.75
201701,Notice of appeal form,12,3.83,33.33%,8.70%,00:08:21,2.92
201701,Number,12,2,50.00%,8.33%,00:00:51,1
201701,Parking fine,12,1.33,33.33%,6.25%,00:00:46,1.42
201701,penalty points,12,1.5,8.33%,0.00%,00:04:00,2.33
201701,Pension,12,1.17,16.67%,28.57%,00:01:46,1.58
201701,Pensions,12,1.92,33.33%,26.09%,00:02:34,2.33
201701,provisional licence,12,2.08,8.33%,16.00%,00:02:26,3.33
201701,sf300,12,1.67,16.67%,35.00%,00:01:14,2.25
201701,statutory sick pay,12,1.58,8.33%,36.84%,00:05:13,1.5
201701,vacancies,12,1.58,16.67%,10.53%,00:00:56,1.83
201701,welfare changes,12,1.42,0.00%,5.88%,00:05:18,5.33
201701,winter fuel payment,12,2,8.33%,8.33%,00:02:26,3.08
201701,Ballymena,11,1.82,18.18%,10.00%,00:02:32,2.55
201701,Birth,11,1.27,18.18%,7.14%,00:00:46,1.55
201701,Blue Badge,11,1.45,0.00%,6.25%,00:07:07,2.36
201701,Blue badge renewal,11,1.09,0.00%,8.33%,00:01:43,1.27
201701,Calculator,11,1.91,9.09%,19.05%,00:01:02,0.82
201701,certificates,11,2,9.09%,13.64%,00:01:52,2.09
201701,change mot,11,1.09,9.09%,8.33%,00:00:58,2.82
201701,child tax credit,11,1.36,18.18%,26.67%,00:01:16,0.82
201701,Child tax credits,11,1.36,81.82%,0.00%,00:00:19,0.45
201701,Community care grants,11,2.91,54.55%,3.12%,00:03:38,1.09
201701,complaints,11,1.64,0.00%,44.44%,00:03:49,1.73
201701,Death certificate,11,1.27,0.00%,0.00%,00:01:50,1.82
201701,disclosure certificate,11,2.27,9.09%,16.00%,00:03:18,5.36
201701,Discretionary,11,1.36,27.27%,26.67%,00:02:05,1.27
201701,electoral register,11,1.09,18.18%,16.67%,00:03:16,1.73
201701,engineering,11,1.64,36.36%,0.00%,00:04:35,1.91
201701,gcse,11,1.36,0.00%,13.33%,00:01:14,2.27
201701,Hc1,11,1.27,0.00%,14.29%,00:01:04,2.91
201701,HC1,11,1.45,18.18%,12.50%,00:03:09,1.45
201701,incapacity benefit,11,1.36,18.18%,40.00%,00:05:20,1.09
201701,INS DL1,11,2,9.09%,22.73%,00:03:57,2.27
201701,irish passport,11,1,0.00%,9.09%,00:00:44,1.18
201701,lost driving licence,11,1,0.00%,0.00%,00:05:40,4
201701,lps,11,1,9.09%,36.36%,00:03:24,2.27
201701,marriage allowance,11,1.64,36.36%,33.33%,00:03:52,0.18
201701,Name change,11,1.27,0.00%,21.43%,00:02:11,2.64
201701,Newtownards,11,2,27.27%,9.09%,00:00:46,1.82
201701,parental leave,11,1.18,0.00%,23.08%,00:02:12,1.64
201701,paternity leave,11,1.27,0.00%,21.43%,00:08:45,3.18
201701,practical test,11,1.55,0.00%,17.65%,00:09:43,3.27
201701,Provisional driving licence,11,2.09,0.00%,21.74%,00:03:29,2.36
