Department family,Entity,Date Paid,Expense type,Expense area,Supplier,Transaction number,Amount,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Refurbishment,Hospital Development,Medicinq Osborne,381404,683980.67,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Domestic Services,Environmental Services,Mitie Cleaning & Support Service Ltd,381432,248548.18,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Portering Services,Environmental Services,Mitie Cleaning & Support Service Ltd,381432,120206.93,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Help Desk,Environmental Services,Mitie Cleaning & Support Service Ltd,381432,3242.53,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Car Parking,Environmental Services,Mitie Cleaning & Support Service Ltd,381432,5329.12,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Security Services,Environmental Services,Mitie Cleaning & Support Service Ltd,381432,65315.96,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,379420,60731.45,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,380157,56948.23,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,380865,48076.51,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,380864,49501.49,
Department of Health,North Middlesex University Hospital NHS Trust,14-Dec-10,Insurance,Nursing and Patient Services,Nhs Litigation Authority,NHSLA09,312769,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-10,Drugs,Pharmacy,Gilead Sciences Ltd,382471,31137.03,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-10,Drugs,Pharmacy,Gilead Sciences Ltd,382484,27410.31,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-10,Bank Nurses,Hospital Wide,Nhs Professionals,381274,113986.17,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-10,Refurbishment,Hospital Development,Bynorth Ltd,382614,25861.9,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-10,Catering Contract,Environmental Services,Medirest - Compass Group Uk & Ireland,381539,143239.94,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-10,Decanting,Hospital Development,Moving Services Group Uk Ltd,371714,45761.98,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Bank Nurses,Hospital Wide,Nhs Professionals,382053,113363.19,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Patient Transport,Environmental Services,M&L Ambulance Service,383385,73966.45,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Patient Transport,Environmental Services,M&L Ambulance Service,380096,73966.45,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Sterile Services Contract,Environmental Services,Synergy Healthcare (Uk) Ltd,381303,60912,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,PFI Unitary Payment,New Hospital,Bynorth Ltd,382900,1347829.63,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Gas,Environmental Services,Dalkia Utilities Services,382816,36015.62,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Therapy Services,Therapies,Nhs Haringey Provider Services,382166,230716,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Refurbishment,Hospital Development,Lee Security London Ltd,378204,39561.65,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,382069,40458.23,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Printing and Copying,Hospital Wide,The Danwood Group Ltd,381416,55921.31,
Department of Health,North Middlesex University Hospital NHS Trust,22-Dec-10,Building Lease,Hospital Development,Trustees Ltd,383563,29477.81,
Department of Health,North Middlesex University Hospital NHS Trust,31-Dec-10,Medical Equipment,New Hospital,Olympus Key Med,775493580,48529.86,
Department of Health,North Middlesex University Hospital NHS Trust,31-Dec-10,Medical Equipment,New Hospital,Olympus Key Med,775493581,56282.5,
,,
