CP No.,Route,Divn.,Location,Channel 1,Channel 2,Easting,Northing,24 Hour AADT (7 day flow),24 Hour AADT (7 day flow) rounded,% HGV (7 day flow),AM mean weekday peak hour (5 day flow),AM mean weekday peak hour (5 day flow) rounded,AM mean weekday peak hour (5 day flow) start time,PM mean weekday peak hour (5 day flow),PM mean weekday peak hour (5 day flow) rounded,PM mean weekday peak hour (5 day flow) start time,24 Hour 7 Day Flow CH. 1,24 Hour 7 Day Flow CH. 2,24 Hour 7 Day Flow CH. 1 (rounded),24 Hour 7 Day Flow CH. 2 (rounded),Percentage Traffic Composition (car / van),Percentage Traffic Composition (med com),Percentage Traffic Composition (rigid),Percentage Traffic Composition (artic),Percentage Traffic Composition (bus / coach),24 Hour 5 Day Flow CH. 1,24 Hour 5 Day Flow CH. 2,24 Hour AADT (5 day flow),24 Hour 5 Day Flow CH. 1 (rounded),24 Hour 5 Day Flow CH. 2 (rounded),24 Hour AADT (5 day flow) rounded,AM peak hour flow weekday channel 1,AM peak hour flow weekday channel 1 (rounded),AM peak hour flow weekday channel 1 start time,PM peak hour flow weekday channel 1,PM peak hour flow weekday channel 1 (rounded),PM peak hour flow weekday channel 1 start time,AM peak hour flow weekday channel 2,AM peak hour flow weekday channel 2 (rounded),AM peak hour flow weekday channel 2 start time,PM peak hour flow weekday channel 2,PM peak hour flow weekday channel 2 (rounded),PM peak hour flow weekday channel 2 start time,2012 24 Hour AADT (7 day flow) rounded,2013 %age incr/decr over 2012 24HrAADT (7 day flow),2013 24 Hour AADT (7 day flow) rounded,2014 %age incr/decr over 2013 24HrAADT (7 day flow),2014 24 Hour AADT (7 day flow) rounded,Comments
126,A29,West,"Maghera - Swatragh (at Grillagh Picnic Area, North of B75)",To Swatragh,To Maghera,285893,403416,"6,345","6,350",5.6,485,490,08:00,642,640,17:00,3188,3157,3190,3160,85.7,8.7,3.2,2.2,0.2,3267,3205,"6,472",3270,3210,"6,480",228,230,08:00,340,340,17:00,256,260,08:00,302,300,17:00,"6,120",2.94,"6,300",0.79,"6,350",
127,A54,West,Portgleone - Bellaghy (near Portglenone),To Portglenone,To Bellaghy,297165,403635,"3,695","3,700",-,271,270,08:00,373,370,17:00,1870,1825,1870,1830,-,-,-,-,-,1969,1930,"3,899",1970,1930,"3,900",153,150,08:00,181,180,17:00,119,120,08:00,192,190,17:00,"3,330",3.9,"3,460",6.94,"3,700",
128,A31,West,Castledawson - Magherafelt (South West of Bowmans Road),To Magherafelt,To Castledawson,291431,392200,"14,690","14,690",-,1072,1070,08:00,1151,1150,17:00,6998,7692,7000,7690,-,-,-,-,-,7306,8129,"15,435",7310,8130,"15,440",593,590,08:00,544,540,18:00,506,510,07:00,642,640,16:00,"15,320",-,-,-,"14,690",
129,A57,North,"International Airport - Templepatrick, at Airport",To Templepatrick,To International Airport,317367,381581,"11,084","11,080",-,827,830,07:00,933,930,17:00,5622,5462,5620,5460,-,-,-,-,-,5978,5916,"11,894",5980,5920,"11,900",398,400,08:00,524,520,17:00,465,470,07:00,466,470,16:00,"11,830",13.61,"13,440",-17.56,"11,080","Mar, Apr & May 2014"
130,A26,North,"Ballymena - Larne, at Ballykeel",To Ballymena,To Larne,312126,401913,"18,192","16,390",-,1263,1260,08:00,1615,1620,16:00,7835,8552,7840,8550,-,-,-,-,-,8577,9252,"17,829",8580,9250,"17,830",851,850,08:00,602,600,16:00,578,580,11:00,948,950,16:00,"14,270",16.89,"16,680",-1.74,"16,390",
131,A36,North,"Ballymena - Larne, at Moorfield",To Ballymena,To Larne,315257,400640,"5,416","5,410",-,554,550,08:00,553,550,17:00,2733,2683,2730,2680,-,-,-,-,-,3053,2979,"6,032",3050,2980,"6,030",348,350,08:00,243,240,17:00,206,210,08:00,310,310,17:00,-,-,"4,800",12.71,"5,410",
132,M2,North,Rathbeg (Junction 6) - Templepatrick (Junction 5),To Belfast,To Toome,320979,387345,"41,635","41,640",6.5,3962,3960,08:00,4394,4390,17:00,20777,20858,20780,20860,90.5,3,1.5,4.1,0.9,23134,22909,"46,043",23130,22910,"46,040",1765,1770,08:00,2609,2610,17:00,"2,652",2650,08:00,1785,1790,17:00,"40,360",0.64,"40,620",2.51,"41,640",
133,A6,West,"Castledawson By – Pass, at Bridge over Moyola",To Londonderry,To Belfast,293792,392310,"17,140","17,140",-,1381,1380,08:00,1563,1560,17:00,8390,8750,8390,8750,-,-,-,-,-,9061,9452,"18,513",9060,9450,"18,510",570,570,08:00,944,940,17:00,926,930,07:00,636,640,16:00,"16,210",6.11,"17,200",-0.35,"17,140","Data for 24/03/13 - 02/07/14, 06/07/14 - 15/07/14 & 23/09/14 - 05/11/14"
135,A8,East,"Larne - Ballynure, at Craiginorne",To Larne,From Larne,335000,398270,"12,285","12,280",-,1135,1140,08:00,1202,1200,17:00,6003,6282,6000,6280,-,-,-,-,-,6714,7022,"13,736",6710,7020,"13,730",473,470,08:00,679,680,17:00,728,730,07:00,526,530,16:00,"12,880",0.78,"12,980",-5.39,"12,280",24/09/14 - 31/12/14 
136,B52,North,Junction with A42  - Junction with B18,To Randalstown,To Portglenone,300103,399453,"3,944","3,940",-,359,360,08:00,439,440,17:00,1990,1954,1990,1950,-,-,-,-,-,2141,2101,"4,242",2140,2100,"4,240",279,280,07:00,138,140,17:00,124,120,08:00,301,300,17:00,"3,640",2.2,"3,720",5.91,"3,940",
137,B64,North,Junction with B64  - Junction with B93,To Cullybackey,To Rasharkin,301253,408995,"3,583","3,580",-,268,270,07:00,400,400,17:00,1822,1761,1820,1760,-,-,-,-,-,1952,1881,"3,833",1950,1880,"3,830",206,210,07:00,133,130,17:00,88,90,11:00,267,270,17:00,"3,330",3,"3,430",4.37,"3,580",
138,B148,North,Junction with A2  - Junction with A8,To Carncastle,To Larne,336718,404953,"1,768","1,770",-,148,150,07:00,172,170,17:00,875,893,880,890,-,-,-,-,-,907,929,"1,836",910,930,"1,840",47,50,08:00,117,120,17:00,118,120,07:00,59,60,16:00,"1,580",1.9,"1,610",9.94,"1,770",
139,B120,North,"Larne, Old Glenarm Road, Cairncastle",To Larne,To Ballygalley,337739,406200,"1,422","1,420",-,102,100,08:00,123,120,17:00,713,709,710,710,-,-,-,-,-,743,738,"1,481",740,740,"1,480",67,70,08:00,54,50,14:00,44,40,11:00,75,80,17:00,"1,430",-3.5,"1,380",2.9,"1,420",
140,C/UC,North,"Ahoghill, Straid Road",To Ahoghill,To Randalstown,305792,401247,478,470,-,50,50,08:00,63,60,17:00,254,224,250,220,-,-,-,-,-,283,248,531,280,250,530,16,20,08:00,46,50,17:00,34,30,08:00,17,20,17:00,470,-2.13,460,2.17,470,
141,C/UC,West,Maghera Craigadick Road (U5053 near A6),To Maghera,From Maghera,284772,399869,748,750,7.5,48,50,08:00,79,80,18:00,355,393,360,390,90.1,2.4,7,0.5,0,369,407,776,370,410,780,22,20,08:00,39,40,20:00,26,30,08:00,43,40,18:00,810,-3.7,780,-3.85,750,
142,C/UC,North,Ballygalley Castle Hotel,To Ballygalley,To Cairncastle,337218,407733,964,970,-,106,110,08:00,88,90,14:00,468,496,470,500,-,-,-,-,-,485,511,996,490,510,"1,000",57,60,08:00,44,40,14:00,49,50,08:00,44,40,14:00,890,-4.49,850,14.12,970,
143,C/UC,North,"Broughshane, Caherty Road",To Broughshane,To Crebilly,315252,405662,764,760,-,55,60,08:00,88,90,17:00,451,313,450,310,-,-,-,-,-,490,335,825,490,340,830,29,30,11:00,63,60,17:00,26,30,08:00,26,30,15:00,-,-,690,10.14,760,
144,C/UC,West,"Draperstown, Bancran Road (near junction with B162)",To Draperstown,From Draperstown,275606,395360,667,670,5.9,46,50,08:00,62,60,17:00,337,330,340,330,79.4,14.7,5.2,0.6,0.1,347,339,686,350,340,690,32,30,08:00,24,20,17:00,18,20,11:00,38,40,17:00,660,-3.03,640,4.69,670,
145,C/UC,North,Ballygalley (at Old Mill),To Larne,To Ballygalley,339287,405015,"3,295","3,290",-,209,210,11:00,262,260,17:00,1662,1633,1660,1630,-,-,-,-,-,1654,1616,"3,270",1650,1620,"3,270",114,110,08:00,128,130,15:00,106,110,11:00,152,150,17:00,"3,240",1.85,"3,300",-0.3,"3,290",
146,C/UC,West,Draperstown Mulhavoo Road (U5254 near junction with B41),To Draperstown,From Moneyneany,278687,395567,47,40,19.6,4,4,11:00,4,4,15:00,23,24,20,20,66.1,14.3,12.5,7.1,0,23,24,47,20,20,40,2,2,11:00,2,2,17:00,2,2,11:00,2,2,15:00,40,0,40,0,40,
147,C/UC,East,Pollindoo (North West of Carrickfergus),To Carrick,From Carrick,339997,393524,282,280,3.2,22,20,08:00,24,20,17:00,138,144,140,140,86.9,9.9,2.1,1.1,0,144,149,293,140,150,290,13,10,08:00,11,10,18:00,9,9,08:00,14,10,16:00,310,-6.45,290,-3.45,280,
148,A57,North,"Ballyclare Road, Templepatrick",To Ballyclare,To Templepatrick,323536,385947,"13,310","13,310",-,1216,1220,08:00,1304,1300,17:00,6724,6586,6720,6590,-,-,-,-,-,7323,7123,"14,446",7320,7120,"14,440",598,600,08:00,703,700,17:00,618,620,08:00,601,600,17:00,-,-,"12,230",8.83,"13,310",Data available 23/09/14 - 31/12/14
149,A6,East,"Belfast Road, Mallusk",To Mallusk,To Templepatrick,323667,385747,"4,019","4,020",-,436,440,08:00,380,380,17:00,2018,2001,2020,2000,-,-,-,-,-,2188,2183,"4,371",2190,2180,"4,370",135,140,08:00,253,250,17:00,301,300,08:00,137,140,14:00,-,-,"3,500",14.86,"4,020",
150,A6,West,"Toome By – Pass, West of Bann Bridge",To Londonderry,From Castledawson,298437,391250,"17,009","17,010",10.1,1393,1390,08:00,1618,1620,17:00,8513,8496,8510,8500,83.1,6.8,5.8,4.2,0.1,9179,9255,"18,434",9180,9260,"18,440",858,860,07:00,626,630,16:00,581,580,08:00,1005,1010,17:00,"17,350",-0.63,"17,240",-1.33,"17,010",
151,A6,North,Between Templepatrick Roundabout & Kilmakee Roundabout,To International Airport,To Ballyclare,322365,385329,"14,951","14,950",-,1315,1320,08:00,1398,1400,17:00,7309,7642,7310,7640,-,-,-,-,-,7908,8317,"16,225",7910,8320,"16,230",644,640,08:00,684,680,17:00,336,340,08:00,358,360,16:00,-,-,"14,990",-0.27,"14,950",
153,A26,North,"Old Stone Road, Muckamore",To Killead,To Antrim,317153,382531,"8,625","8,630",6.7,962,960,08:00,974,970,17:00,4409,4216,4410,4220,87.4,5.9,5.5,1.2,0,4823,4626,"9,449",4820,4630,"9,450",570,570,08:00,459,460,17:00,432,430,07:00,515,520,17:00,"8,610",0.35,"8,640",-0.12,"8,630",
154,A57,North,"Dublin Road, Antrim",To Antrim,To International Airport,314397,384314,"8,154","8,160",7.9,727,730,08:00,799,800,17:00,3976,4178,3980,4180,87.8,4.3,4.7,3.2,0,4356,4540,"8,896",4360,4540,"8,900",327,330,08:00,455,460,17:00,400,400,08:00,365,370,16:00,"7,860",-1.15,"7,770",5.02,"8,160",
155,B518,North,"Stiles Way, Antrim",To Ballymena Road,To Steeple Road,314560,388307,"11,902","11,900",2,821,820,08:00,1123,1120,17:00,6080,5822,6080,5820,95,3,1.7,0.3,0,6480,6227,"12,707",6480,6230,"12,710",408,410,11:00,575,580,17:00,439,440,08:00,548,550,17:00,"12,400",-0.32,"12,360",-3.72,"11,900",Very little 2014 data 01/01/14 - 10/02/14 
156,A36,North,"Moorfields Road, Ballymena",To Ballymena,To Larne,314191,401214,"7,631","7,640",8.7,734,730,08:00,793,790,17:00,3766,3865,3770,3870,85.9,5.4,5.9,2.8,0,4118,4251,"8,369",4120,4250,"8,370",274,270,08:00,435,440,17:00,461,460,08:00,357,360,17:00,"7,420",0.54,"7,460",2.41,"7,640",
157,A6,North,"Belmont Road, Muckamore",To Dublin Road,To Belfast Road,315909,385774,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,650",-,-,-,0,No data
158,B101,North,"Dundrod Road, Nutts Corner",To Dundrod,To Nutts Corner,319797,377731,"9,595","9,600",7.6,1147,1150,08:00,1072,1070,17:00,4805,4790,4810,4790,87.1,5.3,5.1,2.5,0,5363,5304,"10,667",5360,5300,"10,660",637,640,08:00,548,550,17:00,510,510,08:00,535,540,16:00,"9,530",-2.94,"9,250",3.78,"9,600",
159,B39,North,"Seven Mile Straight, Ballyrobin",To Loanends,To Antrim,319936,383022,"2,630","2,630",-,358,360,08:00,279,280,17:00,1232,1398,1230,1400,-,-,-,-,-,1368,1577,"2,945",1370,1580,"2,950",131,130,08:00,148,150,16:00,227,230,08:00,140,140,17:00,"2,530",0.79,"2,550",3.14,"2,630",
160,B59,North,"Ballymena Road, Doagh",To Ballymena,To Doagh,321310,393349,"2,674","2,680",7.1,263,260,08:00,276,280,17:00,1329,1345,1330,1350,87.6,5.3,6.1,1,0,1449,1465,"2,914",1450,1470,"2,920",107,110,08:00,154,150,17:00,157,160,08:00,122,120,16:00,"2,720",8.09,"2,940",-8.84,"2,680",
161,C47,North,"Tullygarley Road, Ballymena",To Galgorm Road,To Toome Road,309122,401708,"12,012","12,020",3.4,1140,1140,08:00,1212,1210,17:00,5637,6375,5640,6380,93.7,2.9,2.6,0.8,0,6118,6944,"13,062",6120,6940,"13,060",492,490,08:00,608,610,17:00,648,650,08:00,651,650,16:00,"11,710",2.48,"12,000",0.17,"12,020",
163,A42,North,"Parkway, Ballymena",To Thomas Street,To Ballymoney Road,310915,403868,"15,014","15,010",2.7,1098,1100,08:00,1353,1350,15:00,7503,7511,7500,7510,94.8,2.5,2.6,0.1,0,8096,8181,"16,277",8100,8180,"16,280",604,600,08:00,619,620,15:00,528,530,11:00,771,770,16:00,"14,600",2.67,"14,990",0.13,"15,010",
164,B18,North,Roguery Road Toomebridge,To Toome,To Moneyglass,299531,391343,"6,345","6,350",-,600,600,08:00,701,700,17:00,3189,3156,3190,3160,-,-,-,-,-,3445,3393,"6,838",3450,3390,"6,840",300,300,08:00,381,380,17:00,301,300,08:00,320,320,17:00,-,-,"6,110",3.93,"6,350",
165,B518,North,Ballycraigy Rd Muckamore Antrim At Community Ctr,To Belfast Road,To Ballycraigy Road,317172,386369,"8,043","8,040",-,731,730,08:00,798,800,17:00,3941,4102,3940,4100,-,-,-,-,-,4354,4516,"8,870",4350,4520,"8,870",338,340,08:00,419,420,17:00,393,390,08:00,378,380,17:00,-,-,"7,990",0.63,"8,040",
201,M1,East,Broadway (Junction 1) - Stockman's Lane (Junction 2),To Belfast,From Belfast,331678,372509,"85,800","85,800",5.3,6876,6880,07:00,7423,7420,16:00,42089,43711,42090,43710,92.3,2.4,1.2,3.3,0.8,45963,47503,"93,466",45960,47500,"93,460",2570,2570,08:00,4591,4590,16:00,"4,577",4580,07:00,2941,2940,14:00,"81,240",1.85,"82,740",3.7,"85,800",
202,M2,East,Fortwilliam Interchange – Outbound (Junction 1),Main Carriageway,-,334392,377404,"46,436","46,440",3.9,5033,5030,07:00,3199,3200,15:00,46436,-,46440,-,93.9,2.2,1.1,1.8,1,50810,-,"50,810",50810,-,"50,810",5033,5030,07:00,3199,3200,15:00,-,-,-,-,-,-,"48,750",-2.79,"47,390",-2,"46,440",
203,M2,East,Fortwilliam Interchange – Inbound (Junction 1),Main Carriageway,-,334437,378014,"49,533","49,530",3.8,2964,2960,07:00,5606,5610,15:00,49533,-,49530,-,94,2.2,1.1,1.7,1,54480,-,"54,480",54480,-,"54,480",2964,2960,07:00,5606,5610,15:00,-,-,-,-,-,-,"47,720",1.93,"48,640",1.83,"49,530",
204,M2,East,Greencastle (Junction 2) – Sandyknowes (Junction 4),To Belfast,From Belfast,332728,381319,"65,453","65,460",6.8,6062,6060,07:00,6530,6530,17:00,32725,32728,32730,32730,89.9,3.3,1.7,4.1,1,36561,36079,"72,640",36560,36080,"72,640",2237,2240,08:00,4214,4210,17:00,"4,100",4100,07:00,2316,2320,17:00,"63,850",0.75,"64,330",1.76,"65,460",
205,M2,East,Sandyknowes (Junction 4) – Templepatrick (Junction 5),To Belfast,From Belfast,326856,385319,"43,787","43,790",6.3,3966,3970,07:00,4448,4450,17:00,21835,21952,21840,21950,90.8,2.9,1.5,3.8,1,24150,23955,"48,105",24150,23960,"48,110",1592,1590,08:00,2732,2730,17:00,"2,725",2730,07:00,1736,1740,17:00,"42,700",0.61,"42,960",1.93,"43,790",
206,M5,East,Greencastle (Junction 2) - Whiteabbey,To Belfast,From Belfast,334643,379556,"31,852","31,860",2.3,2860,2860,07:00,2847,2850,16:00,16217,15635,16220,15640,96.1,1.6,0.6,0.7,1,17889,17276,"35,165",17890,17280,"35,170",976,980,07:00,1843,1840,16:00,"1,884",1880,07:00,1094,1090,15:00,"31,760",-0.88,"31,480",1.21,"31,860",
