Data is Unweighted,,,Q5,,,,,,,,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"For each of the statements below, how often do you feel this way about your job?",,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your job?,,,,,,,,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: job design and work pressure, and being respected and valued at work",,,a) I look forward to going to work,,,,,,b) I am enthusiastic about my job,,,,,,c) Time passes quickly when I am working ,,,,,,"a) I have clear, planned goals and objectives for my job",,,,,,b) I always know what my work responsibilities are,,,,,,c) I am trusted to do my job,,,,,,d) I am able to do my job to a standard I am personally pleased with,,,,,,a) There are frequent opportunities for me to show initiative in my role,,,,,,b) I am able to make suggestions to improve the work of my team / department,,,,,,c) I am involved in deciding on changes introduced that affect my work area / team / department,,,,,,d) I am able to make improvements happen in my area of work,,,,,,e) I am unable to meet all the conflicting demands on my time at work,,,,,,"f) I have adequate materials, supplies and equipment to do my work",,,,,,g) There are enough staff at this organisation for me to do my job properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP6,Moorfields Eye Hospital NHS Foundation Trust,Q36,3,11,22,36,28,307,1,7,18,33,42,307,2,3,19,32,45,306,1,5,14,55,25,308,1,4,7,52,36,308,1,2,9,46,42,306,2,3,9,46,41,308,3,10,20,47,20,306,2,6,16,57,19,308,9,14,22,39,16,307,6,11,24,43,16,306,8,30,29,26,8,303,2,9,16,57,17,304,8,17,26,39,10,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGM,Papworth Hospital NHS Foundation Trust,Q35,3,8,33,38,19,407,1,5,20,41,33,405,0,4,17,33,46,406,1,6,14,58,21,408,1,6,7,56,29,408,1,2,6,52,38,409,1,7,10,49,33,408,2,9,18,56,14,403,2,6,13,62,16,407,5,15,26,40,14,407,3,11,27,46,13,407,4,27,32,26,10,402,3,10,19,57,11,407,8,28,25,32,7,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPC,Queen Victoria Hospital NHS Foundation Trust,Q37,3,7,30,42,18,359,2,4,21,38,35,362,1,2,21,35,41,361,2,4,17,57,19,361,2,5,7,55,30,362,2,2,4,52,40,361,2,6,10,51,31,362,2,8,22,45,23,360,3,3,14,59,21,359,5,15,22,41,18,360,3,13,25,43,17,358,5,34,28,28,6,356,4,14,15,56,11,360,7,25,22,39,7,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT3,Royal Brompton and Harefield NHS Foundation Trust,Q36,3,9,29,38,22,352,2,5,22,39,32,354,2,4,18,39,38,352,3,6,13,56,22,357,1,3,6,57,33,355,2,1,5,49,43,353,2,3,7,54,33,354,3,7,16,52,22,355,3,6,12,53,26,356,5,13,19,44,18,354,4,10,23,47,17,355,5,27,28,33,7,352,5,11,14,55,15,355,7,21,21,43,8,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBB,Royal National Hospital for Rheumatic Diseases NHS Foundation Trust,Q39,8,9,32,38,13,208,6,6,25,36,27,208,4,4,18,38,37,208,4,12,14,51,19,210,2,11,9,51,26,210,2,5,8,49,37,209,2,9,12,47,30,210,3,8,19,50,19,209,2,9,15,53,20,210,7,16,24,40,13,210,4,15,20,44,17,210,4,29,27,27,13,207,6,19,22,44,8,208,10,28,26,32,4,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAN,Royal National Orthopaedic Hospital NHS Trust,Q36,2,6,32,38,22,334,1,4,24,33,38,332,2,2,18,31,47,333,1,8,16,53,21,335,1,7,7,51,34,334,1,2,7,50,40,332,1,6,8,51,35,332,2,8,18,53,19,333,2,7,14,56,21,332,7,12,24,40,16,329,4,11,24,46,14,332,5,25,32,30,8,327,3,13,17,53,13,331,9,25,25,36,6,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCU,Sheffield Children's NHS Foundation Trust,Q32,3,11,36,35,15,318,1,3,29,39,28,318,1,3,22,38,36,316,1,9,19,53,18,315,0,8,6,61,25,319,1,3,7,52,38,318,2,9,9,52,28,317,2,8,17,52,21,319,2,8,14,55,22,318,5,17,24,40,15,318,3,15,24,46,13,316,3,23,32,32,11,316,4,16,17,53,10,318,12,29,23,29,7,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBV,The Christie NHS Foundation Trust,Q31,3,9,36,36,16,430,1,5,28,38,29,428,1,5,20,40,35,431,1,7,17,55,19,429,0,6,8,58,28,430,0,1,3,54,41,429,1,7,9,52,31,429,1,10,18,50,21,428,2,4,12,58,23,428,6,14,21,42,18,428,3,10,23,47,17,427,5,27,27,31,9,427,2,15,18,55,10,426,9,30,19,34,8,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,Q31,2,9,34,42,14,274,0,3,26,43,28,274,0,3,18,35,44,274,2,7,13,56,21,272,1,8,7,61,23,274,0,2,5,53,39,275,1,10,11,52,26,275,0,8,14,53,26,274,1,9,8,58,25,273,5,17,15,43,20,275,3,14,21,44,19,274,2,25,32,29,12,272,1,14,17,57,11,275,10,29,31,26,4,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Q34,6,11,30,38,15,322,2,6,27,37,28,320,2,4,22,34,37,318,2,6,20,58,14,322,2,6,9,58,25,322,2,1,9,54,34,321,3,6,10,50,31,321,4,10,21,47,18,320,3,9,18,53,17,320,9,18,21,39,13,317,5,17,27,38,13,317,4,28,28,29,12,316,3,15,20,52,10,317,18,22,21,31,9,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPY,The Royal Marsden NHS Foundation Trust,Q36,2,8,30,42,19,481,0,4,22,41,32,480,0,3,18,33,46,480,2,8,15,54,21,482,1,8,8,51,32,483,1,2,6,48,44,482,2,9,9,49,31,484,1,7,19,51,22,484,2,5,16,53,24,484,4,14,23,41,17,485,2,11,24,46,17,483,4,29,26,29,12,482,5,11,17,52,14,482,12,27,19,34,8,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,Q34,4,10,29,38,19,295,1,3,22,39,35,296,1,2,22,35,39,296,1,7,17,55,21,297,0,6,8,53,33,296,1,1,6,51,40,296,0,9,8,49,34,296,1,8,18,53,21,297,1,7,14,55,23,296,6,13,22,40,19,297,3,11,22,45,19,296,3,24,32,31,11,293,6,14,20,46,13,295,11,27,23,31,9,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RET,The Walton Centre NHS Foundation Trust,Q31,5,14,30,38,14,316,2,7,25,36,30,315,2,4,19,35,41,314,2,7,16,57,18,316,1,3,7,60,29,315,2,5,8,50,36,315,4,6,9,48,33,314,4,12,21,47,16,315,4,10,20,50,16,315,7,23,24,33,13,315,5,19,27,39,10,314,4,28,27,30,11,313,2,9,15,62,12,313,12,26,20,36,7,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACUTE TRUSTS,--,4,11,33,36,16,"56,913",2,5,25,37,32,"56,776",2,4,19,34,41,"56,823",2,7,17,55,19,"56,909",1,5,7,55,31,"57,052",1,2,5,50,42,"57,028",3,9,9,46,34,"56,922",3,10,19,50,18,"56,873",3,8,16,54,19,"56,931",7,19,23,37,14,"56,841",5,15,26,41,13,"56,728",4,24,29,32,11,"56,493",6,19,19,46,9,"56,797",18,31,22,25,5,"56,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM,Aintree University Hospital NHS Foundation Trust,Q31,5,13,36,32,14,372,1,8,26,37,27,371,4,4,17,34,41,369,3,9,17,56,15,368,2,5,6,52,35,371,2,2,4,48,44,371,1,6,10,45,38,373,4,9,18,54,15,370,5,6,14,59,17,369,8,17,21,42,11,372,7,13,26,45,9,370,3,26,29,32,11,368,4,18,22,47,8,373,16,35,22,22,5,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCF,Airedale NHS Foundation Trust,Q32,4,12,35,32,16,341,2,5,28,37,28,341,1,3,19,32,44,340,3,7,19,52,19,340,2,7,7,56,28,341,1,2,7,52,37,340,4,9,12,48,27,339,2,10,20,53,15,339,3,7,13,59,18,337,4,17,24,41,14,338,3,14,27,45,12,337,2,22,30,31,15,334,5,21,22,46,6,336,18,38,19,22,2,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Q37,4,14,34,29,19,401,2,5,25,34,33,401,2,3,19,34,42,402,4,8,13,58,17,400,1,5,5,59,29,405,1,2,5,54,38,403,4,8,12,44,33,404,1,13,19,49,18,403,3,6,17,58,15,403,8,17,26,35,14,403,5,15,24,41,14,403,7,22,27,30,15,398,6,17,24,44,8,402,23,31,22,22,3,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",Q36,4,12,34,32,17,327,1,6,25,34,34,326,1,4,21,29,45,326,1,6,16,58,18,329,1,4,6,57,32,328,1,2,7,48,43,329,2,4,9,50,35,327,2,13,19,53,14,327,2,11,22,49,15,325,7,21,28,35,9,323,5,16,30,40,10,326,5,23,34,32,6,325,6,25,23,42,5,328,18,38,20,24,1,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVL,Barnet And Chase Farm Hospitals NHS Trust,Q36,2,11,36,33,17,444,1,5,22,37,34,442,2,4,19,33,42,442,2,5,18,52,22,441,1,4,6,53,37,444,1,1,6,47,46,445,2,6,9,44,39,443,1,10,19,50,20,440,2,10,15,53,20,441,7,23,25,33,12,442,4,16,23,43,14,439,3,26,30,29,12,432,4,19,16,49,12,443,16,30,24,23,6,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFF,Barnsley Hospital NHS Foundation Trust,Q32,5,13,39,33,11,510,1,6,29,39,25,507,0,4,20,42,34,508,1,6,19,57,17,510,0,4,6,63,26,510,0,2,5,57,35,509,2,7,13,49,29,509,1,6,20,57,15,508,1,6,17,59,17,508,5,17,26,40,12,505,2,14,30,43,10,506,2,25,33,32,9,504,3,12,19,54,12,508,17,29,25,24,4,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1H,Barts Health NHS Trust,Q36,3,11,28,38,19,320,4,4,23,34,34,317,2,6,17,33,42,323,3,6,11,59,21,322,2,3,8,51,37,322,2,1,5,47,46,323,2,6,9,43,41,322,4,8,14,52,21,322,2,7,14,55,22,323,7,20,18,37,17,323,4,16,21,41,18,320,7,21,31,31,9,322,7,22,21,41,9,322,18,34,20,24,5,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,Q35,5,13,28,36,17,286,2,7,26,32,32,284,3,5,19,33,40,286,3,3,20,51,23,287,1,5,9,55,30,287,0,1,7,49,43,286,2,7,10,49,33,286,3,8,16,53,19,288,2,9,16,52,21,287,9,15,21,38,16,286,5,13,24,43,14,286,3,22,31,32,13,286,7,19,18,45,10,288,22,26,18,29,5,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC1,Bedford Hospital NHS Trust,Q35,1,9,28,34,27,422,1,5,23,34,37,421,1,2,19,32,46,422,0,7,18,57,17,424,1,3,8,57,32,426,0,2,5,52,40,425,1,7,11,49,32,424,2,8,19,52,19,422,2,7,15,57,19,423,6,16,20,40,18,423,5,13,26,40,17,424,5,22,27,33,12,419,5,20,18,50,7,424,17,31,21,27,3,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Q31,4,10,33,36,18,394,1,5,22,36,36,394,1,2,20,32,45,395,2,4,19,54,21,396,1,3,6,52,38,398,1,1,3,50,45,397,2,6,9,46,37,397,2,8,17,51,22,395,1,7,14,57,21,396,3,18,21,39,18,397,3,12,26,44,15,396,6,23,29,32,11,392,4,15,18,50,13,394,15,31,24,25,5,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMC,Bolton NHS Foundation Trust,Q31,3,11,30,43,14,456,1,4,22,39,33,457,1,3,18,36,42,457,1,6,20,54,18,456,1,5,8,56,31,457,1,2,5,47,45,458,2,8,7,49,35,457,1,9,16,56,17,454,2,9,12,58,19,456,6,17,19,43,15,455,4,14,20,49,13,453,5,22,29,33,12,452,7,20,16,48,9,454,15,31,23,27,4,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAE,Bradford Teaching Hospitals NHS Foundation Trust,Q32,3,8,34,40,16,310,1,2,24,38,35,309,1,3,18,36,42,309,2,4,16,54,25,310,1,5,8,46,40,310,1,2,4,47,47,311,2,6,6,46,39,311,2,8,15,50,25,311,5,6,12,54,24,310,8,16,23,37,17,310,5,15,23,44,13,311,5,31,26,30,8,308,6,12,15,56,10,311,17,23,21,35,4,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXH,Brighton And Sussex University Hospitals NHS Trust,Q37,3,12,32,37,17,369,1,5,29,36,29,369,1,4,21,38,36,370,3,9,17,53,19,371,1,5,8,58,29,371,1,2,3,48,46,371,2,8,10,48,32,370,2,9,19,49,22,369,2,5,16,55,22,371,5,17,23,39,16,370,3,18,25,43,12,370,5,22,25,36,13,368,11,27,17,38,7,369,22,32,20,22,4,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXQ,Buckinghamshire Healthcare NHS Trust,Q38,4,13,30,39,14,436,2,6,25,38,29,433,1,3,22,33,41,435,1,9,18,55,17,436,1,6,9,57,26,435,1,1,6,57,36,436,2,8,14,47,29,435,3,9,24,47,18,435,3,9,18,54,16,437,10,18,24,37,10,433,6,17,27,39,11,436,4,23,27,32,14,432,7,23,23,41,6,434,18,36,24,18,3,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,Burton Hospitals NHS Foundation Trust,Q34,4,16,34,34,13,382,1,6,29,36,29,381,1,3,19,37,41,382,2,8,19,56,15,384,2,4,8,59,27,384,2,2,4,51,42,382,4,9,9,47,31,381,3,8,18,52,19,381,4,7,15,56,17,384,7,18,21,40,15,384,7,18,24,38,14,383,6,24,28,31,11,377,4,15,20,51,10,382,18,36,21,20,4,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
