A3131. Expenditure Over Threshold Report (AP),,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DIABETES SNR MEDICAL,LIAISON FINANCIAL SERVICES LTD,20424220,54.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GEN MEDICINE MEDICAL STF,LIAISON FINANCIAL SERVICES LTD,20424220,647.25,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,OBS + GYNAE MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424220,"1,456.32",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,ORTHOPAEDIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424220,760.61,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PAEDIATRIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424220,"1,211.13",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PHARMACY GENERAL,LIAISON FINANCIAL SERVICES LTD,20424220,67.49,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,SEDDON SUITE TRAUMA REHAB UNIT,LIAISON FINANCIAL SERVICES LTD,20424220,108.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,SOHT Histopathology Medical Staff,LIAISON FINANCIAL SERVICES LTD,20424220,298.80,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,THEATRES MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424220,468.60,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,A + E MEDICAL STAFF WH,LIAISON FINANCIAL SERVICES LTD,20424221,"1,398.08",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,B + P MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424221,517.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,CARE OF ELDERLY MED STAFF,LIAISON FINANCIAL SERVICES LTD,20424221,135.61,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DERMATOLOGY,LIAISON FINANCIAL SERVICES LTD,20424221,318.75,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DIABETES SNR MEDICAL,LIAISON FINANCIAL SERVICES LTD,20424221,444.56,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,ENT MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424221,513.51,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GEN MEDICINE MEDICAL STF,LIAISON FINANCIAL SERVICES LTD,20424221,420.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GENERAL SURGERY MEDICAL,LIAISON FINANCIAL SERVICES LTD,20424221,672.75,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,OBS + GYNAE MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424221,710.29,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,ORTHOPAEDIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424221,100.81,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PAEDIATRIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424221,"1,271.11",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,RADIOLOGY MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424221,129.94,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,SEDDON SUITE TRAUMA REHAB UNIT,LIAISON FINANCIAL SERVICES LTD,20424221,539.98,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,SOHT Histopathology Medical Staff,LIAISON FINANCIAL SERVICES LTD,20424221,373.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,THEATRES MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424221,359.44,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,A + E MEDICAL STAFF WH,LIAISON FINANCIAL SERVICES LTD,20424222,"1,773.53",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,B + P MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424222,69.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,CARE OF ELDERLY MED STAFF,LIAISON FINANCIAL SERVICES LTD,20424222,454.55,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DERMATOLOGY,LIAISON FINANCIAL SERVICES LTD,20424222,450.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,ENT MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424222,310.75,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GEN MEDICINE MEDICAL STF,LIAISON FINANCIAL SERVICES LTD,20424222,555.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GENERAL SURGERY MEDICAL,LIAISON FINANCIAL SERVICES LTD,20424222,"1,030.57",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,OBS + GYNAE MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424222,953.89,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,ORTHOPAEDIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424222,516.75,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PAEDIATRIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424222,678.88,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PHARMACY GENERAL,LIAISON FINANCIAL SERVICES LTD,20424222,78.49,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,RADIOLOGY MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424222,"1,302.83",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,SEDDON SUITE TRAUMA REHAB UNIT,LIAISON FINANCIAL SERVICES LTD,20424222,108.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,THEATRES MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424222,370.09,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,A + E MEDICAL STAFF WH,LIAISON FINANCIAL SERVICES LTD,20561430,"1,163.03",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,B + P MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20561430,177.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DERMATOLOGY,LIAISON FINANCIAL SERVICES LTD,20561430,300.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DIABETES SNR MEDICAL,LIAISON FINANCIAL SERVICES LTD,20561430,363.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,ENT MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20561430,592.01,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GEN MEDICINE MEDICAL STF,LIAISON FINANCIAL SERVICES LTD,20561430,367.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GENERAL SURGERY MEDICAL,LIAISON FINANCIAL SERVICES LTD,20561430,772.46,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,OBS + GYNAE MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20561430,"1,003.93",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,ORTHOPAEDIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20561430,539.25,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PAEDIATRIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20561430,548.36,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PHARMACY GENERAL,LIAISON FINANCIAL SERVICES LTD,20561430,56.25,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,RADIOLOGY MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20561430,31.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,SEDDON SUITE TRAUMA REHAB UNIT,LIAISON FINANCIAL SERVICES LTD,20561430,256.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,SOHT Histopathology Medical Staff,LIAISON FINANCIAL SERVICES LTD,20561430,675.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,THEATRES MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20561430,109.16,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,UROLOGY MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20561430,652.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,A + E MEDICAL STAFF WH,LIAISON FINANCIAL SERVICES LTD,20603131,"1,340.60",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,B + P MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20603131,954.70,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,CARE OF ELDERLY MED STAFF,LIAISON FINANCIAL SERVICES LTD,20603131,137.41,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DERMATOLOGY,LIAISON FINANCIAL SERVICES LTD,20603131,487.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DIABETES SNR MEDICAL,LIAISON FINANCIAL SERVICES LTD,20603131,342.38,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GEN MEDICINE MEDICAL STF,LIAISON FINANCIAL SERVICES LTD,20603131,300.00,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GENERAL SURGERY MEDICAL,LIAISON FINANCIAL SERVICES LTD,20603131,165.19,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,OBS + GYNAE MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20603131,356.85,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PAEDIATRIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20603131,"1,089.87",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PHARMACY GENERAL,LIAISON FINANCIAL SERVICES LTD,20603131,53.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,RADIOLOGY MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20603131,274.59,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,SOHT Histopathology Medical Staff,LIAISON FINANCIAL SERVICES LTD,20603131,373.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,THEATRES MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20603131,290.21,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,A + E MEDICAL STAFF WH,LIAISON FINANCIAL SERVICES LTD,20682231,"1,709.57",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,B + P MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20682231,543.58,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,CARE OF ELDERLY MED STAFF,LIAISON FINANCIAL SERVICES LTD,20682231,136.22,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DERMATOLOGY,LIAISON FINANCIAL SERVICES LTD,20682231,487.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DIABETES SNR MEDICAL,LIAISON FINANCIAL SERVICES LTD,20682231,276.38,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GEN MEDICINE MEDICAL STF,LIAISON FINANCIAL SERVICES LTD,20682231,367.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,GENERAL SURGERY MEDICAL,LIAISON FINANCIAL SERVICES LTD,20682231,140.49,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,OBS + GYNAE MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20682231,238.56,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PAEDIATRIC MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20682231,533.27,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,PHARMACY GENERAL,LIAISON FINANCIAL SERVICES LTD,20682231,49.53,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,RADIOLOGY MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20682231,384.60,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,SOHT Histopathology Medical Staff,LIAISON FINANCIAL SERVICES LTD,20682231,373.50,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,THEATRES MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20682231,282.23,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Lab Equip Maint Contracts,HAEM + BLOOD TRANSFUSION,SYSMEX UK LTD,20742167,"26,087.57",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Lab Equip Maint Contracts,HAEM + BLOOD TRANSFUSION,SYSMEX UK LTD,20742169,"26,087.57",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Laboratory Equipment,MICROBIOLOGY DEPT,CHRYSTAL CONSULTING LTD,20540471,"50,334.83",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Laboratory Equipment,MICROBIOLOGY DEPT,CHRYSTAL CONSULTING LTD,20541107,"58,842.88",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Laboratory Test Kits,SOHT Blood Sciences,CHRYSTAL CONSULTING LTD,20629171,"23,908.74",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Med & Surg Equip General,COLD DECONTAMINATION WHISTON,GETINGE UK LTD,20446992,"31,364.78",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Med & Surg Equip General,COLD DECONTAMINATION WHISTON,GETINGE UK LTD,20446995,"116,349.22",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Med & Surg Equip General,GEN MED ENDOSCOPY H2,AAH PHARMACEUTICALS LTD,20561428,465.06,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Med & Surg Equip General,THEATRES BURNS + PLASTICS,AAH PHARMACEUTICALS LTD,20561428,306.54,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Med & Surg Equip General,THEATRES MAIN ST HELEN'S,AAH PHARMACEUTICALS LTD,20561428,182.70,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Med & Surg Equip Leases,CHEMICAL PATHOLOGY DEPT,SIEMENS HEALTHCARE DIAGNOSTICS LTD,20477132,"134,123.94",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Med & Surg Maint Contract,Cold Decontamination,GETINGE UK LTD,20058731,"26,137.28",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Med Equip Additions,Balance Sheet,SYSMEX UK LTD,20495080,"30,000.00",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Miscellaneous Expenditure,HSDU WHISTON,SYNERGY HEALTH (UK) LTD,20473094,"156,607.39",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Miscellaneous Expenditure,PFI UNITARY PAYMENT,NEW HOSPITALS (ST HELENS & KNOWSLEY) LTD,20674937,"14,116,277.09",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Miscellaneous Expenditure,PFI ENABLING WORKS,NEW HOSPITALS (ST HELENS & KNOWSLEY) LTD,20690934,"757,105.79",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Miscellaneous Expenditure,HSDU WHISTON,SYNERGY HEALTH (UK) LTD,20699413,"65,365.37",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Various Supplies,Various Departments,NHS SUPPLY CHAIN,20460229,"138,940.26",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Various Supplies,Various Departments,NHS SUPPLY CHAIN,20561378,"150,091.77",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Various Supplies,Various Departments,NHS SUPPLY CHAIN,20682192,"138,741.76",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Various Supplies,Various Departments,NHS SUPPLY CHAIN,20750970,"166,360.64",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Pacemakers,CARDIOLOGY SNR MEDICAL,BOSTON SCIENTIFIC LTD,20431959,"31,461.13",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Pacemakers,CARDIOLOGY SNR MEDICAL,BOSTON SCIENTIFIC LTD,20431976,"54,295.92",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Rates,RATES/WATER WHISTON,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,20740015,"193,502.00",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,SrvcsRecd-FoundationTrust,PATHOLOGY GENERAL,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,20473053,"25,875.33",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,SrvcsRecd-FoundationTrust,A + E MEDICAL STAFF WH,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,20501494,"79,246.00",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,20424219,"169,622.36",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,20432536,"25,109.28",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,AAH PHARMACEUTICALS LTD,20458435,"247,702.02",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,GILEAD SCIENCES LTD,20503831,"51,653.78",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,20561426,"185,744.25",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,AAH PHARMACEUTICALS LTD,20561428,"165,789.93",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,ROCHE PRODUCTS LTD,20580347,"46,167.98",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,ROCHE PRODUCTS LTD,20656041,"36,305.34",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,ROCHE PRODUCTS LTD,20656086,"38,673.64",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,GILEAD SCIENCES LTD,20656138,"26,506.39",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Stocks Raw Materials,Balance Sheet,ROCHE PRODUCTS LTD,20728935,"46,289.96",
