Newcastle City Council Invoices over £500 paid in June 2012,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Expenditure Category,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Cost Centre,Cost Centre Description,Grand Total,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 June 2012,AGE UK NEWCASTLE,5531594,Revenue,1MH50,Ind Home Spot Pur PD         M,6846.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 June 2012,AGE UK NEWCASTLE,5533399,Revenue,1MH50,Ind Home Spot Pur PD         M,547.68,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AGE UK NEWCASTLE,5534637,Revenue,1MH50,Ind Home Spot Pur PD         M,553.39,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AGE UK NEWCASTLE,5534638,Revenue,1MH50,Ind Home Spot Pur PD         M,559.09,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AGE UK NEWCASTLE,5534652,Revenue,1MH50,Ind Home Spot Pur PD         M,1780.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AGE UK NEWCASTLE,5534902,Revenue,1MG50,Ind Home Spot Pur Elderly    M,524.86,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AGE UK NEWCASTLE,5534904,Revenue,1MH50,Ind Home Spot Pur PD         M,1528.94,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AGE UK NEWCASTLE,5534950,Revenue,1MH50,Ind Home Spot Pur PD         M,1905.50,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AGE UK NEWCASTLE,5534951,Revenue,1MH50,Ind Home Spot Pur PD         M,1209.46,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AGE UK NEWCASTLE,5534952,Revenue,1MH50,Ind Home Spot Pur PD         M,1928.32,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28 June 2012,AGE UK NEWCASTLE,5563390,Revenue,1MH50,Ind Home Spot Pur PD         M,1369.20,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ARK HOUSE TREATMENT CENTRE,5534658,Revenue,1MP27,DAT Residential Rehab        M,1740.40,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ARK HOUSE TREATMENT CENTRE,5534886,Revenue,1MP27,DAT Residential Rehab        M,1909.76,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ASPIRATIONS CARE LTD,5534654,Revenue,1MH50,Ind Home Spot Pur PD         M,624.33,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ASPIRATIONS CARE LTD,5534655,Revenue,1MH50,Ind Home Spot Pur PD         M,624.33,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ASPIRATIONS CARE LTD,5534888,Revenue,1MH50,Ind Home Spot Pur PD         M,624.33,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ASPIRATIONS CARE LTD,5534889,Revenue,1MH50,Ind Home Spot Pur PD         M,624.33,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ASPIRATIONS CARE LTD,5534963,Revenue,1MH50,Ind Home Spot Pur PD         M,624.33,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ASPIRATIONS CARE LTD,5534964,Revenue,1MH50,Ind Home Spot Pur PD         M,624.33,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ASPIRATIONS CARE LTD,5534988,Revenue,1MH50,Ind Home Spot Pur PD         M,624.33,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,ASPIRATIONS CARE LTD,5534989,Revenue,1MH50,Ind Home Spot Pur PD         M,624.33,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 June 2012,AZURE,5554381,Revenue,1MK55,Dom Care Family/Carer LD     M,535.34,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 June 2012,AZURE,5554383,Revenue,1MK54,Dom Care Own Tenancy LD      M,577.44,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 June 2012,AZURE,5554725,Revenue,1MK54,Dom Care Own Tenancy LD      M,529.32,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 June 2012,AZURE,5554807,Revenue,1MK55,Dom Care Family/Carer LD     M,852.21,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 June 2012,AZURE,5555088,Revenue,1MK55,Dom Care Family/Carer LD     M,769.92,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 June 2012,AZURE,5555090,Revenue,1MK54,Dom Care Own Tenancy LD      M,890.22,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,29 June 2012,AZURE,5564447,Revenue,1MK54,Dom Care Own Tenancy LD      M,890.16,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AZURE,5534631,Revenue,1MM50,Ind Home - Spot Pur MH       M,866.16,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,AZURE,5534949,Revenue,1MK54,Dom Care Own Tenancy LD      M,1251.12,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 June 2012,AZURE,5543882,Revenue,1MK55,Dom Care Family/Carer LD     M,1443.60,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 June 2012,AZURE,5543883,Revenue,1MK54,Dom Care Own Tenancy LD      M,818.04,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 June 2012,AZURE,5543884,Revenue,1MK55,Dom Care Family/Carer LD     M,1227.06,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 June 2012,AZURE,5544465,Revenue,1MK54,Dom Care Own Tenancy LD      M,577.44,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,CARELINE HOMECARE LTD,5534642,Revenue,1MK55,Dom Care Family/Carer LD     M,651.84,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,CARELINE HOMECARE LTD,5534898,Revenue,1MK55,Dom Care Family/Carer LD     M,651.84,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,CARELINE HOMECARE LTD,5534955,Revenue,1MK55,Dom Care Family/Carer LD     M,579.44,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,CARELINE HOMECARE LTD,5534995,Revenue,1MK55,Dom Care Family/Carer LD     M,651.84,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,CARELINE HOMECARE LTD,5535000,Revenue,1MK55,Dom Care Family/Carer LD     M,651.84,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,CARELINE HOMECARE LTD,5535343,Revenue,1MK55,Dom Care Family/Carer LD     M,651.84,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,CAR-ES (UK) LTD,5534663,Revenue,1MK55,Dom Care Family/Carer LD     M,513.28,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,CAR-ES (UK) LTD,5534881,Revenue,1MK55,Dom Care Family/Carer LD     M,1068.45,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 June 2012,CAREWATCH (NEWCASTLE UPON TYNE),5531586,Revenue,1MG50,Ind Home Spot Pur Elderly    M,633.92,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 June 2012,CAREWATCH (NEWCASTLE UPON TYNE),5531586,Revenue,1MH50,Ind Home Spot Pur PD         M,543.36,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 June 2012,CAREWATCH (NEWCASTLE UPON TYNE),5531586,Revenue,1MK50,Ind Supported Living LD      M,769.76,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,CAREWATCH (NEWCASTLE UPON TYNE),5534653,Revenue,1MH50,Ind Home Spot Pur PD         M,1698.36,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,COMMUNITY INTEGRATED CARE,5534656,Revenue,1MK54,Dom Care Own Tenancy LD      M,5432.61,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,COQUET TRUST,5534648,Revenue,1MK55,Dom Care Family/Carer LD     M,643.61,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,COQUET TRUST,5534893,Revenue,1MK55,Dom Care Family/Carer LD     M,676.69,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,COQUET TRUST,5534991,Revenue,1MK54,Dom Care Own Tenancy LD      M,1251.12,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,COQUET TRUST,5534992,Revenue,1MK54,Dom Care Own Tenancy LD      M,2305.65,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15 June 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5544190,Revenue,1MH50,Ind Home Spot Pur PD         M,4157.66,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15 June 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5544191,Revenue,1MH50,Ind Home Spot Pur PD         M,7829.75,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15 June 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5544192,Revenue,1MH50,Ind Home Spot Pur PD         M,7592.04,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28 June 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5563393,Revenue,1MG50,Ind Home Spot Pur Elderly    M,3394.03,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28 June 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5563422,Revenue,1MG50,Ind Home Spot Pur Elderly    M,2951.55,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,26 June 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5560380,Revenue,1MM50,Ind Home - Spot Pur MH       M,674.72,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,29 June 2012,KEY ENTERPRISES (1983) LTD,5560246,Revenue,1MK60,Ind Day Care LD              M,2360.25,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,29 June 2012,KEY ENTERPRISES (1983) LTD,5560247,Revenue,1MG60,IND Day Care Elderly         M,2674.95,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,29 June 2012,KEY ENTERPRISES (1983) LTD,5560248,Revenue,1MM60,Ind Day Care MH              M,2832.30,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,KEY ENTERPRISES (1983) LTD,5534628,Revenue,1MG60,IND Day Care Elderly         M,2139.96,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,KEY ENTERPRISES (1983) LTD,5534908,Revenue,1MK60,Ind Day Care LD              M,1888.20,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,08 June 2012,LEONARD CHESHIRE DISABILITY,5533395,Revenue,1MH60,Ind Day Care PD              M,6520.80,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,08 June 2012,LEONARD CHESHIRE DISABILITY,5534986,Revenue,1MG60,IND Day Care Elderly         M,537.32,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,LIFEWAYS COMMUNITY CARE,5534670,Revenue,1MK54,Dom Care Own Tenancy LD      M,918.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,26 June 2012,LIFEWAYS COMMUNITY CARE,5560189,Revenue,1MK54,Dom Care Own Tenancy LD      M,803.25,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,26 June 2012,LIFEWAYS COMMUNITY CARE,5560190,Revenue,1MK54,Dom Care Own Tenancy LD      M,11543.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,26 June 2012,LIFEWAYS COMMUNITY CARE,5560191,Revenue,1MK55,Dom Care Family/Carer LD     M,6545.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 June 2012,LS CARE LTD,5554375,Revenue,1MH50,Ind Home Spot Pur PD         M,692.09,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 June 2012,LS CARE LTD,5554388,Revenue,1MH50,Ind Home Spot Pur PD         M,2620.08,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,LS CARE LTD,5534639,Revenue,1MH50,Ind Home Spot Pur PD         M,692.09,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,LS CARE LTD,5534887,Revenue,1MH50,Ind Home Spot Pur PD         M,2620.08,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,LS CARE LTD,5534965,Revenue,1MH50,Ind Home Spot Pur PD         M,692.09,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 June 2012,MENCAP,5534981,Revenue,1MK54,Dom Care Own Tenancy LD      M,5367.34,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12 June 2012,MENCAP,5534982,Revenue,1MK54,Dom Care Own Tenancy LD      M,7860.66,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,MOMENTUM,5534671,Revenue,1MM50,Ind Home - Spot Pur MH       M,768.30,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,NEURO PARTNERS LTD,5534879,Revenue,1MM50,Ind Home - Spot Pur MH       M,520.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,NEURO PARTNERS LTD,5534976,Revenue,1MG50,Ind Home Spot Pur Elderly    M,572.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19 June 2012,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5551106,Revenue,1MG54,Carers Grant Eld             M,1114.06,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19 June 2012,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5551107,Revenue,1MX06,In-House Home Care           M,1967.12,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19 June 2012,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5551108,Revenue,1MX06,In-House Home Care           M,10167.82,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19 June 2012,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5551180,Revenue,1MX06,In-House Home Care           M,10346.34,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20 June 2012,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5553524,Revenue,1MX06,In-House Home Care           M,1892.16,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 June 2012,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),5545467,Revenue,1MK55,Dom Care Family/Carer LD     M,1322.88,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 June 2012,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),5545775,Revenue,1MK55,Dom Care Family/Carer LD     M,1212.64,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,26 June 2012,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),5560416,Revenue,1MK50,Ind Supported Living LD      M,3058.25,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,PHILIP PARKINSON HOMECARE,5534878,Revenue,1MG50,Ind Home Spot Pur Elderly    M,875.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,PHILIP PARKINSON HOMECARE,5534891,Revenue,1MG50,Ind Home Spot Pur Elderly    M,875.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,PHILIP PARKINSON HOMECARE,5535001,Revenue,1MG50,Ind Home Spot Pur Elderly    M,875.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 June 2012,PHILIP PARKINSON HOMECARE,5561621,Revenue,1MG50,Ind Home Spot Pur Elderly    M,875.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 June 2012,PHILIP PARKINSON HOMECARE,5561749,Revenue,1MG50,Ind Home Spot Pur Elderly    M,991.70,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,08 June 2012,PHOENIX HOUSE,5534659,Revenue,1MP27,DAT Residential Rehab        M,1711.29,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,08 June 2012,PHOENIX HOUSE,5534987,Revenue,1MP27,DAT Residential Rehab        M,625.26,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,08 June 2012,POSITIVE LIFE CHOICES(F),5539817,Revenue,1MK54,Dom Care Own Tenancy LD      M,739.20,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15 June 2012,POSITIVE LIFE CHOICES(F),5547636,Revenue,1MH50,Ind Home Spot Pur PD         M,501.30,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15 June 2012,POSITIVE LIFE CHOICES(F),5547742,Revenue,1MK54,Dom Care Own Tenancy LD      M,1502.90,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21 June 2012,POSITIVE LIFE CHOICES(F),5554722,Revenue,1MK54,Dom Care Own Tenancy LD      M,1502.90,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 June 2012,POSITIVE LIFE CHOICES(F),5561750,Revenue,1MK54,Dom Care Own Tenancy LD      M,1502.90,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,27 June 2012,POSITIVE LIFE CHOICES(F),5561751,Revenue,1MK54,Dom Care Own Tenancy LD      M,1812.30,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28 June 2012,POSITIVE LIFE CHOICES(F),5562775,Revenue,1MH50,Ind Home Spot Pur PD         M,541.40,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 June 2012,POSITIVE LIFE CHOICES(F),5534647,Revenue,1MK54,Dom Care Own Tenancy LD      M,1657.60,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13 June 2012,POSITIVE LIFE CHOICES(F),5534994,Revenue,1MH50,Ind Home Spot Pur PD         M,568.14,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20 June 2012,POSITIVE LIFE CHOICES(F),5543859,Revenue,1MH50,Ind Home Spot Pur PD         M,501.30,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06 June 2012,POSITIVE LIFE CHOICES(F),5534993,Revenue,1MK54,Dom Care Own Tenancy LD      M,1502.90,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07 June 2012,POSITIVE LIFE CHOICES(F),5539281,Revenue,1MK54,Dom Care Own Tenancy LD      M,897.60,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20 June 2012,THE EDWARD LLOYD TRUST,5553347,Revenue,1MK55,Dom Care Family/Carer LD     M,1527.50,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,THE PIERPOINT GROUP,5534643,Revenue,1MP27,DAT Residential Rehab        M,1198.20,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,THE PIERPOINT GROUP,5534668,Revenue,1MP27,DAT Residential Rehab        M,989.61,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,THE PIERPOINT GROUP,5534948,Revenue,1MP27,DAT Residential Rehab        M,1154.54,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01 June 2012,UNITED RESPONSE,5534644,Revenue,1MK60,Ind Day Care LD              M,1320.50,
Adult and Culture,Adult Serv Harehills       ,Premises,07 June 2012,BUNZL CLEANING & HYGIENE SUPPLIES,5525765,Revenue,1MG23,Harehills                    M,626.66,
Adult and Culture,Adult Serv Learn Disab     ,Transport,20 June 2012,DAVID JOHNSON TAXIS,5553726,Revenue,1MK60,Ind Day Care LD              M,975.00,
Adult and Culture,Adult Serv Learn Disab     ,Transport,07 June 2012,DJ MINIBUSES,5539108,Revenue,1MK60,Ind Day Care LD              M,435.00,
Adult and Culture,Adult Serv Learn Disab     ,Transport,21 June 2012,FIVE STAR SERVICES LTD,5554815,Revenue,1MK60,Ind Day Care LD              M,555.60,
Adult and Culture,Adult Serv Learn Disab     ,Transport,25 June 2012,FIVE STAR SERVICES LTD,5559033,Revenue,1MK60,Ind Day Care LD              M,453.00,
Adult and Culture,Adult Serv Learn Disab     ,Transport,07 June 2012,FIVE STAR SERVICES LTD,5539104,Revenue,1MK60,Ind Day Care LD              M,477.20,
Adult and Culture,Adult Serv Learn Disab     ,Transport,07 June 2012,FIVE STAR SERVICES LTD,5539117,Revenue,1MK60,Ind Day Care LD              M,450.20,
Adult and Culture,Adult Serv Learn Disab     ,Transport,25 June 2012,LA TAXIS,5559037,Revenue,1MK60,Ind Day Care LD              M,807.50,
Adult and Culture,Adult Serv Learn Disab     ,Transport,25 June 2012,LA TAXIS,5559039,Revenue,1MK60,Ind Day Care LD              M,770.00,
Adult and Culture,Adult Serv Learn Disab     ,Transport,25 June 2012,LA TAXIS,5559041,Revenue,1MK60,Ind Day Care LD              M,802.50,
Adult and Culture,Adult Serv Learn Disab     ,Transport,07 June 2012,LA TAXIS,5539109,Revenue,1MK60,Ind Day Care LD              M,740.00,
Adult and Culture,Adult Serv Learn Disab     ,Transport,07 June 2012,LA TAXIS,5539123,Revenue,1MK60,Ind Day Care LD              M,660.50,
Adult and Culture,Adult Serv Learn Disab     ,Transport,07 June 2012,LA TAXIS,5539124,Revenue,1MK60,Ind Day Care LD              M,672.00,
Adult and Culture,Adult Serv Lewcock House   ,Premises,11 June 2012,BUNZL CLEANING & HYGIENE SUPPLIES,5505474,Revenue,1MG25,Lewcock House                M,513.17,
Adult and Culture,Adult Serv Lewcock House   ,Premises,18 June 2012,N POWER NORTHERN LTD,5548814,Revenue,1MG25,Lewcock House                M,1283.43,
Adult and Culture,Adult Serv Lewcock House   ,Premises,11 June 2012,N POWER NORTHERN LTD,5531772,Revenue,1MG25,Lewcock House                M,1123.57,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,22 June 2012,D R SUMMERS PROPERTY MAINTENANCE,5557366,Revenue,1MG70,Equip & Adapt Eldery         M,530.00,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,22 June 2012,D R SUMMERS PROPERTY MAINTENANCE,5557376,Revenue,1MG70,Equip & Adapt Eldery         M,620.00,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,14 June 2012,DISABLED LIVING FOUNDATION,5545551,Revenue,1MG70,Equip & Adapt Eldery         M,495.00,
Adult and Culture,Adult Serv Phys Disab      ,Transport,21 June 2012,NEWCASTLE AMBULANCE SERVICE,5554823,Revenue,1MH60,Ind Day Care PD              M,1490.40,
Adult and Culture,Adult Serv Phys Disab      ,Transport,29 June 2012,NEWCASTLE AMBULANCE SERVICE,5564437,Revenue,1MH60,Ind Day Care PD              M,2040.00,
Adult and Culture,Adult Serv Phys Disab      ,Transport,07 June 2012,NEWCASTLE AMBULANCE SERVICE,5538755,Revenue,1MH60,Ind Day Care PD              M,1710.00,
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,08 June 2012,ACTION ON HEARING LOSS,5540442,Revenue,1MH70,Sensory Support PD           M,1056.74,
Adult and Culture,Adult Serv Sens Supp       ,Transport,21 June 2012,NEWCASTLE AMBULANCE SERVICE,5555500,Revenue,1MH60,Ind Day Care PD              M,2040.00,
Adult and Culture,Adult Serv Sens Supp       ,Transport,13 June 2012,NEWCASTLE AMBULANCE SERVICE,5544198,Revenue,1MH60,Ind Day Care PD              M,2040.00,
Adult and Culture,Adult Serv Transformation  ,Supplies & Services,21 June 2012,IMAGE VISUAL COMMUNICATIONS,5555178,Revenue,1MR01,Customer Services & MarketingM,595.00,
Adult and Culture,Adult Serv Welf         ,Premises,13 June 2012,N POWER NORTHERN LTD,5544205,Revenue,1MX01,Welford Centre               M,1122.97,
Adult and Culture,Adult Serv-Arts & Cul      ,Capital Expenditure,07 June 2012,Redacted Personal Data,5539297,Capital,2DP02,Devt Capital CC              K,1279.40,
Adult and Culture,Adult Serv-Arts & Cul      ,Supplies & Services,28 June 2012,BELLE TENTS,5563912,Revenue,1DF06,INNER WEST ARTS OFFICER      M,470.00,
