Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-23934,500000,,CW1 4QJ,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,HAFS-23933,1597000,,M13 0ZY,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,EAST SUSSEX HEALTHCARE NHS TRUST,HAFS-23932,210000,,TN37 7PT,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-23931,319000,,SG1 4AB,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,HAFS-23930,210000,,SR3 4AD,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,HAFS-23929,8000000,,SW10 9NH,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,HAFS-23928,1000000,,B1 3RB,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,HAFS-23927,385000,,RG7 4BQ,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-23926,300000,,SS16 5NL,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,HAFS-23925,130000,,S75 2PY,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-23924,210000,,L9 7AL,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-23923,56000,,L9 7AL,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,2GETHER NHS FOUNDATION TRUST,HAFS-23922,210000,,GL1 1LY,PUBLIC,,,
,,26/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-23921,2689000,,SE1 9TN,PUBLIC,,,
,,26/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-23920,4604000,,SE1 9TN,PUBLIC,,,
,,26/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-23919,1084000,,SE1 9TN,PUBLIC,,,
,,26/02/2018,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,HAFS-23918,5143000,,LN2 5QY,PUBLIC,,,
,,26/02/2018,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HAFS-23917,2029000,,HA7 4LP,PUBLIC,,,
,,26/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,HAFS-23916,500000,,TS24 9AH,PUBLIC,,,
,,26/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-23915,5800000,,L9 7AL,PUBLIC,,,
,,01/02/2018,Research & development,DG: CHIEF SCIENTIFIC ADVISOR,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,ERS-586833-151265,101799,Applied Research Programme,NG8 3LL,PUBLIC,,,
,,01/02/2018,Research & development,DG: CHIEF SCIENTIFIC ADVISOR,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ERS-586831-151267,73038,Applied Research Programme,M23 9LT,PUBLIC,,,
,,01/02/2018,Research & development,DG: CHIEF SCIENTIFIC ADVISOR,PENNINE CARE NHS FOUNDATION TRUST,ERS-586830-151261,114410,Applied Research Programme,OL6 7SR,PUBLIC,,,
,,01/02/2018,Research & development,DG: CHIEF SCIENTIFIC ADVISOR,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-586826-151264,69815,Invention for Innovation,NG7 2UK,PUBLIC,,,
,,01/02/2018,Research & development,DG: CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-586822-151243,27601,HTA Clinical Evaluation Trial,BS99 1YF,PUBLIC,,,
,,01/02/2018,Outsourcing Contract,DG: CHIEF SCIENTIFIC ADVISOR,LGC LTD,50645699,959888.58,Central Commissioning Function,TW11 0LY,LARGE,,,
,,21/02/2018,DH Support to Mergers,DG: Holding CT Core,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,S0003688,1364000,WMUH Transformation,SW10 9NH,PUBLIC,,,
,,07/02/2018,Outsourcing Contract,DG: CHIEF SCIENTIFIC ADVISOR,PA CONSULTING SERVICES LTD,10122132,39807.2,NIHR Systems,SG8 6DP,LARGE,,,
,,07/02/2018,Outsourcing Contract,DG: CHIEF SCIENTIFIC ADVISOR,PA CONSULTING SERVICES LTD,10122075,30383.46,NIHR Systems,SG8 6DP,LARGE,,,
,,07/02/2018,Outsourcing Contract,DG: CHIEF SCIENTIFIC ADVISOR,PA CONSULTING SERVICES LTD,10122074,149640,NIHR Systems,SG8 6DP,LARGE,,,
,,08/02/2018,Revenue Grants to Other Bodies,DG: CHIEF SCIENTIFIC ADVISOR,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-587048-151381,83623,NA,NN15 7PW,PUBLIC,,,
,,08/02/2018,Revenue Grants to Other Bodies,DG: CHIEF SCIENTIFIC ADVISOR,THE HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST RY9,ERS-587047-151385,83229,NA,TW11 8HU,PUBLIC,,,
,,21/02/2018,Outsourcing Contract,DG: FINANCE AND GROUP OPERATIONS,PLYMOUTH HOSPITALS NHS TRUST,911342,42526,Delivery of Phase 4 Scan4Safety (adoption of GS1 and PEPPOL standards) ,WF3 1WE,PUBLIC,,,
,,20/02/2018,Policy Payments,DG: ACUTE CARE AND WORKFORCE,NHS PENSIONS AGENCY,2682362,3039690.01,2017-18 Past Employee Pension Liabilities (redundancy),FY7 8LG,PUBLIC,,,
,,20/02/2018,Service charge,DG: FINANCE AND GROUP OPERATIONS,NHS SHARED BUSINESS SERVICES SBS,100056160,27083.33,SBS- Digital Archive Services - Annual Service Charge,WF3 1WE,PUBLIC,,,
,,20/02/2018,Outsourcing Contract,DG: FINANCE AND GROUP OPERATIONS,NHS SHARED BUSINESS SERVICES SBS,100056159,90833.18,NHS SBS BMS Support and Development Apr 17 to Mar 18,WF3 1WE,PUBLIC,,,
,,20/02/2018,Service charge,DG: FINANCE AND GROUP OPERATIONS,NHS SHARED BUSINESS SERVICES SBS,100055529,27083.33,SBS- Digital Archive Services - Annual Service Charge,WF3 1WE,PUBLIC,,,
,,20/02/2018,Outsourcing Contract,DG: FINANCE AND GROUP OPERATIONS,NHS SHARED BUSINESS SERVICES SBS,100055528,90833.18,NHS SBS BMS Support and Development Apr 17 to Mar 18,WF3 1WE,PUBLIC,,,
,,19/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,THE CHRISTIE NHS FOUNDATION TRUST,HAFS-23914,2000000,,M20 4BX,PUBLIC,,,
,,19/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-23913,2000000,,NG17 4JL,PUBLIC,,,
,,19/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,POOLE HOSPITAL NHS FOUNDATION TRUST,HAFS-23912,400000,,BH15 2JB,PUBLIC,,,
,,19/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,MEDWAY NHS FOUNDATION TRUST,HAFS-23911,3000000,,ME7 5NY,PUBLIC,,,
,,19/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-23910,2000000,,GL1 3NN,PUBLIC,,,
,,19/02/2018,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-23909,500000,,CV10 7DJ,PUBLIC,,,
,,19/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,HAFS-23908,2017000,,CH2 1UL,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,YORKSHIRE AMBULANCE SERVICE NHS TRUST,HAFS-23907,131000,,WF2 0XG,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,HAFS-23906,1794000,,B29 6JS,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,HAFS-23905,986000,,LN2 5QY,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,THE ROYAL BOURNEMOUTH & CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,HAFS-23904,168000,,BH7 7DW,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,ST HELENS & KNOWSLEY TEACHING HOSPITALS NHS TRUST,HAFS-23903,824000,,L35 5DR,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-23902,368000,,SW17 0QT,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-23901,980000,,SW17 0QT,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-23900,210000,,NG17 4JL,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,POOLE HOSPITAL NHS FOUNDATION TRUST,HAFS-23899,200000,,BH15 2JB,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,PLYMOUTH HOSPITALS NHS TRUST,HAFS-23898,210000,,WF3 1WE,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,PENNINE ACUTE HOSPITALS NHS TRUST,HAFS-23897,328000,,OL1 2PN,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,NORTHERN DEVON HEALTHCARE NHS TRUST,HAFS-23896,60000,,EX32 8ND,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-23895,130000,,LU4 0DZ,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,LONDON NORTH WEST HEALTHCARE NHS TRUST,HAFS-23894,1693000,,HA1 3UJ,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-23893,218000,,SE5 9RS,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,HAFS-23892,4188000,,W12 0HS,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,HAFS-23891,3894000,,W12 0HS,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,HAFS-23890,200000,,W12 0HS,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,HUMBER NHS FOUNDATION TRUST,HAFS-23889,210000,,HU10 6ED,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-23888,357000,,CV10 7DJ,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,HAFS-23887,200000,,SM5 1AA,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,DARTFORD & GRAVESHAM NHS TRUST,HAFS-23886,130000,,DA2 8DA,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,HAFS-23885,350000,,DL3 6HX,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,HAFS-23884,826000,,DL3 6HX,PUBLIC,,,
,,19/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,HAFS-23883,981000,,DL3 6HX,PUBLIC,,,
,,19/02/2018,Outsourcing Contract,DG: GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000065,176890.75,Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,19/02/2018,Outsourcing Contract,DG: GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000064,609629.24,Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,16/02/2018,Outsourcing Contract,DG: GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000062,144055.79,Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,08/02/2018,Revenue Grants to Other Bodies,DG: CHIEF SCIENTIFIC ADVISOR,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,ERS-587046-151382,55041,NA,SM5 1AA,PUBLIC,,,
,,14/02/2018,ENDPBs Admin Revenue Grant in Aid,DG: GLOBAL AND PUBLIC HEALTH,NHS BLOOD AND TRANSPLANT (NHSBT),956353,5508000,NHS Blood and Transplant (NHSBT)'s 17/18 revenue allocation,LS15 7TW,PUBLIC,,,
,,14/02/2018,ENDPBs Admin Capital Grant in Aid,DG: GLOBAL AND PUBLIC HEALTH,NHS BLOOD AND TRANSPLANT (NHSBT),956352,1000000,Capital payments to NHSBT 17/18,LS15 7TW,PUBLIC,,,
,,08/02/2018,Revenue Grants to Other Bodies,DG: CHIEF SCIENTIFIC ADVISOR,THE ROTHERHAM NHS FOUNDATION TRUST,ERS-587021-151363,48889,NA,S60 2UD,PUBLIC,,,
,,13/02/2018,DH Support to Mergers,DG: Holding CT Core,ROYAL FREE LONDON NHS FOUNDATION TRUST,I0154612,1727000,Implementation of Barnet and Chase Farm Operational Efficiency,NW3 2QG,PUBLIC,,,
,,13/02/2018,DH Support to Mergers,DG: Holding CT Core,ROYAL FREE LONDON NHS FOUNDATION TRUST,I0153400,1727000,Implementation of Barnet and Chase Farm Operational Efficiency,NW3 2QG,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,HAFS-23882,228000,,BA21 4AT,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,WYE VALLEY NHS TRUST,HAFS-23881,2401000,,HR1 2ER,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,WYE VALLEY NHS TRUST,HAFS-23880,220000,,HR1 2ER,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HAFS-23879,7460000,,WR5 1DD,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,HAFS-23878,2200000,,CH63 4JY,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,WESTON AREA HEALTH NHS TRUST,HAFS-23877,1125000,,BS23 4TQ,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,WEST SUFFOLK NHS FOUNDATION TRUST,HAFS-23876,800000,,IP33 2QZ,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,HAFS-23875,11366000,,WD18 0BH,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,HAFS-23874,4133000,,WA7 2DA,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,HAFS-23871,11696000,,ST4 7LN,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,HAFS-23870,2380000,,LA1 4GG,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,HAFS-23869,17247000,,LE5 4QF,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,HAFS-23868,6000000,,LN2 5QY,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,HAFS-23867,1747000,,B31 2AP,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,THE ROYAL MARSDEN NHS FOUNDATION TRUST,HAFS-23866,500000,,SW3 6JJ,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,THE ROTHERHAM NHS FOUNDATION TRUST,HAFS-23865,2397000,,S60 2UD,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,HAFS-23864,5443000,,PE30 4ET,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,THE IPSWICH HOSPITAL NHS TRUST,HAFS-23863,3382000,,IP4 5PD,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,HAFS-23862,2100000,,OL6 9RW,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-23861,4980000,,SW17 0QT,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,SOUTHPORT & ORMSKIRK HOSPITAL NHS TRUST,HAFS-23860,2545000,,PR8 6PT,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-23859,590000,,SS2 6GE,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,HAFS-23858,12574000,,TS4 3BW,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-23857,4000000,,NG17 4JL,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-23856,500000,,NG17 4JL,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HAFS-23855,2380000,,HA7 4LP,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,HAFS-23854,4165000,,L7 8XP,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,HAFS-23853,3700000,,L7 8XP,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,ROYAL CORNWALL HOSPITAL NHS TRUST,HAFS-23852,1790000,,TR1 2XN,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HAFS-23851,2494000,,CM20 1QX,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,PORTSMOUTH HOSPITAL NHS TRUST,HAFS-23850,5680000,,PO6 3LY,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,PENNINE ACUTE HOSPITALS NHS TRUST,HAFS-23849,14013000,,OL1 2PN,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,HAFS-23848,2407000,,NG5 1PB,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HAFS-23847,4466000,,DN15 7BH,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-23846,3218000,,NN1 5BD,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,NORTH WEST ANGLIA NHS FOUNDATION TRUST,HAFS-23845,3905000,,PE3 9GZ,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-23844,5129000,,CA2 7HX,PUBLIC,,,
,,12/02/2018,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NORTH BRISTOL NHS TRUST,HAFS-23843,253000,,BS1 2NP,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-23842,3554000,,NR4 7UY,PUBLIC,,,
,,12/02/2018,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-23841,2625000,,MK6 5LD,PUBLIC,,,
