Department family,Entity,Date,Expense area,Expense type,Supplier,Transaction number,Amount
Ministry of Justice,Norfolk & Suffolk Probation Trust,15/04/2011,Corporate,Annual Subscription,Probation Association,196442,27101
Ministry of Justice,Norfolk & Suffolk Probation Trust,15/04/2011,Corporate,Recharges,NOMS Agency,196448,137874.24
Ministry of Justice,Norfolk & Suffolk Probation Trust,19/04/2011,Partnerships,Draft Evaluation,Matrix Evidence Ltd,197522,48000
Ministry of Justice,Norfolk & Suffolk Probation Trust,21/04/2011,Corporate,VAT,HMRC - HM Revenue & Customs,27006,103739
Ministry of Justice,Norfolk & Suffolk Probation Trust,26/04/2011,Corporate,Employee Conts,HMRC - HM Revenue & Customs,199948,318691.78
Ministry of Justice,Norfolk & Suffolk Probation Trust,26/04/2011,Corporate,Employer Conts,Norfolk Pension Fund,199962,261015.51
Ministry of Justice,Northamptonshire Probation Trust,27/04/2011,All,ICT Provision,HMPS Shared Services,15965,58859.27
Ministry of Justice,Northumbria Probation Trust,01/04/2011,Business Services,Subscription 01.04.11 - 31.03.12,The Probation Association,466951,37290
Ministry of Justice,Northumbria Probation Trust,08/04/2011,Northumberland LDU,Northumberland Youth Offending Serv. 2010/11,Northumberland County Council,466974,63734
Ministry of Justice,Northumbria Probation Trust,18/04/2011,Area wide,OMNI Recharge Jan & Feb 11,NOMS Agency,467166,169789.63
Ministry of Justice,Northumbria Probation Trust,21/04/2011,Area wide,App Premises & Estates Recharge,NOMS Agency,467193,86411.82
Ministry of Justice,Northumbria Probation Trust,21/04/2011,Area wide,VAT on Account,HMRC,467240,1214855.16
Ministry of Justice,Northumbria Probation Trust,27/04/2011,Interventions,Partnership - Working with Offenders,Mobex North East,467247,36517.77
Ministry of Justice,Nottinghamshire Probation Trust,07/04/2011,Whole Service,IT Charges - Jan/Feb,National Offender Management Service,320159,176938.2
Ministry of Justice,Staffordshire and West Midlands Probation Trust,07/04/2011,Head Office - I.T.,Computer Equip-General (Goods),Port-P Ltd,231862,25139.59
Ministry of Justice,Staffordshire and West Midlands Probation Trust,07/04/2011,Head Office,Professional Bodies Subscription,The Probation Association,232003,91659
Ministry of Justice,Staffordshire and West Midlands Probation Trust,28/04/2011,Regional Sex Offender Unit,Service Level Agreements,West Mercia Probation Trust,232024,35332.13
Ministry of Justice,Staffordshire and West Midlands Probation Trust,14/04/2011,Head Office - Estates,Service Level Agreements,Warwickshire Probation Trust,232404,47628.47
Ministry of Justice,Staffordshire and West Midlands Probation Trust,21/04/2011,Head Office,Document Scanning Services,Geoff Smith Associates Ltd,232686,47946.03
Ministry of Justice,Staffordshire and West Midlands Probation Trust,28/04/2011,Head Office - Estates,Main Service Capital - Vehicles,Renault Birmingham,232854,28447.8
Ministry of Justice,Staffordshire and West Midlands Probation Trust,28/04/2011,Head Office - Estates,Main Service Capital - Vehicles,Renault Birmingham,232856,28447.8
Ministry of Justice,Staffordshire and West Midlands Probation Trust,28/04/2011,Head Office - Estates,Main Service Capital - Vehicles,Renault Birmingham,232858,28447.8
Ministry of Justice,Staffordshire and West Midlands Probation Trust,28/04/2011,Head Office - Estates,Main Service Capital - Vehicles,Renault Birmingham,232860,28447.8
Ministry of Justice,Staffordshire and West Midlands Probation Trust,28/04/2011,Head Office - Estates,Main Service Capital - Vehicles,Renault Birmingham,232864,28447.8
Ministry of Justice,Staffordshire and West Midlands Probation Trust,28/04/2011,Head Office - Estates,Main Service Capital - Vehicles,Renault Birmingham,232866,28447.8
Ministry of Justice,Staffordshire and West Midlands Probation Trust,06/04/2011,Corporate Services,Project Development,West Mercia Probation Trust,3000027536,35000
Ministry of Justice,Staffordshire and West Midlands Probation Trust,06/04/2011,Partnerships,Offender Services,Youth Support Services Ltd,3000027606,26750
Ministry of Justice,South Yorkshire Probation Trust,17/04/2011,Sheffield BU,Early Retirement Costs,SY Pensions,13707,31543.48
Ministry of Justice,Surrey & Sussex Probation Trust,18/04/2011,Facilities - Chichester,Furniture & Fittings,Senator International,3400034913,27288.72
Ministry of Justice,Thames Valley Probation Trust,18/04/2011,ACCOMMODATION,PARTNERSHIP,PARENTS AND CHILDREN TOGETHER,8080,71500
Ministry of Justice,Thames Valley Probation Trust,18/04/2011,REDUNDANCY, PENSION COST,ROYAL BOROUGH WINDSOR & MAIDENHEAD,IX7067111,41614.79
Ministry of Justice,Thames Valley Probation Trust,21/04/2011,REDUNDANCY, PENSION COST,ROYAL BOROUGH WINDSOR & MAIDENHEAD,IR7072238,36619.64
Ministry of Justice,Thames Valley Probation Trust,21/04/2011,COMMUNITY PAYBACK,SUPERVISION,READING BOROUGH COUNCIL,113082320,28660.19
Ministry of Justice,Wales Probation Trust,18/04/2011,Dyfed Powys,Basic Skills,Carmarthenshire County Council,92616186,27450
Ministry of Justice,Wales Probation Trust,28/04/2011,South Wales,Training,The Rickter Company,5001/2011,30725.83
Ministry of Justice,Wales Probation Trust,18/04/2011,All Wales,Subscription,The Probation Association,2574,74969
Ministry of Justice,Wales Probation Trust,28/04/2011,Dyfed Powys,Telephones,British Telecom,VP18291270,27457.05
Ministry of Justice,Warwickshire Probation Trust,26/04/2011,Regional Sex Offender Group,Contribution to running costs,SWM Trust,40000002,115617.6
Ministry of Justice,Warwickshire Probation Trust,27/04/2011,OMNI charges Jan & Feb 11,ICT costs,NOMS,40000104,43606.36
Ministry of Justice,Warwickshire Probation Trust,27/04/2011,Joint Accredited Programmes Unit,Recharge of salary costs,SWM Trust,40000063,62119.3
Ministry of Justice,York & North Yorkshire Probation Trust,21/04/2011,Estates,Building refurbishment,Home Office,5745,45539.44
