P/L Individual Transactions Over £25K,Inv Cert Date between 01/05/2011 and 31/05/2011,,,,,,
Department Family,Entity,Invoice Date,Expense Type,Expense Area,Supplier Name,Invoice Number,Value
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,OTHER INCOME,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"-9,961.31"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,NON CLINICAL SUPPLIES,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"95,747.40"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/05/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00016596,"23,371.47"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/05/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00016595,"30,404.19"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/05/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00016593,"24,515.87"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/05/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00016594,"28,354.31"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/05/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00015232,"37,909.41"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/05/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00016716,"21,486.69"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/05/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00016714,"25,144.33"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/05/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060017233,"181,020.90"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/05/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1160001819,"71,873.50"
Department of Health,Colchester Hospital University NHS Foundation Trust,26/05/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321373305,"1,581.60"
Department of Health,Colchester Hospital University NHS Foundation Trust,26/05/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321373305,776.50
Department of Health,Colchester Hospital University NHS Foundation Trust,26/05/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321373305,395.40
Department of Health,Colchester Hospital University NHS Foundation Trust,26/05/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321373305,"31,433.40"
Department of Health,Colchester Hospital University NHS Foundation Trust,27/05/2011,CAPITAL BUILDINGS,CAPITAL SCHEMES,MORGAN SINDALL (CONSTRUCTION) PLC,021241,"39,920.64"
Department of Health,Colchester Hospital University NHS Foundation Trust,27/05/2011,NON CLINICAL SUPPLIES,FACILITIES & ESTATES MGT,CARILLION HEALTH,119638,"47,779.04"
Department of Health,Colchester Hospital University NHS Foundation Trust,31/05/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_158975_2,"50,851.52"
Department of Health,Colchester Hospital University NHS Foundation Trust,31/05/2011,CLINICAL SUPPLIES,PATHOLOGY,NHS BLOOD & TRANSPLANT,804218,"123,439.00"
,,,,,,,"4,203,454.89"
Report ID : PL 2_23,,,,,Page -1 of 1,Print Date : 09/06/2011,Time : 14:28:58
