Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,FUNDED NURSING CARE,CHADDERTON TOTAL-CARE UNIT LTD,3353757,"32,612.24",,I0056586
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3369948,"626,260.00",,6210000196
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,3369968,"194,655.00",,312078
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,3369979,"55,439.00",,40047544
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,3369991,"105,907.00",,1000150137
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,3370004,"570,769.56",,3110003664
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,NORTH WEST AMBULANCE SERVICE NHS TRUST,3370023,"549,108.00",,4110008668
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,3370052,"205,830.00",,107292
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,3370052,"8,233,186.00",,107292
Department of Health,NHS Oldham CCG,30/04/2014,Basic Sal-Rchgs to-from Oth Non NHS,COMMISSIONING,OLDHAM MBC,3382501,"124,800.00",,10346179C
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE CARE NHS FOUNDATION TRUST,3382678,"1,867,534.00",,1010003980
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,3382692,"21,221.00",,1010003960
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,3382692,"1,697,704.00",,1010003960
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,HIGH COST DRUGS,BUPA HOME HEALTHCARE LTD,3382702,"45,117.00",,SINV1344341
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,CHC ADULT FULLY FUNDED,ST GEORGES NURSING HOME LTD,3382833,"31,333.51",,4923
Department of Health,NHS Oldham CCG,30/04/2014,Basic Sal-Rchgs to-from Oth Non NHS,COMMISSIONING,OLDHAM MBC,3397346,"(124,800.00)",,10354994C
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,3398179,"31,100.00",,5110001572
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,OLDHAM MBC,3413027,"52,852.00",,10349561L
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,3413038,"34,590.00",,1000150261
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,3413046,"289,891.17",,25258
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,3413054,"265,278.00",,1000150563
Department of Health,NHS Oldham CCG,30/04/2014,Soc Care-Other Soc Care,CARERS,OLDHAM MBC,3428160,"30,000.00",,10325546F
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Oth-NHS-Contract Baseline,LONG TERM CONDITIONS,INTRAHEALTH LTD,3428441,"37,660.36",,3855
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3460401,"226,945.00",,230097
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,3460728,"93,000.00",,1010004001
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE CARE NHS FOUNDATION TRUST,3460741,"112,000.00",,1010004002
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE CARE NHS FOUNDATION TRUST,3460751,"65,000.00",,1010004003
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,3460826,"102,857.00",,1250414
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,3460859,"139,081.00",,1000150715
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,HIGH COST DRUGS,BUPA HOME HEALTHCARE LTD,3460864,"45,760.00",,SINV1355091
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,VIRGIN CARE PROVIDER SERVICES LTD,3477654,"31,990.00",,809Z280
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,LONG TERM CONDITIONS,INTRAHEALTH LTD,3477663,"37,660.36",,3856
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Non Contract,PALLIATIVE CARE,PENNINE CARE NHS FOUNDATION TRUST,3491875,"37,000.00",,1010003587
Department of Health,NHS Oldham CCG,30/04/2014,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,3492536,"(1,008,237.37)",,48326491
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,LONG TERM CONDITIONS,INTRAHEALTH LTD,3492638,"37,660.36",,3857
Department of Health,NHS Oldham CCG,30/04/2014,Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,3492763,"(944,412.13)",,7013000097
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,3493090,"100,490.27",,25511
Department of Health,NHS Oldham CCG,30/04/2014,Services From Local Authorities,CHC ADULT JOINT FUNDED,OLDHAM COUNCIL,3493203,"(78,183.00)",,10356959C
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Othe Public Sector,COMMISSIONING SCHEMES,PENNINE MSK PARTNERSHIP,3493375,"396,447.25",,659
,,,,,,,,,
