5.T&N,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK telecoms industry key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
uk-5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimated household availability of superfast services, by technology ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of homes (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,,,,,,,,,,,
Cable-only,39,38,37,37,36,35,35,34,32,32,32,30,30,29,29,28,,,,,,,,,,,
FTTC and cable,7,7,7,8,9,9,10,11,12,13,13,14,15,15,16,16,,,,,,,,,,,
FTTC-only,6,6,7,8,8,9,9,9,10,11,11,12,13,14,14,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take-up of superfast broadband services ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q4 2010,Q1 2011,Q2,Q3,Q4,Q1 2012,,,,,,,,,,,,,,,,,,,,,
Superfast connections (m),0.2,0.4,0.6,0.9,1.1,1.4,,,,,,,,,,,,,,,,,,,,,
Superfast as % of all connections (RHS),1.2,2.1,2.9,4.3,5.5,6.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of mobile broadband connections, 3G-enabled tablets and users accessing the internet on their mobile device",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
million,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,,
Mobile broadband,,2.55,4.1,4.82,5.06,,,,,,,,,,,,,,,,,,,,,,
Smartphone data users,8.86,8.42,14.45,22.73,32.64,,,,,,,,,,,,,,,,,,,,,,
3G-enabled tablets,,,,0.22,1.22,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom data based on submissions by operators and Ofcom market research. Consumers accessing the internet on their mobile phone and 3G-enabled tablets are estimates based on these data. Mobile broadband figures are for December of the stated year and the other two categories are for the first quarter of the following year.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reasons for choosing pre-pay mobile broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,%,,,,,,,,,,,,,,,,,,,,,,,,,,
Low usage,64,,,,,,,,,,,,,,,,,,,,,,,,,,
Dislike contract,39,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsure of usage,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Low commitment,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't know,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:YouGov DongleTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Take-up of mobile broadband by socio-economic group, age and housing type of respondent",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
% take-up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed and mobile broadband,Mobile broadband only,,,,,,,,,,,,,,,,,,,,,,,,,
All,8,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-24,12,9,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,12,8,,,,,,,,,,,,,,,,,,,,,,,,,
35-54,9,3,,,,,,,,,,,,,,,,,,,,,,,,,
55-64,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
65-74,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
75+,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,12,3,,,,,,,,,,,,,,,,,,,,,,,,,
C1,9,4,,,,,,,,,,,,,,,,,,,,,,,,,
C2,9,4,,,,,,,,,,,,,,,,,,,,,,,,,
DE,4,7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own/mortgage,10,3,,,,,,,,,,,,,,,,,,,,,,,,,
Rent- private,6,10,,,,,,,,,,,,,,,,,,,,,,,,,
Rent- social,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2012. Base: all adults aged 16+ (n=3772)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone data caps,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,%,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than 500MB,17,,,,,,,,,,,,,,,,,,,,,,,,,,
500-750MB,24,,,,,,,,,,,,,,,,,,,,,,,,,,
750MB-1GB,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2GB,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2-5GB,2,,,,,,,,,,,,,,,,,,,,,,,,,,
5GB or more,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlimited,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't know,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: YouGov SMIX,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of smartphone WiFi connection relative to cellular connection,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,% of respondents in Sep 2011,% of respondents in Dec 2011,,,,,,,,,,,,,,,,,,,,,,,,,
Only WiFi,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
Mostly WiFi,36,39,,,,,,,,,,,,,,,,,,,,,,,,,
WiFi and mobile equally,31,28,,,,,,,,,,,,,,,,,,,,,,,,,
Mostly mobile,25,23,,,,,,,,,,,,,,,,,,,,,,,,,
Only mobile,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Don't know,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: YouGov SMIX,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location of WiFi use on a smartphone,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,% of consumers mentioning each location,,,,,,,,,,,,,,,,,,,,,,,,,,
At home,90,,,,,,,,,,,,,,,,,,,,,,,,,,
At work,43,,,,,,,,,,,,,,,,,,,,,,,,,,
Public places,67,,,,,,,,,,,,,,,,,,,,,,,,,,
On the move,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Out and about,63,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed and mobile share of total originating voice call volumes ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Fixed voice,63.6,58.8,55,52.2,50.8,48.4,,,,,,,,,,,,,,,,,,,,,
Mobile voice,36.4,41.2,45,47.8,49.2,51.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total fixed and mobile voice call volumes ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions of minutes ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Fixed voice,154,149,141,132,129,116,,,,,,,,,,,,,,,,,,,,,
Contract mobile,69,80,87,91,98,102,,,,,,,,,,,,,,,,,,,,,
Pre-pay mobile,19,25,28,29,27,21,,,,,,,,,,,,,,,,,,,,,
Total,242,254,256,252,254,239,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total fixed and mobile voice call volumes, by customer type ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions of minutes ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Residential fixed,85,78,77,76,76,68,,,,,,,,,,,,,,,,,,,,,
Residential mobile,46,54,58,61,60,56,,,,,,,,,,,,,,,,,,,,,
Business fixed,45,40,36,32,32,29,,,,,,,,,,,,,,,,,,,,,
Business mobile,42,51,57,60,65,68,,,,,,,,,,,,,,,,,,,,,
Total,218,223,228,229,232,220,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators; fixed call volumes exclude NTS voice calls. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly call minutes per residential fixed and mobile voice connection ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes per month ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Fixed,297,275,272,272,268,236,,,,,,,,,,,,,,,,,,,,,
Mobile,67,74,76,78,74,69,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of methods of communication other than traditional voice telephony,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2012,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile messaging,75,80,,,,,,,,,,,,,,,,,,,,,,,,,
Email,64,71,,,,,,,,,,,,,,,,,,,,,,,,,
Social networking sites,40,52,,,,,,,,,,,,,,,,,,,,,,,,,
VoIP,16,22,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile instant messaging,10,17,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Means of communicating with friends and family used at least once a day,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
Text messaging,58,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice call on mobile,47,,,,,,,,,,,,,,,,,,,,,,,,,,
Social networking (e.g. Facebook),32,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice call on landline,29,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant messaging (e.g. MSN),26,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment on website,12,,,,,,,,,,,,,,,,,,,,,,,,,,
VoIP (e.g. Skype),9,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro blogging (e.g. Twitter),8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uk telecoms revenue by wholesale and retail, fixed and mobile, and corporate data services",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£bn),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Total revenue ,40.7,42,42.5,41.2,40.5,39.7,,,,,,,,,,,,,,,,,,,,,
Corporate data services,3,3.2,3.2,3.3,3.4,3.6,,,,,,,,,,,,,,,,,,,,,
Retail mobile,13.9,15,15.5,14.9,14.9,15.1,,,,,,,,,,,,,,,,,,,,,
Retail fixed,13.8,13.6,13.4,12.9,12.6,12.3,,,,,,,,,,,,,,,,,,,,,
Wholesale mobile,4,4.6,5,4.7,4.2,3.6,,,,,,,,,,,,,,,,,,,,,
Wholesale fixed,6.1,5.7,5.5,5.4,5.4,5.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators (retail and wholesale data); IDC (corporate data services data),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total retail revenue, by voice and data",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£bn),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Fixed voice,10.5,10.4,10.2,9.7,9.4,8.9,,,,,,,,,,,,,,,,,,,,,
Broadband and narrowband,3.2,3.2,3.2,3.3,3.2,3.4,,,,,,,,,,,,,,,,,,,,,
Mobile voice,10.9,11.5,11.5,10.9,10.6,10.5,,,,,,,,,,,,,,,,,,,,,
Mobile messaging and data,3,3.5,4,4.1,4.3,4.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average revenue per user (ARPU) per month, by service",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Fixed voice,25.23,24.87,24.56,23.83,23.31,22.26,,,,,,,,,,,,,,,,,,,,,
Mobile voice and messaging ,16.27,16.47,15.85,14.43,13.67,13.34,,,,,,,,,,,,,,,,,,,,,
Mobile data ,0.71,0.92,1.3,1.59,1.8,2.09,,,,,,,,,,,,,,,,,,,,,
Fixed broadband ,16.39,16.07,15.38,14.78,13.51,13.7,,,,,,,,,,,,,,,,,,,,,
Mobile broadband,,,,,,11.96,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom/operators except for mobile broadband figure which was from YouGov DongleTrack research. In this chart, mobile data refers to handsets only and so excludes mobile broadband.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.25,,,,,,,,,,,,,,,,,,,,,,,Mobile ARPUs,,,,
Volumes of outgoing fixed minutes and mobile minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Voice,Msgg,Data,Total,
Minutes (billions),,,,,,,,,,,,,,,,,,,,,,2006,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Fixed,154.2,149.5,140.9,131.9,128.8,115.9,,,,,,,,,,,,,,,,,,,,,
Mobile,88.3,104.9,115.1,120.6,124.9,123.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of connections, by service",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
PSTN lines (includes Centrex),34.47,34.47,34.2,33.54,33.41,33.23,,,,,,,,,,,,,,,,,,,,,
ISDN channels,4.66,4.7,4.59,4.18,3.74,3.61,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections,13.01,15.32,16.94,17.86,19.13,20.44,,,,,,,,,,,,,,,,,,,,,
Mobile connections,70.01,73.81,76.55,80.28,81.17,81.61,,,,,,,,,,,,,,,,,,,,,
Mobile broadband connections,,,2.55,4.1,4.82,5.06,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom/operators. Mobile broadband figures are also included in the total mobile figure.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed telecoms revenues, by access technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£m),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
PSTN rental,"4,222","4,363","4,451","4,269","4,285","4,473",,,,,,,,,,,,,,,,,,,,,
ISDN rental,830,825,822,770,718,682,,,,,,,,,,,,,,,,,,,,,
Calls,"5,490","5,189","4,881","4,613","4,394","3,782",,,,,,,,,,,,,,,,,,,,,
