4.IWBC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market: key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market ,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,
2009,37.6,21,26,,,,,,,,,,,,,,,,,,,,,,,
2010,83,32,27,,,,,,,,,,,,,,,,,,,,,,,
2011,203,39,39,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Mobile Advertising Revenues: IAB/PWC, Ofcom: take-up of internet on mobile phone and of smartphones",,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Take-up figures are from Q1 of the following year.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.15,,,,,,,,,,,,,,,,,,,,,,,,,,
Search and display share of mobile advertising revenues: 2008 - 2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,,
Search,50,54,66,66,,,,,,,,,,,,,,,,,,,,,,
Display,50,46,34,34,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IAB/PWC,,,,,,,,,,,,,,,,,,,,,,,,,,
. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile display advertising revenues, by type and location: 2008 - 2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,2010,2011,"2011
Location",,,,,,,,,,,,,,,,,,,,,,,
Banners and text links,84,86,,,,,,,,,,,,,,,,,,,,,,,,
Video,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Tenancies,6,2,,,,,,,,,,,,,,,,,,,,,,,,
"SMS, MMS, and other",9,11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
App Ads,,,54,,,,,,,,,,,,,,,,,,,,,,,
Browser Ads,,,46,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IAB/PWC,,,,,,,,,,,,,,,,,,,,,,,,,,
. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.17,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household PC and internet take-up, 2005-2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of adults (%),,,,,,,,,,,,,,,,,,,,,,,,,,
,2005 Q1,2006 Q1,2007 Q1,2008 Q1,2009 Q1,2010 Q1,2011 Q1,2012 Q1,,,,,,,,,,,,,,,,,,
Internet,60,60,64,67,73,75,77,80,,,,,,,,,,,,,,,,,,
PC / laptop,68,67,71,72,74,76,77,79,,,,,,,,,,,,,,,,,,
Total broadband,31,41,52,58,68,71,74,76,,,,,,,,,,,,,,,,,,
Fixed broadband,,,,,65,65,67,72,,,,,,,,,,,,,,,,,,
Mobile data user,,,,,27,30,38,42,,,,,,,,,,,,,,,,,,
Internet on mobile,,,,,20,21,32,39,,,,,,,,,,,,,,,,,,
Mobile broadband,,,,,12,15,17,13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"QE1: Does your household have a PC or laptop computer? / QE2: Do you or does anyone in your household have access to the Internet/Worldwide Web at HOME (via any device, e.g. PC, mobile phone etc)? / QE6: Which of these methods does your household use to connect to the Internet at home?",,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom technology tracker, Q1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ (n=3772),,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: “Internet on mobile” is the % of adults who use a mobile phone for any of the following activities: Instant messaging, Downloading Apps or programs, Email, Internet access, downloading video, video streaming, visiting social networking sites.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: From,Q1 2009 the ‘Internet’ figure includes those who access the internet on mobile phones. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.18,,,,,,,,,,,,,,,,,,,,,,,,,,
"Use of wireless router versus broadband take-up, 2007 - 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1 2007,Q3 2007,Q1 2008,Q3 2008,Q1 2009,Q1 2010,Q1 2011,Q1 2012,,,,,,,,,,,,,,,,,,
Currently use wireless router*,34,41,44,57,52,66,75,85,,,,,,,,,,,,,,,,,,
Fixed broadband penetration**,52,53,57,61,65,65,67,72,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Wireless router take-up - adults aged 16+ with a broadband connection at home (* from 2009 this is based on fixed broadband connections only). Fixed broadband penetration based on all adults aged 16+ (** prior to 2009 this is total broadband penetration). ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.19,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.19,,,,,,,,,,,,,,,,,,,,,,,,,,
Ownership of internet-enabled devices ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Device,Household Penetration,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,61,,,,,,,,,,,,,,,,,,,,,,,,,
Games console,52,,,,,,,,,,,,,,,,,,,,,,,,,
"Desktop 
PC",44,,,,,,,,,,,,,,,,,,,,,,,,,
Internet enabled STB ,41,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,39,,,,,,,,,,,,,,,,,,,,,,,,,
Portable games console,32,,,,,,,,,,,,,,,,,,,,,,,,,
E-reader*,14,,,,,,,,,,,,,,,,,,,,,,,,,
Tablet,11,,,,,,,,,,,,,,,,,,,,,,,,,
Netbook,7,,,,,,,,,,,,,,,,,,,,,,,,,
Smart TV,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Adults aged 16+ n = 2258,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: IP-enabled  devices include laptop, games console, desktop PC, smartphone, portable games console, internet enabled STB (Sky+, Sky+ HD, V+ and V+ HD set top boxes), e-reader, tablet, netbook, and smart TV. *E-reader  take-up stated here is household while elsewhere in the report we state figures by individual take-up. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.20,,,,,,,,,,,,,,,,,,,,,,,,,,
The proportion of each social group owning internet-enabled devices ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of social group (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,
Device,AB,C1,C2,DE,,,,,,,,,,,,,,,,,,,,,,
Laptop,75,67,58,44,,,,,,,,,,,,,,,,,,,,,,
"Games 
Console",51,55,57,46,,,,,,,,,,,,,,,,,,,,,,
PC,56,49,39,30,,,,,,,,,,,,,,,,,,,,,,
"Smart-
phone",52,46,37,33,,,,,,,,,,,,,,,,,,,,,,
Portable Games Console,31,36,36,26,,,,,,,,,,,,,,,,,,,,,,
Sky+ ,34,32,34,20,,,,,,,,,,,,,,,,,,,,,,
E-reader,23,16,12,6,,,,,,,,,,,,,,,,,,,,,,
Tablet,19,12,8,4,,,,,,,,,,,,,,,,,,,,,,
V+ ,11,10,10,8,,,,,,,,,,,,,,,,,,,,,,
Netbook,9,8,5,3,,,,,,,,,,,,,,,,,,,,,,
Smart TV,5,7,5,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: Adults aged 16+, AB n = 822,, C1 n= 1085, C2 n=765, DE n=1098",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.21,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internet-enabled devices, by social group ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of device owners (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,
Device,ABC1,C2DE,,,,,,,,,,,,,,,,,,,,,,,,
Tablet,76,24,,,,,,,,,,,,,,,,,,,,,,,,
E-reader,74,26,,,,,,,,,,,,,,,,,,,,,,,,
Netbook,72,28,,,,,,,,,,,,,,,,,,,,,,,,
PC,65,35,,,,,,,,,,,,,,,,,,,,,,,,
"Smart-
phone",65,35,,,,,,,,,,,,,,,,,,,,,,,,
Smart TV,64,36,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,63,37,,,,,,,,,,,,,,,,,,,,,,,,
Sky+,61,39,,,,,,,,,,,,,,,,,,,,,,,,
V+,59,41,,,,,,,,,,,,,,,,,,,,,,,,
Portable Games Console,58,42,,,,,,,,,,,,,,,,,,,,,,,,
"Games
Console",56,44,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Adults aged 16+,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.22,,,,,,,,,,,,,,,,,,,,,,,,,,
"Devices used to visit internet websites in 2011, by age ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANY OF THESE,PC or laptop at home,Mobile phone,Games console/ player,Portable media player,Tablet computer,,,,,,,,,,,,,,,,,,,,
All aged 16+,76%,72%,45%,11%,8%,6%,,,,,,,,,,,,,,,,,,,,
16-24,91%,84%,70%,20%,16%,6%,,,,,,,,,,,,,,,,,,,,
25-34,88%,84%,67%,18%,9%,11%,,,,,,,,,,,,,,,,,,,,
35-44,89%,85%,59%,14%,12%,10%,,,,,,,,,,,,,,,,,,,,
45-54,81%,78%,39%,10%,8%,5%,,,,,,,,,,,,,,,,,,,,
55-64,69%,68%,26%,4%,5%,3%,,,,,,,,,,,,,,,,,,,,
65+,30%,29%,7%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"IN1/ IN2- Do you or does anyone in your household have access to the internet at home through a computer, laptop or notebook? And do you personally use the internet at home?/ Do you have and use any of the items shown on this card to access the internet or to visit internet websites? (Prompted responses, single coded)",,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 16+ (1823 aged 16+, 225 aged 16-24, 252 aged 25-34, 294 aged 35-44, 228 aged 45-54, 281 aged 55-64, 543 aged 65+). Significance testing shows any difference between any age group and all adults aged 16+",,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, fieldwork carried out by Saville Rossiter-Base in September to October 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.23,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of different internet-enabled devices per household ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Devices,Own n no. of devices,Own at least n no. of devices,,,,,,,,,,,,,,,,,,,,,,,,
None,15,100,,,,,,,,,,,,,,,,,,,,,,,,
One,14,85.3,,,,,,,,,,,,,,,,,,,,,,,,
Two,15,71.7,,,,,,,,,,,,,,,,,,,,,,,,
Three,16,56.3,,,,,,,,,,,,,,,,,,,,,,,,
Four,14,40.2,,,,,,,,,,,,,,,,,,,,,,,,
Five,12,26.5,,,,,,,,,,,,,,,,,,,,,,,,
Six,8,14.9,,,,,,,,,,,,,,,,,,,,,,,,
Seven,4,6.6,,,,,,,,,,,,,,,,,,,,,,,,
Eight,2,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Nine,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Ten,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Adults aged 16+ n = 2258,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: IP-enabled  devices include laptop, games console, desktop PC, smartphone, portable games console, internet enabled STB (Sky+, Sky+ HD, V+ and V+ HD set top boxes), e-reader, tablet, netbook, and smart TV. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.24,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device ownership, by number of different internet-enabled devices in ",,,,,,,,,,,,,,,,,,,,,,,,,,
household ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Devices,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,
Laptop,39.40%,54.90%,72.50%,82.20%,86.30%,94.70%,98.80%,,,,,,,,,,,,,,,,,,,
Smartphone,5.20%,24.40%,38.20%,54.00%,70.30%,79.70%,96.50%,,,,,,,,,,,,,,,,,,,
Games console,9.40%,30.20%,59.90%,79.90%,94.30%,94.70%,94.20%,,,,,,,,,,,,,,,,,,,
Desktop PC,32.60%,43.40%,42.90%,52.40%,59.30%,71.10%,86.00%,,,,,,,,,,,,,,,,,,,
Portable games console,1.60%,9.50%,24.70%,43.40%,70.30%,79.70%,84.90%,,,,,,,,,,,,,,,,,,,
Internet enabled STB,9.80%,27.60%,41.80%,59.50%,69.20%,79.10%,80.20%,,,,,,,,,,,,,,,,,,,
E-reader,0.70%,5.20%,9.60%,13.30%,19.00%,41.70%,58.10%,,,,,,,,,,,,,,,,,,,
Tablet,0.30%,1.70%,4.70%,8.10%,14.80%,29.90%,50.00%,,,,,,,,,,,,,,,,,,,
Netbooks,0.30%,0.90%,3.30%,2.60%,8.00%,13.90%,37.20%,,,,,,,,,,,,,,,,,,,
Smart TV,0.70%,2.60%,2.20%,4.90%,8.00%,15.00%,14.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: Adults aged 16+ that own at least one IP enabled device n = 1927 (one device, n=307; two devices, n=348; three devices, n=364; four devices n=309; five devices n=263; six devices n=187, seven devices n=86)",,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: IP-enabled  devices include laptop, games console, desktop PC, smartphone, portable games console, IP enabled STB (Sky+, Sky+ HD, V+ and V+ HD set top boxes), e-reader, tablet, netbook, and smart TV. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.25,,,,,,,,,,,,,,,,,,,,,,,,,,
"Home internet access, by age, socio-economic group and gender ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Home internet access (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,16-24,25-34,35-54,55-64,65-74,75+,AB,C1,C2,DE,Male,Female,,,,,,,,,,,,,
2010,75,84,86,87,69,51,23,89,82,73,57,77,73,,,,,,,,,,,,,
2011,77,85,88,87,73,55,26,91,83,77,57,78,76,,,,,,,,,,,,,
2012,80,90,90,88,75,64,27,92,86,78,63,81,78,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
QE2: Do you or does anyone in your household have access to the internet/ Worldwide Web at home?,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom technology tracker, Q1 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: All adults 16+ (n = 3772 UK, 483 16-24, 608 25-34, 1295 35-54, 596 55-64, 447 65-74, 341 75+, 822 AB, 1085 C1, 765 C2, 1098 DE, 1804 male, 1968 female) ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.26,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.26 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop and desktop computer online audience vs. broadband take-up: 2004 – 2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Month ,Online Audience,Total Broadband Take-up,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan,24.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Feb,24.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar,24.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Apr,24.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-May,24.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Jun,24.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,23.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug,22.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Sep,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Oct,24.3,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Nov,23.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec,24.1,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jan,24.1,31,,,,,,,,,,,,,,,,,,,,,,,,
5-Feb,23.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,23.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-May,24.2,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-Jun,24.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-Jul,24.3,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-Aug,24.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-Sep,25.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,25.4,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-Nov,25.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-Dec,25.2,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Jan,26.3,41,,,,,,,,,,,,,,,,,,,,,,,,
6-Feb,25.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Mar,25.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr,26.2,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-May,25.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,25.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Jul,26.2,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Aug,25.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Sep,25.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Oct,28.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,30.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Dec,28.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Jan,29.8,52,,,,,,,,,,,,,,,,,,,,,,,,
7-Feb,30.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Mar,30.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr,30.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-May,31.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Jun,30.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Jul,30.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Aug,31.4,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Sep,32.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Oct,32.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Nov,32,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec,32.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Jan,32.2,58,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,32,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar,33.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Apr,33.4,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-May,33.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,34,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,34.3,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,34.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep,34.4,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,34.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Nov,34.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
8-Dec,36.2,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan,35.6,68,,,,,,,,,,,,,,,,,,,,,,,,
9-Feb,34.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Mar,36.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Apr,36.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-May,36.3,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,37,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,37,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Aug,36.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,38.3,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Oct,38.2,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov,37.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
9-Dec,38.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan,38,71,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb,37.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar,39,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Apr,39.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-May,38.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,37.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul,38.4,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,37.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,38.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Oct,38.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov,38,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec,39.3,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,39,74,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb,38.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar,38.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr,39.1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-May,38.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun,38.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,37.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug,38.6,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep,38.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct,39.3,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov,38.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Dec,39.4,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan,39.7,76,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Nielsen UKOM, internet users aged 2+, home and work panels, applications included. Ofcom technology tracker, Q1 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total broadband penetration -  all adults aged 16+ (n=3772),,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The online audience is an individual aged 2+ that has used an internet enabled home or non shared work computer to go online at least once in the month. * Due  to a change in methodology figures prior to October 2006 should be treated with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.27,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.27 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Active internet users and time online on a laptop or desktop computer: 2004 – 2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,
Average Online Tim Per Person Per Month,11:08:08,12:31:42,14:22:24,17:37:21,18:41:58,23:53:58,23:00:33,23:31:59,,,,,,,,,,,,,,,,,,
,11.1,12.5,14.4,17.6,18.7,23.9,23,23.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Month ,Online Audience,Online Time Per Person,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan,"23,823,254",11:51:01,,,,,,,,,,,,,,,,,,,,,,,,
4-Feb,"24,546,372",10:19:23,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar,"24,718,653",11:49:50,,,,,,,,,,,,,,,,,,,,,,,,
4-Apr,"24,506,602",10:44:46,,,,,,,,,,,,,,,,,,,,,,,,
4-May,"24,676,367",10:29:33,,,,,,,,,,,,,,,,,,,,,,,,
4-Jun,"24,479,647",10:56:36,,,,,,,,,,,,,,,,,,,,,,,,
