Department family,Entity,Allocation Date,Expense type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40306,"1,151.39"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - People,Digby Morgan Consulting Ltd,iPOS Invoice 40307,"12,109.50"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Policy and Ops - Public,Odgers Interim,iPOS Invoice 40308,"13,875.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - ICT,Badenoch & Clark,iPOS Invoice 40309,"1,081.18"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Business Planning,Reed Employment,iPOS Invoice 40312,"1,872.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Business Planning,Reed Employment,iPOS Invoice 40313,"1,872.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Xchangeteam Ltd,iPOS Invoice 40327,"1,324.80"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Turnaround,Edenbrown,iPOS Invoice 40331,"2,117.64"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Policy and Ops - Private,Hudson Global Resources Ltd,iPOS Invoice 40333,"1,877.14"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Policy and Ops - Private,Hudson Global Resources Ltd,iPOS Invoice 40334,"1,407.85"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Policy and Ops - Private,Hudson Global Resources Ltd,iPOS Invoice 40335,"1,407.85"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Policy and Ops - Private,Hudson Global Resources Ltd,iPOS Invoice 40336,"2,346.42"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Policy and Ops - Private,Hudson Global Resources Ltd,iPOS Invoice 40337,"2,346.42"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Reed Employment,iPOS Invoice 40338,876.29
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Reed Employment,iPOS Invoice 40339,"1,126.66"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Edenbrown,iPOS Invoice 40340,680.5
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Xchangeteam Ltd,iPOS Invoice 40346,"1,324.80"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Intelligence & Engagement - Stakeholder Relations,Morgan Law Partners LLP,iPOS Invoice 40387,645.05
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Corporate Management - Corporate Governance,Venn Group,iPOS Invoice 40388,"2,641.32"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Regulation - Policy and Ops - Public,Odgers Interim,iPOS Invoice 40390,"22,200.00"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Intelligence & Engagement - Group Directorate,Veredus,iPOS Invoice 40391,"11,730.00"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Corporate Management - Group Directorate,Veredus,iPOS Invoice 40392,"11,700.00"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Veredus,iPOS Invoice 40393,"6,831.00"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Corporate Management - Finance,Veredus,iPOS Invoice 40394,"12,006.00"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Corporate Management - People,Resource Innovations,iPOS Invoice 40397,"12,768.22"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Intelligence & Engagement - Group Directorate,Veredus,iPOS Invoice 40491,"2,208.00"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Intelligence & Engagement - Group Directorate,Veredus,iPOS Invoice 40492,"8,280.00"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Edenbrown,iPOS Invoice 40497,680.5
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Intelligence & Engagement - Stakeholder Relations,Morgan Law Partners LLP,iPOS Invoice 40499,594.46
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Corporate Management - ICT,Badenoch & Clark,iPOS Invoice 40501,"1,038.50"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Corporate Management - Finance,Methods Consulting,iPOS Invoice 40502,"8,386.06"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Reed Employment,iPOS Invoice 40507,"1,126.66"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Edenbrown,iPOS Invoice 40508,850.62
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Corporate Management - ICT,Badenoch & Clark,iPOS Invoice 40509,"1,052.72"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Corporate Management - Corporate Governance,Venn Group,iPOS Invoice 40520,"2,641.32"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Agency Staff,Corporate Management - Finance,Penna,iPOS Invoice 40524,"12,852.00"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Regulation - Policy and Ops - Public,Odgers Interim,iPOS Invoice 40577,747.6
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - Finance,Badenoch & Clark,iPOS Invoice 40580,"1,046.74"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - Finance,Badenoch & Clark,iPOS Invoice 40581,"1,046.74"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - ICT,Badenoch & Clark,iPOS Invoice 40582,874.9
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Intelligence & Engagement - Group Directorate,Veredus,iPOS Invoice 40583,"8,797.50"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Veredus,iPOS Invoice 40586,"10,626.00"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Veredus,iPOS Invoice 40588,"17,760.00"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - People,Veredus,iPOS Invoice 40591,"8,521.50"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Xchangeteam Ltd,iPOS Invoice 40594,"1,324.80"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Reed Employment,iPOS Invoice 40595,813.7
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40618,"1,918.98"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Intelligence & Engagement - Stakeholder Relations,Morgan Law Partners LLP,iPOS Invoice 40625,632.4
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - Turnaround,Edenbrown,iPOS Invoice 40628,"1,694.11"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - Turnaround,Edenbrown,iPOS Invoice 40629,"2,117.64"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - People,Digby Morgan Consulting Ltd,iPOS Invoice 40643,"16,387.50"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - Turnaround,Veredus,iPOS Invoice 40644,"17,871.00"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - Finance,Veredus,iPOS Invoice 40645,"15,732.00"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Reed Employment,iPOS Invoice 40653,"1,126.66"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Regulation - Policy and Ops - Private,Hudson Global Resources Ltd,iPOS Invoice 40654,"2,346.42"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Corporate Management - Finance,Hudson Global Resources Ltd,iPOS Invoice 40656,"2,138.94"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Regulation - Policy and Ops - Private,Hudson Global Resources Ltd,iPOS Invoice 40657,"2,346.42"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Edenbrown,iPOS Invoice 40658,850.62
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Regulation - Disability Programme,Penna,iPOS Invoice 40683,"9,828.00"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Regulation - Disability Programme,Penna,iPOS Invoice 40684,"14,742.00"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Xchangeteam Ltd,iPOS Invoice 40686,"1,324.80"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40712,"1,535.18"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40713,"1,918.98"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Corporate Governance,Venn Group,iPOS Invoice 40714,"2,113.06"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Corporate Governance,Venn Group,iPOS Invoice 40715,"2,641.32"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Intelligence & Engagement - Stakeholder Relations,Morgan Law Partners LLP,iPOS Invoice 40717,619.75
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - ICT,Badenoch & Clark,iPOS Invoice 40738,"1,102.51"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Group Directorate,Veredus,iPOS Invoice 40755,"16,200.00"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Finance,Veredus,iPOS Invoice 40758,"23,880.00"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Intelligence & Engagement - Group Directorate,Veredus,iPOS Invoice 40759,"11,143.50"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Finance,Badenoch & Clark,iPOS Invoice 40760,"1,308.42"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Finance,Badenoch & Clark,iPOS Invoice 40761,"1,308.42"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - ICT,Badenoch & Clark,iPOS Invoice 40762,"1,081.18"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Turnaround,Edenbrown,iPOS Invoice 40763,"1,694.11"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Edenbrown,iPOS Invoice 40764,680.5
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Finance,Hudson Global Resources Ltd,iPOS Invoice 40765,"1,711.15"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Finance,Hudson Global Resources Ltd,iPOS Invoice 40766,"2,138.94"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Agency Staff,Corporate Management - Finance,Hudson Global Resources Ltd,iPOS Invoice 40767,"2,483.90"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Linda Taylor Associates,iPOS Invoice 40285,503.28
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Linda Taylor Associates,iPOS Invoice 40286,503.28
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40290,932.57
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40292,504.96
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40315,547.21
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40329,588.24
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40330,705.89
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40343,705.89
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40344,504.96
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40503,550.37
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Linda Taylor Associates,iPOS Invoice 40505,503.28
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40626,705.89
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40627,705.89
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Linda Taylor Associates,iPOS Invoice 40630,503.28
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40666,550.37
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40667,705.89
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Linda Taylor Associates,iPOS Invoice 40675,503.28
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Edenbrown,iPOS Invoice 40770,705.89
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,ATW - Agency/Staff Costs,Corporate Management - Finance,Linda Taylor Associates,iPOS Invoice 40772,503.28
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,ATW - Non Staff Expenditure,Corporate Management - Finance,Ace Taxis,iPOS Invoice 40321,"1,052.46"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,ATW - Non Staff Expenditure,Corporate Management - Finance,ATW - Non Staff Expenditure,iPOS Invoice 40425,"1,556.40"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,ATW - Non Staff Expenditure,Corporate Management - Finance,ATW - Non Staff Expenditure,iPOS Invoice 40517,504.67
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,ATW - Non Staff Expenditure,Corporate Management - Finance,Sttrs Direct,iPOS Invoice 40536,522
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,ATW - Non Staff Expenditure,Corporate Management - Finance,Swan Private Hire,iPOS Invoice 40556,545.28
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,ATW - Non Staff Expenditure,Corporate Management - Finance,ATW - Non Staff Expenditure,iPOS Invoice 40794,"1,761.40"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,ATW - Non Staff Expenditure,Corporate Management - Finance,Ace Taxis,iPOS Invoice 40795,"1,052.46"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Barristers Fees,Legal/Monitoring - Casework,Jude Bunting,iPOS Invoice 40239,594
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Barristers Fees,Legal/Monitoring - Casework,Ms Sarah Fraser Butlin,iPOS Invoice 40248,"1,116.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Barristers Fees,Legal/Monitoring - Casework,Faculty Services Limited,iPOS Invoice 40325,714
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Barristers Fees,Legal/Monitoring - Casework,Robin Allen QC,iPOS Invoice 40326,"32,192.50"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Barristers Fees,Legal/Monitoring - Casework,Miss Catherine Casserley,iPOS Invoice 40427,864
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Barristers Fees,Legal/Monitoring - Casework,Paul Troop,iPOS Invoice 40469,"19,368.11"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Barristers Fees,Legal/Monitoring - Casework,David Massarella,iPOS Invoice 40471,"2,160.00"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Barristers Fees,Legal/Monitoring - Casework,Tom Linden,iPOS Invoice 40481,"3,600.00"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Barristers Fees,Legal/Monitoring - Casework,Miss Catherine Casserley,iPOS Invoice 40695,"2,052.00"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Barristers Fees,Legal/Monitoring - Enforcement,Robin Allen QC,iPOS Invoice 40746,"8,430.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,BT Non Managed Services,Corporate Management - ICT,BT Onebillplus,iPOS Invoice 40342,"3,003.90"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,BT Non Managed Services,Corporate Management - ICT,BT Onebillplus,iPOS Invoice 40716,"1,141.77"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Business Apps Software maintenance and support,Corporate Management - ICT,Bottomline Technologies,iPOS Invoice 40568,630.96
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Business Rates,Corporate Management - Buildings,DWP,iPOS Invoice 40361,"56,392.52"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Business Rates,Corporate Management - Buildings,Norton Rose,iPOS Invoice 40651,"4,076.16"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Catering,Scotland - Directorate,University of Glasgow,iPOS Invoice 40691,649.92
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Childcare Voucher Scheme,Corporate Management - People,Accor Services,iPOS Invoice 40553,"6,699.09"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Corporate Management - Buildings,Carroll Cleaning Company Ltd,iPOS Invoice 39569,"-1,779.10"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Corporate Management - Buildings,Caledonian Office & Window Cleaning,iPOS Invoice 40368,"1,067.28"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Wales Directorate,Keith Brooks,iPOS Invoice 40370,900
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Corporate Management - Buildings,Carroll Cleaning Company Ltd,iPOS Invoice 40398,"2,540.15"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Corporate Management - Buildings,Carroll Cleaning Company Ltd,iPOS Invoice 40399,"2,540.15"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Corporate Management - Buildings,CK Cleaning Services (Midlands) LLP,iPOS Invoice 40403,576
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Corporate Management - Buildings,CK Cleaning Services (Midlands) LLP,iPOS Invoice 40404,576
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Corporate Management - Buildings,CK Cleaning Services (Midlands) LLP,iPOS Invoice 40405,576
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Corporate Management - Buildings,Caledonian Office & Window Cleaning,iPOS Invoice 40454,"1,067.28"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Cleaning Services,Corporate Management - Buildings,OCS Group Limited,iPOS Invoice 40464,"2,101.48"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Cleaning Services,Corporate Management - Buildings,OCS Group Limited,iPOS Invoice 40565,"2,101.48"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Cleaning Services,Corporate Management - Buildings,Norton Rose,iPOS Invoice 40652,"4,825.15"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Cleaning Services,Corporate Management - Buildings,Caledonian Office & Window Cleaning,iPOS Invoice 40744,"1,067.28"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Client Support,Regulation - Disability Programme,Stt-Ubiqus (Palantype Services),iPOS Invoice 39883,"1,547.00"
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Client Support,Regulation - Disability Programme,Stt-Ubiqus (Palantype Services),iPOS Invoice 40371,"1,478.17"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Client Support,Regulation - Disability Programme,Stt-Ubiqus (Palantype Services),iPOS Invoice 40374,"3,741.98"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Client Support,Regulation - Disability Programme,Stt-Ubiqus (Palantype Services),iPOS Invoice 40379,-7.92
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Client Support,Regulation - Disability Programme,Stt-Ubiqus (Palantype Services),iPOS Invoice 40381,"4,147.20"
Government Equalities Office,Equality and Human Rights Commission,14/06/2011,Client Support,Regulation - Disability Programme,Stt-Ubiqus (Palantype Services),iPOS Invoice 40382,-720
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Client Support,Statutory Committee - Wales,Cymen Cyf,iPOS Invoice 40615,639.6
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Client Support,Scotland - Directorate,Marianne Cunningham (MAZE),iPOS Invoice 40624,750
Government Equalities Office,Equality and Human Rights Commission,21/06/2011,Client Support,Statutory Committee - Disability,Inspired Services,iPOS Invoice 40669,"4,137.60"
Government Equalities Office,Equality and Human Rights Commission,28/06/2011,Client Support,Statutory Committee - Disability,Mencap,iPOS Invoice 40748,"2,592.00"
