Cheltenham Borough Council Payments To Suppliers Between 2014-03-01 and 2014-03-31,,,,,,,,
,,,,,,,,
Accounts Payable Data,,,,,,,,

Body,Body Name,Transaction No,Invoice Ref.,Vendor Name,Expense,Expense Type,Payment Date,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025441,504577,Clearwater Technology Limited,R2048-HRA100,R & M of Build Legionellla,21/03/2014,590.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025442,504578,Clearwater Technology Limited,R2048-HRA100,R & M of Build Legionellla,21/03/2014,590.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025446,504580,Clearwater Technology Limited,R2048-HRA100,R & M of Build Legionellla,21/03/2014,590.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025454,504584,Clearwater Technology Limited,R2048-HRA100,R & M of Build Legionellla,21/03/2014,815.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025456,504585,Clearwater Technology Limited,R2048-HRA100,R & M of Build Legionellla,21/03/2014,590.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025685,SINV899093,Commercial Limited (Office Stationery only),R4308-ADB102,Stationery,31/03/2014,795.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024654,12328,Complete Climate Solutions,R2004-REC101,R & M of Build Programmed,07/03/2014,"2,162.05"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024144,13063A,Complete Climate Solutions,R2080-OPS101,Mechanical Services,07/03/2014,"1,050.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024144,13063A,Complete Climate Solutions,R2080-OPS101,Mechanical Services,07/03/2014,"3,365.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024653,13681,Complete Climate Solutions,R2004-REC101,R & M of Build Programmed,07/03/2014,"4,173.78"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025375,13716,Complete Climate Solutions,R2004-CCM111,R & M of Build Programmed,21/03/2014,"4,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025375,13716,Complete Climate Solutions,R2004-CCM111,R & M of Build Programmed,21/03/2014,"1,680.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025098,13731,Complete Climate Solutions,R2080-REC111,Mechanical Services,14/03/2014,538.13
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025075,13753,Complete Climate Solutions,R2080-CUL112,Mechanical Services,14/03/2014,537.73
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025076,13758,Complete Climate Solutions,R2080-ADB101,Mechanical Services,14/03/2014,"1,564.05"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025936,13786,Complete Climate Solutions,R2080-REC111,Mechanical Services,28/03/2014,538.13
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025906,13806,Complete Climate Solutions,R2080-CCM111,Mechanical Services,28/03/2014,731.60
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025907,13807,Complete Climate Solutions,R2080-REC111,Mechanical Services,28/03/2014,"1,513.54"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025358,SV001745,Corinium Carpets Limited,R5012-HRA110,Minor Neighbourhood Works - Oakley Areas,14/03/2014,"1,460.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025035,260214,Cotswold Conservation,R2004-CUL112,R & M of Build Programmed,14/03/2014,"2,600.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025036,290214,Cotswold Conservation,R2004-CUL112,R & M of Build Programmed,14/03/2014,"5,838.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025037,300214,Cotswold Conservation,R2004-CUL112,R & M of Build Programmed,14/03/2014,"1,750.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025511,170314,Cotswold District Council (Revenues & Benefits),R9100-LTC003,Contributions - County Council,21/03/2014,"4,391.51"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025176,1629760,Craemer UK Limited,R4000-WST001,Equipment Purchase,21/03/2014,"21,120.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025198,1352,D A Jones Landscapes,R2075-OPS001,Grounds Maintenance - Contract,14/03/2014,934.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025660,1355,D A Jones Landscapes,R2076-OPS001,Grounds Maintenance - Non Contract,28/03/2014,628.20
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025660,1355,D A Jones Landscapes,R2076-OPS001,Grounds Maintenance - Non Contract,28/03/2014,"1,078.80"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14026352,1359,D A Jones Landscapes,R2075-OPS001,Grounds Maintenance - Contract,31/03/2014,"2,240.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024667,SI-196,D J Sollis (Survey Services) Limited,R2075-OPS004,Grounds Maintenance - Contract,07/03/2014,"4,231.76"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024667,SI-196,D J Sollis (Survey Services) Limited,R2075-ENF102,Grounds Maintenance - Contract,07/03/2014,"4,030.24"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024807,9505,Delta Graphics & Signs Limited,R4000-REC001,Equipment Purchase,07/03/2014,599.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025705,9513,Delta Graphics & Signs Limited,R4000-REC007,Equipment Purchase,28/03/2014,757.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025004,1314/011,Des Knight Limited,R4400-SUP009,Services - Professional Fees,07/03/2014,"1,260.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025662,1314/012,Des Knight Limited,R4400-SUP009,Services - Professional Fees,28/03/2014,"1,260.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025141,924749,Disclosure & Barring Service,R4401-REG001,Services - Fees and Charges,21/03/2014,572.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025549,9941,District Surveyor Association Limited T/A LABC,R4531-SUP025,IT - Purchase of Software,28/03/2014,"1,171.61"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025549,9941,District Surveyor Association Limited T/A LABC,R4701-BUC001,Subscriptions,28/03/2014,"1,171.61"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024756,265368,Domestic & General Insultation Limited,C1107-CAH032,Building Works,14/03/2014,553.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025021,265387,Domestic & General Insultation Limited,C1107-CAH032,Building Works,07/03/2014,533.25
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14026027,265557,Domestic & General Insultation Limited,C1107-CAH032,Building Works,31/03/2014,"1,722.75"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025596,27859,DPDS Regional Limited - DPDS Consulting Group,R4400-DEV001,Services - Professional Fees,21/03/2014,950.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025768,18226,Dundore Limited T/A Security Data Print,R4300-LTC001,Printing - Services,28/03/2014,"6,213.49"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025632,14/00066/PMIN/83726,Duo Interiors,R2004-CCM001,R & M of Build Programmed,21/03/2014,600.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025376,161004,E.G. Carter & Co. Limited,C5001-CAP225,Contributions,21/03/2014,"26,926.40"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025482,99283,Elecheck (EST) Limited,C1107-CAH015,Building Works,28/03/2014,"11,122.55"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025368,23441,Elliotts (Cheltenham) Limited,R2071-OPS002,Open Spaces and Grassed Areas,21/03/2014,766.67
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025245,318,Encore PR Ltd,R4400-CUL102,Services - Professional Fees,14/03/2014,"1,540.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025391,301267/2/2014,Ener-G Combined Power (South) Limited,R2100-REC101,Electricity,21/03/2014,"3,894.46"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025371,WM004678,English Landscapes Limited t/a The Landscape Group,C1107-CAH005,Building Works,21/03/2014,"21,057.01"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025370,WM004679,English Landscapes Limited t/a The Landscape Group,C1107-CAH005,Building Works,21/03/2014,"27,442.33"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024872,19120,Enviro Technology Services plc,R4000-REG012,Equipment Purchase,07/03/2014,"7,800.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025269,036/404,ESG Pool Ventilation Limited,R2004-REC111,R & M of Build Programmed,14/03/2014,"8,844.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025710,May-45,Eunomia Research & Consulting Limited,R5001-RYC004,TPP - Major External Contractors,28/03/2014,"3,050.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024215,58310a,Eurolink Security Installations Group Limited,R2008-CPK101,R & M of Build - Reactive Repairs,07/03/2014,890.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14023402,INV001028,Facilities Management & Builiding Repairs Limited,C1107-CAH005,Building Works,21/03/2014,"1,400.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024789,INV001036,Facilities Management & Builiding Repairs Limited,C1107-CAH004,Building Works,07/03/2014,"9,271.53"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025022,INV001037,Facilities Management & Builiding Repairs Limited,C1107-CAH004,Building Works,14/03/2014,"9,237.36"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025023,INV001038,Facilities Management & Builiding Repairs Limited,C1107-CAH004,Building Works,07/03/2014,"6,847.31"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14026012,INV001045,Facilities Management & Builiding Repairs Limited,C1107-CAH010,Building Works,31/03/2014,"25,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024800,1237,Fairford Tree Services,R2070-HRA110,Tree Work,07/03/2014,540.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025898,DSI201943,Feedback Data Limited,R4548-ADB101,IT - Cabling and Network,28/03/2014,650.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024778,34937,Ferret Information,R4531-HOS004,IT - Purchase of Software,07/03/2014,513.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025249,32794,Fosters Rooms Limited,R9229-CUL107,Commission on Sales,14/03/2014,"1,208.31"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025593,gp14/004667,G Purchase Construction Limited,C1107-CAH003,Building Works,28/03/2014,"145,849.94"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025592,gp14/005552,G Purchase Construction Limited,C1107-CAH003,Building Works,21/03/2014,"119,966.65"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025594,gp14005485,G Purchase Construction Limited,C1107-CAH003,Building Works,28/03/2014,"65,612.49"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024869,174,Gaskins Treework Specialists,R2070-PLP006,Tree Work,07/03/2014,"5,422.50"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024869,174,Gaskins Treework Specialists,R2070-PLP006,Tree Work,07/03/2014,720.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14026018,180,Gaskins Treework Specialists,R2070-PLP006,Tree Work,31/03/2014,585.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14026021,182,Gaskins Treework Specialists,R2070-HRA110,Tree Work,31/03/2014,945.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024801,SINV-067263,Gelpack Excelsior Limited,R4000-TRW001,Equipment Purchase,07/03/2014,"2,578.50"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025199,67241,Glevum Heating & Plumbing Limited,C1107-CAH032,Building Works,14/03/2014,"66,270.16"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025513,170314,Gloucester City Council,R9100-LTC003,Contributions - County Council,21/03/2014,"6,022.60"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025192,3893,Gloucestershire Association for Voluntary & Community Action (GAVCA),R4401-COM001,Services - Fees and Charges,14/03/2014,"2,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025190,1800304190,Gloucestershire County Council,R6280-PSH001,Grants,21/03/2014,"7,975.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025189,1800304192,Gloucestershire County Council,R6280-PSH001,Grants,21/03/2014,"7,975.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025471,800004831,GLOUCESTERSHIRE COUNTY COUNCIL (LGPS ONLY),R1301-SUP038,Enhanced Pension,21/03/2014,"16,617.12"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025164,Positive Activities (Everyman Theatre),Gloucestershire Everyman Theatre Co Limited,R6280-GBD001,Grants,14/03/2014,880.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14026022,4032,Gloucestershire Rural Community Council,R4400-PLP101,Services - Professional Fees,31/03/2014,"9,800.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025175,7201,Goldingham Contracts Limited,R2075-CCM001,Grounds Maintenance - Contract,14/03/2014,550.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025267,58195,Gooch Group Limited,R2701-HRA110,Window Cleaning,28/03/2014,571.65
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025736,58410,Gooch Group Limited,R2079-REG019,Sanitary and Plumbing,28/03/2014,"1,350.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025020,0173/14,Graham Harper Associates Limited,C1104-CAP204,Decoration,14/03/2014,760.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024879,0177/14,Graham Harper Associates Limited,R2004-CCM001,R & M of Build Programmed,07/03/2014,760.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024880,0178/14,Graham Harper Associates Limited,R2004-FIE040,R & M of Build Programmed,07/03/2014,760.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025010,60866,Granley Blinds Limited,C1107-CAH029,Building Works,14/03/2014,"2,770.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025617,6929286,Grant Thornton UK LLP,R4430-COR001,Audit Fees,28/03/2014,"16,243.50"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025890,6933870,Grant Thornton UK LLP,R4430-COR001,Audit Fees,31/03/2014,"16,302.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025990,1293,Greenway Partnership Limited T/A GPL Building Services,R2062-CPK101,R & M of Build Cyclical Electrical Remedials,28/03/2014,987.85
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025993,1311,Greenway Partnership Limited T/A GPL Building Services,R2062-CCM111,R & M of Build Cyclical Electrical Remedials,28/03/2014,554.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025230,1314,Greenway Partnership Limited T/A GPL Building Services,R2062-ADB101,R & M of Build Cyclical Electrical Remedials,14/03/2014,"2,371.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024190,1472,Greenway Partnership Limited T/A GPL Building Services,R2004-OPS004,R & M of Build Programmed,07/03/2014,788.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025034,1537,Greenway Partnership Limited T/A GPL Building Services,C1104-CAP204,Decoration,14/03/2014,"2,221.68"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025222,1560,Greenway Partnership Limited T/A GPL Building Services,R2062-ADB101,R & M of Build Cyclical Electrical Remedials,14/03/2014,"2,111.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025223,1561,Greenway Partnership Limited T/A GPL Building Services,R2062-ADB101,R & M of Build Cyclical Electrical Remedials,14/03/2014,"1,652.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025224,1562,Greenway Partnership Limited T/A GPL Building Services,R2062-ADB101,R & M of Build Cyclical Electrical Remedials,14/03/2014,920.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025225,1563,Greenway Partnership Limited T/A GPL Building Services,R2062-ADB101,R & M of Build Cyclical Electrical Remedials,14/03/2014,"2,100.00"
