SchoolName,SchoolPhase,Year,TotalPupils,TotalFSM,FSMTaken
Badger Hill Primary,Primary,2017,195,26,
Bishopthorpe Infant School,Primary,2017,174,9999,9999
Burton Green Primary School,Primary,2017,205,37,
Carr Infant School,Primary,2017,298,29,21
Carr Junior School,Primary,2017,276,49,39
Clifton Green Primary School,Primary,2017,423,87,58
Clifton with Rawcliffe Primary School,Primary,2017,658,16,9
Copmanthorpe Primary School,Primary,2017,394,9999,9999
Dringhouses Primary School,Primary,2017,289,18,7
Dunnington CE Primary School,Primary,2017,255,8,7
Elvington CE Primary School,Primary,2017,148,7,7
Fishergate Primary School,Primary,2017,296,18,18
Haxby Road Primary Academy,Primary,2017,237,49,
Headlands Primary School,Primary,2017,299,12,8
Hempland Primary School,Primary,2017,425,9,
Heworth CE Primary School,Primary,2017,143,9,
Hob Moor Community Primary School,Primary,2017,330,58,38
Huntington Primary Academy,Primary,2017,423,16,
Knavesmire Primary School,Primary,2017,474,18,
Lakeside Primary School,Primary,2017,279,24,22
Lord Deramore's VC Primary School,Primary,2017,202,5,5
Naburn CE Primary School,Primary,2017,83,9999,9999
New Earswick Primary School,Primary,2017,189,27,21
Osbaldwick Primary School,Primary,2017,333,45,39
Our Lady Queen of Martyrs Primary School,Primary,2017,447,26,20
Park Grove Primary School,Primary,2017,268,29,18
Poppleton Ousebank Primary School,Primary,2017,502,12,
Poppleton Road Primary School,Primary,2017,386,48,34
Ralph Butterfield Primary School,Primary,2017,322,5,5
Robert Wilkinson Primary Academy,Primary,2017,655,10,
Rufforth Primary School,Primary,2017,96,7,7
Scarcroft Primary School,Primary,2017,339,25,
Skelton Primary School,Primary,2017,75,8,8
St Aelred's RCVA Primary,Primary,2017,225,33,30
St Barnabas CE Primary School,Primary,2017,155,20,20
St George's Primary School,Primary,2017,197,17,12
St Lawrence's Primary School,Primary,2017,213,40,31
St Mary's CE Primary School,Primary,2017,119,9999,9999
St Oswald's Primary School,Primary,2017,313,8,6
St Pauls CE Primary School,Primary,2017,172,9,8
St Wilfrid's Primary School,Primary,2017,262,10,7
Stockton-on-the-Forest Primary School,Primary,2017,93,9999,9999
Tang Hall Primary School,Primary,2017,244,38,29
Westfield Primary Community School,Primary,2017,589,85,74
Wheldrake CE (Aided) School,Primary,2017,225,9999,9999
Wigginton Primary School,Primary,2017,273,9999,9999
Woodthorpe Primary School,Primary,2017,439,54,43
Yearsley Grove Primary School,Primary,2017,394,57,38
Danesgate Community,PRU,2017,201,72,
Hob Moor Oaks,Special School,2017,106,25,15
All Saints RC,Secondary,2017,1346,51,38
Archbishop Holgate's CE,Secondary,2017,1381,108,
Fulford,Secondary,2017,1384,32,33
Huntington,Secondary,2017,1473,62,41
Joseph Rowntree,Secondary,2017,1267,85,68
Manor CE,Secondary,2017,1023,50,
Millthorpe,Secondary,2017,996,71,
Vale of York,Secondary,2017,518,83,61
York High,Secondary,2017,737,82,57
Applefields,Special School,2017,139,38,31
