Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Other Travel - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124330,10.80 ,,,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124330,11.68 ,,,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124330,31.54 ,,,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Other Travel - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124331,7.71 ,,,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124331,27.69 ,,,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124331,93.22 ,,,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124331,757.74 ,,,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",124332,9.43 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",124332,19.31 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",124332,69.63 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",124332,90.00 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",124332,117.49 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10/12/2015,Professional Subscriptions - UKTI (BIS) Devolved Admin,Chief Operating Officer - Strategy & Human Resources,"Personal Expense, Name Witheld",125179,194.00 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/12/2015,Long Term Detached Duty - UKTI (BIS) Devolved Admin,Trade Group - English Regions,"Personal Expense, Name Witheld",125304,493.34 ,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,14/12/2015,Long Term Detached Duty - UKTI (BIS) Devolved Admin,Trade Group - English Regions,"Personal Expense, Name Witheld",125304,740.00 ,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18/12/2015,Rail Travel Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",126379,8.87 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18/12/2015,Other Goods/Services - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",126379,12.84 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18/12/2015,Taxi Services Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",126379,38.43 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18/12/2015,Hotel & Accommodation Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",126379,40.43 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18/12/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",126379,51.20 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18/12/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",126379,61.38 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,22/12/2015,Other Goods/Services - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",126902,35.91 ,,,EMPLOYEE,,,Administration
