Date,Merchant Category,Amount
13/03/12,Training,1419.60
13/03/12,Training,1419.60
13/03/12,Training,1368.90
13/03/12,Travel/Airlines,712.89
13/03/12,Computer Program/Sys Design,558.80
13/03/12,Travel/Airlines,2800.60
13/03/12,Travel/Airlines,1458.20
13/03/12,Travel/Airlines,605.10
13/03/12,Travel/Airlines,1516.02
13/03/12,Travel/Airlines,-1006.70
13/03/12,Hotels,780.20
13/03/12,Air Cond/Refrig Repair Shop,1070.29
13/03/12,Travel/Airlines,3677.19
13/03/12,Travel/Airlines,2720.40
13/03/12,Travel/Airlines,616.82
13/03/12,Diy & Household Stores,1754.24
13/03/12,Travel/Airlines,2365.45
13/03/12,Travel/Airlines,650.40
13/03/12,Travel/Airlines,650.40
13/03/12,Travel/Airlines,2365.45
13/03/12,Travel/Airlines,3098.01
13/03/12,Travel/Airlines,2186.33
13/03/12,Travel/Airlines,661.13
13/03/12,Travel/Airlines,899.33
13/03/12,Travel/Airlines,600.40
13/03/12,Computers/Peripherals/Software,654.00
13/03/12,Computers/Peripherals/Software,1667.09
14/03/12,Travel/Airlines,1766.33
14/03/12,Diy & Household Stores,588.00
14/03/12,Hotels,658.32
14/03/12,Hotels,2081.45
14/03/12,Other Retailers,626.37
14/03/12,Hotels,692.47
14/03/12,Travel/Airlines,523.83
14/03/12,Travel/Airlines,2800.89
14/03/12,Travel/Airlines,1097.01
14/03/12,Travel/Airlines,1986.10
14/03/12,Travel/Airlines,1986.10
14/03/12,Travel/Airlines,632.34
14/03/12,Travel/Airlines,1504.33
14/03/12,Travel/Airlines,1504.33
14/03/12,Travel/Airlines,2310.03
14/03/12,Travel/Airlines,1406.20
14/03/12,Computer Program/Sys Design,736.92
14/03/12,Computer Program/Sys Design,699.96
14/03/12,Hotels,646.87
14/03/12,Hotels,711.28
14/03/12,Travel/Airlines,-1797.02
14/03/12,Travel/Airlines,-1787.02
14/03/12,Hotels,1165.75
14/03/12,Training,1506.61
14/03/12,Travel/Airlines,1440.00
14/03/12,Hotels,1501.50
14/03/12,Travel/Airlines,915.36
14/03/12,Hotels,539.08
14/03/12,Hotels,512.32
15/03/12,Lumber/Build. Supply Stores,599.26
15/03/12,Lumber/Build. Supply Stores,599.26
15/03/12,Travel/Airlines,540.30
15/03/12,Hotels,1245.50
15/03/12,Hotels,1598.48
15/03/12,Hotels,1672.56
15/03/12,Hotels,1353.38
15/03/12,Hotels,1320.00
15/03/12,Travel/Airlines,-1775.92
15/03/12,Travel/Airlines,2569.35
15/03/12,Hotels,1860.86
15/03/12,Computers/Peripherals/Software,1486.80
15/03/12,Telecommunication Services,547.78
15/03/12,Telecommunication Services,4443.44
16/03/12,Computers/Peripherals/Software,1316.10
16/03/12,Hotels,1646.46
16/03/12,Travel/Airlines,3616.83
16/03/12,Travel/Airlines,615.80
16/03/12,Travel/Airlines,3352.69
16/03/12,Hotels,547.56
16/03/12,Hotels,2114.24
16/03/12,Hotels,2098.67
16/03/12,Hotels,752.30
16/03/12,Travel/Airlines,508.86
16/03/12,Travel/Airlines,633.99
16/03/12,Travel/Airlines,517.51
16/03/12,Travel/Airlines,3939.69
16/03/12,Travel/Airlines,2388.90
16/03/12,Computer Program/Sys Design,918.43
16/03/12,Travel/Airlines,-1714.12
16/03/12,Travel/Airlines,-1083.00
16/03/12,Travel/Airlines,2886.91
16/03/12,Computers/Peripherals/Software,548.87
16/03/12,Travel/Airlines,1136.30
16/03/12,Travel/Airlines,694.00
16/03/12,Travel/Airlines,1012.84
16/03/12,Travel/Airlines,-580.30
16/03/12,Travel/Airlines,-580.30
16/03/12,Travel/Airlines,-1777.00
19/03/12,Hotels,5020.37
19/03/12,Hotels,5579.32
19/03/12,Hotels,6000.30
19/03/12,Hotels,5106.50
19/03/12,Hotels,557.57
19/03/12,Hotels,558.28
19/03/12,Hotels,698.23
19/03/12,Hotels,729.34
19/03/12,Travel/Airlines,5957.00
19/03/12,Travel/Airlines,540.30
19/03/12,Lumber/Build. Supply Stores,789.60
19/03/12,Computers/Peripherals/Software,984.31
19/03/12,Computers/Peripherals/Software,1350.00
19/03/12,Hotels,682.50
19/03/12,Hotels,682.50
19/03/12,Hotels,682.50
19/03/12,Travel/Airlines,2369.72
19/03/12,Travel/Airlines,2310.23
19/03/12,Travel/Airlines,1817.42
19/03/12,Hotels,1889.27
19/03/12,Travel/Airlines,529.08
19/03/12,Hotels,2492.99
19/03/12,Hotels,807.34
19/03/12,Subsistence,645.23
19/03/12,Subsistence,632.60
19/03/12,Travel/Airlines,608.38
19/03/12,Travel/Airlines,608.38
19/03/12,Travel/Airlines,608.38
19/03/12,Travel/Airlines,647.79
19/03/12,Travel/Airlines,532.00
19/03/12,Travel/Airlines,4060.33
19/03/12,Travel/Airlines,2456.38
19/03/12,Travel/Airlines,2284.40
19/03/12,Travel/Airlines,647.79
19/03/12,Travel/Airlines,544.03
19/03/12,Hotels,688.36
19/03/12,Computers/Peripherals/Software,823.13
19/03/12,Telecommunication Services,828.69
19/03/12,Telecommunication Services,1494.53
19/03/12,Telecommunication Services,1682.57
19/03/12,Telecommunication Services,530.90
19/03/12,Telecommunication Services,566.63
19/03/12,Travel/Airlines,1470.93
19/03/12,Travel/Airlines,1125.92
20/03/12,Hotels,831.50
20/03/12,Furniture/Equip Stores,1143.61
20/03/12,Travel/Airlines,719.13
20/03/12,Travel/Airlines,719.13
20/03/12,Travel/Airlines,-717.13
21/03/12,Travel/Airlines,-1384.33
21/03/12,Hotels,1984.28
21/03/12,Hotels,1288.17
21/03/12,Training,528.00
21/03/12,Computers/Peripherals/Software,1358.53
21/03/12,Electrical Parts/Equipment,1142.40
21/03/12,Travel/Airlines,1425.61
21/03/12,Travel/Airlines,1427.33
21/03/12,Travel/Airlines,-1486.82
21/03/12,Travel/Airlines,-575.90
21/03/12,Travel/Airlines,2514.64
21/03/12,Other Retailers,899.85
21/03/12,Other Retailers,906.84
21/03/12,Travel/Airlines,641.90
21/03/12,Travel/Airlines,720.50
21/03/12,Travel/Airlines,2604.83
21/03/12,Travel/Airlines,532.00
21/03/12,Travel/Airlines,695.15
21/03/12,Air Cond/Refrig Repair Shop,792.40
21/03/12,Hotels,755.53
21/03/12,Travel/Airlines,3421.83
21/03/12,Travel/Airlines,-1725.13
21/03/12,Travel/Airlines,2542.33
22/03/12,Travel/Airlines,812.69
22/03/12,Travel/Airlines,812.69
22/03/12,Travel/Airlines,733.65
22/03/12,Travel/Airlines,973.02
22/03/12,Travel/Airlines,677.40
22/03/12,Travel/Airlines,1454.93
22/03/12,Travel/Airlines,1447.93
22/03/12,Travel/Airlines,1454.93
22/03/12,Travel/Airlines,4410.33
22/03/12,Travel/Airlines,550.80
22/03/12,Travel/Airlines,2851.80
22/03/12,Travel/Airlines,2851.80
22/03/12,Travel/Airlines,533.10
22/03/12,Travel/Airlines,3119.95
22/03/12,Travel/Airlines,3119.95
22/03/12,Travel/Airlines,530.80
22/03/12,Travel/Airlines,1458.13
22/03/12,Travel/Airlines,1470.85
22/03/12,Travel/Airlines,2833.83
22/03/12,Travel/Airlines,1447.93
22/03/12,Travel/Airlines,1447.93
22/03/12,Travel/Airlines,4276.60
22/03/12,Travel/Airlines,3756.02
22/03/12,Travel/Airlines,3756.02
22/03/12,Stationery Stores,652.61
22/03/12,Stationery Stores,609.50
22/03/12,Business Services - Default,661.96
22/03/12,Travel/Airlines,607.40
22/03/12,Travel/Airlines,1516.02
22/03/12,Hotels,1006.02
22/03/12,Other Retailers,564.94
22/03/12,Electrical Parts/Equipment,656.10
22/03/12,Electrical Parts/Equipment,562.26
22/03/12,Computers/Peripherals/Software,1275.00
22/03/12,Travel/Airlines,831.77
22/03/12,Hotels,2636.74
22/03/12,Hotels,2656.80
22/03/12,Hotels,2355.43
22/03/12,Hotels,2422.28
23/03/12,Electrical Parts/Equipment,3158.70
23/03/12,Computers/Peripherals/Software,609.22
23/03/12,Lumber/Build. Supply Stores,1072.29
23/03/12,Hotels,758.75
23/03/12,Hotels,758.00
23/03/12,Hardware Equipment/Supplies,588.00
23/03/12,Hotels,640.50
23/03/12,Training,1419.60
23/03/12,Travel/Airlines,2554.83
23/03/12,Travel/Airlines,633.63
23/03/12,Travel/Airlines,633.63
23/03/12,Travel/Airlines,633.63
23/03/12,Travel/Airlines,1540.88
23/03/12,Travel/Airlines,501.20
23/03/12,Travel/Airlines,944.43
23/03/12,Travel/Airlines,944.43
23/03/12,Travel/Airlines,1447.82
23/03/12,Other Retailers,1121.25
23/03/12,Hotels,1267.20
23/03/12,Hotels,1740.85
23/03/12,Hotels,1474.78
23/03/12,Hotels,1744.14
23/03/12,Hotels,1748.36
26/03/12,Hotels,863.97
26/03/12,Hotels,1388.77
26/03/12,Hotels,712.00
26/03/12,Hotels,672.40
26/03/12,Subsistence,651.47
26/03/12,Subsistence,582.95
26/03/12,Hotels,715.74
26/03/12,Travel/Airlines,1621.19
26/03/12,Travel/Airlines,3965.73
26/03/12,Travel/Airlines,645.18
26/03/12,Travel/Airlines,601.83
26/03/12,Travel/Airlines,2542.33
26/03/12,Travel/Airlines,-2759.66
26/03/12,Travel/Airlines,-2235.10
26/03/12,Air Cond/Refrig Repair Shop,506.40
26/03/12,Hardware Stores,726.26
26/03/12,Electrical Parts/Equipment,864.00
26/03/12,Travel/Airlines,2840.89
26/03/12,Travel/Airlines,905.60
26/03/12,Travel/Airlines,-560.39
26/03/12,Hotels,1663.35
26/03/12,Hotels,1386.88
26/03/12,Hotels,843.58
26/03/12,Travel/Airlines,-1534.80
26/03/12,Hotels,534.33
27/03/12,Travel/Airlines,630.00
27/03/12,Travel/Airlines,-3311.01
27/03/12,Travel/Airlines,1350.00
27/03/12,Hotels,888.20
27/03/12,Lumber/Build. Supply Stores,675.60
27/03/12,Travel/Airlines,3553.00
27/03/12,Computer Program/Sys Design,1277.78
27/03/12,Electrical Parts/Equipment,566.45
27/03/12,Computers/Peripherals/Software,1489.20
27/03/12,Hotels,922.31
27/03/12,Other Retailers,1206.79
27/03/12,Hotels,1639.37
27/03/12,Hotels,1382.60
27/03/12,Car Hire,508.20
27/03/12,Hotels,899.39
27/03/12,Hotels,3096.50
27/03/12,Hotels,3530.60
27/03/12,Hotels,631.03
27/03/12,Hotels,1625.33
27/03/12,Hotels,1641.93
27/03/12,Hotels,4128.39
28/03/12,Hotels,582.86
28/03/12,Computers/Peripherals/Software,1232.66
28/03/12,Travel/Airlines,1318.33
28/03/12,Travel/Airlines,1447.83
28/03/12,Travel/Airlines,601.05
28/03/12,Travel/Airlines,1461.69
28/03/12,Travel/Airlines,1417.13
28/03/12,Travel/Airlines,1417.03
28/03/12,Travel/Airlines,1417.13
28/03/12,Travel/Airlines,1417.13
28/03/12,Travel/Airlines,1608.48
28/03/12,Travel/Airlines,2146.29
28/03/12,Travel/Airlines,2937.79
28/03/12,Travel/Airlines,2146.29
28/03/12,Travel/Airlines,2937.79
28/03/12,Travel/Airlines,2825.03
28/03/12,Travel/Airlines,2825.03
28/03/12,Travel/Airlines,3559.50
28/03/12,Travel/Airlines,-1413.73
28/03/12,Travel/Airlines,-1360.63
28/03/12,Electrical Parts/Equipment,574.50
28/03/12,Training,1497.00
28/03/12,Training,1497.00
28/03/12,Training,1404.00
28/03/12,Training,1404.00
28/03/12,Training,842.40
28/03/12,Hotels,565.72
28/03/12,Hotels,-1644.74
28/03/12,Hotels,-1371.36
28/03/12,Other Retailers,3304.97
28/03/12,Travel/Airlines,667.90
28/03/12,Travel/Airlines,1202.37
29/03/12,Travel/Airlines,2430.00
29/03/12,Computers/Peripherals/Software,1345.97
29/03/12,Subsistence,583.77
29/03/12,Subsistence,519.62
29/03/12,Subsistence,519.62
29/03/12,Lumber/Build. Supply Stores,1301.52
29/03/12,Hotels,1316.69
29/03/12,Hotels,970.01
29/03/12,Computer Program/Sys Design,1191.69
29/03/12,Electrical Parts/Equipment,884.10
29/03/12,Travel/Airlines,13860.00
29/03/12,Travel/Airlines,734.29
29/03/12,Travel/Airlines,1959.73
29/03/12,Travel/Airlines,734.90
29/03/12,Travel/Airlines,1401.83
29/03/12,Travel/Airlines,804.02
29/03/12,Travel/Airlines,804.02
29/03/12,Travel/Airlines,580.90
29/03/12,Travel/Airlines,1969.41
29/03/12,Travel/Airlines,1414.73
29/03/12,Travel/Airlines,1635.49
29/03/12,Travel/Airlines,-1413.73
29/03/12,Travel/Airlines,-1057.33
29/03/12,Travel/Airlines,-1057.33
29/03/12,Travel/Airlines,-1057.33
29/03/12,Travel/Airlines,1284.20
29/03/12,Travel/Airlines,5128.69
29/03/12,Travel/Airlines,2660.69
29/03/12,Travel/Airlines,-2579.46
29/03/12,Travel/Airlines,-1182.60
29/03/12,Gov'T Serv - Default,1445.25
29/03/12,Gov'T Serv - Default,1124.40
29/03/12,Computers/Peripherals/Software,924.00
29/03/12,Hotels,1526.90
29/03/12,Hotels,695.40
29/03/12,Air Cond/Refrig Repair Shop,1021.20
29/03/12,Hotels,1285.40
30/03/12,Hotels,640.25
30/03/12,Computer Program/Sys Design,2607.60
30/03/12,Business Services - Default,658.80
30/03/12,Travel/Airlines,4025.29
30/03/12,Travel/Airlines,1385.53
30/03/12,Travel/Airlines,734.90
30/03/12,Travel/Airlines,734.90
30/03/12,Travel/Airlines,734.90
30/03/12,Travel/Airlines,567.90
30/03/12,Travel/Airlines,734.90
30/03/12,Travel/Airlines,689.53
30/03/12,Travel/Airlines,689.53
30/03/12,Travel/Airlines,1621.19
30/03/12,Travel/Airlines,1621.19
30/03/12,Travel/Airlines,1554.69
30/03/12,Travel/Airlines,1554.69
30/03/12,Travel/Airlines,567.90
30/03/12,Travel/Airlines,-3130.32
30/03/12,Electrical Parts/Equipment,1017.60
30/03/12,Hotels,598.84
30/03/12,Hotels,1970.08
30/03/12,Travel/Airlines,4722.49
30/03/12,Travel/Airlines,4722.49
30/03/12,Travel/Airlines,1254.70
30/03/12,Travel/Airlines,1254.70
30/03/12,Travel/Airlines,4722.49
30/03/12,Travel/Airlines,1254.70
30/03/12,Travel/Airlines,883.43
30/03/12,Travel/Airlines,1455.79
30/03/12,Travel/Airlines,1455.79
30/03/12,Travel/Airlines,1465.79
30/03/12,Travel/Airlines,2447.99
