Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Democratic Services,1323,Postages,05/09/2013,0000179477,1144.98,Revenue,Royal Mail,00821
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,05/09/2013,0000179496,2000.00,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,05/09/2013,0000179502,803.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,05/09/2013,0000179504,797.50,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Legal,1208,Security Alarm,05/09/2013,0000179508,509.72,Revenue,Sitexorbis Limited,06771
Rushmoor Borough Council,Community,2537,Security Services,05/09/2013,0000179509,3494.92,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Customer Services,3811,Contract Staff,05/09/2013,0000179514,1040.00,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Community,2551,EPA Emissions Monitor,05/09/2013,0000179518,4372.00,Revenue,Environmental Uk,03537
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,05/09/2013,0000179519,2550.00,Revenue,Office For Public Management,03192
Rushmoor Borough Council,Legal,1202,Counsels Fees,05/09/2013,0000179520,10000.00,Revenue,K&L Gates Llp,10007
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,12/09/2013,0000179524,-2200.00,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Information Technology,3300,External Support For Systems,12/09/2013,0000179525,-1100.00,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Customer Services,3808,Software,12/09/2013,0000179525,-1100.00,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Information Technology,3302,Application Software,05/09/2013,0000179526,2000.00,Revenue,Idox Software Ltd,00661
Rushmoor Borough Council,Customer Services,3805,Software Maintenance,05/09/2013,0000179527,900.00,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,05/09/2013,0000179528,5150.00,Revenue,Ciber Uk Ltd,09922
Rushmoor Borough Council,Community,6589,Contract Costs,05/09/2013,0000179530,9987.00,Capital,Jenkins & Falvey,03370
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,05/09/2013,0000179532,1112.00,Revenue,Truglaze,12772
Rushmoor Borough Council,Community,6589,Contract Costs,05/09/2013,0000179533,2950.00,Capital,Crowthorne Heating Co Ltd,10551
Rushmoor Borough Council,Democratic Services,1302,Computer Equipment and Software,12/09/2013,0000179536,9487.63,Revenue,Xpress Software Solutions,10341
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,05/09/2013,0000179543,868.25,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,05/09/2013,0000179544,825.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,05/09/2013,0000179545,1875.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,05/09/2013,0000179546,925.75,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,05/09/2013,0000179547,856.75,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,05/09/2013,0000179548,825.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3302,Application Software,12/09/2013,0000179551,567.60,Revenue,Bottomline Technologies,05191
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,19/09/2013,0000179554,625.00,Revenue,Stage Electrics,07262
Rushmoor Borough Council,Community,2510,Temporary Staff,05/09/2013,0000179555,627.44,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,2534,Grant to Dial a Ride,05/09/2013,0000179559,23077.72,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Legal,1206,Shutters Service,05/09/2013,0000179572,1190.00,Revenue,Gilgen Door Systems,00445
Rushmoor Borough Council,Legal,1208,Building Maintenance,05/09/2013,0000179576,1350.00,Revenue,Key Floors Ltd,03391
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,05/09/2013,0000179579,2102.00,Revenue,Acme Technical Services Limited,03569
Rushmoor Borough Council,Community,2518,Payment to Artistes,12/09/2013,0000179583,7500.00,Revenue,Sally Morgan Enterprises  Ltd,11510
Rushmoor Borough Council,Community,2523,Basingstoke Canal Management,05/09/2013,0000179586,42246.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2523,Basingstoke Canal Management,19/09/2013,0000179587,-846.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2517,Tree Survey Works,05/09/2013,0000179591,1520.00,Revenue,Sapling Arboriculture Limited,09448
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,12/09/2013,0000179606,883.50,Revenue,Lomart Ltd,12779
Rushmoor Borough Council,Community,2518,Publicity and Advertising,12/09/2013,0000179615,4536.00,Revenue,Lithoxpress Limited,09331
Rushmoor Borough Council,Democratic Services,1322,Canteen Subsidy,12/09/2013,0000179618,1757.12,Revenue,Edwards And Ward Ltd,12710
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,12/09/2013,0000179621,1881.07,Revenue,Dim Drainage Services,08437
Rushmoor Borough Council,Democratic Services,1322,Electricity,12/09/2013,0000179624,5378.96,Revenue,Edf Energy,09831
Rushmoor Borough Council,Community,2537,Lighting Repairs,12/09/2013,0000179628,567.80,Revenue,City Electrical Factors (Aldershot),00236
Rushmoor Borough Council,Community,2547,Community Safety Equipment,12/09/2013,0000179630,2564.38,Revenue,Solon Security,10030
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,19/09/2013,0000179636,724.25,Revenue,Bowenhurst Kennels,00167
Rushmoor Borough Council,Community,2502,Fencing and Repairs,12/09/2013,0000179637,1725.00,Revenue,Girling Pipeworks,05392
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Rebates,12/09/2013,0000179641,6100.42,Revenue,D C Leisure Management Ltd,04797
Rushmoor Borough Council,Community,2537,Electricity,12/09/2013,0000179647,1277.34,Revenue,Edf Energy,09831
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,12/09/2013,0000179652,671.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Democratic Services,1321,Go Green in Rushmoor,12/09/2013,0000179654,1080.00,Revenue,Hughmark Continental Ltd,11238
Rushmoor Borough Council,Strategy and Communiations,1411,Council Magazine,19/09/2013,0000179671,2971.03,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,12/09/2013,0000179674,1180.00,Revenue,Fearless Ramps Ltd,03066
Rushmoor Borough Council,Community,6564,Contract Costs,12/09/2013,0000179675,3445.00,Capital,Greenlight Contracting,12682
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,12/09/2013,0000179677,1554.00,Revenue,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Web Developments,12/09/2013,0000179677,1554.00,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement,12/09/2013,0000179677,2797.20,Holding Accounts,Uk Transform Ltd,11773
Rushmoor Borough Council,Community,2518,Licenses/Performing Rights,19/09/2013,0000179679,2587.16,Revenue,The Performing Right Society Ltd,01021
Rushmoor Borough Council,Community,6583,Contract Costs,26/09/2013,0000179681,888.66,Capital,Sound Services,00905
Rushmoor Borough Council,Community,2553,Doman Road Lease,19/09/2013,0000179688,51125.54,Revenue,Surrey Heath Borough Council,06779
Rushmoor Borough Council,Customer Services,3804,Software Maintenance,19/09/2013,0000179689,5519.12,Revenue,Gandlake Technology Limited,08721
Rushmoor Borough Council,Customer Services,3805,Software Maintenance,19/09/2013,0000179689,5519.12,Revenue,Gandlake Technology Limited,08721
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,19/09/2013,0000179689,5519.12,Revenue,Gandlake Technology Limited,08721
Rushmoor Borough Council,Customer Services,3804,Software Maintenance,12/09/2013,0000179690,2332.64,Revenue,Gandlake Technology Limited,08721
Rushmoor Borough Council,Customer Services,3805,Software Maintenance,12/09/2013,0000179690,2332.64,Revenue,Gandlake Technology Limited,08721
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,12/09/2013,0000179690,2332.64,Revenue,Gandlake Technology Limited,08721
Rushmoor Borough Council,Democratic Services,1323,Postages,12/09/2013,0000179691,1900.00,Revenue,Neopost Limited,11588
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,26/09/2013,0000179694,2970.01,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,12/09/2013,0000179695,2850.00,Revenue,Office For Public Management,03192
Rushmoor Borough Council,Community,2518,Publicity and Advertising,12/09/2013,0000179702,1400.00,Revenue,Red Rooster Graphic Design Company Ltd,03372
Rushmoor Borough Council,Personnel & Payroll,3601,Long Service Award,12/09/2013,0000179709,801.25,Revenue,Edenred (Incentives & Movtivation) Ltd,11174
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,12/09/2013,0000179722,803.00,Revenue,Canon Fire Protection,09577
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,12/09/2013,0000179723,1500.00,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Director of Community and Environment Services,6100,Contract Costs,12/09/2013,0000179727,3700.00,Capital,Pop Up Power Ltd,12527
Rushmoor Borough Council,Planning,2609,Local Plans/Publications,12/09/2013,0000179728,3260.00,Revenue,Hepworth Accoustics,10235
Rushmoor Borough Council,Planning,2610,Public Relations,19/09/2013,0000179730,2815.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Democratic Services,1323,Postages,19/09/2013,0000179732,1182.02,Revenue,Royal Mail,00821
Rushmoor Borough Council,Information Technology,7500,Cash Receipting,12/09/2013,0000179735,1045.00,Capital,Capita Business Services Ltd,00208
Rushmoor Borough Council,Environmental Health and Housing,2402,Temporary Staff,19/09/2013,0000179736,1728.00,Revenue,Building Recruitment Company Ltd,11392
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,19/09/2013,0000179738,600.00,Revenue,Winchester City Council,01106
Rushmoor Borough Council,Community,2518,Databox Maintenance,19/09/2013,0000179741,1980.67,Revenue,Tickets.Com Ltd,02446
Rushmoor Borough Council,Community,2517,Electricity,12/09/2013,0000179744,917.93,Revenue,British Gas Business,00194
Rushmoor Borough Council,Information Technology,3302,Application Software,12/09/2013,0000179750,1500.00,Revenue,Capita Business Services Ltd,00208
Rushmoor Borough Council,Community,2551,Electricity,12/09/2013,0000179770,793.31,Revenue,British Gas Business,00194
Rushmoor Borough Council,Community,2508,Megarider Tickets Youth Persons,19/09/2013,0000179774,4995.00,Revenue,Stagecoach Services Limited,11264
Rushmoor Borough Council,Community,2555,General Repairs and Maintenance,19/09/2013,0000179781,529.99,Revenue,Interpublic Urban Systems Uk Ltd,03766
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,12/09/2013,0000179784,1120.50,Revenue,Iqms,12578
Rushmoor Borough Council,Community,2547,Promotions,19/09/2013,0000179787,1000.00,Revenue,Yateley Town Council,12786
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,19/09/2013,0000179791,2424.50,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2518,Publicity and Advertising,19/09/2013,0000179797,727.00,Revenue,Tower Press Ltd,11930
Rushmoor Borough Council,Strategy and Communiations,1411,Council Magazine,19/09/2013,0000179798,5784.00,Revenue,Deep South Media Ltd,08065
Rushmoor Borough Council,Community,2506,General Repairs and Maintenance,19/09/2013,0000179805,836.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2555,General Repairs and Maintenance,19/09/2013,0000179806,660.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Democratic Services,1321,Go Green in Rushmoor,19/09/2013,0000179811,762.50,Revenue,Wb Events Management Ltd,12669
Rushmoor Borough Council,Democratic Services,1325,Paper,19/09/2013,0000179813,655.90,Revenue,Antalis Ltd,00037
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,19/09/2013,0000179815,2125.00,Revenue,Chetwood Lawton & Morrison,09961
Rushmoor Borough Council,Community,2536,Elders Lunch Club,26/09/2013,0000179819,2667.60,Revenue,Myers Catering & Consultancy Limited,06313
Rushmoor Borough Council,Community,2510,Temporary Staff,26/09/2013,0000179824,623.14,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,19/09/2013,0000179832,1500.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,19/09/2013,0000179833,1875.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,19/09/2013,0000179834,858.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Planning,2608,Consultancy,19/09/2013,0000179836,580.00,Revenue,Monson Engineering Limited,09051
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,19/09/2013,0000179840,998.97,Revenue,Konica Minolta Business Solutions(Uk)Ltd,09612
Rushmoor Borough Council,Community,6564,Contract Costs,19/09/2013,0000179844,2400.00,Capital,Floorcraft (Farnborough) Ltd,12768
Rushmoor Borough Council,Democratic Services,1322,Trade Refuse,19/09/2013,0000179846,655.10,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2526,General Repairs and Maintenance,19/09/2013,0000179856,680.00,Revenue,Crowthorne Heating Co Ltd,10551
Rushmoor Borough Council,Community,2517,Playground Apparatus,19/09/2013,0000179858,1248.00,Revenue,Smp (Playgrounds) Ltd,04499
Rushmoor Borough Council,Information Technology,3304,Telephone Charges,26/09/2013,0000179863,869.43,Revenue,Vodafone Ltd,08758
Rushmoor Borough Council,Information Technology,7500,Cash Receipting,19/09/2013,0000179894,2700.00,Capital,Capita Business Services Ltd,00208
Rushmoor Borough Council,Holding Accounts,9404,Service Improvement Fund,19/09/2013,0000179896,2716.20,Holding Accounts,Uk Transform Ltd,11773
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,19/09/2013,0000179899,4813.79,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Community,2517,Tree Maintenance,19/09/2013,0000179902,2160.00,Revenue,Alderwood Tree Services,01218
Rushmoor Borough Council,Personnel & Payroll,3601,Occupational Health,26/09/2013,0000179905,622.10,Revenue,Corporate Medical Services,10281
Rushmoor Borough Council,Community,6531,Contract Costs,19/09/2013,0000179908,9500.00,Capital,Country Care (Southern) Ltd,09091
Rushmoor Borough Council,Environmental Health and Housing,2402,Temporary Staff,19/09/2013,0000179910,888.00,Revenue,Building Recruitment Company Ltd,11392
Rushmoor Borough Council,Community,2556,Payment to Contractor,19/09/2013,0000179913,732.75,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Control Accounts,9330,Big Lottery Grant Expenditure,26/09/2013,0000179917,1357.00,Control Accounts,Innovation With Substance,11529
Rushmoor Borough Council,Legal,1200,Legal Costs (Litigation),19/09/2013,0000179941,1007.28,Revenue,Local Government Association,00573
Rushmoor Borough Council,Democratic Services,1325,Paper,19/09/2013,0000179942,589.50,Revenue,Antalis Ltd,00037
Rushmoor Borough Council,Community,2505,General Repairs and Maintenance,19/09/2013,0000179945,926.86,Revenue,Sse Contracting,02830
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,19/09/2013,0000179947,776.18,Revenue,Sse Contracting,02830
Rushmoor Borough Council,Control Accounts,9330,Big Lottery Grant Expenditure,26/09/2013,0000179948,662.50,Control Accounts,Innovation With Substance,11529
Rushmoor Borough Council,Community,6583,Contract Costs,26/09/2013,0000179949,1680.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,26/09/2013,0000179950,1460.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,26/09/2013,0000179952,800.00,Revenue,Crowthorne Heating Co Ltd,10551
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,26/09/2013,0000179952,3414.00,Revenue,Crowthorne Heating Co Ltd,10551
Rushmoor Borough Council,Community,6583,Contract Costs,26/09/2013,0000179956,9032.00,Capital,Key Floors Ltd,03391
Rushmoor Borough Council,Community,2518,Snap Discos,19/09/2013,0000179968,807.00,Revenue,Tango Security Ltd,01412
Rushmoor Borough Council,Control Accounts,9300,Festival Projects,26/09/2013,0000180006,800.00,Control Accounts,Yaketyak Productions Limited,09501
Rushmoor Borough Council,Control Accounts,9300,Festival Projects,26/09/2013,0000180007,1000.00,Control Accounts,Kidsrome,12325
Rushmoor Borough Council,Control Accounts,9300,Festival Projects,26/09/2013,0000180008,640.00,Control Accounts,Site Equip Ltd,00886
Rushmoor Borough Council,Control Accounts,9300,Festival Projects,26/09/2013,0000180009,2963.10,Control Accounts,All Events Marquees,10375
Rushmoor Borough Council,Community,2517,Tree Survey Works,26/09/2013,0000180014,760.00,Revenue,Sapling Arboriculture Limited,09448
Rushmoor Borough Council,Community,6559,Contract Costs,26/09/2013,0000180015,1000.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,6559,Contract Costs,26/09/2013,0000180016,3530.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,6531,Contract Costs,26/09/2013,0000180017,1800.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2540,Remedial Highways,26/09/2013,0000180018,1000.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,26/09/2013,0000180019,841.50,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,26/09/2013,0000180020,1875.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Democratic Services,1323,Postages,26/09/2013,0000180043,5143.66,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2547,Promotions,26/09/2013,0000180050,750.00,Revenue,Hampshire Probation Trust,12327
Rushmoor Borough Council,Environmental Health and Housing,2401,Intouch Support,26/09/2013,0000180053,1929.25,Revenue,Asterliving,12809
Rushmoor Borough Council,Community,2510,Temporary Staff,26/09/2013,0000180054,644.63,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Customer Services,3811,Contract Staff,26/09/2013,0000180057,611.00,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Legal,1202,Lexcel Annual Maintenance Review,26/09/2013,0000180073,550.00,Revenue,Recognising Excellence Ltd,12807
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,26/09/2013,0000180086,2550.63,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Democratic Services,1322,Routine Grounds Maintenance,26/09/2013,0000180086,1149.15,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,26/09/2013,0000180086,665.16,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Base,26/09/2013,0000180086,24500.70,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Variations,26/09/2013,0000180086,1445.53,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,26/09/2013,0000180086,14826.66,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance,26/09/2013,0000180086,656.71,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,26/09/2013,0000180086,9083.37,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Prospect Estate Base,26/09/2013,0000180086,2464.84,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,26/09/2013,0000180086,31961.41,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance,26/09/2013,0000180086,2279.35,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,Routine Grounds Maintenance,26/09/2013,0000180087,745.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2506,General Repairs and Maintenance,26/09/2013,0000180089,900.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,26/09/2013,0000180108,661.50,Revenue,Ricoh,00676
Rushmoor Borough Council,Information Technology,3302,Application Software,26/09/2013,0000180110,960.78,Revenue,Capita Ib Solutions,00031
Rushmoor Borough Council,Legal,1208,Security Alarm,26/09/2013,0000180111,509.72,Revenue,Sitexorbis Limited,06771
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,26/09/2013,0000180116,1500.00,Revenue,Hays,02287
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,26/09/2013,0000180124,868.25,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,26/09/2013,0000180126,891.25,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Customer Services,3814,Security Services,26/09/2013,0000180138,603.54,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,26/09/2013,0000180147,988.77,Revenue,Ricoh,00676
Rushmoor Borough Council,Control Accounts,9300,Festival Projects,26/09/2013,0000180154,760.00,Control Accounts,Fence Hire (Southern) Ltd,02987
Rushmoor Borough Council,Control Accounts,9351,Community Cohesion,05/09/2013,0080003581,2539.00,Control Accounts,Mayfield Community Partnership,09229
Rushmoor Borough Council,Community,2551,Medical Reference Fees,05/09/2013,0080003586,2052.00,Revenue,Dr R W Ainsworth,01521
Rushmoor Borough Council,Community,2551,Ministers Fees,05/09/2013,0080003587,648.00,Revenue,Rev K Hodges,00803
Rushmoor Borough Council,Community,2551,Organists Fees,05/09/2013,0080003588,572.00,Revenue,Mr T Sturt,05535
Rushmoor Borough Council,Community,2551,Organists Fees,05/09/2013,0080003590,1870.00,Revenue,S & J Lacey Ltd,01519
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,05/09/2013,0080003592,560.00,Revenue,June Abbett,12721
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,05/09/2013,0080003594,975.00,Revenue,Bluehouse Estate Agents,12471
