Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Department for Transport,03/06/2013,Maintenance Other,Motoring Services,ARVAL PHH,2000004810,1283.45,#,SN5 6PE
Department for Transport,Department for Transport,03/06/2013,Maintenance Other,Motoring Services,ARVAL PHH,2000004810,1078.45,#,SN5 6PE
Department for Transport,Department for Transport,03/06/2013,Maintenance Other,Motoring Services,ARVAL PHH,2000004810,6774.88,#,SN5 6PE
Department for Transport,Department for Transport,03/06/2013,Research,Transport Security Strategy,HOME OFFICE SHARED SERVICE CENTRE,2000004846,21500,#,NP20 9BB
Department for Transport,Department for Transport,03/06/2013,Telephone charges,Business Transformation,BT PAYMENT SERVICES LTD,2000004836,4654.47,BT - TEL CHARGES - VP48680270Q04201,DH98 1BT
Department for Transport,Department for Transport,03/06/2013,Telephone charges,Business Transformation,BT PAYMENT SERVICES LTD,2000004836,2561.12,BT - TELEPHONE CHARGES -15.05.12-05.03.2013,DH98 1BT
Department for Transport,Department for Transport,03/06/2013,Telephone charges,Business Transformation,VERIZON BUSINESS,2000004835,7846.84,VERIZON - INTERNET CHARGES,RG2 6DA
Department for Transport,Department for Transport,03/06/2013,Telephone Line Rent,Business Transformation,BT PAYMENT SERVICES LTD,2000004836,4772.6,BT - RENTAL - MAY 2013,DH98 1BT
Department for Transport,Department for Transport,03/06/2013,Telephone Line Rent,Business Transformation,BT PAYMENT SERVICES LTD,2000004836,1181.44,BT - RENTAL - MAY 2013,DH98 1BT
Department for Transport,Department for Transport,03/06/2013,Travel Expenses UK,Rail,ARRIVA UK TRAINS LTD,2000004842,1880,#,CF10 5DJ
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Rail and Road Projects,EXPERIS LTD,2000004937,22175.96,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Rail Commercial Contracts,EXPERIS LTD,2000004937,9056.84,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Rail Commercial Contracts,EXPERIS LTD,2000004937,5464.14,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000004944,1469.84,#,SL1 3SA
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Local,EXPERIS LTD,2000004937,4470.6,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Local,EXPERIS LTD,2000004937,4023.54,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Roads,EXPERIS LTD,2000004937,8437.28,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Roads,EXPERIS LTD,2000004937,9374.76,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Roads,EXPERIS LTD,2000004937,8437.28,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Roads,EXPERIS LTD,2000004937,17812.04,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000004933,3822.05,#,BN11 2BW
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000004933,4368.05,#,BN11 2BW
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000004933,5460.06,#,BN11 2BW
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000004945,4181.4,#,DL1 9HN
Department for Transport,Department for Transport,04/06/2013,Agency Staff Costs,Group Finance,EXPERIS LTD,2000004937,7834.64,#,EC1R 3DR
Department for Transport,Department for Transport,04/06/2013,CurrGrt Las in AEF/A,Rail and Road Projects,SOUTH YORKSHIRE PTE,2000004932,4750570.64,South Yorkshire PTE 15% Tram Costs,S1 2BQ
Department for Transport,Department for Transport,04/06/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF CAISSE GENERALE,2000004899,5683285.41,SNCF CAISSE GENERALE,75008
Department for Transport,Department for Transport,04/06/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF TRESORERIE ENC RHT VFE,2000004900,6210736.41,SNCF FUNDS FOR MAY 2013,75014
Department for Transport,Department for Transport,04/06/2013,Investigation Servic,Greener Transport & International,CHAMBER OF SHIPPING LTD,2000004936,19587.99,#,EC1M 6EZ
Department for Transport,Department for Transport,04/06/2013,IT Consultancy,Rail Commercial Contracts,ATOS IT SERVICES UK LTD,2000004934,14071.36,#,WV10 6UH
Department for Transport,Department for Transport,04/06/2013,IT Ser Running Costs,Business Transformation,COMPUTACENTER,2000004942,10299.96,#,AL10 9TW
Department for Transport,Department for Transport,04/06/2013,Recruitment Fees,Maritime,ROCKPOOLS PEOPLE & PERFORMANCE LTD,2000004940,7200,#,CV1 2TT
Department for Transport,Department for Transport,04/06/2013,Recruitment Fees,Maritime,ROCKPOOLS PEOPLE & PERFORMANCE LTD,2000004940,-7200,#,CV1 2TT
Department for Transport,Department for Transport,04/06/2013,Recruitment Fees,Maritime,ROCKPOOLS PEOPLE & PERFORMANCE LTD,2000004940,4800,#,CV1 2TT
Department for Transport,Department for Transport,04/06/2013,Research,Greener Transport & International,NETFUNDI LTD,2000004939,586,#,LA1 1SQ
Department for Transport,Department for Transport,04/06/2013,Stationery (Non-stk),Aviation,Banner Business Services Ltd,2000004947,509.16,#,NR3 1QU
Department for Transport,Department for Transport,04/06/2013,Support Services,Group Finance,HIGHWAYS AGENCY,2000004949,204584.15,#,B1 1RN
Department for Transport,Department for Transport,04/06/2013,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000004946,1070000,#,DL3 6EH
Department for Transport,Department for Transport,04/06/2013,Telephone charges,Business Transformation,VERIZON BUSINESS,2000004941,12406.44,VERIZON - INTERNET CHARGES,RG2 6DA
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000005000,991.44,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000005000,1239.3,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000005000,4036.38,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Rail Accident Investigation Branch,SPRING TECHNOLOGY LTD  ALSO T/A,2000005024,609.98,#,B37 7YE
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Rail Commercial Contracts,BADENOCH & CLARK,2000005000,1376.98,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Rail Commercial Contracts,BADENOCH & CLARK,2000005000,1721.22,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Rail Commercial Contracts,BADENOCH & CLARK,2000005000,1721.22,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Rail Commercial Contracts,BADENOCH & CLARK,2000005000,1721.22,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000005022,1224.88,#,SL1 3SA
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Rail Commercial Contracts,MORGAN HUNT UK LTD,2000005004,3081.6,#,EC4M 7EG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,DASH,ADVANTAGE RESOURCING UK LTD,2000005035,13291.49,#,RG21 4FF
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,3650.4,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,4792.99,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,5991.24,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,5991.24,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,3594.74,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,5991.24,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,5991.24,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,1622.4,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,1198.25,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,2839.2,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000005000,2839.2,#,EC4V 4BG
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,EXPERIS LTD,2000005002,9948.1,#,EC1R 3DR
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,EXPERIS LTD,2000005002,9948.1,#,EC1R 3DR
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,EXPERIS LTD,2000005002,5526.72,#,EC1R 3DR
Department for Transport,Department for Transport,05/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000005022,2808,#,SL1 3SA
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,BATH & NE SOMERSET DC,2000005045,2229846,Quarter 4 LA Major Schemes Grant Payment 12/13,BA1 5AW
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,CHESHIRE EAST BOROUGH COUNCIL,2000005025,1765139.2,Quarter 4 LA Major Schemes Grant Payment 12/13,CW11 1HZ
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,CITY OF YORK COUNCIL,2000005046,1793973.34,Quarter 4 LA Major Schemes Grant Payment 12/13,Y01 7WH
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,CORNWALL COUNCIL,2000005026,1851000,Quarter 4 LA Major Schemes Grant Payment 12/13,TR1 3AY
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,DERBY CITY COUNCIL,2000005047,234361.02,Quarter 4 LA Major Schemes Grant Payment 12/13,DE1 2YL
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,DEVON COUNTY COUNCIL,2000005048,7969855,Quarter 4 LA Major Schemes Grant Payment 12/13,EX2 4QJ
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,DONCASTER MBC,2000005013,2019146,Quarter 4 LA Major Schemes Grant Payment 12/13,DN1 1ER
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,DUDLEY MBC,2000005014,54208,Quarter 4 LA Major Schemes Grant Payment 12/13,DY1 1HF
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000005015,4069321.33,Quarter 4 LA Major Schemes Grant Payment 12/13,HU17 9BA
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,EAST SUSSEX COUNTY COUNCIL,2000005059,10058000,Quarter 4 LA Major Schemes Grant Payment 12/13,BN7 1UE
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,ESSEX COUNTY COUNCIL,2000005027,3645249,Quarter 4 LA Major Schemes Grant Payment 12/13,CH1 1QH
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,HALTON BC,2000005049,1130029.86,Quarter 4 LA Major Schemes Grant Payment 12/13,WA8 6NB
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,LEEDS CITY COUNCIL,2000005016,172437,Quarter 4 LA Major Schemes Grant Payment 12/13,LS2 8JR
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,LEICESTERSHIRE COUNTY COUNCIL,2000005056,4608000,Quarter 4 LA Major Schemes Grant Payment 12/13,LE3 8RB
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,LIVERPOOL CITY COUNCIL,2000005017,270196,Quarter 4 LA Major Schemes Grant Payment 12/13,L2 2DH
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,LUTON BOROUGH COUNCIL,2000005050,2517372.72,Quarter 4 LA Major Schemes Grant Payment 12/13,LU1 2BQ
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,MIDDLESBROUGH BOROUGH COUNCIL,2000005018,7177365.1,Quarter 4 LA Major Schemes Grant Payment 12/13,TS1 9GA
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,NORTH SOMERSET COUNCIL,2000005051,2311216,Quarter 4 LA Major Schemes Grant Payment 12/13,BS23 1UJ
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,NORTHAMPTONSHIRE CC,2000005052,4022567,Quarter 4 LA Major Schemes Grant Payment 12/13,NN4 7DB
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,PORTSMOUTH CITY COUNCIL,2000005057,6849044.26,Quarter 4 LA Major Schemes Grant Payment 12/13,PO1 2BG
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,READING BC,2000005053,3432445,Quarter 4 LA Major Schemes Grant Payment 12/13,RG1 7TD
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,ROTHERHAM MBC,2000005019,689621.67,Quarter 4 LA Major Schemes Grant Payment 12/13,S60 1SN
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,SANDWELL MBC,2000005020,584867.99,Quarter 4 LA Major Schemes Grant Payment 12/13,B69 3BS
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,ST HELENS MBC,2000005054,9775,Quarter 4 LA Major Schemes Grant Payment 12/13,WA10 1UQ
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,SUFFOLK COUNTY COUNCIL,2000005060,4680481,Quarter 4 LA Major Schemes Grant Payment 12/13,IP1 2DH
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,SURREY COUNTY COUNCIL,2000005055,3645249,Quarter 4 LA Major Schemes Grant Payment 12/13,KT1 2DN
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,WEST MIDLANDS ITA,2000005031,17980990,Quarter 4 LA Major Schemes Grant Payment 12/13,B19 3SD
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,WOLVERHAMPTON CITY COUNCIL,2000005021,3521136.22,Quarter 4 LA Major Schemes Grant Payment 12/13,WRV 1RL
Department for Transport,Department for Transport,05/06/2013,Cap Grt Loc Auth,Local,WORCESTERSHIRE COUNTY COUNCIL,2000005058,4155492,Quarter 4 LA Major Schemes Grant Payment 12/13,WR5 2NP
Department for Transport,Department for Transport,05/06/2013,Computer Consumables,General Counsel's Office,XMA LIMITED GOSC,2000005040,454.07,Q5951A Hp Colour Laserjet 4700 Cartridge,NG11 7EP
Department for Transport,Department for Transport,05/06/2013,Computer Consumables,General Counsel's Office,XMA LIMITED GOSC,2000005040,146.03,Q5952A Hp Colour Laserjet 4700 Cartridge,NG11 7EP
Department for Transport,Department for Transport,05/06/2013,Conferences / Semina,Analysis/Science,LANDOR LINKS LTD,2000004998,948.37,#,SE11 5QY
Department for Transport,Department for Transport,05/06/2013,Conferences / Semina,Rail,LANDOR LINKS LTD,2000004998,105.38,#,SE11 5QY
Department for Transport,Department for Transport,05/06/2013,CurrGrt Las in AEF/A,Local,HALTON BC,2000005049,516518,Quarter 4 LA Major Schemes Grant Payment 12/13,WA8 6NB
Department for Transport,Department for Transport,05/06/2013,CurrGrtOth to NDPBs,Group Finance,"HSBC BANK PLC, LONDON",2000005029,9562500,LCR Finco Payment June 2013 - XS0094835278,E14 5HQ
Department for Transport,Department for Transport,05/06/2013,CurrGrtOth to NDPBs,Group Finance,"HSBC BANK PLC, LONDON",2000005029,27562500,LCR Finco Payment June 2013 - XS0094804126,E14 5HQ
Department for Transport,Department for Transport,05/06/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL,2000004962,4956535.88,Opex and Usage Charges - May 2013 (GBP),CT18 8XY
Department for Transport,Department for Transport,05/06/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL (EURO PAYMENTS),2000004961,5596113.46,Opex and Usage Charges - May 2013 (Euro),CT18 8X
Department for Transport,Department for Transport,05/06/2013,Legal Consultancy,DASH,DLA PIPER UK LLP,2000005001,16290.36,#,M2 3DL
Department for Transport,Department for Transport,05/06/2013,Minor Developments,Analysis/Science,IBM UNITED KINGDOM LTD,2000004999,11736,#,PO6 3AE
Department for Transport,Department for Transport,05/06/2013,Minor Developments,Analysis/Science,IBM UNITED KINGDOM LTD,2000004999,2747.91,#,PO6 3AE
Department for Transport,Department for Transport,05/06/2013,Publications for Res,DASH,CREATIVE CHOICE CIC,2000005034,43610,#,SW1H 0DJ
Department for Transport,Department for Transport,05/06/2013,Publications for Res,DASH,CREATIVE CHOICE CIC,2000005034,540,#,SW1H 0DJ
Department for Transport,Department for Transport,05/06/2013,Publications for Res,DASH,CREATIVE CHOICE CIC,2000005034,8730,#,SW1H 0DJ
Department for Transport,Department for Transport,05/06/2013,Recruitment Fees,Group HR,ODGERS RAY & BERNDSTON,2000005007,12072,#,EC4M 6XD
Department for Transport,Department for Transport,05/06/2013,Recruitment Fees,Group HR,ODGERS RAY & BERNDSTON,2000005007,10143.12,#,EC4M 6XD
Department for Transport,Department for Transport,05/06/2013,Research,Roads,WSP UK LTD T/A,2000005011,15715.31,#,RG21 4HJ
Department for Transport,Department for Transport,05/06/2013,Services prov by OGD,Transport Security Strategy,DEFENCE BUSINESS SERVICES,2000005033,1487.9,#,YO10 4AS
Department for Transport,Department for Transport,05/06/2013,Support Services,Permanent Secretary,HIGHWAYS AGENCY,2000005064,4101.09,#,B1 1RN
Department for Transport,Department for Transport,05/06/2013,Traffic Survey & Cou,Roads,HIGHWAYS AGENCY (14272),2000005062,5191.31,#,HP2 4XW
Department for Transport,Department for Transport,05/06/2013,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000005010,2762.5,#,BS24 9BP
Department for Transport,Department for Transport,05/06/2013,Traffic Survey & Cou,Roads,TDC SYSTEMS LIMITED,2000005010,1728,#,BS24 9BP
Department for Transport,Department for Transport,05/06/2013,Travel Expenses UK,Group Finance,RAIL STAFF TRAVEL LTD,2000005023,2816.85,#,WC1N 1BY
Department for Transport,Department for Transport,06/06/2013,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000005135,991.44,#,EC4V 4BG
Department for Transport,Department for Transport,06/06/2013,Agency Staff Costs,Business Transformation,NETWORKERS INTERNATIONAL (UK) PLC,2000005146,1044.61,#,BR1 1HP
Department for Transport,Department for Transport,06/06/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000005134,2719.38,#,BN11 2BW
Department for Transport,Department for Transport,06/06/2013,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD  ALSO T/A,2000005148,765.9,#,B37 7YE
Department for Transport,Department for Transport,06/06/2013,Agency Staff Costs,Local,EXPERIS LTD,2000005138,8047.08,#,EC1R 3DR
Department for Transport,Department for Transport,06/06/2013,Agency Staff Costs,Local,EXPERIS LTD,2000005138,2235.3,#,EC1R 3DR
Department for Transport,Department for Transport,06/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000005145,660,#,SL1 3SA
Department for Transport,Department for Transport,06/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000005145,4608,#,SL1 3SA
Department for Transport,Department for Transport,06/06/2013,Agency Staff Costs,Refran Prog Off,NETWORKERS INTERNATIONAL (UK) PLC,2000005146,883.92,#,BR1 1HP
Department for Transport,Department for Transport,06/06/2013,Agents Fees,Group HR,TREASURY SOLICITOR,2000005133,45,#,WC2B 4TS
Department for Transport,Department for Transport,06/06/2013,Agents Fees,Roads,GROUPM UK LIMITED,2000005155,16.53,#,WC1X 8RX
Department for Transport,Department for Transport,06/06/2013,Car Hire and Leasing,Motoring Services,Jack Reynolds Personal Transport,2000005159,617.94,#,SE11 6UL
Department for Transport,Department for Transport,06/06/2013,Car Hire and Leasing,Motoring Services,Jack Reynolds Personal Transport,2000005159,667.27,#,SE11 6UL
Department for Transport,Department for Transport,06/06/2013,CurrGrt Las in AEF/A,Rail and Road Projects,NEXUS,2000005144,2067580,Nexus April 13 Resource Grant,NE1 4AX
Department for Transport,Department for Transport,06/06/2013,Grt Aid to NDPBs,DASH,HS2,2000005149,3000000,HS2 June Grant 2013,SW1E 5DU
Department for Transport,Department for Transport,06/06/2013,Legal Consultancy,Group HR,TREASURY SOLICITOR,2000005133,17990.4,#,WC2B 4TS
Department for Transport,Department for Transport,06/06/2013,Machinery Maintenanc,Local,HEWLETT PACKARD LTD,100006928,-1449.2,CREDIT NOTE FOR INVOICE 7503174 AND 7510839,RG12 1BQ
Department for Transport,Department for Transport,06/06/2013,Machinery Maintenanc,Local,HEWLETT PACKARD LTD,100006928,1258,HP Elite Pad 900,RG12 1BQ
Department for Transport,Department for Transport,06/06/2013,Machinery Rental,Business Transformation,DANWOOD GROUP LTD,2000005137,2668.14,#,LN6 3DG
Department for Transport,Department for Transport,06/06/2013,Machinery Rental,Business Transformation,DANWOOD GROUP LTD,2000005137,2081.8,#,LN6 3DG
Department for Transport,Department for Transport,06/06/2013,Publicity,Roads,GROUPM UK LIMITED,2000005155,23954.4,#,WC1X 8RX
Department for Transport,Department for Transport,06/06/2013,Publicity,Roads,GROUPM UK LIMITED,2000005155,19839.35,#,WC1X 8RX
Department for Transport,Department for Transport,06/06/2013,Recruitment Fees,Group HR,RACHEL FROST LTD,2000005151,955.68,#,KT1 1ER
Department for Transport,Department for Transport,06/06/2013,Recruitment Fees,Group HR,SAXTON BAMPFLYDE HEVER,2000005147,3148.8,#,SW1H 9JA
Department for Transport,Department for Transport,06/06/2013,Recruitment Fees,Group HR,SAXTON BAMPFLYDE HEVER,2000005147,1776,#,SW1H 9JA
Department for Transport,Department for Transport,06/06/2013,Recruitment Fees,Group HR,SAXTON BAMPFLYDE HEVER,2000005147,1776,#,SW1H 9JA
Department for Transport,Department for Transport,06/06/2013,Small Software,Roads,CREATIVE CHOICE CIC,2000005154,14976,#,SW1H 0DJ
Department for Transport,Department for Transport,06/06/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000005136,51276.5,#,RH10 0YR
Department for Transport,Department for Transport,06/06/2013,Traffic Survey & Cou,Roads,PARSONS BRINCKERHOFF LTD,2000005140,4025.68,#,NE4 7YQ
Department for Transport,Department for Transport,06/06/2013,Traffic Survey & Cou,Roads,PARSONS BRINCKERHOFF LTD,2000005140,27765,#,NE4 7YQ
Department for Transport,Department for Transport,06/06/2013,Transport  Consult,Business Transformation,xxxxxxxx,2000005139,9282,#,#
Department for Transport,Department for Transport,06/06/2013,Travel Expenses UK,Marine Accident Investigation Branch,REDFERN TRAVEL LTD,2000005150,1081.43,Redfern - May 2013,BD1 3AZ
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Group Internal Audit,REED SPECIALIST RECRUITMENT LTD,2000005222,2341.2,#,SW20 0BA
Department for Transport,Department for Transport,07/06/2013,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000005228,2049.48,#,SL1 3SA
