Department for Work and Pensions,,,
,,,
"Meetings with external organisations including meetings with newspaper and other media proprietors, editors and senior executives",,,
Lord Freud,Nov,Health Management Limited,Fit for Work service
,, Maximus,
Lord Freud,Dec,Payments Council,Payments systems
,,Payments Systems Regulator,
,,PayPal,
,,Nationwide,
,,HSBC,
,,Royal Bank of Scotland,
,,Clydesdale Bank and Yorkshire Bank PLC,
,,Barclays,
,,Lloyd’s Banking Group,
,,Santander,
Lord Freud,Dec,StepChange Debt Charity,Budgeting advice
Lord Freud,Dec,Housing Partners LTD,Housing direct payments
Lord Freud,Dec,Payments Council,Payments systems
,,,
,,,
"1. Does not normally include meetings with Government bodies such as other Government Departments, members of the Royal Household, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.. Visits, attendance at seminars, conferences, receptions, media, interviews etc would not normally be classed as meetings.",,,
