Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,31/03/2016,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,11227675,"1,359,203.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,11227686,"350,196.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,11227693,"1,662,124.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Non NHS Payables <1Yr,BALANCE SHEET,LANGFORD CLINIC LTD,11250958,"33,408.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CARE UK CLINICAL SERVICES LTD,11269088,"39,893.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Non NHS Payables <1Yr,BALANCE SHEET,ISLE OF WIGHT COUNCIL,11295716,"82,511.23"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Non NHS Payables <1Yr,BALANCE SHEET,ISLE OF WIGHT COUNCIL,11296112,"39,729.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Prepymnts <1Yr-Advances,BALANCE SHEET,LJ ACCOUNTS,11296391,"37,342.50"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Income tax <1Yr,BALANCE SHEET,HMRC,11361566,"39,241.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,11361566,351
Department of Health,NHS Isle Of Wight CCG,31/03/2016,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,11361566,"20,752.66"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,11361566,"16,283.92"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,11361566,"-1,669.33"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PORTSMOUTH HOSPITALS NHS TRUST,11366107,"58,986.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11366206,"37,524.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Non NHS Payables <1Yr,BALANCE SHEET,ISLE OF WIGHT COUNCIL,11366434,"38,728.05"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Trade Local Creds Adj Non-NHS <1Yr,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,11383534,"75,312.75"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Sterile Products,PRESCRIBING,AMCARE LTD,11384071,"35,656.51"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,C&M-GMS LES Care of Older People,LOCAL ENHANCED SERVICES,BROOKSIDE HEALTH CENTRE,11384303,"41,996.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,C&M-GMS LES Care of Older People,LOCAL ENHANCED SERVICES,COWES MEDICAL CENTRE,11384324,"36,159.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,C&M-GMS LES Care of Older People,LOCAL ENHANCED SERVICES,DOWER HOUSE SURGERY,11384342,"27,426.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,C&M-GMS LES Care of Older People,LOCAL ENHANCED SERVICES,SHANKLIN MEDICAL CENTRE,11384577,"33,981.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,C&M-GMS LES Care of Older People,LOCAL ENHANCED SERVICES,ST HELENS MEDICAL CENTRE,11384602,"28,306.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,C&M-GMS LES Care of Older People,LOCAL ENHANCED SERVICES,SANDOWN HEALTH CENTRE,11384656,"33,564.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,11384764,"395,737.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Hcare Srv Rec NHS Trust-CQUIN,PLANNED CARE,ISLE OF WIGHT NHS TRUST,11384779,"21,990.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PLANNED CARE,ISLE OF WIGHT NHS TRUST,11384779,"219,904.17"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,ONE-OFF SUPPLIER,11390044,"53,117.87"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,11401446,"850,690.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,11401538,"-850,690.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Prescribing,PRESCRIBING,NHS ENGLAND,11436255,"78,545.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Non NHS Payables <1Yr,BALANCE SHEET,AGE UK ISLE OF WIGHT,11475231,"39,000.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,AGE UK ISLE OF WIGHT,11498704,"93,000.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,AGE UK ISLE OF WIGHT,11498723,"47,213.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Clinical&Medical-Othe Public Sector,Winter Resilience,ISLE OF WIGHT COUNCIL,11498764,"56,035.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,11534323,"-69,612.65"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,11534325,"130,743.56"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,11534325,"1,189.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,11570212,"920,000.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Clinical&Medical-Othe Public Sector,Winter Resilience,ISLE OF WIGHT COUNCIL,11586004,"87,388.00"
