OrganisationLabel,OrganisationURI,Account Name,Account Name 2,BA Ref,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Address 6,Postcode,Rateable Value,Bill From,Bill To,Bill Credit,Account Credit,Account Address 1,Account Address 2,Account Address 3,Account Address 4,Postcode
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,FIRST PROPERTY GENERAL PARTNER,(NOMINEE 14) LTD,000120200012A1,,,"UNITS 12, 14 & 15",VALLEY ROAD INDUSTRIAL ESTATE,VALLEY ROAD,"BIRKENHEAD, MERSEYSIDE",CH41 7EL,43000,27/12/2015,08/02/2016,-260.8,-260.8,32 ST JAMES STREET,LONDON,,,SW1A 1HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,G J FITNESS LTD,,000648000015F9,,,15F LANCELYN COURT PRECINCT,SPITAL ROAD,WIRRAL,MERSEYSIDE,CH63 9JP,500,01/04/2011,01/04/2011,-216.5,-248.86,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,G J FITNESS LTD,,000648000015F9,,,15F LANCELYN COURT PRECINCT,SPITAL ROAD,WIRRAL,MERSEYSIDE,CH63 9JP,500,01/02/2011,01/02/2011,-32.36,-248.86,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GAINMILL LTD,,000267800056D9,,,B'MENT & GRD FLR HAMILTON HOUSE,56 HAMILTON STREET,BIRKENHEAD,MERSEYSIDE,CH41 5HZ,10500,01/04/2015,01/04/2015,-762.74,-762.74,62 HAMILTON SQUARE,BIRKENHEAD,MERSEYSIDE,,CH41 5AT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GAME STORES GROUP LTD,IN ADMINISTRATION,27200003507,,,35-37 MILTON PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YA,71500,01/04/2011,27/03/2012,-1391.28,-1391.28,C/O STUART D MADDISON,9 GREYFRIARS ROAD,READING,BERKS,RG1 1JG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GJ FITNESS LTD,,000648000015G3,,,15 A-C & F LANCELYN COURT PRECINCT,SPITAL ROAD,WIRRAL,MERSEYSIDE,CH63 9JE,5300,01/02/2011,01/04/2011,-57.07,-57.07,15A LANCELYN COURT PRECINCT,SOITAL ROAD,WIRRAL,MERSEYSICE,CH63 9JJ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GRADE TWO STRUCTURAL,REPAIRS LTD,0000920004730A,,,473 PRICE STREET,BIRKENHEAD,WIRRAL,,CH41 8BG,0,01/04/2016,01/04/2017,-3438.72,-3438.72,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GREALEM PROPERTIES LTD,,1290005809,,,"58, OXTON ROAD",BIRKENHEAD,WIRRAL,,CH41 2TW,1075,01/04/2013,06/03/2014,-35.38,-35.38,HASLERS,OLD STATION ROAD,LOUGHTON,ESSEX,IG10 4PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,H.M. COASTGUARDS,,000866200269AA,COASTGUARD AERIAL SITE QUARRY,SERVICE STATION,TELEGRAPH ROAD,HESWALL,WIRRAL,MERSEYSIDE,CH60 8NA,1500,01/04/2010,01/04/2010,-762.72,-1619.2,WESTERN REGIONAL BUSINESS MANAGER,TUTT HEAD,MUMBLES,SWANSEA,SA3 4HW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,H.M. COASTGUARDS,,000866200269AA,COASTGUARD AERIAL SITE QUARRY,SERVICE STATION,TELEGRAPH ROAD,HESWALL,WIRRAL,MERSEYSIDE,CH60 8NA,1500,01/04/2011,01/04/2011,-856.48,-1619.2,WESTERN REGIONAL BUSINESS MANAGER,TUTT HEAD,MUMBLES,SWANSEA,SA3 4HW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HAMILTON PROPERTY & LEISURE LTD,,0002606000250A,,,SONNYS,23-27 ARGYLE STREET,BIRKENHEAD,MERSEYSIDE,CH41 6AA,11250,24/11/2015,28/03/2016,-60.62,-60.62,15 CORONATION DRIVE,BROMBOROUGH,MERSEYSIDE,,CH62 3LF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LIMITED,C/O THE MANAGEMENT OFFICE,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/04/2010,01/06/2010,-230.36,-230.36,UNIT 111 UPPER EGERTON WALK,THE ELLESMERE SHOPPING CENTRE,"WALKDEN, WORLSEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LIMITED,C/O THE MANAGEMENT OFFICE,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/09/2010,01/11/2010,-230.36,-230.36,UNIT 111 UPPER EGERTON WALK,THE ELLESMERE SHOPPING CENTRE,"WALKDEN, WORLSEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LIMITED,C/O THE MANAGEMENT OFFICE,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/02/2011,01/04/2011,-222.8,-222.8,UNIT 111 UPPER EGERTON WALK,THE ELLESMERE SHOPPING CENTRE,"WALKDEN, WORLSEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LTD,,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/07/2011,01/09/2011,-228.17,-228.17,UNIT 111 UPPER EGERTON WALK,ELLESMERE SHOPPING CENTRE,"WALKDEN, WORSLEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LTD,,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/12/2011,01/02/2012,-228.17,-228.17,MANAGEMENT OFFICE,UNIT 111 UPPER EGERTON WALK,"ELLESMERE CENTRE, WALKDEN",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARDISTY CRN LTD,,000636500024D9,,,HARDISTY PT 24-26 GROVE STREET,NEW FERRY,WIRRAL,MERSEYSIDE,CH62 5AZ,10000,01/04/2014,12/03/2015,-172.05,-172.05,1 THURSBY ROAD,CROFT BUSINESS PARK,BROMBOROUGH,MERSEYSIDE,CH62 3PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARROW LEISURE LTD,,42470006002,,,QUEENS ARMS HOTEL,LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JR,36250,07/01/2014,03/02/2014,-165.49,-165.49,14 HARROW CLOSE,WALLASEY,,,CH44 2HQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARWOOD BROTHERS LTD,,72910004507,,,45 WALKER STREET,WIRRAL,MERSEYSIDE,,CH47 2DZ,1925,01/04/2011,01/04/2012,-102.01,-102.01,45 WALKER STREET,WIRRAL,MERSEYSIDE,,CH47 2DZ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HAWKIN'S BAZAAR (SHOPS) LTD,,000272000034A8,,,32-34 MILTON PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YA,54500,20/11/2010,05/01/2011,-895.84,-895.84,THE OLD AERODROME,WORLINGHAM,BECCLES,SUFFOLK,NR34 7SP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HEARTS CLUB LTD,,000525500136A9,,,136-142 WALLASEY ROAD,WALLASEY,MERSEYSIDE,,CH44 2AF,20500,01/04/2015,01/06/2015,-3367.08,-3367.08,136-142,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH44 2AF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HI IMPACT CONSULTANCY LTD,,0004075A00055,,,OFFICE 3 AT GALLAGHER HOUSE,CASHEL ROAD,WALLASEY,MERSEYSIDE,CH41 1DE,8200,01/04/2016,22/08/2016,-428.9,-428.9,INNOVATION HOUSE,POWER ROAD,BROMBOROUGH,WIRRAL,CH63 0NP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HI IMPACT CONSULTANCY LTD,,0004075A0008R9,,,OFFICE 4 GALLAGHER HOUSE,CASHEL ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DY,7700,01/10/2014,01/04/2015,-0.01,-401.72,INNOVATION HOUSE,POWER ROAD,BROMBOROUGH,WIRRAL,CH63 3QT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HI IMPACT CONSULTANCY LTD,,0004075A0008R9,,,OFFICE 4 GALLAGHER HOUSE,CASHEL ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DY,7700,01/04/2016,22/08/2016,-401.71,-401.72,INNOVATION HOUSE,POWER ROAD,BROMBOROUGH,WIRRAL,CH63 3QT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HI IMPACT CONSULTANCY LTD,,0004075A0006A6,,,OFFICE 6,CASHEL ROAD,WALLASEY,MERSEYSIDE,CH41 1DE,5100,01/04/2016,22/08/2016,-266.33,-266.33,INNOVATION HOUSE,POWER ROAD,BROMBOROUGH,WIRRAL,CH62 3QT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HSBC BANK PLC,,74370003801,MIDLAND BANK ,,38 GRANGE ROAD,WEST KIRBY,WIRRAL,MERSEYSIDE,CH48 4EA,16000,01/04/2016,15/07/2016,-2420.27,-2420.27,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INDEPENDENT POWER NETWORKS LTD,C/O COMPANY SECRETARY,2276000010,,,INDEPENDENT DISTRIBUTION NETWORK,"OPERATOR, NELSON ROAD",BIRKENHEAD,MERSEYSIDE,CH42 2AL,350,01/04/2014,01/04/2015,-21.2,-42.8,ENERGY HOUSE,WOOLPIT BUSINESS PARK,WINDMILL AVENUE,BURY ST EDMUNDS,IP30 9UP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INDEPENDENT POWER NETWORKS LTD,C/O COMPANY SECRETARY,2276000010,,,INDEPENDENT DISTRIBUTION NETWORK,"OPERATOR, NELSON ROAD",BIRKENHEAD,MERSEYSIDE,CH42 2AL,350,01/04/2015,01/04/2016,-21.6,-42.8,ENERGY HOUSE,WOOLPIT BUSINESS PARK,WINDMILL AVENUE,BURY ST EDMUNDS,IP30 9UP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INDUSTRIALS UK LP,,0006173C003002,,,30 CARROCK ROAD,WIRRAL,MERSEYSIDE,,CH62 3RA,6200,01/04/2016,18/04/2016,-792.46,-1371.04,C/O RYDEN LLP,CARLTON TOWER,34 ST PAULS STREET,LEEDS,LS1 2QB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INDUSTRIALS UK LP,,0006173C003002,,,30 CARROCK ROAD,WIRRAL,MERSEYSIDE,,CH62 3RA,6200,18/04/2016,01/04/2017,-578.58,-1371.04,C/O RYDEN LLP,CARLTON TOWER,34 ST PAULS STREET,LEEDS,LS1 2QB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INGEUS UK LTD,,000267800018B7,,,2ND-3RD FLRS ATLANTIC HOUSE,"18 - 22, HAMILTON STREET",BIRKENHEAD,MERSEYSIDE,CH41 1AL,39500,01/04/2016,25/07/2016,-1668.23,-1668.23,FOURTH FLOOR,66 PRESCOT STREET,LONDON,,E1 8HG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INTEB MANAGED SERVICES LTD,,000617300001Q4,,,UNIT 15,"1, THURSBY ROAD",WIRRAL,MERSEYSIDE,CH62 3PW,6500,01/04/2015,04/03/2016,-19.89,-74.06,C/O PORTAL BUSINESS CENTRES,THURSBY HOUSE,1 THURSBY ROAD,WIRRAL,CH62 3PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INTEB MANAGED SERVICES LTD,,000617300001Q4,,,UNIT 15,"1, THURSBY ROAD",WIRRAL,MERSEYSIDE,CH62 3PW,6500,01/04/2016,01/04/2016,-54.17,-74.06,C/O PORTAL BUSINESS CENTRES,THURSBY HOUSE,1 THURSBY ROAD,WIRRAL,CH62 3PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,IRAF SPYDER 1 LTD,,0001001A0001A7,,,"UNIT 1, ARROWE COMMERCIAL PARK",ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 1AB,12250,01/04/2016,01/04/2016,-1244.16,-1694,12 CHARLES 11 STREEET,LONDON,,,SW1Y 4QU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,IRAF SPYDER 1 LTD,,0001001A0001A7,,,"UNIT 1, ARROWE COMMERCIAL PARK",ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 1AB,12250,04/03/2016,04/03/2016,-449.84,-1694,12 CHARLES 11 STREEET,LONDON,,,SW1Y 4QU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,IRVING LITTLE & CO IN LIQ,,24370021703,,,213-219 CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,,CH41 3QE,12750,01/04/2016,01/06/2016,-59.68,-59.68,C/O ATICUS RECOVERY,1 HANSON ROAD,AINTREE,LIVERPOOL,L9 7BP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JAMES MICHAEL INTERIORS,,0004472B0082T5,,,UNIT 19 UVECO BUSINESS CENTRE,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1FD,4450,01/04/2011,01/04/2012,-14.55,-14.55,UNIT 19 UVECO BUSINESS CENTRE,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1FD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JBM FLOORING LTD,,20940022005,LLOYD & JONES,,220 NEW CHESTER ROAD,BIRKENHEAD,WIRRAL,,CH41 9BQ,6600,01/04/2016,01/09/2016,-80.38,-80.38,UNITED CARPETS,UNIT 8,HUNTS CROSS SHOPPING PARK,LIVERPOOL,L24 9GB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JOHNSON CLEANERS UK LIMITED,,86620019102,,,191-193 TELEGRAPH ROAD,HESWALL,WIRRAL,,CH60 7SE,19500,27/03/2015,01/04/2015,-711,-711,C/O BELLROCK FM LTD,ENTERPRISE HOUSE,SUNNINGDALE ROAD,LEICESTER,LE3 1UR
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JON DAVID LTD,,0007349000120A,,,12-14 MARKET STREET,WIRRAL,MERSEYSIDE,,CH47 2AE,16250,07/07/2012,01/04/2013,-65,-65,FLAT 5 DEE VIEW HOUSE,229 TELEGRAPH ROAD,HESWALL,WIRRAL,CH60 7SF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JUMI LTD,,000866200139AA,,,141 TELEGRAPH ROAD,HESWALL,WIRRAL,,CH60 7SE,17000,01/04/2011,23/03/2012,-1374.72,-1374.72,C/O CDAS,NOOK HOUSE,CHURCH LANE,"HARGRAVE, CHESTER",CH3 7RL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KINGSTON SHAW LTD,,000252900003C4,,,UNIT 3 THE WORKSHOPS,MARCUS STREET,BIRKENHEAD,MERSEYSIDE,CH41 1EU,4850,01/04/2011,01/04/2012,-387.53,-387.53,UNIT 3 THE WORKSHOPS,MARCUS STREET,BIRKENHEAD,MERSEYSIDE,CH41 1EU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KLM EXECUTIVE PENSION SCHEME,,0004075A000809,,,1 GALLAGHER HOUSE,CASHEL ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DY,7400,01/04/2012,01/06/2012,-449.79,-449.79,MR T GALLAGHER,GALLAGHER HOUSE,CASHEL ROAD,MERSEYSIDE,CH41 1DY
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KRYPTON LTD,T/A KRYPTON PROPERTY GROUP,000525500086EB,,,GROUND FLOOR 86-88,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH44 2AE,4000,01/04/2013,01/04/2014,-370,-370,GROUND FLOOR,86-88 WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH44 2AE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KWIK SAVE STORES LTD,(IN ADMINISTRATION),43310490124,ADVERTISING RIGHT (ADLIGHT 33),AT KWIK SAVE,POULTON ROAD,WALLASEY,MERSEYSIDE,,CH44 9DE,0,01/04/2007,11/07/2007,-112.83,-476.16,C/O KPMG CORPORATE RECOVERY,ST JAMES' SQUARE,MANCHESTER,,M2 6DS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KWIK SAVE STORES LTD,(IN ADMINISTRATION),43310490124,ADVERTISING RIGHT (ADLIGHT 33),AT KWIK SAVE,POULTON ROAD,WALLASEY,MERSEYSIDE,,CH44 9DE,0,01/04/2006,01/04/2007,-363.33,-476.16,C/O KPMG CORPORATE RECOVERY,ST JAMES' SQUARE,MANCHESTER,,M2 6DS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LA LUZ LTD,T/A  ROCKS,0005255000540B,,,54-56 WALLASEY ROAD,WALLASEY,MERSEYSIDE,,CH45 4NW,23750,01/04/2016,03/05/2016,-44.9,-44.9,61 CROSS STREET,BIRKENHEAD,,,CH41 5EP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LANGHAM INDUSTRIES DP PLAN & ,BARCLAY CURLE LTD,000506900013L3,,,PT GND FLR EAST WING AT,STONE MANGANESE OFFICE BLOCK,DOCK ROAD,BIRKENHEAD,CH41 1DT,7700,01/04/2012,01/04/2012,-118.96,-118.96,C/O MASON OWEN,GLADSTONE HOUSE,11 UNION STREET,LIVERPOOL,L2 4UQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LAVASANI LTD,T/A CAPTAIN TONY'S PIZZA,000302200790A6,,,UNIT 1A AT,790 BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,CH42 9JG,16000,01/06/2011,15/08/2011,-33,-33,21 CAMBRIDGE ROAD,BIRKENHEAD,,,CH42 8PS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LAVORO CARE LTD,,000424600188B4,,,"OFFICE 2, LISCARD BUSINESS CENTRE",188 LISCARD ROAD,WALLASEY,WIRRAL,CH44 5TN,1075,01/04/2016,24/05/2016,-28.75,-28.75,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LBW FINANCIAL SOLUTIONS LTD,,66290000404,,,UNIT 4 THE COURTYARD,OLD COURT HOUSE ROAD,WIRRAL,MERSEYSIDE,CH62 4UE,6300,01/04/2011,01/04/2012,-24.32,-24.32,UNIT 4 THE COURTYARD,OLD COURT HOUSE ROAD,WIRRAL,MERSEYSIDE,CH62 4UE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LCP SECURITIES LTD,,30140002607,,,26 BEBINGTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 6PU,3850,01/04/2015,16/04/2015,-300.26,-300.26,LCP HOUSE,THE PENSNETT ESTATE,KINGSWINFORD,WEST MIDLANDS,DY6 7NA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LEASOWE ESTATE TENANTS,ASSOCIATION,54420023609,,,236 TWICKENHAM DRIVE,WIRRAL,MERSEYSIDE,,CH46 2QE,3350,01/04/2010,01/04/2011,-285.56,-285.56,LEASOWE MILLENIUM CENTRE,TWICKENHAM DRIVE,WIRRAL,MERSEYSIDE,CH46 1PQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LEISURE COIN LTD,,53730027009,,,270 HOYLAKE ROAD,WIRRAL,,,CH46 6AF,13500,01/04/2016,01/04/2016,-1963,-1963,60A MARINE PROMENADE,NEW BRIGHTON,WIRRAL,,CH45 2JS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LINKS ESTATES LTD,,73130004309,,,UNIT 4 PEMWAY ENTERPRISE CENTRE,CARR LANE,WIRRAL,MERSEYSIDE,CH47 4AZ,3850,01/07/2013,22/10/2013,-217.86,-217.86,UNIT 1,HILBRE BUSINESS PARK,CARR LANE,HOYLAKE,CH47 4AZ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LIVERPOOL & CHESTER PROPERTY CO,LTD,65680020005,,,1200 NEW CHESTER ROAD,WIRRAL,MERSEYSIDE,,CH62 9AE,9600,01/04/2012,09/05/2012,-419.05,-419.05,C/O CORE PROPERTY MANAGEMENT,7 UNION COURT,LIVERPOOL,,L2 4SJ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LIVERPOOL COMMERCIAL SALE-ROOM,COMPANY LTD,000537300202CB,,,UNIT 3 COACH & HORSES HOTEL,HOYLAKE ROAD,WIRRAL,,CH46 6AD,11750,01/04/2011,01/02/2012,-834.06,-834.06,69 DOWHILLS ROAD,BLUNDELLSANDS,MERSEYSIDE,,L23 8SL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LIVERPOOL PCT,,0001058000320B,,,32 FORD ROAD,WIRRAL,MERSEYSIDE,,CH49 0TF,27000,01/04/2013,28/10/2013,-500.03,-1705.03,BEVAN HOUSE,65 STEPHENSON WAY,WAVERTREE,LIVERPOOL,L13 1HN
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LIVERPOOL PCT,,0001058000320B,,,32 FORD ROAD,WIRRAL,MERSEYSIDE,,CH49 0TF,27000,01/04/2014,01/04/2014,-1205,-1705.03,BEVAN HOUSE,65 STEPHENSON WAY,WAVERTREE,LIVERPOOL,L13 1HN
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LLOYDS BANKING GROUP,,000607800036A5,,,36 BEBINGTON ROAD,NEW FERRY,WIRRAL,,CH62 5BH,9800,25/07/2016,01/04/2017,-948,-1826.77,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LLOYDS BANKING GROUP,,000607800036A5,,,36 BEBINGTON ROAD,NEW FERRY,WIRRAL,,CH62 5BH,9800,01/04/2016,25/07/2016,-878.77,-1826.77,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LLOYDS BANKING GROUP,,65950018106,,,181 OLD CHESTER ROAD,HIGHER BEBINGTON,WIRRAL,MERSEYSIDE,CH63 8NE,9000,25/07/2016,01/04/2017,-436,-1675.56,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LLOYDS BANKING GROUP,,65950018106,,,181 OLD CHESTER ROAD,HIGHER BEBINGTON,WIRRAL,MERSEYSIDE,CH63 8NE,9000,01/04/2016,25/07/2016,-1239.56,-1675.56,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LT MANAGEMENT SERVICES LTD,,72550010802,,,BLUE ANCHOR,MARKET STREET,WIRRAL,MERSEYSIDE,CH47 3BE,28750,06/09/2011,17/10/2011,-178.95,-178.95,31 HAVERSCROFT IND ESTATE,NEW ROAD,ATTLEBOROUGH,NORFOLK,NR17 1YE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,M D TECHNICAL LTD,,000100100004B7,,,A25 CHAMPIONS B/PARK,ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 0AB,2200,01/04/2012,01/07/2012,-15.18,-15.18,A25 CHAMPIONS BUSINESS PARK,ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 0AB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MAKRASYKA LTD,,81410040407,,,404 PENSBY ROAD,HESWALL,WIRRAL,MERSEYSIDE,CH61 9NH,3550,01/04/2011,01/04/2012,-260.08,-260.08,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MAPPING SOLUTIONS LIMITED,,51200000707,,,7 LEASOWE ROAD,WALLASEY,MERSEYSIDE,,CH45 8NY,4500,01/04/2011,01/04/2012,-622.17,-622.17,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARITIME HOUSING ASSOCIATION LTD,,0002740B000705,,,UNIT 7 BRUNSWICK COURT,PRICE STREET,BIRKENHEAD,MERSEYSIDE,CH41 6LW,8200,01/04/2011,01/08/2011,-2367.07,-2367.07,C/O THE REGENDA GROUP,REGENDA HOUSE,ENTERPRISE BUSINESS PARK,HORWICH BOLTON,BL6 6PQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,0002497A0029AB,,,UNIT 29 THE PYRAMIDS,GRANGE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2ZL,93000,01/04/2016,18/07/2016,-4622,-4622,C/O JLL,LASALLE ACCOUNTS PAYABLE,PO BOX 3515,NORWICH,NR7 7QX
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,0002497A0100A5,,,HAND CAR WASH AT THE PYRAMIDS,GRANGE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2PF,5000,01/04/2013,01/04/2013,-2355,-2355,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX
