Posting date,Vendor Name,Amount GBP,Category Level 1
07/08/2017,Puhunan Inc,"50,602.41",Facilities
28/08/2017,Process Solutions Sp  z o o,"51,524.73",Professional Services
28/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"51,661.30",Facilities
01/08/2017,Kamran Decoration Service,"55,727.61",Facilities
18/08/2017,Frost & Sullivan,"56,400.00",Professional Services
09/08/2017,Kier Management Consulting Ltd,"56,661.01",IT & Telecoms
03/08/2017,????????????,"56,972.51",Facilities
03/08/2017,????????????,"56,972.51",Facilities
01/08/2017,Little Forest Ltd,"57,600.00",Professional Services
17/08/2017,EntServ UK Limited,"57,663.65",IT & Telecoms
14/08/2017,EntServ UK Limited,"59,340.00",IT & Telecoms
11/08/2017,BTL Group Ltd,"60,676.80",Professional Services
15/08/2017,CAPPA & D'ALBERTO PLC,"61,068.70",Facilities
15/08/2017,CGI IT UK Limited,"68,418.64",IT & Telecoms
17/08/2017,SEAL Infotech Pvt Ltd (GBP Account),"68,539.00",Professional Services
14/08/2017,Public Pension Agency,"69,479.61",Facilities
18/08/2017,???????,"70,339.95",Facilities
17/08/2017,Al Ahlia Insurance Company,"70,596.00",Human Resources
28/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"72,138.66",Facilities
17/08/2017,Centum Learning Limited,"73,093.85","Travel, venue hire and exhibition services"
16/08/2017,Level 3 Communications Europe Limit,"75,758.81",IT & Telecoms
17/08/2017,Centum Learning Limited,"77,982.83","Travel, venue hire and exhibition services"
28/08/2017,Office 8,"78,118.06",Facilities
04/08/2017,Bashundhara Convention Centre,"78,426.17",Facilities
11/08/2017,EMPLOYMENT CONDITIONS ABROAD LT,"81,002.40","Advertising, Marketing & Media"
17/08/2017,Beijing Personnel Service Corporati,"86,548.79",Professional Services
08/08/2017,Impact Proximity,"88,665.56","Advertising, Marketing & Media"
03/08/2017,IXIS IT LTD,"91,237.20",IT & Telecoms
07/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"94,253.52",Facilities
24/08/2017,CB Richard Ellis Ltd (GPP),"100,168.80",Professional Services
17/08/2017,Centum Learning Limited,"101,351.29","Travel, venue hire and exhibition services"
17/08/2017,?????,"102,224.66",Facilities
30/08/2017,Diverse Consulting Group,"104,721.31",Professional Services
15/08/2017,CGI IT UK Limited,"105,630.50",IT & Telecoms
07/08/2017,Al Manahil holding CO,"106,372.01",Facilities
24/08/2017,ERNST & YOUNG,"113,979.60",Professional Services
18/08/2017,PHOENIX SOFTWARE LTD,"133,836.58",IT & Telecoms
15/08/2017,CGI IT UK Limited,"155,493.79",IT & Telecoms
15/08/2017,CGI IT UK Limited,"163,852.14",IT & Telecoms
28/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"168,026.48",Facilities
07/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"178,013.90",Facilities
28/08/2017,Process Solutions Sp  z o o,"209,205.02",Professional Services
22/08/2017,WESTMINSTER COUNCIL -BUSINESS RATES,"232,588.87",Facilities
01/08/2017,NG Trend,"242,572.98",IT & Telecoms
15/08/2017,CB Richard Ellis Ltd (GPP),"315,531.72",Professional Services
