Newcastle City Council Invoices over £250 paid in May 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228356,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228358,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228363,Revenue,1KVWC,Minor Works Contracts,947.05 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228385,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228389,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228390,Revenue,1KVWC,Minor Works Contracts,"1,020.88 "
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,15/05/2014,A&J KEITH LTD,6241642,Revenue,1KBRM,Sub Contractors R & M,"162,275.46 "
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,14/05/2014,A&J KEITH LTD,6240127,Revenue,1KBRM,Sub Contractors R & M,"162,275.46 "
Children's Services,West Riverside S/Start           ,Premises,30/05/2014,A&S LOCKSMITHS,6255327,Revenue,1EEG1,W River CC Central Costs,275.60 
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,09/05/2014,A&S LOCKSMITHS,6234810,Revenue,1KL60,Parks,326.12 
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,09/05/2014,A&S LOCKSMITHS,6229272,Revenue,1KKX1,Civic Centre Direct Costs,428.00 
Chief Executive's,CD-Communications and Marketing  ,Supplies & Services,16/05/2014,AA GLOBAL LANGUAGES SERVICES LTD,6242166,Revenue,1FT08,Translation Unit,670.00 
HRA,HRA Planning QS            ,Premises,16/05/2014,AARAN BUILDERS (NE) LTD,6243054,Revenue,1HEOW,HRA O/W NHD Mngmnt Gen,"2,674.60 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",20/05/2014,ABBEYFIELD CASTLE FARM,6244923,Revenue,1MG20,Ind Res Care Elderly,-503.15 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/05/2014,ABBEYFIELD CASTLE FARM,6244923,Revenue,1MG20,Ind Res Care Elderly,"2,978.24 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",20/05/2014,ABBEYFIELD THE GROVE,6244914,Revenue,1MG20,Ind Res Care Elderly,"-2,080.48 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/05/2014,ABBEYFIELD THE GROVE,6244914,Revenue,1MG20,Ind Res Care Elderly,"5,542.96 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",20/05/2014,ABBEYMOOR,6244924,Revenue,1MM10,Ind Nursing Care MH,-458.70 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/05/2014,ABBEYMOOR,6244924,Revenue,1MG10,Ind Nursing Care Elderly,"3,462.52 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/05/2014,ABBEYMOOR,6244924,Revenue,1MM10,Ind Nursing Care MH,"2,010.56 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/05/2014,ABBEYMOOR,6244924,Revenue,1MM20,Ind Res Care MH,"4,000.00 "
Environment & Regeneration,CW School Security                     ,Premises,29/05/2014,ABEL ALARM COMPANY LTD,6254956,Revenue,1KJ94,Security Services Delegated,441.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253860,Revenue,1KJ94,Security Services Delegated,411.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253861,Revenue,1KJ94,Security Services Delegated,453.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253863,Revenue,1KJ94,Security Services Delegated,441.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253865,Revenue,1KJ94,Security Services Delegated,574.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253866,Revenue,1KJ94,Security Services Delegated,488.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253867,Revenue,1KJ94,Security Services Delegated,488.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253868,Revenue,1KJ94,Security Services Delegated,569.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253869,Revenue,1KJ94,Security Services Delegated,314.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253870,Revenue,1KJ94,Security Services Delegated,269.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253872,Revenue,1KJ94,Security Services Delegated,411.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253877,Revenue,1KJ94,Security Services Delegated,319.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253881,Revenue,1KJ94,Security Services Delegated,475.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253882,Revenue,1KJ94,Security Services Delegated,264.00 
Environment & Regeneration,CW School Security                     ,Premises,28/05/2014,ABEL ALARM COMPANY LTD,6253883,Revenue,1KJ94,Security Services Delegated,624.00 
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",20/05/2014,ABIGAIL HOUSE,6244925,Revenue,1MG20,Ind Res Care Elderly,"-10,335.21 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/05/2014,ABIGAIL HOUSE,6244925,Revenue,1MG20,Ind Res Care Elderly,"44,445.37 "
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,28/05/2014,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,6248826,Revenue,1V123,Blue Badge Applications,"1,719.90 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/05/2014,ACCEPT CARE,6238343,Revenue,1MK51,Ind Home-Per Care LD,-290.96 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/05/2014,ACCEPT CARE,6238343,Revenue,1MK50,Ind Supported Living LD,"1,817.20 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/05/2014,ACCEPT CARE,6238343,Revenue,1MK51,Ind Home-Per Care LD,"4,906.44 "
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,16/05/2014,ACCEPTUS IT LTD,6240033,Revenue,1CM00,IT Management & Admin,10.00 
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,16/05/2014,ACCEPTUS IT LTD,6240033,Revenue,1CM00,IT Management & Admin,930.00 
Environment & Regeneration,NS Localised Services      ,Supplies & Services,22/05/2014,ACCESS SOLUTIONS MASTER LOCKSMITHS,6247634,Revenue,1KW00,Localised Working O/H,326.98 
Environment & Regeneration,NS: Asset Man              ,Premises,20/05/2014,ACROL AIR CONDITIONING CO LTD,6244794,Revenue,1KL2A,Centre For Sport,"1,480.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/05/2014,ACTION FOR CHILDREN,6232148,Revenue,1MC22,IND Sector Foster Carer Costs,"14,456.00 "
Children's Services,Childrens Services Support       ,Third Party Payments,22/05/2014,ACTION FOR CHILDREN,6248833,Revenue,1MB04,Childrens Standards Unit,"1,703.78 "
Children's Services,Childrens Services Support       ,Third Party Payments,22/05/2014,ACTION FOR CHILDREN,6248835,Revenue,1MB04,Childrens Standards Unit,"5,187.50 "
Children's Services,Childrens Services Support       ,Third Party Payments,22/05/2014,ACTION FOR CHILDREN,6248836,Revenue,1MB04,Childrens Standards Unit,960.55 
Children's Services,Childrens Services Support       ,Third Party Payments,22/05/2014,ACTION FOR CHILDREN,6248837,Revenue,1MB04,Childrens Standards Unit,"4,740.14 "
Children's Services,Childrens Services Support       ,Third Party Payments,22/05/2014,ACTION FOR CHILDREN,6248838,Revenue,1MB04,Childrens Standards Unit,"1,118.26 "
Children's Services,Childrens Services Support       ,Third Party Payments,12/05/2014,ACTION FOR CHILDREN,6236565,Revenue,1MF12,Adoption Interagency,"1,194.00 "
Children's Services,Educ School Planning    ,Third Party Payments,30/05/2014,ACTION FOR CHILDREN,6255833,Revenue,1MF12,Adoption Interagency,"1,194.00 "
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,02/05/2014,ACTION ON HEARING LOSS,6228898,Revenue,1MH70,Phy Disability-Sensory Support,296.58 
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,19/05/2014,ACTION ON HEARING LOSS,6242355,Revenue,1MH70,Phy Disability-Sensory Support,932.00 
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",06/05/2014,ACTIVE HORIZONS LTD,6231010,Revenue,1MG20,Ind Res Care Elderly,-495.80 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/05/2014,ACTIVE HORIZONS LTD,6231010,Revenue,1MG20,Ind Res Care Elderly,"1,648.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/05/2014,ACTIVE HORIZONS LTD,6231010,Revenue,1MK20,Ind Res Care LD,728.57 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/05/2014,ACTIVE HORIZONS LTD,6231010,Revenue,1MK34,Shared Lives - Adult LD,"1,700.00 "
Adult and Culture,Adult Serv Finance         ,Transfer Payments,28/05/2014,ACTIVE TRAVEL,6237791,Revenue,1E+212,Transport Special,"1,330.00 "
Adult and Culture,Adult Serv Finance         ,Transfer Payments,28/05/2014,ACTIVE TRAVEL,6238015,Revenue,1E+212,Transport Special,"1,428.00 "
Adult and Culture,Adult Serv Finance         ,Supplies & Services,30/05/2014,ADASS TREASURY,6255151,Revenue,1MA01,Strategic Management,750.00 
Environment & Regeneration,NS: District Heating       ,Premises,02/05/2014,ADC ELECTRICAL CO LTD(F),6226751,Revenue,1KR05,District Heating,332.00 
Environment & Regeneration,NS: District Heating       ,Premises,28/05/2014,ADC ELECTRICAL CO LTD(F),6247263,Revenue,1KR05,District Heating,404.00 
Environment & Regeneration,NS: District Heating       ,Premises,28/05/2014,ADC ELECTRICAL CO LTD(F),6247264,Revenue,1KR05,District Heating,434.29 
Environment & Regeneration,NS: District Heating       ,Supplies & Services,01/05/2014,ADC ELECTRICAL CO LTD(F),6219042,Revenue,1KR8E,Build Surv Team,306.00 
Adult and Culture,Adult Serv Finance         ,Employees,30/05/2014,ADCS,6256034,Revenue,1MA01,Strategic Management,416.00 
Children's Services,Educ School Planning    ,Supplies & Services,27/05/2014,ADCS,6250560,Revenue,1E317,Management Secretariat,"2,351.25 "
Adult and Culture,Social Services                        ,Third Party Payments,15/05/2014,ADELPHI HOTEL,6241768,Revenue,1MH50,Ind Home Spot Pur PD,"1,360.00 "
Environment & Regeneration,NS: District Heating       ,Premises,21/05/2014,ADLER AND ALLAN LTD,6246159,Revenue,1KR8L,Wide District Heating,"2,073.50 "
Children's Services,Childrens Services Support       ,Third Party Payments,29/05/2014,ADOPTION UK,6255074,Revenue,1MF12,Adoption Interagency,527.75 
Children's Services,Childrens Services Support       ,Third Party Payments,28/05/2014,ADOPTION UK,6253845,Revenue,1MF12,Adoption Interagency,426.75 
Children's Services,Childrens Services Support       ,Third Party Payments,28/05/2014,ADOPTION UK,6253846,Revenue,1MF12,Adoption Interagency,435.00 
Children's Services,Childrens Services Support       ,Third Party Payments,28/05/2014,ADOPTION UK,6253847,Revenue,1MF12,Adoption Interagency,426.75 
Children's Services,Childrens Services Support       ,Third Party Payments,28/05/2014,ADOPTION UK,6253848,Revenue,1MF12,Adoption Interagency,538.88 
Children's Services,Educ Perf Mon              ,Premises,02/05/2014,ADT FIRE & SECURITY,6228473,Revenue,1E+217,Learning Development Imp Team,978.38 
Environment & Regeneration,NS: Asset Man              ,Premises,02/05/2014,ADT FIRE & SECURITY,6228975,Revenue,1KL17,Leisure Comm Building R&M,"1,170.53 "
Environment & Regeneration,NS: Asset Man              ,Premises,02/05/2014,ADT FIRE & SECURITY,6229001,Revenue,1KL1C,Outer West Pool,972.83 
Environment & Regeneration,NS: Asset Man              ,Premises,02/05/2014,ADT FIRE & SECURITY,6229018,Revenue,1KL17,Leisure Comm Building R&M,"1,257.36 "
Environment & Regeneration,NS: Asset Man              ,Premises,15/05/2014,ADT FIRE & SECURITY,6241325,Revenue,1HP01,Comm. Centres - Citywide,343.79 
Environment & Regeneration,NS: Asset Man              ,Premises,20/05/2014,ADT FIRE & SECURITY,6236264,Revenue,1HP01,Comm. Centres - Citywide,269.92 
Environment & Regeneration,NS: Asset Man              ,Premises,20/05/2014,ADT FIRE & SECURITY,6238825,Revenue,1VH22,Temporary Accommodation Prem,264.00 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236259,Revenue,1FRA3,CSC Denton,910.09 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236260,Revenue,1HP01,Comm. Centres - Citywide,356.79 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236262,Revenue,1HP01,Comm. Centres - Citywide,524.51 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236265,Revenue,1KL17,Leisure Comm Building R&M,880.63 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236266,Revenue,1FRAE,Shieldfield,"1,466.89 "
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236269,Revenue,1HP01,Comm. Centres - Citywide,637.18 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236289,Revenue,1HP01,Comm. Centres - Citywide,698.73 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236290,Revenue,1EPYK,Lillia Youth Centre,541.54 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236291,Revenue,1KL17,Leisure Comm Building R&M,554.09 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236294,Revenue,1EEK1,Fenham Childrens Centre,284.91 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236295,Revenue,1KL2F,Scotswood Sport Centre,261.00 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236296,Revenue,1FRAM,Brian Roycroft,437.26 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236321,Revenue,1EPEA,Galafield,449.12 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236340,Revenue,1HP01,Comm. Centres - Citywide,817.01 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236341,Revenue,1MX01,Welford Centre,572.22 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236367,Revenue,1KL1D,East End Pool,666.30 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236368,Revenue,1FRA3,CSC Denton,307.42 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236369,Revenue,1HP53,Comm. Centres - Nth Kenton,441.68 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236370,Revenue,1HP01,Comm. Centres - Citywide,290.78 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236371,Revenue,1KL2A,Centre For Sport,487.54 
Environment & Regeneration,NS: Asset Man              ,Premises,12/05/2014,ADT FIRE & SECURITY,6236372,Revenue,1KL17,Leisure Comm Building R&M,346.36 
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2014,ADT FIRE & SECURITY,6227870,Revenue,1DR03,Grainger Market,"1,122.66 "
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2014,ADT FIRE & SECURITY,6227872,Revenue,1V080,Private Developers s106,"1,006.55 "
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2014,ADT FIRE & SECURITY,6227873,Revenue,1DV05,Jesmond Road offices,744.42 
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2014,ADT FIRE & SECURITY,6227874,Revenue,1V080,Private Developers s106,387.79 
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2014,ADT FIRE & SECURITY,6227876,Revenue,1DT15,Chillingham Rd Ind Est,375.98 
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2014,ADT FIRE & SECURITY,6227880,Revenue,1FN02,Mansion House,347.98 
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2014,ADT FIRE & SECURITY,6227885,Revenue,1DF10,Theatre Royal Contribution,"2,272.11 "
HRA,HRA Planning QS            ,Premises,29/05/2014,ADT FIRE & SECURITY,6249012,Revenue,1HBTC,Planned Tech Maintenance,545.00 
HRA,Family Project             ,Premises,12/05/2014,ADT FIRE & SECURITY,6237124,Revenue,1YN05,Family Intervention Project,"2,465.62 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/05/2014,ADVANCED CHILDCARE GROUP,6232161,Revenue,1MC12,Section 31A High Care Needs,"12,540.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/05/2014,ADVANCED CHILDCARE GROUP,6232162,Revenue,1MC02,Ind Sector Placements,"12,540.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/05/2014,ADVANCED CHILDCARE GROUP,6232159,Revenue,1MC02,Ind Sector Placements,"12,540.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/05/2014,ADVANCED CHILDCARE GROUP,6232160,Revenue,1MC02,Ind Sector Placements,"4,131.43 "
Environment & Regeneration,NS: District Heating       ,Premises,28/05/2014,ADVANCED WATER TECHNOLOGIES,6254115,Revenue,1KR05,District Heating,"1,365.00 "
Environment & Regeneration,Fleet Management System                ,Supplies & Services,20/05/2014,AEBI SCHMIDT UK LTD,6240404,Revenue,3KES1,Fleetmaster Stores Account,862.27 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,22/05/2014,AEBI SCHMIDT UK LTD,6240405,Revenue,3KES1,Fleetmaster Stores Account,323.78 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,23/05/2014,AEBI SCHMIDT UK LTD,6240406,Revenue,3KES1,Fleetmaster Stores Account,343.50 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,16/05/2014,AEBI SCHMIDT UK LTD,6226599,Revenue,3KES1,Fleetmaster Stores Account,635.09 
Adult and Culture,Adult Serv Finance         ,Third Party Payments,22/05/2014,AGE UK NEWCASTLE,6248501,Revenue,1MG50,Ind Home Spot Pur Elderly,422.17 
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/05/2014,AGE UK NEWCASTLE,6233727,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/05/2014,AGE UK NEWCASTLE,6234961,Revenue,1MH50,Ind Home Spot Pur PD,"1,848.54 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/05/2014,AGE UK NEWCASTLE,6235127,Revenue,1MH50,Ind Home Spot Pur PD,273.84 
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/05/2014,AGE UK NEWCASTLE,6235213,Revenue,1MH50,Ind Home Spot Pur PD,"7,303.36 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/05/2014,AGE UK NEWCASTLE,6236526,Revenue,1MH50,Ind Home Spot Pur PD,"1,665.88 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/05/2014,AGE UK NEWCASTLE,6244142,Revenue,1MH50,Ind Home Spot Pur PD,"1,312.15 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28/05/2014,AGE UK NEWCASTLE,6253738,Revenue,1MH50,Ind Home Spot Pur PD,"7,074.20 "
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/05/2014,AGE UK NEWCASTLE,6234991,Revenue,1MG55,Extra Care Housing,"20,989.50 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,15/05/2014,AGE UK NEWCASTLE,6241709,Revenue,1MG60,Ind Day Care Elderly,"20,698.16 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,15/05/2014,AGE UK NEWCASTLE,6241709,Revenue,1MG88,Get Up And Go Older People,"3,209.08 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,15/05/2014,AGE UK NEWCASTLE,6241709,Revenue,1FA23,Support To Elders Council,"10,480.12 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/05/2014,AGE UK NEWCASTLE,6238327,Revenue,1MG50,Ind Home Spot Pur Elderly,"1,905.70 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/05/2014,AGE UK NEWCASTLE,6238327,Revenue,1MH50,Ind Home Spot Pur PD,"10,856.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/05/2014,AGE UK NEWCASTLE,6238327,Revenue,1MM50,Ind Home - Spot Pur MH,200.60 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/05/2014,AGE UK NEWCASTLE,6238393,Revenue,1MG51,Ind Home Per Care Elderly,"57,119.15 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/05/2014,AGE UK NEWCASTLE,6238393,Revenue,1MH50,Ind Home Spot Pur PD,"5,189.85 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/05/2014,AGE UK NEWCASTLE,6238393,Revenue,1MK51,Ind Home-Per Care LD,443.97 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/05/2014,AGE UK NEWCASTLE,6238393,Revenue,1MM50,Ind Home - Spot Pur MH,"1,430.82 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/05/2014,AK CHILDCARE LTD,6232163,Revenue,1MC02,Ind Sector Placements,"11,200.00 "
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,02/05/2014,AKW MEDI-CARE LTD,6215626,Revenue,1KBAA,Building Contracts,720.12 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,02/05/2014,AKW MEDI-CARE LTD,6228901,Revenue,1KBAA,Building Contracts,300.69 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,02/05/2014,AKW MEDI-CARE LTD,6228902,Revenue,1KBAA,Building Contracts,543.18 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,02/05/2014,AKW MEDI-CARE LTD,6215626,Revenue,1KBAA,Building Contracts,8.04 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,02/05/2014,AKW MEDI-CARE LTD,6228901,Revenue,1KBAA,Building Contracts,217.73 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,08/05/2014,AKW MEDI-CARE LTD,6230485,Revenue,1KBAA,Building Contracts,8.04 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,08/05/2014,AKW MEDI-CARE LTD,6230485,Revenue,1KBAA,Building Contracts,535.14 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,13/05/2014,AKW MEDI-CARE LTD,6233342,Revenue,1KBAA,Building Contracts,339.50 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,29/05/2014,AKW MEDI-CARE LTD,6253715,Revenue,1KBAA,Building Contracts,329.33 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,29/05/2014,AKW MEDI-CARE LTD,6253714,Revenue,1KBAA,Building Contracts,440.21 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,29/05/2014,AKW MEDI-CARE LTD,6253715,Revenue,1KBAA,Building Contracts,209.74 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,09/05/2014,AKW MEDI-CARE LTD,6229091,Revenue,1KBAA,Building Contracts,355.21 
