TRANSACTION DATE,MERCHANT NAME,TRANSACTION AMOUNT,ENTITY,DETAILS
18/02/2013,CHARTERED FINANCIAL ANALYST (CFA) INSTITUTE,£675.86,HM TREASURY,TRAINING COURSE FEES
18/02/2013,BPP PROFESSIONAL EDUCATION,"£1,335.00",DEBT MANAGEMENT OFFICE,TRAINING COURSE FEES
19/02/2013,VIRGIN ATLANTIC,£551.77,HM TREASURY,AIR TRAVEL
19/02/2013,HUMANWARE LTD,"£1,029.00",HM TREASURY,IT/OFFICE EQUIPMENT PURCHASE 
20/02/2013,EUROSTAR ,£509.90,HM TREASURY,RAIL TRAVEL
20/02/2013,DEPARTMENT OF WORKING,£775.00,HM TREASURY,TRAVEL MANAGEMENT FEES
21/02/2013,DELL PRODUCT,"£1,729.20",DEBT MANAGEMENT OFFICE,IT/OFFICE EQUIPMENT PURCHASE 
21/02/2013,SKYGUARD LTD,£720.00,HM TREASURY,SOFTWARE PURCHASE - £5K 
21/02/2013,OPEN UNIVERSITY FINANCE MOTO,£735.00,HM TREASURY,TRAINING COURSE FEES
22/02/2013,BRITISH AIRWAYS,£566.89,HM TREASURY,AIR TRAVEL
22/02/2013,QA-IQ LTD,£804.00,HM TREASURY,TRAINING COURSE FEES
22/02/2013,QA-IQ LTD,£804.00,HM TREASURY,TRAINING COURSE FEES
25/02/2013,ICELANDAIR,£743.05,HM TREASURY,AIR TRAVEL
25/02/2013,BRITISH AIRWAYS,"£5,309.65",HM TREASURY,AIR TRAVEL
25/02/2013,EUROSTAR ,£509.90,HM TREASURY,RAIL TRAVEL
25/02/2013,EUROSTAR ,£509.90,HM TREASURY,RAIL TRAVEL
25/02/2013,EUROSTAR ,£509.90,HM TREASURY,RAIL TRAVEL
25/02/2013,BRITANNIA MOVERS INTERNATIONAL,"£2,400.00",HM TREASURY,STAFF REMOVALS - OVERSEAS
26/02/2013,EUROSTAR ,£509.90,HM TREASURY,RAIL TRAVEL
26/02/2013,EUROSTAR ,£509.90,HM TREASURY,RAIL TRAVEL
26/02/2013,OFFICE FOR NATIONAL STATISTICS,"£1,532.40",HM TREASURY,TRAINING COURSE FEES
26/02/2013,CENTRAL LAW,"£1,770.00",HM TREASURY,TRAINING COURSE FEES
27/02/2013,VIRGIN ATLANTIC,"£1,264.89",HM TREASURY,AIR TRAVEL
27/02/2013,BRITISH AIRWAYS,"£2,720.65",HM TREASURY,AIR TRAVEL
27/02/2013,BPP PROFESSIONAL DEVELOPMENT,£588.00,HM TREASURY,TRAINING COURSE FEES
27/02/2013,INTERNATIONAL CAPITAL MARKET ASSOCIATION (ICMA),£780.00,DEBT MANAGEMENT OFFICE,TRAINING COURSE FEES
28/02/2013,VIRGIN ATLANTIC,"£2,458.65",HM TREASURY,AIR TRAVEL
28/02/2013,KAPLAN FINANCIAL LTD,£510.00,HM TREASURY,TRAINING COURSE FEES
,,,,
