ExtractDate,OrganisationURI,OrganisationLabel,TitileOfOpportunity,StartDate,EndDate,PortfolioHolder,Description,ReviewDate,Extension(IfApplicable),EstimatedValue£,ProcurementProcess,DecisionRoute,ContractType,Status,Approved,Comments,ItemType,Path
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Castle Dairy - Flood remedial works - Consultant,25/11/2016,31/03/2018,Peter Thornton,"
?Appointment of design consultant to undertake design and contract managment for the project",31/03/2017,N/A,10-100K,NEPRO,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Development Delivery Advisory Partner,01/04/2017,31/03/2020,Graham Vincent,"
?Provide development delivery advice that can be accessed quickly without the bneed to procure each individual piece of advice. this will allow the council the react quickly to opportunities that can support growth with a partner that has unique expertise in the local area.",31/03/2018,N/A,10-100K,Exemption,Administration,New Contract,Not Started,FALSE,"
?Seeking to put an agreement in place with LSH as additional work",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Disabled Facilities Grants,01/04/2017,01/04/2020,Jonathon Brook,"
To carry out adaptions to disabled peoples accomodation under the grant scheme",01/04/2019,N/A,100K-OJEU,Tender,Cabinet,New Contract,Not Started,TRUE,"
?Now a Collaborative contract led by Carlisle City Council either 3 or 4 year contract.",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Electrical Supply Upgrade - Kendal Market Place - Electrical Contractor,25/11/2016,31/03/2018,Peter Thornton,"
?Appointment of Electrical contractor to complete the repair and cleaning of the stonework to the main elevation",,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Electrical Testing,01/10/2017,30/09/2020,Peter Thornton,"
Periodic testing to IEE regulations and PAT testing",,N/A,10-100K,Tender,Administration,New Contract,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Electricity Supply upgrade - Kendal Market Place - Consultant,25/11/2016,31/03/2018,Peter Thornton,"
?Appointment of Engineering Consultant to undertake design and contract management for the project",31/03/2017,N/A,<10K,NEPRO,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Energy Saving Enhancements - Mint works solar panelling - consultant appointment,25/11/2016,31/03/2018,Peter Thornton,"
?Appointment of design consultant to undertake design and contract management for this project",31/03/2017,N/A,<10K,LSH Additional Work,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Energy Saving Enhancments - Mint works solar panelling - Electrical Contractor,01/04/2017,31/03/2019,Peter Thornton,"
?Appointment of Building Contractor to complete solar panel installation and connection",31/03/2017,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,External Audit,31/08/2018,01/09/2020,Peter Thornton,"
Provision to carry out the external audit function for SLDC",01/09/2019,2 Years,10-100K,Tender,Delegated Executive Decision,Contract Renewal,Not Started,FALSE,"
?Report going to Coincil on 15 December to join a government approved collaborative External Audit Procurement.",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Fire and Intruder Alarms,16/08/2017,15/08/2020,Peter Thornton,"
Service contract for Fire, Security Alarms, CCTV and Emergency Lighting.",15/08/2019,2 Years,10-100K,Tender,Administration,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Fire and Security Services,01/08/2017,31/07/2020,Peter Thornton,"
Provision of Fire and Security Services in all SLDC Buildings",31/07/2018,N/A,10-100K,Quotes,Administration,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Flood Impact Works (Rothay Park) - Consultant,25/11/2016,31/03/2019,Peter Thornton,"
?Appointment of a design consultant for the design and contract management for this project",31/03/2018,N/A,10-100K,LSH Additional Work,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Flood Impact works at Rothay Park - Building Contractor Appointment,01/04/2017,31/03/2019,Peter Thornton,"
?Appotintment of an EA apporved contractor to complete the works",31/03/2018,N/A,100K-OJEU,Tender,Cabinet,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Former Knitwear Factory Demolition - Building Contractor,01/04/2017,31/03/2019,Peter Thornton,"
?Appointment of demolition company to undertake the work",31/03/2018,N/A,100K-OJEU,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Former Knitwear Factory Demolition (Ulverston Depot) - Consultant ,25/11/2016,31/03/2019,Peter Thornton,"
?Appointment of design consultant to undertake design and contract management of the project",31/03/2018,N/A,10-100K,LSH Additional Work,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Handyperson Scheme,01/04/2017,31/03/2020,Jonathon Brook,"
To carry out the handyperson scheme for vulnerable people.",31/03/2019,N/A,10-100K,Tender,Cabinet,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,HR/ Payroll System,01/03/2017,29/02/2020,Sue Sanderson,Extension of existing contract,01/03/2019,N/A,10-100K,Exemption,Administration,Contract Renewal,Not Started,,Extension of existing contract,,
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,IT Security,01/06/2017,31/05/2020,David Fletcher,"
Security for the IT Systems",31/05/2016,N/A,10-100K,Framework,Administration,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Castle Stonework Repair,01/04/2017,31/03/2018,Peter Thornton,"
Conservation repairs to Kendal Castle",,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Leisure Centre Maintenance Works - Building Contractor Appointment,01/04/2017,31/03/2019,Peter Thornton,"
?Appointment of a Building Contractor to complete the remodelling/ refurbishment works",31/03/2018,N/A,100K-OJEU,Tender,Cabinet,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Leisure Centre Maintenance Works - Consultant,25/11/2016,31/03/2019,Peter Thornton,"
?Appointment of a design consultant for the design and contract managment for the project",,N/A,10-100K,LSH Additional Work,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Museum Internal remodelling/ alterations - Consultant,25/11/2016,31/03/2018,Peter Thornton,"
?Appointment of design consultant to undertake design and contract management for this project",31/03/2017,N/A,10-100K,LSH Additional Work,Administration,One-off,Not Started,FALSE,"
?",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Museum internal remodelling/ refurbishment works,01/04/2017,31/03/2019,Peter Thornton,"
?Appointiment of Building Contractor to complete remodelling / refurbishment works",31/03/2017,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Museum Roof Repairs,01/04/2017,31/03/2018,Peter Thornton,"
Various roofing, timber and rainwater goods repairs to the Museum",,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Museum Structural Repairs,01/04/2017,31/03/2018,Peter Thornton,"
Repairs to flying outrigger extension to the rear of the museum",,N/A,10-100K,Tender,Administration,One-off,Not Started,TRUE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Kendal Parks, Kendal Playground Improvements",01/04/2017,31/03/2018,David Fletcher,"
?Improvements to the Playground at Kendal Parks, Kendal",,N/A,10-100K,Framework,Administration,One-off,Not Started,FALSE,"
?Use of ESPO framework",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Parkside Cemetery Roof Repairs,01/04/2017,31/03/2018,Peter Thornton,"
Reroofing to old chapel",,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Public Realm - Groundworks and landscaping - Building Contractor,01/04/2017,31/03/2019,Peter Thornton,"
?Appointment of Building Contractor to complete the remodelling/refurbishment works",31/03/2018,N/A,100K-OJEU,Tender,Delegated Executive Decision,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Public Realm - Groundworks and Landscaping - Consultant,25/11/2016,31/03/2019,Peter Thornton,"
?Appointment of a Highways consultant to undertake design and contract management of the project",31/03/2018,N/A,10-100K,NEPRO,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Town Hall Stonework repairs and cleaning - Building Contractor,25/11/2016,31/03/2019,Peter Thornton,"
?Appointment of Building Contractor to complete the repair and cleaning of the stonework to the main elevation",31/03/2018,N/A,100K-OJEU,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kendal Town Hall stonework repairs and cleaning - Consultant Appointment,25/11/2016,31/03/2019,Peter Thornton,"
?Appointment of design consultant to undertake design and contract management for the project",31/03/2018,N/A,10-100K,LSH Additional Work,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Kents Bank (Grange and Low Fold (Ambleside) Car Park re-surfacing - Building contractor,25/11/2016,31/03/2019,Giles Archibald,"
?Appointment of surfacing contractor to complete the re-surfacing works",31/03/2018,N/A,100K-OJEU,Tender,Delegated Executive Decision,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Kents Bank Road, Grange and Low Fold Ambleside car park resurfacing - Consultant",25/11/2016,31/03/2018,Peter Thornton,"
?Appointment of a design consultant to undertake the design and contract management of the project.",31/03/2017,N/A,<10K,LSH Additional Work,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Lift Maintenance,01/06/2017,31/03/2020,Peter Thornton,Service Contract for Lift Maintenance,31/03/2019,2 Years,10-100K,Tender,Administration,New Contract,Not Started,FALSE,Contract expired in 2015 and has rolled over annually. This was agreed until the future of certain buildings was agreed.,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Lightburn Park, Ulverston - Masterplan Phase 1 - Pathways",01/04/2017,31/03/2018,David Fletcher,"
?Lightburn Park, Ulverston Materplan Phase 1 - Pathways",,N/A,10-100K,Quotes,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Lightburn Park, Ulverston, Phase 1 masterplan implementation - Playground Equipment",01/04/2017,31/03/2018,David Fletcher,"
?Implementation of Phase 1 of the Lightburn Park, Ulverston masterplan - Playground Equipment",,N/A,10-100K,Framework,Administration,One-off,Not Started,FALSE,"
?Use ESPO",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Lowther Street Roofing Repairs,01/04/2017,31/03/2018,Peter Thornton,"
Reroofing of Lowther Street elevation of the Lowther Street Offices",,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Maryfell Playground, Sedbergh improvements",01/04/2017,31/03/2018,David Fletcher,"
?Improvements to the playground at Maryfell, Sedbergh",,N/A,10-100K,Framework,Administration,One-off,Not Started,FALSE,"
?Use ESPO Framework",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Merchant Acquisition Services,05/06/2018,02/01/2019,Peter Thornton,"
To receive payments by credit and debit cards",02/01/2018,1 Year,100K-OJEU,Framework,Administration,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Millerground, Windermere Pathway improvements",01/04/2017,31/03/2018,David Fletcher,"
?Pathway and Access improvements at Millerground, Windermere",,N/A,10-100K,Quotes,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Millerground, Windermere Playground  Improvements",01/04/2017,31/03/2018,David Fletcher,"
?Plyground and Path improvements at Millerground, Windermere",,N/A,100K-OJEU,Framework,Administration,One-off,Not Started,FALSE,"
?Use ESPO Framework",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Mobile Device Managment Solution,01/02/2017,31/01/2019,Jonathon Brook,"
?Purchase of a mobile working email security solution to allow for management of mobile devices and the email * applications on the device.",30/11/2018,1 Year,10-100K,Quotes,Delegated Executive Decision,One-off,Not Started,FALSE,"
?Joint procurement with Eden",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,North Lonsdale Road Depot Asbestos Removal,01/04/2016,31/03/2017,Peter Thornton,"
Removal of asbestos from Ashleigh and Rock Building",,N/A,10-100K,Tender,Administration,One-off,Not Started,TRUE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Occupational Health,01/04/2017,31/03/2018,Sue Sanderson,"
Provision of Occupational Health Services",30/09/2017,2 Years,10-100K,Framework,Administration,New Contract,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Procurement Cards,01/04/2017,02/01/2019,Peter Thornton,"
Government procurement cards for use by SLDC staff",02/01/2018,1 Year,<10K,Framework,Administration,Contract Renewal,Not Started,FALSE,"
?To align with renewal of the banking contract",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Queens Park, Windermere Football Pitch Improvements",01/04/2017,31/03/2018,David Fletcher,"
?To improve the Football Pitch at Queens Park, Windermere",,N/A,10-100K,Quotes,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Recycling Bring Sites,01/10/2017,30/09/2020,David Fletcher,"
Managing the SLDC recycling bring sites",01/10/2019,1 Year,>OJEU,OJEU,Cabinet,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Replacement of existing energy distribution retracable power bollards,30/11/2016,03/03/2017,Graham Vincent,"
?Specialist consultants to design and manage the replacement of 3 energy distribution retracable power bollard in Kendal Market Place",,N/A,10-100K,NEPRO,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Replacement of Waterhead Public Jetty - Building Contractor,01/04/2017,31/03/2019,Peter Thornton,"
?To replace Waterhead public jetty",31/03/2018,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Replacement of Waterhead public Jetty - Consultant,25/11/2016,31/03/2019,Peter Thornton,"
?Appointment of a design consultant to undertake desgin and contract managment for the project",31/03/2018,N/A,<10K,LSH Additional Work,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Revenues and Benefits Software,01/04/2017,31/03/2022,Peter Thornton,"
Provision of software for Revenues and Benefits",31/03/2020,,>OJEU,OJEU,Cabinet,New Contract,Not Started,FALSE,"
?Market Testing started.",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Roof Anchors maintenance,01/04/2017,31/03/2018,Peter Thornton,"
?Maintenance of Roof anchors",,N/A,10-100K,Quotes,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Security Services for Town View Fields,01/06/2016,31/05/2018,Jonathon Brook,"
Static security for Town View Fields Homeless Hostel",31/12/2016,1 Year x 2,100K-OJEU,Tender,Cabinet,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Service Risers ,01/04/2017,31/03/2018,Peter Thornton,"
?Maintenance of Service Risers",,N/A,10-100K,Quotes,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Sewerage Pump Maintenance,01/04/2017,31/03/2021,Peter Thornton,"
Provision of Sewerage Pump Maintenance",,N/A,<10K,Quotes,Delegated Executive Decision,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,South Lakeland House Car Park Structural Repair - Building Contractor Appointment,01/04/2017,31/03/2019,Peter Thornton,"
?Appointment of Building Contractor To Complete Structral repairs for the next 5 year period",31/03/2018,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,South Lakeland House Car Park Structural Repair - Consultant Appointment,01/04/2017,31/03/2019,Peter Thornton,"
?Appointment of a Structural Engineering consultant to undertake design and contract management service for the project ",31/03/2018,N/A,<10K,Waiver,Administration,One-off,Not Started,FALSE,"
?LSH additional works",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,South Lakeland Wi-Fi Scheme,01/11/2016,31/10/2026,Graham Vincent,"
Continuation and extension of the South Lakeland town centre Wi-Fi scheme",30/07/2025,5 Years,>OJEU,OJEU,Cabinet,Concession Contract,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Town View Fields - Remodel and reburbishment of part of the unit - Consultant,25/11/2016,31/03/2019,Peter Thornton,"
?Appointment of design consultant to undertake the design and contract management service for this project",31/03/2018,N/A,10-100K,NEPRO,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Town View Fields - Remodel and refurbishment part unit - Building Contractor,01/04/2017,31/03/2019,Peter Thornton,"
?Appoitment of Building Contractor to complete the remodelling/refurbishment works",31/03/2018,N/A,100K-OJEU,Tender,Delegated Executive Decision,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Town View Fields External Decoration,01/04/2016,31/03/2018,Peter Thornton,"
Redecoration of external area of Town View Fields",,N/A,10-100K,Tender,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Treasury Management Advice,01/04/2018,31/03/2021,Peter Thornton,"
?To provide advice on credit worthiness, debt management, investment and technical issues. Provide economic overviews and staff training",01/01/2020,N/A,10-100K,Quotes,Administration,Contract Renewal,Not Started,FALSE,"
?Value £23,100",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Vehicle - 1 X Roadsweeper,01/04/2017,31/03/2018,David Fletcher,"
?Purchase of 1 Road sweeper",,N/A,100K-OJEU,Framework,Administration,One-off,Not Started,FALSE,"
?Purchase through the YPO Framework",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Vehicle - 7 x Refuse Vehicles,01/04/2017,31/03/2018,David Fletcher,"
?Purchase of 7 Refuse Vehicles",,N/A,>OJEU,Framework,Administration,One-off,Not Started,FALSE,"
?Purchase through the YPO Framework",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Vehicles 2 X Refuse vehicles,01/04/2017,31/03/2018,David Fletcher,"
?Purchase of 2 Refuse vehicles",,N/A,100K-OJEU,Framework,Administration,One-off,Not Started,FALSE,"
?Purchase through the YPO framework.",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Waste Collection, Recycling and Street Collection",01/04/2010,31/03/2018,David Fletcher,"
Waste Collection, Recycling and Street Collection",,7 Years,>OJEU,OJEU,Cabinet,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Weed Control Programme,01/04/2017,30/09/2018,David Fletcher,"
Provision of the weed control programme within the South Lakeland area.",30/09/2015,N/A,10-100K,Tender,Delegated Executive Decision,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
