Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount
DWP,HEALTH AND SAFETY EXECUTIVE,22/02/2011,LEGAL COSTS,SOLICITORS,THE TREASURY SOLICITOR,"=""0010168222""",116318.00
DWP,HEALTH AND SAFETY EXECUTIVE,24/02/2011,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010168239""",56747.91
DWP,HEALTH AND SAFETY EXECUTIVE,24/02/2011,GPC  PURCHASES,CENTRAL EXPENDITURE,BARCLAYS BANK PLC,"=""0010168240""",502033.38
DWP,HEALTH AND SAFETY EXECUTIVE,24/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OVE ARUP & PARTNERS LIMITED,"=""0010168251""",22690.00
DWP,HEALTH AND SAFETY EXECUTIVE,28/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OECD - NUCLEAR ENERGY AGENCY,"=""0010168357""",58870.00
DWP,HEALTH AND SAFETY EXECUTIVE,28/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OECD NUCLEAR ENERGY AGENCY,"=""0010168358""",37698.00
DWP,HEALTH AND SAFETY EXECUTIVE,28/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OECD - NUCLEAR ENERGY AGENCY,"=""0010168359""",25383.00
DWP,HEALTH AND SAFETY EXECUTIVE,28/02/2011,RESEARCH,NUCLEAR SAFETY DIRECTORATE,STUDSVIK NUCLEAR AB,"=""0010168368""",45152.90
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,REGIONAL PRESS OFFICE SUPPORT,COMMUNICATION DIRECTORATE,CENTRAL OFFICE OF INFORMATION,"=""0020108153""",61901.48
DWP,HEALTH AND SAFETY EXECUTIVE,10/02/2011,PROVISION OF INFORMATION ADVICE & GUIDANCE,COMMUNICATION DIRECTORATE,IPSOS MORI,"=""0020108204""",36938.00
DWP,HEALTH AND SAFETY EXECUTIVE,17/02/2011,DISTRIBUTION,COMMUNICATION DIRECTORATE,PROLOG (PROMOTIONAL LOGISTICS LTD),"=""0020108231""",36537.57
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,RESEARCH,CHIEF SCIENTIFIC ADVISORS GROUP,GFK NOP LIMITED,"=""0070001896""",75000.00
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,REACTIVE SUPPORT HSE,FIELD OPERATIONS DIRECTORATE,IC CONSULTANTS LTD,"=""0070001901""",51900.00
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,AMEC NUCLEAR UK LIMITED,"=""0070001906""",29181.65
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,ABS CONSULTING LTD,"=""0070001910""",21386.49
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2011,RESEARCH,HAZARDOUS INSTALLATIONS DIRECTORATE,ESR TECHNOLOGY LTD,"=""0070001915""",34509.91
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,JACOBSEN ENGINEERING LTD,"=""0070001924""",30891.04
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,RESEARCH,CHIEF SCIENTIFIC ADVISORS GROUP,OFFICE FOR NATIONAL STATISTICS,"=""0070001930""",48111.00
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,RESEARCH,CROSS CUTTING INTERVENTIONS DIRECTORATE,OLYMPIC DELIVERY AUTHORITY,"=""0070001932""",50000.00
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,RESEARCH,HAZARDOUS INSTALLATIONS DIRECTORATE,CAMBRIDGE ECONOMIC POLICY ASSOCIATES LTD,"=""0070001935""",31435.35
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,AMEC NUCLEAR UK LIMITED,"=""0070001941""",24112.51
DWP,HEALTH AND SAFETY EXECUTIVE,15/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,NATURAL ENVIRONMENT RESEARCH COUNCIL,"=""0070001958""",30000.00
DWP,HEALTH AND SAFETY EXECUTIVE,17/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,NATIONAL NUCLEAR LABORATORY,"=""0070001962""",35000.00
DWP,HEALTH AND SAFETY EXECUTIVE,22/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OVE ARUP & PARTNERS LIMITED,"=""0070001988""",27041.83
DWP,HEALTH AND SAFETY EXECUTIVE,22/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,FRAZER NASH,"=""0070001990""",155719.99
DWP,HEALTH AND SAFETY EXECUTIVE,24/02/2011,RESEARCH,HAZARDOUS INSTALLATIONS DIRECTORATE,CAMBRIDGE ECONOMIC POLICY ASSOCIATES LTD,"=""0070001992""",30622.10
DWP,HEALTH AND SAFETY EXECUTIVE,24/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,UNIVERSITY OF BIRMINGHAM,"=""0070002003""",42788.00
,,,,,,,
