Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,VTS,19/09/2014,Mileage UK,Board Cost,Board member expenses,2100104878,261
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Board Cost,Board member expenses,2100104878,13.83
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Board Cost,Board member expenses,2100104878,2.88
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Board Cost,Board member expenses,2100104878,9.2
Communities & Local Government,VTS,19/09/2014,Office Supplies,Operational,X M A LTD,2100104899,264.32
Communities & Local Government,VTS,25/09/2014,Meeting Expenses,Operational,Staff Expenses,2100104918,6.9
Communities & Local Government,VTS,25/09/2014,Mileage UK,Operational,Staff Expenses,2100104918,161.1
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104918,7.5
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104918,78.7
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104918,5.99
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104918,5
Communities & Local Government,VTS,25/09/2014,Mileage UK,Operational,Staff Expenses,2100104919,261.9
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104919,93.13
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104919,5
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104919,16.5
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104919,40
Communities & Local Government,VTS,25/09/2014,Capital Project,Information Technology,VALUATION OFFICE AGENCY,2100104941,"85,000.00"
Communities & Local Government,VTS,25/09/2014,Software Licences,Information Technology,ULTIMA BUSINESS SOLUTIONS,2100104944,"5,940.00"
Communities & Local Government,VTS,25/09/2014,Agency Staff,Human Resources,MICHAEL PAGE INTERNATIONAL,2100104952,864
Communities & Local Government,VTS,25/09/2014,Meeting Expenses,Operational,Staff Expenses,2100104965,2.49
Communities & Local Government,VTS,25/09/2014,Mileage UK,Operational,Staff Expenses,2100104965,380.25
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104965,16
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104965,44.4
Communities & Local Government,VTS,25/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104965,28.47
Communities & Local Government,VTS,25/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104975,2.2
Communities & Local Government,VTS,25/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104975,6.84
Communities & Local Government,VTS,25/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104975,12.54
Communities & Local Government,VTS,25/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104975,35
Communities & Local Government,VTS,25/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104975,7.45
Communities & Local Government,VTS,25/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104975,4.35
Communities & Local Government,VTS,25/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104975,28.21
Communities & Local Government,VTS,25/09/2014,Temporary Accommodation,Operational,HOLIDAY INN,2100104983,200
Communities & Local Government,VTS,25/09/2014,Temporary Accommodation,Operational,HOLIDAY INN,2100104983,125
Communities & Local Government,VTS,25/09/2014,Meeting Expenses,Operational,BEST WESTERN CALCOT HOTEL,2100104984,10
Communities & Local Government,VTS,25/09/2014,Temporary Accommodation,Operational,BEST WESTERN CALCOT HOTEL,2100104984,165
Communities & Local Government,VTS,25/09/2014,Temporary Accommodation,Operational,BEST WESTERN CALCOT HOTEL,2100104984,165
Communities & Local Government,VTS,25/09/2014,Temporary Accommodation,Operational,KENT COUNTY COUNCIL,2100104988,821.6
Communities & Local Government,VTS,25/09/2014,Temporary Accommodation,Operational,KENT COUNTY COUNCIL,2100104989,919.68
Communities & Local Government,VTS,25/09/2014,Support services,Chief Executive's Resource,HYMANS ROBERTSON,2100104996,"7,350.00"
Communities & Local Government,VTS,25/09/2014,Support services,Chief Executive's Resource,HYMANS ROBERTSON,2100104997,"11,184.00"
Communities & Local Government,VTS,26/09/2014,Agency Staff,Human Resources,MICHAEL PAGE INTERNATIONAL,2100104998,864
Communities & Local Government,VTS,26/09/2014,Agency Staff,Human Resources,MICHAEL PAGE INTERNATIONAL,2100104999,"2,700.00"
Communities & Local Government,VTS,26/09/2014,Communication Telecom Costs,Information Technology,BT GLOBAL,2100105000,"1,689.72"
Communities & Local Government,VTS,26/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100105036,261
Communities & Local Government,VTS,26/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100105036,5
Communities & Local Government,VTS,26/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100105036,8.83
Communities & Local Government,VTS,26/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100105036,2.88
Communities & Local Government,VTS,26/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100105036,9.2
Communities & Local Government,VTS,26/09/2014,Meeting Expenses,Operational,Staff Expenses,2100105037,1.59
Communities & Local Government,VTS,26/09/2014,Mileage UK,Operational,Staff Expenses,2100105037,157.5
Communities & Local Government,VTS,26/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100105037,82.8
Communities & Local Government,VTS,26/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100105037,4.7
Communities & Local Government,VTS,26/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100105037,32.5
Communities & Local Government,VTS,26/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100105037,61.88
Communities & Local Government,VTS,26/09/2014,Meeting Expenses,Operational,DE VERE DUNSTON HALL,2100105038,31.51
Communities & Local Government,VTS,26/09/2014,Temporary Accommodation,Operational,DE VERE DUNSTON HALL,2100105038,294
Communities & Local Government,VTS,26/09/2014,Temporary Accommodation,Operational,PREMIER INN,2100105040,420
Communities & Local Government,VTS,26/09/2014,Travel and Subsistence Account,Operational,CAPITA TRAVEL AND EVENTS,2100105045,122
Communities & Local Government,VTS,26/09/2014,Travel and Subsistence Account,Operational,CAPITA TRAVEL AND EVENTS,2100105045,261.45
Communities & Local Government,VTS,26/09/2014,Travel and Subsistence Account,Operational,CAPITA TRAVEL AND EVENTS,2100105045,278.45
Communities & Local Government,VTS,26/09/2014,FTT Judges,CTR,MINISTRY OF JUSTICE,2100105046,465
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,-186.23
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,-192.08
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,74.88
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,48.05
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,117.71
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,117.7
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,90.99
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,119.29
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,119.29
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,114.89
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,72.74
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,212.47
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,169.05
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,212.47
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,343.73
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,343.73
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,136.85
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,136.85
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,135.88
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,100.25
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,212.47
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,140.75
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,191.5
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,104.65
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,109.04
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,96.84
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,96.84
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,58.29
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,113.43
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,299.32
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,276.39
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,34.68
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,97.82
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,143.68
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,252.97
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,252.97
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Operational,REDFERN TRAVEL LIMITED,2100105048,85.62
Communities & Local Government,VTS,26/09/2014,Travel and Subs,VTE,REDFERN TRAVEL LIMITED,2100105048,48.05
Communities & Local Government,VTS,26/09/2014,Travel and Subs,VTE,REDFERN TRAVEL LIMITED,2100105048,111.19
Communities & Local Government,VTS,26/09/2014,Travel and Subs,VTE,REDFERN TRAVEL LIMITED,2100105048,36.93
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,75.94
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,50.59
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,74.4
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100105048,58.79
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100105048,69.23
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Human Resources,REDFERN TRAVEL LIMITED,2100105048,34.87
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Training,REDFERN TRAVEL LIMITED,2100105048,-59.85
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,113.91
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,104.65
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,119.26
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,17.8
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,96.35
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,24.14
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,90.01
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,32.23
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,20.24
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,21.7
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,26.09
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,15.85
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,26.09
Communities & Local Government,VTS,26/09/2014,Travel and Subs,Staff Expenses,REDFERN TRAVEL LIMITED,2100105048,80.79
