Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,Airedale NHS Trust,03/06/11,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012020910,"53,770.10"
DEPARTMENT OF HEALTH,Airedale NHS Trust,10/06/11,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012026611,"51,406.86"
DEPARTMENT OF HEALTH,Airedale NHS Trust,17/06/11,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012029659,"50,016.57"
DEPARTMENT OF HEALTH,Airedale NHS Trust,30/06/11,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012033475,"34,647.14"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012037523,"49,897.09"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,ELECTRICITY,UTILITIES,NPOWER LTD,LGUFYNYC,"37,910.37"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,ELECTRICITY,UTILITIES,NPOWER LTD,LGUFYNYC,"7,582.07"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,ELECTRICITY,UTILITIES,NPOWER LTD,LGUFYPT6,"87,366.55"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,ELECTRICITY,UTILITIES,NPOWER LTD,LGUFYPT6,"17,473.29"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/06/11,MED SURG EQPT HIRE,MEDICAL WARDS,SIEMENS FINANCIAL SERVICES LTD,320/11/0000042,"25,930.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/06/11,MED SURG EQPT HIRE,MEDICAL WARDS,SIEMENS FINANCIAL SERVICES LTD,320/11/0000042,"5,186.16"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,03/06/11,X-RAY EQUIPMENT : PURCHASES,RADIOLOGY,SIEMENS PLC,1020137010,"97,131.27"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,SIEMENS PLC,1020142463,"98,835.20"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,SIEMENS PLC,1020142463,"24,708.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,SIEMENS PLC,1020142463,"19,767.04"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050833159,"148,364.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050833159,"133,381.92"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,INTEREST EXPENSE ON FINANCE LEASE NON PFI NHSFT,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050833159,"7,878.90"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,OBLIGATIONS UNDER FINANCE LEASES AND HIRE PURCHASE CONTRACTS > ONE YEAR,BALANCE SHEET,SODEXO HEALTHCARE SERVICES LTD,9050833159,"7,103.18"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/06/11,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050833159,"-148,364.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/06/11,GAS,UTILITIES,TOTAL GAS AND POWER LTD,67263982/11,"28,461.60"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/06/11,GAS,UTILITIES,TOTAL GAS AND POWER LTD,67263982/11,"6,628.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/06/11,GAS,UTILITIES,TOTAL GAS AND POWER LTD,67263982/11,"2,552.41"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/06/11,GAS,UTILITIES,TOTAL GAS AND POWER LTD,67263982/11,"2,127.60"
