A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 08/10/2013 17:13:25,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,1144382,41093,,M0010447,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,1144916,139553,,2110004018,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Charges from CSU,COMMISSIONING - NON ACUTE,NHS LANCASHIRE CSU,1144941,133699,,7310400150,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Charges from CSU,CORPORATE COSTS & SERVICES,NHS LANCASHIRE CSU,1144941,132025,,7310400150,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,1157624,25000,,1013904,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,PARTNERSHIPS IN CARE LTD,1192863,38673,,LDS00578,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,LANCASHIRE COUNTY COUNCIL,1220139,859356,,5200038587,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,PRIORY GROUP,1263397,27949.82,,75820000059,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,PRIORY GROUP,1263406,27949.82,,75820000060,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,PRIORY GROUP,1263418,27048.21,,75820000061,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,1263514,7838067,,15225749,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EUXTON HALL HOSPITAL,1263626,493400.8,,13KMOCT13CHORLEY,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hcare Srv Rec NHS Trust,PATIENT TRANSPORT,NORTH WEST AMBULANCE SERVICE NHS TRUST,1277958,49191,,4110003798,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,ST MARYS HOSPITALS LTD,1288878,27960,,2802,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Charges from CSU,COMMISSIONING - NON ACUTE,NHS LANCASHIRE CSU,1299771,133699,,7310400166,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Charges from CSU,CORPORATE COSTS & SERVICES,NHS LANCASHIRE CSU,1299771,132025,,7310400166,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,LANCASHIRE CARE NHS FOUNDATION TRUST,,1432907.5,,I0029948,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,LANCASHIRE CARE NHS FOUNDATION TRUST,,1280457.83,,I0029947,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,EAST LANCASHIRE HOSPITALS NHS TRUST,,85355.83,,E0060941,
,,,,,,,,,,
,,,,,,,"14,360,466.25",,,
