Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount in Sterling,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"36,627.48",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/01/2011,RENTS,FACILITIES / ESTATES,PROGRESS CARE HOUSING ASSOCIATION LTD,"26,090.37",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/01/2011,TELEPHONES,INFORMATION TECHNOLOGY,BT PLC,"49,119.08",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,CLINICAL SERVICE CONTRACT,DIAGNOSTICS PAN TRUST,MEDICA GROUP,"32,981.15",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,CLINICAL SERVICE CONTRACT,DIAGNOSTICS PAN TRUST,MEDICA GROUP,"45,931.05",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,COMPUTER SOFTWARE,CAPITAL PROGRAM,ASCRIBE LTD,"117,500.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,COMPUTER SOFTWARE,CAPITAL PROGRAM,ASCRIBE LTD,"117,335.50",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2011,OIL,FACILITIES / ESTATES,TOTAL GAS & POWER LTD,"27,609.47",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,CLINICAL SERVICE CONTRACT,DIAGNOSTICS PAN TRUST,MEDICA GROUP,"25,439.70",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,AGENCY STAFF MIDDLE GRADES,"EMERGENCY CARE - GRANTHAM, LINCOLN & LOUTH",iDOCTOR LTD,"25,192.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2011,CHILDCARE VOUCHERS,PAN TRUST,COMPUTERSHARE VOUCHER SERVICES,"29,997.98",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"33,605.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,FUEL - STEAM,FACILITIES / ESTATES,COFELY LTD,"28,789.06",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,FUEL - STEAM,FACILITIES / ESTATES,COFELY LTD,"91,042.34",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,ELECTRICITY,FACILITIES / ESTATES,SOUTHERN ELECTRIC/GAS PLC,"27,282.73",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,PHARMACY,DIAGNOSTICS PAN TRUST,HEALTHCARE PRODUCT SERVICES,"33,193.75",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,OCCUPANCY GUARANTEE,FACILITIES / ESTATES,PROGRESS CARE HOUSING ASSOCIATION LTD,"31,421.23",Jan-11
