"HM Treasury Transparency - Publication of spend over £25,000  Start Date: '01-NOV-2010', End Date: '30-NOV-2010', Payment Amount >=: '25000'",,,,,,,,

Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Number
Department of Health,NHS Telford & Wrekin,12/11/2010,Dental Practitioners - CQC readiness,Commissioning,DAWLEY DENTAL PRACTICE,201007,27500,
Department of Health,NHS Telford & Wrekin,19/11/2010,Premises Improvement Grants,Commissioning,WOODSIDE MEDICAL PRACTICE,INTERIM PMT 1 LIFESTYLE GYM,28773.87,
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,MID STAFFORDSHIRE NHS FOUNDATION TRUST,NOV 10,64581,
Department of Health,NHS Telford & Wrekin,26/11/2010,Purchase of Healthcare - General And Acute,Commissioning,ALDER HEY CHILDRENS NHS FOUNDTION TRUST,0010863,48867,
Department of Health,NHS Telford & Wrekin,26/11/2010,Purchase of Healthcare - General And Acute,Commissioning,ALDER HEY CHILDRENS NHS FOUNDTION TRUST,0011497,48867,
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,THE ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,NOV 10,76392,
Department of Health,NHS Telford & Wrekin,19/11/2010,Pathology Services,Commissioning,SHREWSBURY AND TELFORD HOSPITAL NHS TRUS,10047587,26874.16,
Department of Health,NHS Telford & Wrekin,26/11/2010,Purchase of Healthcare - General And Acute,Commissioning,SHREWSBURY AND TELFORD HOSPITAL NHS TRUS,10048034,643000,
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,SHREWSBURY AND TELFORD HOSPITAL NHS TRUS,NOV 10,6644302,
Department of Health,NHS Telford & Wrekin,08/11/2010,Finance & Payroll Services,Corporate,SHROPSHIRE COUNTY PCT,30005496,38592,
Department of Health,NHS Telford & Wrekin,15/11/2010,Finance & Payroll Services,Corporate,SHROPSHIRE COUNTY PCT,30005705,38592,
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - Community health Services,Commissioning,SHROPSHIRE COUNTY PCT,NOV 10,186794,
Department of Health,NHS Telford & Wrekin,05/11/2010,PBC Schemes - Electromedical Equipment Instruments,Commissioning,SPECTRUM OPHTHALMICS LTD,1/2 SUGARCUBE 380,36000,
Department of Health,NHS Telford & Wrekin,05/11/2010,PBC Schemes - Electromedical Equipment Instruments,Commissioning,SPECTRUM OPHTHALMICS LTD,1/2 SUGARCUBE 380,6300
Department of Health,NHS Telford & Wrekin,05/11/2010,Alternative Provider Medical Services,Commissioning,MALLING HEALTH LLP,NOV 10 TELF CENT,67079.45
Department of Health,NHS Telford & Wrekin,01/11/2010,Dispensing drugs,Commissioning,Wellington Road Surgery,Dispensing drugs,73833.23
Department of Health,NHS Telford & Wrekin,22/11/2010,Ophthalmic Services,Commissioning,Visionplus Telford,Ophthalmic Services,37916.68
Department of Health,NHS Telford & Wrekin,25/11/2010,Personal Medical Services,Commissioning,Lawley Medical Services,Personal Medical Services,51720.46
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Stirchley Medical Practice,General Medical Services,96617.74
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Charlton Street Medical Practice,General Medical Services,65785.53
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Dawley Medical Practice,General Medical Services,66971.61
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Donnington Medical Practice,General Medical Services,75551.69
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Sutton Hill Medical Practice,General Medical Services,56502.40
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Wellington Road Medical Practice,General Medical Services,92946.14
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Oakengates Medical Practice,General Medical Services,114755.20
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Wellington Medical Practice,General Medical Services,128320.99
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Woodside Medical Practice,General Medical Services,47514.05
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Linden Hall Surgery,General Medical Services,79835.31
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Hollinswood & Priorslee Surgery,General Medical Services,26001.39
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Shawbirch Medical Practice,General Medical Services,62493.42
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Ironbridge Medical Practice,General Medical Services,27081.52
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Church Close Surgery,General Medical Services,34407.33
Department of Health,NHS Telford & Wrekin,30/11/2010,General Medical Services,Commissioning,Trinity Healthcare,General Medical Services,51800.03
