Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/08/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548678,"6,326.42",Service Charge
Department of Health,Care Quality Commission,31/08/2012,Rents,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548678,"23,757.60",Rent
Department of Health,Care Quality Commission,31/08/2012,Gas mains,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548678,921.6,Utilities
Department of Health,Care Quality Commission,31/08/2012,Electricity,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548678,"1,551.36",Utilities
Department of Health,Care Quality Commission,31/08/2012,Legal / Professional Fees,Governance and Legal ,MILLS & REEVE LLP,1570365,"27,255.43",Contracted Lawyers/Legal Fees
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,1583428,"36,221.40",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,1586227,"76,375.55",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,1589832,"44,423.48",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,1589883,"45,575.71",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,1597230,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,31/08/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,1597242,"31,740.17",IT Telecommunications
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,OPEN CONNECTIONS SOLUTIONS LTD,1597560,"28,836.00",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,Employment/ Recruitment Costs Costs,Human Resources,CRIMINAL RECORDS BUREAU,1611236,"47,124.00",CRB Checks
Department of Health,Care Quality Commission,31/08/2012,Consultation Mechanism,Intelligence,PICKER INSTITUTE EUROPE,1614263,"61,142.92",Surveys
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,STERIA LTD,1637074,"54,976.01",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,1642675,"64,908.82",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Consultation Mechanism,Regulatory Development,CENTRE FOR PUBLIC SCRUTINY,1646137,"48,000.00",Surveys
Department of Health,Care Quality Commission,31/08/2012,Training Materials,Human Resources,ACCESSPLANIT,1665873,"45,094.80",Training and Development
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,1668832,"46,852.84",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,1672404,"55,131.74",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,1672411,"51,774.38",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,1672417,"41,459.21",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,1672440,"5,430.78",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,1680766,"78,973.81",Hotels and Conferences
Department of Health,Care Quality Commission,31/08/2012,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,1700870,"41,855.39",IT Telecommunications
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,1712171,"7,398.51",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,1722631,"11,314.32",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,1723205,"28,954.34",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,Staff Recruitment/ Advertising,Human Resources,ASSOCIATES IN ADVERTISING,1730975,"7,233.99",Employment/ Recruitment Costs Costs
Department of Health,Care Quality Commission,31/08/2012,Consultation Mechanism,Regulatory Development,UCLAN BUSINESS SERVICES LTD,1731426,"107,940.00",Surveys
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,1737866,"114,047.14",IT Managed Service
