Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,"Capital/
Revenue",Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Private Contractors,01/12/2015,PPPLY06427,"12,591.38",Revenue,Plymouth YMCA,23665
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Libraries Property,Transformation and Change,Premises,Security,01/12/2015,PLY102634,"11,604.12",Revenue,Securi-Guard Limited,23672
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Libraries Property,Transformation and Change,Premises,Security,01/12/2015,PLY100416,"3,790.14",Revenue,Securi-Guard Limited,23672
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Other Agency & Contracted Services,01/12/2015,PLY102502,"6,559.41",Revenue,Devon County Council,23686
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Supplies and Services,Various,01/12/2015,Various,614.95,Revenue,Clifton Wine Stores Limited,23969
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core HR and OD,Transformation and Change,Employees,Medical Expenses,01/12/2015,PLY102630,"8,903.34",Revenue,Industrial Medical & Safety Services,24036
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Trading,Place Directorate,Premises,Cleaning Materials,01/12/2015,Various,592.19,Revenue,Bunzl Cleaning & Hygiene Supp,24060
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,People Directorate,Various,Various,01/12/2015,Various,"1,788.17",Revenue,Waterfront West,24125
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Capitalised Salaries,01/12/2015,507166654,447.48,Capital,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166641,"1,070.68",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166642,995.82,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166643,673.92,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Assets,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166875,445.91,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166818,461.39,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166811,474.61,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166629,624.56,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Corporate Items,Employees,Temporary and Interim Staff,01/12/2015,507166604,677.04,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Corporate Items,Employees,Temporary and Interim Staff,01/12/2015,507166655,711.45,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Corporate Items,Employees,Temporary and Interim Staff,01/12/2015,507166633,"1,248.00",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Corporate Items,Employees,Temporary and Interim Staff,01/12/2015,507166816,469.16,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Executive Office,Executive Office,Employees,Temporary and Interim Staff,01/12/2015,507166837,"1,101.86",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166676,418.38,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166677,537.61,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Planning Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166887,549.45,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Planning Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166888,"1,144.00",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Public Health,Public Health,Employees,Temporary and Interim Staff,01/12/2015,507166601,445.50,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166590,470.40,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166600,718.50,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Customer Services,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166880,426.24,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166873,485.81,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166874,469.16,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Assets,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166649,469.16,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166869,446.96,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Agency Supply,01/12/2015,999630935,"8,686.22",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507167099,"1,901.20",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Legal,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166628,420.75,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Legal,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166625,538.56,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Legal,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166674,778.55,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166788,"1,186.11",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166539,618.28,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166683,692.27,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core HR and OD,Transformation and Change,Employees,Advertising,01/12/2015,PLY102866,"10,356.00",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166681,645.53,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166682,691.86,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Legal,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166872,596.96,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166835,624.56,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166736,435.86,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166721,426.24,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core HR and OD,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166620,532.43,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Finance,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166838,910.20,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166544,455.47,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166554,"1,259.85",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166549,"1,171.50",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166551,"1,444.85",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166903,"1,021.50",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Executive Office,Executive Office,Employees,Temporary and Interim Staff,01/12/2015,507166871,425.59,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166652,474.91,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core HR and OD,Transformation and Change,Employees,Temporary and Interim Staff,01/12/2015,507166640,923.23,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166624,515.34,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166822,625.30,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166541,803.63,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166542,925.74,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166622,503.57,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166602,566.47,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166651,497.48,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166739,426.24,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166706,426.24,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166697,426.24,Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166968,"2,860.00",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166552,"1,481.85",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166550,"1,407.85",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166553,"1,629.85",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166547,"1,259.85",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166545,"1,036.35",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166540,"1,004.48",Revenue,Pertemps Limited,24344
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Temporary and Interim Staff,01/12/2015,507166901,431.00,Revenue,Pertemps Limited,24344
