Wakefield Council Purchase Card Spend for Quarter 1st October 2017 to 31st December 2017,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Purpose of Spend,Type,Transaction No.,Seq No.,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,P-Card Tran,Contract
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,BREWERS FAYRE,Assistance to Families (Section 34),Revenue,160971,139,10/11/2017,3.00,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,BREWERS FAYRE,Assistance to Families (Section 34),Revenue,160980,146,02/01/2018,3.00,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,BREWERS FAYRE,Assistance to Families (Section 34),Revenue,160980,147,02/01/2018,19.98,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,BREWERS FAYRE,Assistance to Families (Section 34),Revenue,160971,140,10/11/2017,20.08,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,KFC,Assistance to Families (Section 34),Revenue,160980,60,02/01/2018,6.23,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,MCDONALDS,Assistance to Families (Section 34),Revenue,160975,58,29/11/2017,1.66,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,MCDONALDS,Assistance to Families (Section 34),Revenue,160975,59,29/11/2017,2.49,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,SCARBOROUGH,Assistance to Families (Section 34),Revenue,160975,264,29/11/2017,26.67,Nil,TOURIST ATTRACTIONS AND EXHIBITS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TENPIN,Assistance to Families (Section 34),Revenue,160980,61,02/01/2018,17.12,Nil,CLUBS-CNTRYMBRSHIP(ATHLETRECSPRTSPRIVATE GOLF,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TENPIN,Assistance to Families (Section 34),Revenue,160976,161,04/12/2017,25.70,Nil,CLUBS-CNTRYMBRSHIP(ATHLETRECSPRTSPRIVATE GOLF,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TENPIN,Assistance to Families (Section 34),Revenue,160976,165,04/12/2017,23.30,Nil,CLUBS-CNTRYMBRSHIP(ATHLETRECSPRTSPRIVATE GOLF,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TOBY CARVERY,Assistance to Families (Section 34),Revenue,160980,615,02/01/2018,131.96,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160972,153,15/11/2017,21.88,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160977,245,08/12/2017,21.88,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160972,286,15/11/2017,43.35,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160962,49,05/10/2017,52.68,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160962,157,05/10/2017,52.68,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160962,158,05/10/2017,52.68,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160962,159,05/10/2017,52.68,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160962,160,05/10/2017,52.68,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160962,367,05/10/2017,25.25,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Birthday Allowance,Revenue,160980,811,02/01/2018,2.80,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Birthday Allowance,Revenue,160980,830,02/01/2018,3.54,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Birthday Allowance,Revenue,160980,812,02/01/2018,4.76,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Birthday Allowance,Revenue,160980,829,02/01/2018,5.86,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,ARGOS,Birthday Allowance,Revenue,160974,15,21/11/2017,23.94,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,ARGOS,Birthday Allowance,Revenue,160965,92,12/10/2017,79.99,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,ASDA,Birthday Allowance,Revenue,160971,106,10/11/2017,11.00,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,ASDA,Birthday Allowance,Revenue,160980,556,02/01/2018,6.30,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,B & M RETAIL LTD,Birthday Allowance,Revenue,160980,820,02/01/2018,8.02,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,CARD FACTORY  ,Birthday Allowance,Revenue,160965,245,12/10/2017,5.51,Nil,GIFT CARD NOVELTY AND SOUVENIR SHOPS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,HOPE TOWN PO & LONDIS,Birthday Allowance,Revenue,160971,122,10/11/2017,2.60,Nil,MISC FOOD STORE-CONVENIENCEMRKTSPLTYVENDNG MACS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,JD SPORTS,Birthday Allowance,Revenue,160980,106,02/01/2018,66.71,Nil,SPORTING GOODS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,NEW LOOK  ,Birthday Allowance,Revenue,160965,244,12/10/2017,39.23,Nil,WOMEN´S READY TO WEAR STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,PEACOCK STORES,Birthday Allowance,Revenue,160980,601,02/01/2018,6.00,Nil,VARIETY STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,PIZZA HUT,Birthday Allowance,Revenue,160965,91,12/10/2017,42.79,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,PRIMARK,Birthday Allowance,Revenue,160965,252,12/10/2017,51.00,Nil,FAMILY CLOTHING STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,PRIMARK,Birthday Allowance,Revenue,160973,114,17/11/2017,10.00,Nil,FAMILY CLOTHING STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,SAINSBURYS,Birthday Allowance,Revenue,160980,675,02/01/2018,16.00,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,SCHUH,Birthday Allowance,Revenue,160965,243,12/10/2017,40.00,Nil,SHOE STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,SELECT,Birthday Allowance,Revenue,160965,241,12/10/2017,8.04,Nil,MEN´S AND WOMEN´S CLOTHING STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,SPORTS DIRECT,Birthday Allowance,Revenue,160980,180,02/01/2018,103.96,Nil,SPORTING GOODS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,THE ENTERTAINER,Birthday Allowance,Revenue,160973,107,17/11/2017,8.79,Nil,GAME TOY AND HOBBY SHOPS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,THE RANGE,Birthday Allowance,Revenue,160980,315,02/01/2018,26.94,Nil,EQUIP FURNITURE HOME FURNSHNGS STRS (EXCPT APPL),GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,AMAZON,Books & Other Publications,Revenue,160962,130,05/10/2017,22.41,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,P,Public Health,AMAZON,Books & Other Publications,Revenue,160975,423,29/11/2017,8.24,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,AMAZON,Books & Other Publications,Revenue,160972,258,15/11/2017,15.97,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,AMAZON,Books & Other Publications,Revenue,160968,36,25/10/2017,19.50,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,AMAZON,Books & Other Publications,Revenue,160980,102,02/01/2018,12.42,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,AMAZON,Books & Other Publications,Revenue,160976,163,04/12/2017,2.70,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,AMAZON,Books & Other Publications,Revenue,160971,432,10/11/2017,14.51,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,1,Central Services,AMAZON,Books & Other Publications,Revenue,160971,1134,10/11/2017,7.47,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,1,Central Services,AMAZON,Books & Other Publications,Revenue,160971,1133,10/11/2017,24.96,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,AMAZON,Books & Other Publications,Revenue,160975,184,29/11/2017,26.64,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,AMAZON,Books & Other Publications,Revenue,160962,423,05/10/2017,7.31,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,AMAZON,Books & Other Publications,Revenue,160962,447,05/10/2017,25.35,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160964,281,10/10/2017,3.35,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160964,280,10/10/2017,8.80,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160964,92,10/10/2017,387.47,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160967,123,19/10/2017,5.99,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160967,95,19/10/2017,8.99,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160967,98,19/10/2017,15.75,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160967,97,19/10/2017,20.89,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160964,279,10/10/2017,37.94,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160967,96,19/10/2017,16.77,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,AMAZON,Books & Other Publications,Revenue,160975,29,29/11/2017,320.89,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,CHARITY,Books & Other Publications,Revenue,160968,332,25/10/2017,196.30,Nil,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,6,Housing Services,CPAG,Books & Other Publications,Revenue,160980,1714,02/01/2018,132.49,Nil,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,8,Corporate and Democratic Core,HEMMING GROUP LTD,Books & Other Publications,Revenue,160974,133,21/11/2017,93.33,Nil,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,MAG SUBCRIPTIONS,Books & Other Publications,Revenue,160968,406,25/10/2017,231.00,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,PHONIC BOOKS,Books & Other Publications,Revenue,160971,323,10/11/2017,116.70,Nil,SCHOOLS ELEMENTARY AND SECONDARY,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,STATIONERY OFFICE BOOK,Books & Other Publications,Revenue,160962,52,05/10/2017,285.75,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,THE BOOK PEOPLE,Books & Other Publications,Revenue,160971,507,10/11/2017,6.99,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,THE BOOK PEOPLE,Books & Other Publications,Revenue,160971,506,10/11/2017,180.87,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,CO-OP GROUP,Bulbs / Plants / Trees,Revenue,160975,323,29/11/2017,2.20,Nil,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,REGENCULT,M,Environmental and Regulatory Services,SPRING GREEN NURSERIES,Bulbs / Plants / Trees,Revenue,160978,331,14/12/2017,14.17,Nil,LAWN AND GARDEN SUPPLY STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,REGENCULT,M,Environmental and Regulatory Services,VICTORIA,Bulbs / Plants / Trees,Revenue,160978,269,14/12/2017,16.66,Nil,LAWN AND GARDEN SUPPLY STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,ALLSORTS DISCOUNT STORE,Christmas Extras,Revenue,160972,190,15/11/2017,25.00,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,ASDA,Christmas Extras,Revenue,160980,1443,02/01/2018,52.55,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,ASDA,Christmas Extras,Revenue,160976,217,04/12/2017,250.00,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,REGENCULT,M,Environmental and Regulatory Services,ASDA,Christmas Extras,Revenue,160978,503,14/12/2017,4.17,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,B & M RETAIL LTD,Christmas Extras,Revenue,160980,1334,02/01/2018,33.37,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,B & M RETAIL LTD,Christmas Extras,Revenue,160980,1444,02/01/2018,22.06,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,B & M RETAIL LTD,Christmas Extras,Revenue,160980,1624,02/01/2018,5.98,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,REGENCULT,M,Environmental and Regulatory Services,B & Q,Christmas Extras,Revenue,160978,591,14/12/2017,38.77,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,HAMPSONS PLANTWORLD LIMITED,Christmas Extras,Revenue,160977,266,08/12/2017,10.34,Nil,LAWN AND GARDEN SUPPLY STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,MOTHERCARE WORLD,Christmas Extras,Revenue,160971,814,10/11/2017,31.99,Nil,DEPARTMENT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,ORIGINAL FACTORY SHOP,Christmas Extras,Revenue,160980,1336,02/01/2018,44.17,Nil,DEPARTMENT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,POUNDWORLD,Christmas Extras,Revenue,160976,348,04/12/2017,9.21,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,SUK RETAIL LTD,Christmas Extras,Revenue,160980,1623,02/01/2018,16.64,Nil,OFFICE SCHOOL SUPPLY AND STATIONERY STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,T J  MORRIS LTD,Christmas Extras,Revenue,160980,688,02/01/2018,19.12,Nil,HARDWARE STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,TESCO,Christmas Extras,Revenue,160980,1206,02/01/2018,45.92,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TESCO,Christmas Extras,Revenue,160980,1052,02/01/2018,-37.75,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TESCO,Christmas Extras,Revenue,160980,1219,02/01/2018,172.28,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,THE RANGE,Christmas Extras,Revenue,160977,324,08/12/2017,9.57,Nil,DEPARTMENT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,THE RANGE,Christmas Extras,Revenue,160977,267,08/12/2017,11.09,Nil,DEPARTMENT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,THE RANGE,Christmas Extras,Revenue,160977,653,08/12/2017,11.46,Nil,DEPARTMENT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,8,Corporate and Democratic Core,DUNELM LTD  ,Civic Gifts / Hospitality,Revenue,160964,122,10/10/2017,30.05,Nil,DRAPERY UPOLSTERY AND WINDOW COVERINGS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,8,Corporate and Democratic Core,MARKS & SPENCER,Civic Gifts / Hospitality,Revenue,160964,110,10/10/2017,8.40,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,8,Corporate and Democratic Core,SAINSBURYS,Civic Gifts / Hospitality,Revenue,160964,132,10/10/2017,12.00,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,8,Corporate and Democratic Core,YAS PRIVATE & EVENT SE,Civic Gifts / Hospitality,Revenue,160964,136,10/10/2017,360.00,Nil,SCHOOLS TRADE AND VOCATIONAL,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,ADIDAS GROUP,Clothing,Revenue,160971,947,10/11/2017,39.95,Nil,SPORTS APPAREL RIDING APPAREL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,ALEXANDRA ,Clothing,Revenue,160977,481,08/12/2017,22.98,Nil,MEN´S/WOMEN´S/CHILDREN´S UNIFORMS/COMMERCIAL CLOTH,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,ALEXANDRA ,Clothing,Revenue,160968,257,25/10/2017,39.97,Nil,MEN´S/WOMEN´S/CHILDREN´S UNIFORMS/COMMERCIAL CLOTH,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,ADULTS,7,Adult Social Care,ALEXANDRA ,Clothing,Revenue,160968,295,25/10/2017,39.97,Nil,MEN´S/WOMEN´S/CHILDREN´S UNIFORMS/COMMERCIAL CLOTH,GPC,Not Yet Available
