VTS Site Number,VTS Name,VTS Address Line 1,VTS Address Line 2,VTS Address Line 3,VTS Address Line 4,VTS Post Code,VTS Telephone Number,Class 1,Class 2,Class 3,Class 4,Class 5,Class 7,Local authority unitary authority code,postcode 1,postcode 2,postcode 3,Output Area 2011,Lower-layer super output area 2011 code,Lower-layer super output area 2011 name,Middle-layer super output area 2011 code
32033,LAMBERT STREET GARAGE,LAMBERT STREET,WEST VALE,GREETLAND,HALIFAX,HX4 8AA,01422 372747,,,,Y,,,E08000033,HX4 8AA,HX4  8AA,HX4 8AA,E00054930,E01010898,Calderdale 026C,E02002269
32501,MOORSIDE GARAGE,KEIGHLEY ROAD,ILLINGWORTH,,HALIFAX,HX2 8AR,01422 353840,,,,Y,,,E08000033,HX2 8AR,HX2  8AR,HX2 8AR,E00055169,E01010942,Calderdale 005D,E02002248
32862,JAMES SHEPHERD OF HEBDEN BRIDGE LTD,VALLEY ROAD GARAGE,VALLEY ROAD,,HEBDEN BRIDGE,HX7 7BZ,01422 842528,,,,Y,,,E08000033,HX7 7BZ,HX7  7BZ,HX7 7BZ,E00054852,E01010888,Calderdale 004E,E02002247
33462,HEDLEY OF HALIFAX,CORNER OF KINGS CROSS STREET,WEST PARADE,,HALIFAX,HX1 2TE,01422 362355,Y,Y,,,,,E08000033,HX1 2TE,HX1  2TE,HX1 2TE,E00055414,E01010995,Calderdale 012E,E02002255
35035,BEDFORD STREET GARAGE,16A BEDFORD STREET,,,HALIFAX,HX1 5DL,01422 366227,,,,Y,,,E08000033,HX1 5DL,HX1  5DL,HX1 5DL,E00055412,E01010994,Calderdale 008E,E02002251
35974,CALDERDALE COUNCIL MBC,BATTINSON ROAD,,,HALIFAX,HX1 4PL,01422  264374,,,,Y,Y,Y,E08000033,HX1 4PL,HX1  4PL,HX1 4PL,E00055266,E01010964,Calderdale 012B,E02002255
36225,MOORLEA GARAGE,ALBERT ROAD,,,HALIFAX,HX2 0DF,01422 359468,,,,Y,,,E08000033,HX2 0DF,HX2  0DF,HX2 0DF,E00055090,E01010930,Calderdale 010B,E02002253
36267,BROWNHILL MOTORS,WOODSIDE GARAGE,ELLAND BRIDGE,,ELLAND,HX5 0SH,01422 376614,Y,Y,,,,,E08000033,HX5 0SH,HX5  0SH,HX5 0SH,E00054891,E01010889,Calderdale 025A,E02002268
36563,BALMORAL GARAGE LTD,THE BOULEVARDS,SAVILE PARK ROAD,,HALIFAX,HX1 3EX,01422 342288,,,,Y,,,E08000033,HX1 3EX,HX1  3EX,HX1 3EX,E00055319,E01010970,Calderdale 016B,E02002259
36587,HALIFAX AUTOCENTRE LIMITED,40 SOUTH PARADE,,,HALIFAX,HX1 2LY,01422 352629,,,,Y,,,E08000033,HX1 2LY,HX1  2LY,HX1 2LY,E00055420,E01010989,Calderdale 018A,E02002261
36684,BELL HALL GARAGE LTD,SAVILE PARK ROAD,,,HALIFAX,HX1 2XP,01422 343288,,,,Y,,,E08000033,HX1 2XP,HX1  2XP,HX1 2XP,E00055314,E01010974,Calderdale 016C,E02002259
36923,STAR GARAGE,VALLEY ROAD,,,HEBDEN BRIDGE,HX7 7BZ,01422 842566,Y,Y,,Y,,,E08000033,HX7 7BZ,HX7  7BZ,HX7 7BZ,E00054852,E01010888,Calderdale 004E,E02002247
36972,MALCOLM TAYLOR (HALIFAX) LTD,6 BEDFORD STREET NORTH,,,HALIFAX,HX1 5BH,01422 330505,,,Y,Y,,,E08000033,HX1 5BH,HX1  5BH,HX1 5BH,E00055274,E01010965,Calderdale 012C,E02002255
37297,STUMP CROSS GARAGE,STAUPS LANE,STUMP CROSS,,HALIFAX,HX3 7AB,01422 352124,,,Y,Y,,,E08000033,HX3 7AB,HX3  7AB,HX3 7AB,E00055110,E01010937,Calderdale 003F,E02002246
37475,PRESCOTT STREET GARAGE,PRESCOTT STREET,,,HALIFAX,HX1 2LF,01422 363300,,,,Y,,,E08000033,HX1 2LF,HX1  2LF,HX1 2LF,E00055420,E01010989,Calderdale 018A,E02002261
37504,FENTON ROAD GARAGE LTD,FENTON ROAD,KINGCROSS,,HALIFAX,HX1 3PP,01422 344377,,,,Y,,,E08000033,HX1 3PP,HX1  3PP,HX1 3PP,E00055460,E01011003,Calderdale 014D,E02002257
37531,J M S MOTORCYCLES LTD,GLOBE WORKS,NORLAND ROAD,SOWERBY BRIDGE,HALIFAX,HX6 3DF,01422 833301,Y,Y,,,,,E08000033,HX6 3DF,HX6  3DF,HX6 3DF,E00055332,E01010979,Calderdale 017D,E02002260
37536,W J MOTORS LIMITED,VICTORIA WORKS,ALLERTON PLACE,GIBBET STREET,HALIFAX,HX1 5JJ,01422 330128,,,,Y,Y,Y,E08000033,HX1 5JJ,HX1  5JJ,HX1 5JJ,E00055281,E01010966,Calderdale 012D,E02002255
37548,HARE MOTORS,175 KEIGHLEY ROAD,ILLINGWORTH,,HALIFAX,HX2 9LL,01422 240230,,,,Y,,,E08000033,HX2 9LL,HX2  9LL,HX2 9LL,E00055026,E01010914,Calderdale 002A,E02002245
37558,MILE CROSS GARAGE,113 HOPWOOD LANE,,,HALIFAX,HX1 4HB,01422 354072,,,,Y,,,E08000033,HX1 4HB,HX1  4HB,HX1 4HB,E00055450,E01011000,Calderdale 010D,E02002253
37560,KWIK - FIT,70 HORTON STREET,,,HALIFAX,HX1 1QE,01422 359150,,,,Y,,,E08000033,HX1 1QE,HX1  1QE,HX1 1QE,E00055407,E01010994,Calderdale 008E,E02002251
37656,KWIK FIT,PELLON LANE,,,HALIFAX,HX1 5QN,01422 359326,,,,Y,,,E08000033,HX1 5QN,HX1  5QN,HX1 5QN,E00055270,E01010960,Calderdale 012A,E02002255
5819BC,VICTORIA GARAGE BRIGHOUSE LIMITED,GOODER LANE,,,BRIGHOUSE,HD6 1HT,01484 714270,,,,Y,,,E08000033,HD6 1HT,HD6  1HT,HD6 1HT,E00055182,E01010950,Calderdale 023C,E02002266
6718A8,D PITCHFORTH LTD,PARK GARAGE,ROCHDALE ROAD,GREETLAND,HALIFAX,HX4 8AL,01422 375190,,,,Y,,,E08000033,HX4 8AL,HX4  8AL,HX4 8AL,E00054930,E01010898,Calderdale 026C,E02002269
6719AB,A AND G AUTOS (2016) LIMITED,VICTORIA ROAD,,HIPPERHOLME,HALIFAX,HX3 8DF,01422 202191,Y,Y,,Y,,,E08000033,HX3 8DF,HX3  8DF,HX3 8DF,E00054977,E01010906,Calderdale 011B,E02002254
7138AW,RON LEE LTD,KEIGHLEY ROAD,OVENDEN,,HALIFAX,HX3 5TJ,01422 361108,,,,Y,,,E08000033,HX3 5TJ,HX3  5TJ,HX3 5TJ,E00055142,E01010940,Calderdale 006B,E02002249
7206AG,C W MOTORS,25 RASTRICK COMMON,RASTRICK,,BRIGHOUSE,HD6 3DW,01484 718697,,,,Y,,,E08000033,HD6 3DW,HD6  3DW,HD6 3DW,E00055190,E01010951,Calderdale 023D,E02002266
7548BJ,GREENWOODS GARAGE SOWERBY BRIDGE LTD,VICTORIA ROAD,SOWERBY BRIDGE,,HALIFAX,HX6 3AE,01422 832383,,,,Y,,,E08000033,HX6 3AE,HX6  3AE,HX6 3AE,E00055332,E01010979,Calderdale 017D,E02002260
7746BN,DRYCLOUGH LANE GARAGE,DRYCLOUGH LANE,,,HALIFAX,HX3 0LD,01422 382600,,,,Y,,,E08000033,HX3 0LD,HX3  0LD,HX3 0LD,E00055297,E01010972,Calderdale 021C,E02002264
8225AU,NATIONAL TYRES AND AUTOCARE,3 BULL GREEN,,,HALIFAX,HX1 5AB,01422 354761,,,,Y,,,E08000033,HX1 5AB,HX1  5AB,HX1 5AB,E00055408,E01010994,Calderdale 008E,E02002251
8585AW,HARE BROS,150 HANSON LANE,,,HALIFAX,HX1 5PQ,01422 360755,,,,Y,,,E08000033,HX1 5PQ,HX1  5PQ,HX1 5PQ,E00055273,E01010964,Calderdale 012B,E02002255
8796A9,GREY SHED MOTORS,SPRINGVALE WORKS,ELLAND ROAD,BROOKFOOT,BRIGHOUSE,HD6 2RN,01484 400404,,,,Y,,,E08000033,HD6 2RN,HD6  2RN,HD6 2RN,E00054824,E01010877,Calderdale 019C,E02002262
8891A3,JOHN HOYLES GARAGE,HOLLINS MILL LANE,SOWERBY BRIDGE,,HALIFAX,HX6 2QG,01422 834180,,,,Y,,,E08000033,HX6 2QG,HX6  2QG,HX6 2QG,E00055325,E01010979,Calderdale 017D,E02002260
9468AY,HALIFAX MOTORCYCLE SERVICES,RAILWAY BUILDINGS,DYSON ROAD,,HALIFAX,HX1 4RL,01422  343342,Y,Y,,,,,E08000033,HX1 4RL,HX1  4RL,HX1 4RL,E00055094,E01010929,Calderdale 010A,E02002253
9484AU,W AND H MOTORS,MARTINS MILL YARD,RICHMOND ROAD,PELLON LANE,HALIFAX,HX1 5SZ,01422 343784,,,Y,Y,Y,Y,E08000033,HX1 5SZ,HX1  5SZ,HX1 5SZ,E00055270,E01010960,Calderdale 012A,E02002255
V100006,RHODES MOTORS LTD,WINDING ROAD,,,HALIFAX,HX1 1SJ,01422 323636,,,,Y,,,E08000033,HX1 1SJ,HX1  1SJ,HX1 1SJ,E00055407,E01010994,Calderdale 008E,E02002251
V100317,TYRE CITY,CHARLES STREET,,,HALIFAX,HX1 1QW,01422  350919,,,,Y,,,E08000033,HX1 1QW,HX1  1QW,HX1 1QW,E00055407,E01010994,Calderdale 008E,E02002251
V101021,STONEYWOOD LTD,TURNTABLE WORKS,,,SOWERBY BRIDGE,HX6 1AN,01422  839831,,,,Y,,Y,E08000033,HX6 1AN,HX6  1AN,HX6 1AN,E00055344,E01010978,Calderdale 017C,E02002260
V102139,MOOREND GARAGE LIMITED,561 GIBBET STREET,,,HALIFAX,HX2 0AL,01422  356444,,,,Y,,,E08000033,HX2 0AL,HX2  0AL,HX2 0AL,E00055433,E01010998,Calderdale 010C,E02002253
V102447,BATTINSON AUTO CENTRE,UNIT B DRAKES INDUSTRIAL ESTATE,SHAY LANE,HOLMFIELD,HALIFAX,HX3 6RL,01422  361967,,,,Y,,,E08000033,HX3 6RL,HX3  6RL,HX3 6RL,E00055142,E01010940,Calderdale 006B,E02002249
V102450,HOLMFIELD MOT AND REPAIRS,UNIT 3 HOLMFIELD INDUSTRIAL ESTATE,,,HALIFAX,HX2 9TN,01422 248180,,,,Y,Y,Y,E08000033,HX2 9TN,HX2  9TN,HX2 9TN,E00055002,E01010915,Calderdale 001D,E02002244
V102669,ROBIN HOOD GARAGE LIMITED,UNIT 1 WAKEFIELD ROAD,,,BRIGHOUSE,HD6 1PE,01484  720504,,,,Y,,,E08000033,HD6 1PE,HD6  1PE,HD6 1PE,E00054825,E01010878,Calderdale 015A,E02002258
V102918,NORTH BRIDGE MOTORS LIMITED,I AND 3 OLD LANE,,,HALIFAX,HX3 6TD,01422  366894,,,,Y,,,E08000033,HX3 6TD,HX3  6TD,HX3 6TD,E00168687,E01032923,Calderdale 008F,E02002251
V103973,TENTERFIELD MOT CENTRE,UNIT R5,TENTEFIELD BUSINESS PARK,LUDDENDENFOOT,HALIFAX,HX2 6EQ,01422  883125,,,,Y,,,E08000033,HX2 6EQ,HX2  6EQ,HX2 6EQ,E00055040,E01010922,Calderdale 020A,E02002263
V104883,WRIGHTWAY MOTORCYCLES,UNIT 8,CLIFTON MILLS WORKSOPS,BAILIFF BRIDGE,BRIGHOUSE,HD6 4JJ,07877  895339,Y,Y,,,,,E08000033,HD6 4JJ,HD6  4JJ,HD6 4JJ,E00168669,E01010908,Calderdale 015D,E02002258
V105247,GEORGE STREET MOT CENTRE,UNIT 2,GEORGE STREET,MYTHOLMROYD,HALIFAX,HX7 5DT,01422  884895,,,,Y,,,E08000033,HX7 5DT,HX7  5DT,HX7 5DT,E00055047,E01010917,Calderdale 007A,E02002250
V106202,MYTHOLMROYD MOTOR COMPANY,UNIT 8 AT THE CO OP,BURNLEY ROAD,,HEBDEN BRIDGE,HX7 5LH,01422  882958,,,,Y,,,E08000033,HX7 5LH,HX7  5LH,HX7 5LH,E00055057,E01010919,Calderdale 007C,E02002250
V106409,HALIFAX  VOLKSWAGEN,HALIFAX ROAD,SHELF,,HALIFAX,HX3 7JT,01422  205611,,,,Y,,,E08000033,HX3 7JT,HX3  7JT,HX3 7JT,E00055136,E01010933,Calderdale 003C,E02002246
V108563,BRIDGEFIELD GARAGE,UNIT 1B BRIDGEFIELD MILL,ELLAND BRIDGE,,ELLAND,HX5 0SG,01422 311179,Y,Y,,Y,,Y,E08000033,HX5 0SG,HX5  0SG,HX5 0SG,E00054891,E01010889,Calderdale 025A,E02002268
V108777,CENTRAL GARAGE ARC LIMITED,UNIT 6,BRIGHOUSE TRADE PARK,ARMYTAGE ROAD,BRIGHOUSE,HD6 1QZ,01484  721711,,,,Y,,,E08000033,HD6 1QZ,HD6  1QZ,HD6 1QZ,E00054825,E01010878,Calderdale 015A,E02002258
V108845,BLACKBROOK GARAGE LIMITED,UNIT 3,BLACKBROOK WAY,GREETLAND,HALIFAX,HX4 8ED,01422  373466,Y,Y,,Y,,,E08000033,HX4 8ED,HX4  8ED,HX4 8ED,E00054933,E01010902,Calderdale 026F,E02002269
V109334,HALFORDS AUTOCENTRES LTD,WADE STREET,,,HALIFAX,HX1 1SN,01422 330205,,,,Y,,Y,E08000033,HX1 1SN,HX1  1SN,HX1 1SN,E00055408,E01010994,Calderdale 008E,E02002251
V109691,BRIGHOUSE MOT AND CLUTCH CENTRE,UNIT 4 KIRKLEES STEEL WORKS,GROVE STREET,,BRIGHOUSE,HD6 1PL,,,,,Y,,,E08000033,HD6 1PL,HD6  1PL,HD6 1PL,E00054825,E01010878,Calderdale 015A,E02002258
V110386,STONELAKE OF HALIFAX,WAKEFIELD ROAD,COPLEY,,HALIFAX,HX3 0UA,,,,,Y,,,E08000033,HX3 0UA,HX3  0UA,HX3 0UA,E00055283,E01010973,Calderdale 021D,E02002264
V110554,STONEACRE HALIFAX,RANGE LANE,,,HALIFAX,HX3 6ED,01422  301000,,,,Y,,,E08000033,HX3 6ED,HX3  6ED,HX3 6ED,E00055260,E01032923,Calderdale 008F,E02002251
