Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Bury Pharmacy,Bury Pharmacy,ALLOGA UK LTD,0001523822,"2,823.73",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,ALLOGA UK LTD,0001523822,"9,821.33",,
Department of Health,The Pennine Acute Hospitals NHS Trust,30/09/2015,Bolton FT,Women & Children,BOLTON NHS FT,0001490031,"29,346.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Brookson - Brookson Fee,Brookson - Brookson Fee,BROOKSON HEALTHCARE SERVICES LLP,0001523773,"77,712.27",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Rates,Estates and Facilities,BURY MBC,0001519305,"64,090.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Professional Fees - Capsticks,Corporate Services Other,CAPSTICKS,0001520495,"27,500.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,SLA Central Mcr Various,Women & Children,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001519965,"25,500.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,30/09/2015,SLA Central Mcr Immunology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001508339,"47,923.38",,
Department of Health,The Pennine Acute Hospitals NHS Trust,30/09/2015,SLA Central Mcr Immunology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001516493,"47,923.38",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/09/2015,SLA Central Mcr Virology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001516505,"39,799.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,SLA Central Mcr Virology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001521131,"39,799.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Professional Fees,Corporate Services Other,CHILDCARE VOUCHERS LIMITED,0001524757,"2,346.79",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Child Care Vouchers,Child Care Vouchers,CHILDCARE VOUCHERS LIMITED,0001524757,"97,783.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Carbon Reduction Credit,Estates and Facilities,CRC Energy efficiency scheme,0001518892,"347,401.20",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Mobile Scanner,Diagnostics & Clinical Support,DIAGNOSTIC HEALTHCARE LIMITED,0001493013,"31,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Mobile Scanner,Diagnostics & Clinical Support,DIAGNOSTIC HEALTHCARE LIMITED,0001493013,"26,200.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Bld Contract Pennine Acute,Capital,ELLESMERE ENGINEERING CO LTD,0001525163,"32,035.63",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Non NHS Services General,Medicine,E-LOGICA LTD,0001522495,"27,541.25",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Consultancy Services,Health Supplies,ERNST & YOUNG LLP,0001519070,"201,195.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001518743,"48,486.16",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001520152,"52,562.20",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001524708,"48,676.69",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001524710,"72,475.33",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Clean Ext Contracts Tender,Estates and Facilities,G4S FINANCE SHARED SERVS CENTRE,0001525903,"26,415.45",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Clean Ext Contracts Tender,Estates and Facilities,G4S FINANCE SHARED SERVS CENTRE,0001525905,"1,873,825.15",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001518832,"37,302.47",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001518832,921.27,,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Reagent,Estates and Facilities,GENMEDME LIMITED,0001509138,"62,229.58",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Reagent,Estates and Facilities,GENMEDME LIMITED,0001509140,"62,229.58",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Reagent,Estates and Facilities,GENMEDME LIMITED,0001516485,"38,862.25",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Blood Gas Analyser,Estates and Facilities,GENMEDME LIMITED,0001516487,"65,720.96",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Rochdale Pharmacy,Rochdale Pharmacy,GILEAD SCIENCES LTD,0001518355,"39,250.87",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Miscellaneous Expenditure,Medicine,GPCARE SERVICES LTD,0001523260,"28,079.83",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Oldham Pharmacy,Oldham Pharmacy,HEALTHCARE AT HOME LTD,0001519869,"4,524.20",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Oldham Pharmacy,Oldham Pharmacy,HEALTHCARE AT HOME LTD,0001521205,"3,076.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Oldham Pharmacy,Oldham Pharmacy,HEALTHCARE AT HOME LTD,0001523819,"11,718.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Rochdale Pharmacy,Rochdale Pharmacy,HEALTHCARE AT HOME LTD,0001519869,"63,041.24",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Rochdale Pharmacy,Rochdale Pharmacy,HEALTHCARE AT HOME LTD,0001526075,"93,746.68",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Bury Pharmacy,Bury Pharmacy,HEALTHCARE AT HOME LTD,0001521205,"60,592.34",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Bury Pharmacy,Bury Pharmacy,HEALTHCARE AT HOME LTD,0001523819,"54,253.19",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Bury Pharmacy,Bury Pharmacy,HEALTHCARE AT HOME LTD,0001526075,"15,071.95",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001519869,"87,823.42",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001523819,"74,155.69",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001526075,"121,404.16",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Records Scanning,Elective Access,KAINOS SOFTWARE LTD,0001519782,"245,911.70",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Computer Hardware & Software,Capital,KELWAY  LIMITED,0001506573,"130,132.80",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Drugs,Estates and Facilities,LLOYDS RETAIL CHEMISTS LTD,0001513077,"2,061,761.68",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Drugs,Estates and Facilities,LLOYDS RETAIL CHEMISTS LTD,0001513077,2.54,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Drugs,Estates and Facilities,LLOYDS RETAIL CHEMISTS LTD,0001520311,912.31,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Drugs,Estates and Facilities,LLOYDS RETAIL CHEMISTS LTD,0001520311,"2,112,744.51",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Drugs,Estates and Facilities,LLOYDS RETAIL CHEMISTS LTD,0001520312,"-27,347.57",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Rates,Health Supplies,MANCHESTER CITY COUNCIL,0001519304,"106,488.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Miscellaneous Expenditure,Elective Access,MANCHESTER CITY COUNCIL,0001502220,"50,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Bld Contract Pennine Acute,Capital,MEDICAL AIR TECHNOLOGY LTD  (TMAT),0001522928,"24,708.36",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Bld Contract Pennine Acute,Capital,MEDICAL AIR TECHNOLOGY LTD  (TMAT),0001522928,"44,475.04",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Metro Moneywise,Metro Moneywise,METRO MONEYWISE,0001520834,"73,796.86",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Computer Hardware & Software,Capital,MISCO COMPUTER SUPPLIES LTD,0001524838,"3,598.32",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Computer Hardware & Software,Capital,MISCO COMPUTER SUPPLIES LTD,0001524838,"33,355.80",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Computer Hardware & Software,Capital,MISCO COMPUTER SUPPLIES LTD,0001524838,"8,809.68",,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/09/2015,Pensions Other Staff,Pensions Other Staff,NHS BUSINESS S A PENSIONS DIVISION,0001516338,"78,800.53",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/09/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001524000,"4,095.19",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/09/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001524000,"25,052.58",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/09/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001524000,"1,446.32",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,SLA Manchester PCT - IT,Integrated & Community Service,NHS GREATER MANCHESTER CSU,0001518759,"33,141.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,Pensions Other Staff,Pensions Other Staff,NHS PENSIONS,0001520914,"69,365.75",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,Restructuring,Restructuring,NHS PENSIONS,0001520914,"27,636.42",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,SLA Manchester PCT - Estates,Integrated & Community Service,NHS PROPERTY SERVICES LTD,0001506822,"216,534.56",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,SLA Manchester PCT - Estates,Integrated & Community Service,NHS PROPERTY SERVICES LTD,0001506826,"216,534.56",,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/09/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001519067,"-5,604.32",,
Department of Health,The Pennine Acute Hospitals NHS Trust,07/09/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001520827,"-3,831.94",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001522911,"-4,044.50",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/09/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001525050,"-4,423.08",,
Department of Health,The Pennine Acute Hospitals NHS Trust,30/09/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001526680,"-5,061.10",,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/09/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001519067,"560,432.05",,
Department of Health,The Pennine Acute Hospitals NHS Trust,07/09/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001520827,"383,194.41",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001522911,"404,449.66",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/09/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001525050,"442,308.58",,
Department of Health,The Pennine Acute Hospitals NHS Trust,30/09/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001526680,"506,110.13",,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/09/2015,M & S Equipment,Capital,NHS SUPPLY CHAIN (CAPITAL 905),0001516408,"18,333.20",,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/09/2015,M & S Equipment,Capital,NHS SUPPLY CHAIN (CAPITAL 905),0001516408,"91,666.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,SLA Blood Transfusion,Estates and Facilities,NHSBT,0001516530,"116,618.67",,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/09/2015,SLA Blood Transfusion,Estates and Facilities,NHSBT,0001516529,"66,834.67",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Rates,Health Supplies,OLDHAM M B,0001519302,"123,743.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/09/2015,SLA Bury PCT,Integrated & Community Service,PENNINE CARE NHS TRUST,0001516551,"16,787.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/09/2015,SLA Bury PCT,Integrated & Community Service,PENNINE CARE NHS TRUST,0001516551,"17,700.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,30/09/2015,SLA from Pennine Care,Integrated & Community Service,PENNINE CARE NHS TRUST,0001478657,"60,979.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,30/09/2015,SLA from Pennine Care,Medicine,PENNINE CARE NHS TRUST,0001521149,"78,193.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Oldham Pharmacy,Oldham Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001523823,"30,676.20",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Bury Pharmacy,Bury Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001523823,"5,737.27",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001523823,"3,101.51",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Rochdale Pharmacy,Rochdale Pharmacy,POLAR SPEED DISTRIBUTION LTD,0001518533,"38,399.98",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Rochdale Pharmacy,Rochdale Pharmacy,POLAR SPEED DISTRIBUTION LTD,0001525478,"38,399.98",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001525157,"5,232.99",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001525157,"25,118.35",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Social Worker Recharge,Integrated & Community Service,ROCHDALE MBC,0001518392,"47,464.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Rates,Health Supplies,ROCHDALE METROPOLITAN BOROUGH COUNCIL,0001519299,"33,771.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Reagent,Estates and Facilities,ROCHE DIAGNOSTICS LTD,0001520997,"39,187.15",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001520308,"26,194.50",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001520688,"26,194.50",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Telephone System Maintenance,Corporate Services Other,UNIFY ENTERPRISE COMMUNICATIONS LTD,0001520601,"25,716.96",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Telephone System Maintenance,Corporate Services Other,UNIFY ENTERPRISE COMMUNICATIONS LTD,0001520601,"7,149.99",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Telephone System Maintenance,Corporate Services Other,UNIFY ENTERPRISE COMMUNICATIONS LTD,0001520601,"5,244.95",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Telephone System Maintenance,Corporate Services Other,UNIFY ENTERPRISE COMMUNICATIONS LTD,0001520601,"16,389.94",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,UNISON,UNISON,UNISON,0001525705,"35,421.61",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0001518840,"49,307.48",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Trust Telephone Calls,Corporate Services Other,VODAFONE LTD FORMLEY CABLE & WIRELESS UK,0001516752,"-30,363.94",,
,,,,,,,,,
