Organisation,Merchant,MCC,Date Posted,Settlement Amount,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,HILTON HOTEL,3504,23/07/2009,"£1,008.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,HILTON HOTEL,3504,23/07/2009,"£8,800.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,I.Q.P.C. EVENTS,7399,27/07/2009,£746.35,Conference Attendance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ICHEME,8398,30/07/2009,"£1,725.00",Professional Membership,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,IGUS (UK) LTD,5065,06/08/2009,"£1,106.93",Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,IMECHI,8641,05/08/2009,£862.50,Professional Membership,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,INSTANT AWNINGS LT,5999,18/08/2009,£609.98,Shelter for ongoing investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,INSTROTECH LTD,5722,17/08/2009,"£2,156.25",Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,INTERTEK TESTING & CER,7399,21/07/2009,"£1,104.00",Accreditation Audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,LA CORSE TRAVEL,5965,27/07/2009,£534.38,Overseas travel and accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,LEAVESLEY INTERNATIONAL,5521,11/08/2009,"£1,167.82",Vehicle Servicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,LLOYDS BRITISH TESTING L,7399,06/08/2009,£946.98,Engineering Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MARTINDALE,5065,24/07/2009,"£3,343.63",Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,METLAB SUPPLIES LT,5085,04/08/2009,£750.38,Agilent Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,METLAB SUPPLIES LT,5085,12/08/2009,"£1,062.03",Agilent Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MILLENIUM,7011,22/07/2009,"£5,384.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MOULTON COLLEGE,8220,20/08/2009,"£2,378.01",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MOULTON COLLEGE,8220,20/08/2009,"£2,410.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MOULTON COLLEGE,8220,20/08/2009,"£2,504.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MOULTON COLLEGE,8220,20/08/2009,"£2,521.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MOULTON COLLEGE,8220,20/08/2009,"£2,585.50",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,N Y S CORPORATE,4722,07/08/2009,£602.17,Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,N Y S CORPORATE,4722,10/08/2009,"£1,146.41",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,N Y S CORPORATE,4722,04/08/2009,"£1,551.55",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,14/08/2009,£800.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,04/08/2009,"£1,076.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,21/07/2009,"£1,570.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,06/08/2009,"£3,066.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NORTH WEST PAPER,5943,17/08/2009,£865.57,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,OCCUPATIONAL SAFET,5199,31/07/2009,£948.75,Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,PARITY TRAINING LTD,8244,12/08/2009,"£1,144.25",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,PENNA PLC,8999,12/08/2009,"£1,932.00",Professional Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,PORTABLE APPLIANCE,5065,17/08/2009,"£1,776.75",Scientific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,"PROBRAND LTD.,",5045,22/07/2009,£654.53,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,R & D SYSTEMS EURO,5969,11/08/2009,"£1,259.25",Research Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,R S COMP/INTERNET,5065,10/08/2009,"£1,163.69",Scientific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ROMIL LTD,5199,14/08/2009,£601.34,Research Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ROYAL STAT SOCIETY,8398,12/08/2009,£675.05,Professional Membership,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ROYAL STAT SOCIETY,8398,12/08/2009,£805.00,Professional Membership,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SARSTEDT LTD,5047,17/08/2009,£581.81,Medical Supplies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SEDGEBROOK HALL,7011,14/08/2009,"£2,352.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SEDGEBROOK HALL,7011,14/08/2009,"£2,548.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SERCAL ELECTRONICS,7622,17/08/2009,£529.00,Test Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SIGMA-ALDRICH COMP,5169,24/07/2009,£508.08,Chemical and Biochemical Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SIGMA-ALDRICH COMP,5169,23/07/2009,"£2,161.38",Chemical and Biochemical Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SKC LIMITED,5085,14/08/2009,£523.85,Air Sampling Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SOUTHERN SCIENTIFI,5969,29/07/2009,"£3,413.20",Scientific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SPG MEDIA GROUP PLC,5964,10/08/2009,£620.26,Event Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,TESTING SOLUTIONS GROU,8244,14/08/2009,£686.55,Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,THE BEST PRACTICE,7399,20/08/2009,£569.25,Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,THE DIRECT OFFICE SUPP,5943,05/08/2009,£695.74,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,THE VILLAGE HOTEL,7011,28/07/2009,"£6,206.65",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,TROLEX LIMITED,5085,17/08/2009,"£1,103.36",Gas Detection Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,TSI INSTRUMENTS LTD,5251,17/08/2009,"£5,301.50",Scientific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,06/08/2009,£516.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,23/07/2009,£561.70,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,06/08/2009,£778.20,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,14/08/2009,£815.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,14/08/2009,"£1,220.92",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,23/07/2009,"£1,839.20",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,07/08/2009,"£2,725.80",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,23/07/2009,"£2,871.60",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,27/07/2009,"£4,401.60",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,27/07/2009,"£5,659.20",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,31/07/2009,"£6,380.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,23/07/2009,"£6,520.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,23/07/2009,"£7,987.50",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,23/07/2009,"£8,557.50",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,23/07/2009,"£9,052.50",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,23/07/2009,"£9,585.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,10/08/2009,"£9,684.10",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,07/08/2009,"£10,117.50",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF WARWICK,8220,07/08/2009,"£10,320.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UOL CIVIL ENGINEER,8220,20/08/2009,"£1,120.50",Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,VWR INTERNATIONAL LTD,5047,11/08/2009,"£1,206.36",Medical Supplies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,WESSEX INSTITUTE OF TE,8299,14/08/2009,"£1,872.00",Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,22/07/2009,£540.98,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,27/07/2009,£565.10,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,18/08/2009,£654.56,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,13/08/2009,£673.75,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,13/08/2009,£683.14,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,22/07/2009,£690.44,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,29/07/2009,£712.41,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,19/08/2009,£730.30,Computer Consumables
Health and Safety Executive,XMA LTD,7372,11/08/2009,£807.86,Computer Consumables
Health and Safety Executive,XMA LTD,7372,13/08/2009,£885.89,Computer Consumables
Health and Safety Executive,XMA LTD,7372,10/08/2009,£938.96,Computer Consumables
Health and Safety Executive,XMA LTD,7372,07/08/2009,£987.49,Computer Consumables
Health and Safety Executive,XMA LTD,7372,13/08/2009,£988.94,Computer Consumables
Health and Safety Executive,XMA LTD,7372,22/07/2009,"£1,060.84",Computer Consumables
Health and Safety Executive,XMA LTD,7372,07/08/2009,"£1,075.60",Computer Consumables
Health and Safety Executive,XMA LTD,7372,07/08/2009,"£1,142.32",Computer Consumables
Health and Safety Executive,XMA LTD,7372,07/08/2009,"£1,148.06",Computer Consumables
Health and Safety Executive,XMA LTD,7372,07/08/2009,"£1,172.68",Computer Consumables
Health and Safety Executive,XMA LTD,7372,11/08/2009,"£1,224.40",Computer Consumables
Health and Safety Executive,XMA LTD,7372,24/07/2009,"£1,232.80",Computer Consumables
Health and Safety Executive,XMA LTD,7372,11/08/2009,"£1,309.66",Computer Consumables
Health and Safety Executive,XMA LTD,7372,18/08/2009,"£1,491.85",Computer Consumables
Health and Safety Executive,YORK SURVEY SUPPLY,5039,17/08/2009,"£1,731.82",Scientific Equipment
