,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Merseyside,2,100.0%,0,0.0%,252,78.0%,71,22.0%,21,80.8%,5,19.2%,36,90.0%,4,10.0%,23,69.7%,10,30.3%,272,91.3%,26,8.7%,14,87.5%,2,12.5%,65,91.5%,6,8.5%,264,98.1%,5,1.9%,84,81.6%,19,18.4%,157,87.2%,23,12.8%,208,87.8%,29,12.2%,15,100.0%
Metropolitan and City,29,72.5%,11,27.5%,"1,126",69.3%,499,30.7%,127,67.2%,62,32.8%,212,76.0%,67,24.0%,179,83.6%,35,16.4%,"1,254",89.7%,144,10.3%,215,87.8%,30,12.2%,301,84.3%,56,15.7%,"1,134",95.1%,59,4.9%,669,80.8%,159,19.2%,453,83.7%,88,16.3%,"1,348",79.3%,351,20.7%,176,100.0%
Norfolk,0,-,0,-,133,77.8%,38,22.2%,15,88.2%,2,11.8%,18,85.7%,3,14.3%,8,100.0%,0,0.0%,122,91.7%,11,8.3%,6,75.0%,2,25.0%,38,92.7%,3,7.3%,66,97.1%,2,2.9%,84,86.6%,13,13.4%,54,88.5%,7,11.5%,98,86.7%,15,13.3%,9,100.0%
Northamptonshire,0,-,0,-,92,68.7%,42,31.3%,7,63.6%,4,36.4%,16,88.9%,2,11.1%,9,100.0%,0,0.0%,100,83.3%,20,16.7%,8,72.7%,3,27.3%,19,67.9%,9,32.1%,38,86.4%,6,13.6%,41,93.2%,3,6.8%,13,72.2%,5,27.8%,99,91.7%,9,8.3%,11,100.0%
Northumbria,0,-,0,-,253,66.8%,126,33.2%,15,50.0%,15,50.0%,69,93.2%,5,6.8%,11,84.6%,2,15.4%,504,85.6%,85,14.4%,27,81.8%,6,18.2%,100,74.1%,35,25.9%,132,83.0%,27,17.0%,119,77.3%,35,22.7%,193,80.1%,48,19.9%,226,79.9%,57,20.1%,16,100.0%
North Wales,0,-,0,-,93,87.7%,13,12.3%,15,71.4%,6,28.6%,18,78.3%,5,21.7%,3,100.0%,0,0.0%,140,94.6%,8,5.4%,7,87.5%,1,12.5%,35,97.2%,1,2.8%,39,95.1%,2,4.9%,43,86.0%,7,14.0%,83,97.6%,2,2.4%,300,94.9%,16,5.1%,4,100.0%
North Yorkshire,1,100.0%,0,0.0%,110,90.2%,12,9.8%,4,80.0%,1,20.0%,20,90.9%,2,9.1%,3,75.0%,1,25.0%,132,93.6%,9,6.4%,8,100.0%,0,0.0%,42,89.4%,5,10.6%,40,87.0%,6,13.0%,80,87.9%,11,12.1%,21,75.0%,7,25.0%,110,93.2%,8,6.8%,5,100.0%
Nottinghamshire,6,54.5%,5,45.5%,199,74.8%,67,25.2%,8,47.1%,9,52.9%,47,87.0%,7,13.0%,12,75.0%,4,25.0%,222,92.9%,17,7.1%,16,80.0%,4,20.0%,48,84.2%,9,15.8%,90,94.7%,5,5.3%,66,74.2%,23,25.8%,66,86.8%,10,13.2%,160,89.9%,18,10.1%,9,100.0%
South Wales,1,100.0%,0,0.0%,281,75.5%,91,24.5%,22,75.9%,7,24.1%,50,87.7%,7,12.3%,13,61.9%,8,38.1%,316,96.0%,13,4.0%,18,94.7%,1,5.3%,81,87.1%,12,12.9%,163,96.4%,6,3.6%,200,92.2%,17,7.8%,66,86.8%,10,13.2%,653,89.5%,77,10.5%,14,100.0%
South Yorkshire,0,-,0,-,199,79.3%,52,20.7%,6,60.0%,4,40.0%,33,89.2%,4,10.8%,6,60.0%,4,40.0%,351,92.9%,27,7.1%,8,72.7%,3,27.3%,77,95.1%,4,4.9%,94,97.9%,2,2.1%,125,93.3%,9,6.7%,39,88.6%,5,11.4%,188,91.3%,18,8.7%,11,100.0%
Staffordshire,1,100.0%,0,0.0%,150,71.4%,60,28.6%,9,69.2%,4,30.8%,32,88.9%,4,11.1%,6,46.2%,7,53.8%,182,89.2%,22,10.8%,9,69.2%,4,30.8%,46,82.1%,10,17.9%,65,94.2%,4,5.8%,92,78.6%,25,21.4%,43,86.0%,7,14.0%,134,79.3%,35,20.7%,7,100.0%
Suffolk,0,-,0,-,106,79.7%,27,20.3%,10,90.9%,1,9.1%,5,100.0%,0,0.0%,3,60.0%,2,40.0%,88,95.7%,4,4.3%,4,66.7%,2,33.3%,30,100.0%,0,0.0%,42,95.5%,2,4.5%,67,97.1%,2,2.9%,15,78.9%,4,21.1%,65,87.8%,9,12.2%,1,100.0%
Surrey,0,-,0,-,81,73.0%,30,27.0%,10,52.6%,9,47.4%,28,82.4%,6,17.6%,5,100.0%,0,0.0%,109,87.9%,15,12.1%,17,89.5%,2,10.5%,31,83.8%,6,16.2%,90,94.7%,5,5.3%,42,89.4%,5,10.6%,55,77.5%,16,22.5%,128,85.3%,22,14.7%,10,100.0%
Sussex,1,100.0%,0,0.0%,162,70.1%,69,29.9%,26,66.7%,13,33.3%,25,75.8%,8,24.2%,7,70.0%,3,30.0%,219,87.6%,31,12.4%,22,100.0%,0,0.0%,46,80.7%,11,19.3%,83,89.2%,10,10.8%,83,79.0%,22,21.0%,67,79.8%,17,20.2%,173,87.4%,25,12.6%,16,100.0%
Thames Valley,1,100.0%,0,0.0%,294,68.1%,138,31.9%,26,76.5%,8,23.5%,48,77.4%,14,22.6%,20,83.3%,4,16.7%,409,87.0%,61,13.0%,22,75.9%,7,24.1%,59,80.8%,14,19.2%,148,83.6%,29,16.4%,169,81.6%,38,18.4%,46,79.3%,12,20.7%,551,86.6%,85,13.4%,40,100.0%
Warwickshire,0,-,0,-,50,83.3%,10,16.7%,3,60.0%,2,40.0%,9,81.8%,2,18.2%,1,50.0%,1,50.0%,59,96.7%,2,3.3%,0,0.0%,1,100.0%,23,95.8%,1,4.2%,16,94.1%,1,5.9%,19,73.1%,7,26.9%,17,73.9%,6,26.1%,124,92.5%,10,7.5%,4,100.0%
West Mercia,1,100.0%,0,0.0%,172,81.9%,38,18.1%,19,86.4%,3,13.6%,37,80.4%,9,19.6%,4,33.3%,8,66.7%,194,94.6%,11,5.4%,10,55.6%,8,44.4%,37,86.0%,6,14.0%,61,91.0%,6,9.0%,73,86.9%,11,13.1%,26,83.9%,5,16.1%,187,85.8%,31,14.2%,7,100.0%
West Midlands,1,100.0%,0,0.0%,434,71.3%,175,28.7%,29,65.9%,15,34.1%,97,87.4%,14,12.6%,37,63.8%,21,36.2%,534,91.1%,52,8.9%,33,75.0%,11,25.0%,103,81.7%,23,18.3%,202,90.6%,21,9.4%,111,79.9%,28,20.1%,123,75.9%,39,24.1%,294,87.2%,43,12.8%,33,100.0%
West Yorkshire,1,100.0%,0,0.0%,370,80.3%,91,19.7%,39,76.5%,12,23.5%,80,87.9%,11,12.1%,17,63.0%,10,37.0%,434,91.2%,42,8.8%,19,95.0%,1,5.0%,83,74.8%,28,25.2%,112,92.6%,9,7.4%,144,82.8%,30,17.2%,61,93.8%,4,6.2%,271,86.9%,41,13.1%,18,100.0%
Wiltshire,0,-,0,-,98,82.4%,21,17.6%,5,62.5%,3,37.5%,9,75.0%,3,25.0%,5,45.5%,6,54.5%,93,87.7%,13,12.3%,9,81.8%,2,18.2%,18,81.8%,4,18.2%,37,94.9%,2,5.1%,25,83.3%,5,16.7%,19,70.4%,8,29.6%,98,95.1%,5,4.9%,8,100.0%
