,Percentage of respondents satisfied with Ease of Contact 12 months to June 2013,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to June 2013,Percentage of respondents satisfied with Ease of Contact 12 months to June 2012,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to June 2012,Percentage of respondents satisfied with Ease of Contact 12 months to June 2011,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to June 2011,Percentage of respondents satisfied with Ease of Contact 12 months to June 2010,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to June 2010,Percentage of respondents satisfied with Actions 12 months to June 2013,Confidence interval Percentage of respondents satisfied with Actions 12 months to June 2013,Percentage of respondents satisfied with Actions 12 months to June 2012,Confidence interval Percentage of respondents satisfied with Actions 12 months to June 2012,Percentage of respondents satisfied with Actions 12 months to June 2011,Confidence interval Percentage of respondents satisfied with Actions 12 months to June 2011,Percentage of respondents satisfied with Actions 12 months to June 2010,Confidence interval Percentage of respondents satisfied with Actions 12 months to June 2010,Percentage of respondents satisfied with Follow up 12 months to June 2013,Confidence interval Percentage of respondents satisfied with Follow up 12 months to June 2013,Percentage of respondents satisfied with Follow up 12 months to June 2012,Confidence interval Percentage of respondents satisfied with Follow up 12 months to June 2012,Percentage of respondents satisfied with Follow up 12 months to June 2011,Confidence interval Percentage of respondents satisfied with Follow up 12 months to June 2011,Percentage of respondents satisfied with Follow up 12 months to June 2010,Confidence interval Percentage of respondents satisfied with Follow up 12 months to June 2010,Percentage of respondents satisfied with Treatment 12 months to June 2013,Confidence interval Percentage of respondents satisfied with Treatment 12 months to June 2013,Percentage of respondents satisfied with Treatment 12 months to June 2012,Confidence interval Percentage of respondents satisfied with Treatment 12 months to June 2012,Percentage of respondents satisfied with Treatment 12 months to June 2011,Confidence interval Percentage of respondents satisfied with Treatment 12 months to June 2011,Percentage of respondents satisfied with Treatment 12 months to June 2010,Confidence interval Percentage of respondents satisfied with Treatment 12 months to June 2010
Dorset,95.26455975,1.162495553,94.49692635,1.151061817,95.7567857,1.111177655,95.42619491,1.223379747,78.20466511,1.663402746,80.62805661,1.516125578,80.73184078,1.579613422,81.11066127,1.615427496,68.02095659,1.904946741,69.03003003,1.801687796,68.36514657,1.953860896,70.09244557,1.953126065,93.0312423,1.040218253,92.76146802,1.007925915,92.61579378,1.088987303,93.31555598,1.04459314
Durham,98.37452026,0.817504368,97.37898924,1.152838528,96.02405979,1.225117507,95.9813745,1.054182083,87.70894945,1.623592436,86.20965028,1.912599566,84.28754355,1.692997926,82.75083684,1.581260356,83.89472458,1.82656206,76.39655612,2.36366665,74.41710005,2.014393602,68.05280959,1.940082647,96.16712029,0.967259821,93.07003768,1.426546205,93.19309815,1.173960328,95.39526416,0.898517674
Dyfed-Powys,93.91588237,3.338920049,95.26426426,2.031937496,96.07932649,1.909860422,93.22155199,2.060570926,83.14427355,4.722377729,84.72434266,2.698909387,79.79207277,3.172894117,84.16428431,2.45089031,80.11930199,5.022521564,83.5022972,2.838092566,78.09458826,3.318823529,80.6579902,2.68562846,92.88279932,3.29453618,96.51392952,1.415945896,92.57107695,2.056650823,94.63488969,1.527721318
Essex,93.6557205,1.336855111,93.19414554,1.271383549,94.64052236,1.245612989,95.86719931,1.025512869,81.5648282,1.64742951,85.10835019,1.344438206,83.72197535,1.504802619,82.79139847,1.613019557,73.3440267,1.925276681,74.92418058,1.646299067,76.42459728,1.706325811,75.58867691,1.934479164,92.93638534,1.106894965,93.0942028,0.98745748,93.42789075,1.034191578,94.02209822,0.993870324
Gloucestershire,92.75900961,1.660545339,92.87230451,1.467340023,94.00643211,1.261062114,94.1185737,1.326022105,79.10875144,1.867552921,79.94213112,1.665648843,77.8097502,1.749612754,80.8965454,1.654874336,70.45309011,2.076181855,69.86349547,1.908043296,69.38054177,1.961816911,74.31648529,1.860431526,92.69633683,1.250573631,91.43720106,1.195365321,90.2717341,1.252922587,92.35824859,1.125274234
Greater Manchester,94.98236557,0.681638653,94.85388743,0.641890529,95.00046428,0.655320215,91.4648028,0.746973462,80.1591589,0.991442051,80.26466888,0.902410355,77.61627306,0.954591497,71.12854305,0.922779971,76.93285722,1.050197324,78.70118201,0.933005496,72.93387206,1.029913743,63.11950815,1.00503068,93.62465392,0.606923729,94.30420506,0.52543705,92.8191398,0.598564939,89.68953492,0.631787121
Gwent,93.16697628,1.561362905,95.30004172,1.379056981,95.45281824,1.240144948,95.43463832,1.145554953,76.53636657,1.858890013,80.60386362,1.727310081,79.98167983,1.685501808,80.40536781,1.683641749,67.18593591,2.08731731,66.0519887,2.099377235,67.78054009,2.02101935,67.41862754,2.013710204,90.34926115,1.309638745,91.06176858,1.28774341,92.4717301,1.132982765,90.4493261,1.255238754
Hampshire,95.2006296,0.738126059,94.74250917,0.720121654,94.88839376,0.633337795,95.39740215,0.589896211,81.33352567,1.020779999,77.79057972,1.048686615,80.18362792,0.838790326,81.93794101,0.743664067,75.13050244,1.148398374,70.4853497,1.173494818,71.40332051,0.961202167,76.33205994,0.830096245,93.09078111,0.652906192,91.83987106,0.683947278,93.50041006,0.506667201,93.35736962,0.482802173
Hertfordshire,96.83468948,0.867955941,94.95676447,1.13284615,94.90777868,1.332280686,95.75209609,1.252543649,84.66594232,1.446353788,83.55540578,1.49049698,85.05008072,1.632893803,84.85980339,1.737238085,78.60310979,1.652096041,76.06621441,1.743557288,76.49685484,1.952364268,76.42875638,2.137214226,95.38775587,0.831237728,95.23810032,0.85393673,95.07022981,0.972428458,95.86143098,0.955845579
Humberside,96.16053548,0.887386813,95.87212221,0.917818804,94.64323468,1.00023038,94.14798546,1.017144426,79.65989264,1.449320112,79.91944616,1.371198226,76.75702061,1.412488174,77.93536998,1.3961912,74.1854583,1.60300751,72.35897688,1.547239964,71.13600963,1.527751542,72.52932343,1.529908916,94.01340221,0.849953569,93.77791816,0.828092738,92.93948546,0.859845855,91.88102183,0.916216926
Kent,98.03732906,0.681430651,97.01890963,0.751600924,96.31176822,0.837354524,95.18129548,0.975144885,87.56477779,1.216076604,88.31125772,1.094579536,86.7064782,1.093917593,85.99936905,1.123347978,77.15634799,1.569426056,82.05835026,1.328161868,78.08741816,1.387353337,76.42791489,1.46289946,95.05516096,0.810177793,96.00518096,0.687147588,95.79895392,0.649690099,95.07907084,0.699172583
Lancashire,97.95885879,0.424044458,97.15631348,0.690783541,97.22571789,0.818164362,95.7785089,1.051116563,86.79008688,0.64123129,88.1968731,1.051763374,87.05144184,1.297185339,84.87875956,1.43404908,79.56162361,0.769295629,79.50733311,1.382927216,77.63071323,1.707176706,76.35487368,1.767257133,95.46942501,0.395804098,95.93534564,0.634374805,95.05958033,0.836273002,94.0139267,0.97689811
Leicestershire,95.12448484,1.35884668,95.87618298,1.225368358,95.80088836,1.156719101,95.48654049,1.153470918,82.61135664,1.966788132,81.00846293,1.975115779,83.28576402,1.70065795,81.23464915,1.742181496,77.72119828,2.215714005,79.08080664,2.063131093,79.69344344,1.87733952,78.03845168,1.866710075,93.97243533,1.200292844,95.00188419,1.068219806,94.43298911,1.06423592,95.56644582,0.927109427
Lincolnshire,94.06390728,1.583722732,91.44205725,1.886438007,91.60377178,1.776272906,93.34874552,1.761023627,77.24162428,2.233362847,79.15289431,2.144670831,77.12977043,2.018024642,75.13125997,2.275828327,74.48118012,2.356261227,71.45689411,2.409911646,76.39522088,2.063031938,74.5679622,2.310182913,93.92209314,1.262825441,93.47289808,1.293190465,93.71955674,1.166692213,92.23178441,1.422731989
Merseyside,97.92325284,0.371800822,97.24568065,0.669805316,97.30667682,0.629912807,95.99020876,0.728890777,86.9337092,0.141383964,86.71695368,0.987687952,86.62405851,0.950341453,83.79267034,0.998982867,82.91647136,0.225793479,80.67213,1.151026211,80.94716849,1.105195576,78.98912545,1.120598376,97.11160544,0.054400072,96.36652352,0.549914778,95.73026848,0.578666384,96.06349304,0.534402254
Metropolitan Police,93.44047264,0.480409113,90.66589977,0.548750173,93.02990298,0.498602829,92.41761611,0.523890885,73.92315026,0.691041395,69.33604612,0.706315677,72.93881656,0.698680417,73.72230319,0.68459172,68.4917718,0.734163897,65.09636557,0.739659693,66.22171096,0.756858421,66.91374835,0.760171826,88.95329532,0.486431944,86.52740883,0.525071453,87.3995333,0.517868304,86.98089851,0.521555704
Norfolk,96.09597835,1.095816746,95.92366757,1.018591024,94.17290759,1.750799043,94.7736606,1.181905415,87.43950371,1.372619416,85.3006116,1.397190956,84.3438043,2.093387287,83.46685954,1.409495299,84.61018779,1.547365792,81.58268281,1.568463548,79.31547619,2.348778947,77.12996365,1.565839743,95.98631292,0.835794622,95.59848238,0.80488064,95.68160933,1.139273206,94.63944123,0.871509909
Northamptonshire,93.50546637,1.370703763,94.92797538,1.365657754,96.24172131,1.285264809,96.48045977,1.258564066,79.91292306,1.90845102,79.1217529,1.958253085,80.39447773,1.995251685,79.39870018,2.028620917,73.85138984,2.106417807,77.82178193,1.978260624,78.17202672,2.065185789,75.54144508,2.200902817,93.03874547,1.215279539,94.05317669,1.141543663,95.64304786,1.030030507,95.69567592,1.032384842
Northumbria,99.06408308,0.560547857,99.13371678,0.551430981,98.78354433,0.58947054,98.023806,0.596884901,89.75820532,1.132168319,91.34853406,1.109885551,90.92066666,1.113240046,90.64671325,0.888574905,87.58241318,1.268318868,89.85598568,1.237057326,90.91840056,1.121844925,88.87543576,0.978719864,97.1684357,0.651400555,97.58850324,0.632542502,96.46559711,0.710310713,95.85260073,0.618698979
North Wales,94.18735104,1.333648127,92.10554003,1.505544812,93.42388258,1.356955646,94.3130379,1.322127776,80.25280928,1.733808618,79.22131322,1.870738535,80.02898543,1.738446285,82.26920919,1.729938988,71.18242268,2.018888744,70.21400102,2.164679098,72.79996167,1.965835557,74.76920024,2.004790105,93.51982822,1.052548838,92.76177076,1.16965219,92.79419947,1.115049416,94.03761782,1.08199605
North Yorkshire,96.64183412,0.721462734,94.62612721,1.072144578,95.04138268,1.268245697,92.11186013,1.581491983,87.21392315,0.949936629,84.35941704,1.285547268,82.4214099,1.629128516,79.20483815,1.809323165,78.93377546,1.065890378,72.50401402,1.581666696,69.39704748,1.99370724,65.47910857,2.143786383,95.35888736,0.629378455,93.65853865,0.875509867,95.77422683,0.880273757,93.06126003,1.138652036
Nottinghamshire,97.21049323,0.553193375,97.32199564,0.494094511,96.82068793,0.558641845,96.88100455,0.532845925,87.68656554,0.80614149,88.03057715,0.729962529,89.37495781,0.680837649,84.52835572,0.785820577,80.52908884,1.010992877,78.97672117,0.91740197,76.83144188,0.936406623,65.00116935,1.086919277,95.38377242,0.533380238,94.78790414,0.514783528,94.92709852,0.499725491,94.23330004,0.530937519
South Wales,96.4077391,0.628591592,95.31520598,0.852392324,96.75703875,0.625866633,95.02654535,0.889830194,83.80268166,1.022584719,81.2645815,1.136991409,84.57348489,0.913388044,81.00622796,1.13063573,75.67274242,1.18759521,71.46539204,1.318473237,74.06323111,1.097481987,72.63366349,1.302993651,95.22466854,0.60103963,94.78895858,0.658434061,95.45556662,0.54469606,93.54273876,0.715637526
South Yorkshire,97.32681969,0.850713061,95.9675738,1.053780191,96.56543299,1.001575047,95.31503497,1.26994671,82.6702751,1.514882712,80.9504816,1.583474319,81.12769136,1.652117806,77.15302398,1.845268975,74.17237084,1.759837308,73.67824755,1.807853197,75.39234077,1.850838139,67.96693883,2.04836731,93.43557987,1.006062098,93.65791509,0.978993905,93.52326259,1.044199336,92.92075098,1.128843045
Staffordshire,97.7373763,0.918470899,98.18724942,0.818105274,97.62407251,0.923626517,97.07904472,1.085274068,89.7204451,1.701357469,89.12440326,1.558356702,90.60149223,1.333809593,84.56646112,1.883344389,76.06971551,2.367031889,75.61778106,2.186637725,78.88181137,1.943848633,76.7774213,2.225068022,96.08267098,1.101708271,95.30883229,1.058729105,96.69963234,0.824524733,94.33406024,1.226235486
Suffolk,94.8993924,1.515336597,93.83522426,1.651511316,94.16393321,1.481807364,96.279011,1.243649056,86.41597418,1.867056833,81.71196744,2.049562699,78.47883941,2.101298751,79.03441326,1.968402015,78.78026157,2.24899324,76.40496708,2.28072924,73.63669181,2.271467501,75.80166156,2.095981192,96.1183919,1.053179884,94.6302873,1.181828973,93.11762438,1.299685314,92.5744566,1.274590448
Surrey,96.28240976,0.763449851,94.98446875,0.831407897,94.66128172,0.84229986,94.81967359,0.774803148,84.98071978,0.951584425,81.775774,1.066211544,82.15507855,1.026832797,80.06583046,1.048606449,79.50693951,1.069258256,73.42806044,1.234115648,78.1412015,1.119273027,78.28534767,1.103255399,95.26588255,0.579523,93.20493165,0.705871452,94.39242362,0.626134953,92.47888214,0.699052228
Sussex,96.60119115,0.815582577,95.8227668,1.000279148,93.04738196,1.400195563,93.29073941,1.328659819,83.16663028,1.270279823,81.21672923,1.494670302,79.57708443,1.734137289,77.75723984,1.830333613,78.92890011,1.398960356,77.79144921,1.60153396,74.93439362,1.885618964,71.66800707,1.985920189,95.89465905,0.673372504,94.2954686,0.895260206,93.25668231,1.090910005,92.39217883,1.179445654
Thames Valley,98.37434018,0.947202218,97.33797679,0.606262753,96.39570682,0.725905482,95.5902512,0.761182253,90.04041767,1.671842234,82.1593243,1.059112822,81.45003841,1.03970655,79.59775713,1.094160638,65.25969478,2.718558689,72.31360258,1.256347907,70.07698241,1.236455192,70.74882617,1.271385367,95.71931396,1.135335528,96.02977424,0.554497248,95.18895165,0.596568868,94.15037644,0.657139194
Warwickshire,96.5750773,1.089607786,94.09968654,1.607068704,93.2131241,1.549613505,93.02230804,1.273429179,85.35744128,1.666305599,79.58601951,1.966431549,80.23803595,1.628645233,80.98500303,1.385226733,74.84038645,2.043430925,68.19962861,2.283257049,73.67212376,1.834519556,72.56546627,1.585954481,94.69854853,1.073241751,93.09512497,1.248527465,92.2910938,1.102752078,92.75074075,0.930842149
West Mercia,95.8229354,0.851886225,95.77845135,0.855552189,96.16052087,0.797763377,94.59332158,0.911176959,79.5767202,1.301651268,79.9770658,1.307657067,83.02837933,1.204422923,82.49351098,1.217694379,69.39318735,1.492181597,69.80020869,1.495972112,77.32872228,1.347426489,74.14011991,1.379931114,82.5223713,1.098817065,92.72439104,0.933407509,95.28846281,0.724028101,95.2535412,0.737169658
West Midlands,95.78163764,0.435409377,95.83834145,0.657901572,94.1970879,0.591882515,94.7681984,0.643948326,84.48694513,0.066499132,86.18792175,0.899133171,83.88901306,0.733914657,85.98975833,0.760279955,81.27981642,0.101484621,82.24734805,0.995461699,75.86968718,0.853156709,78.14080866,0.905691833,95.40872088,#NUM!,95.69302522,0.535982386,94.74381028,0.445414828,94.39828083,0.511268895
West Yorkshire,96.98731461,0.528523275,96.31697819,0.542477704,95.11757708,0.581386474,92.97151456,0.675648385,82.37898657,0.863287727,82.23626111,0.813786963,78.09193304,0.850531625,76.07707538,0.861526013,79.00699453,0.920917793,76.52461112,0.898906997,70.87975686,0.941120407,68.44406059,0.944497449,95.70019284,0.487218081,94.14815733,0.519258403,93.01178575,0.531694624,92.53768538,0.53892661
Wiltshire,97.07325377,1.213075795,97.10442861,1.128281288,94.08846737,1.790322986,93.1787907,1.258678981,85.76951487,2.142536926,82.16873825,2.068143945,80.15479876,2.247678756,80.07903113,1.299699918,85.01637501,2.289417051,79.77233911,2.22534197,70.97014925,2.60296861,73.575681,1.507564999,95.20642228,1.303661957,93.74010777,1.287077382,93.17914465,1.437560019,92.19361674,0.868860982
