Payment Date,Transaction id,Supplier,Expense Type,Expense Area,Amount in Sterling
08/07/2010,2647967,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,IT Running Costs,3171.8
08/07/2010,2647967,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,IT Running Costs,69.24
08/07/2010,2647968,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,London operational staff,4380.89
08/07/2010,2647968,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,London operational staff,53.76
08/07/2010,2647968,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of North West Management - Ops Northern,2871.26
08/07/2010,2647968,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of North West Management - Ops Northern,53.64
13/07/2010,2647969,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Finance and Planning Directorate Management,52.09
13/07/2010,2647969,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Finance and Planning Directorate Management,4033.1
13/07/2010,2647970,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of Operations - South East - Ops Southern,55.32
13/07/2010,2647970,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of Operations - South East - Ops Southern,2327.86
13/07/2010,2647971,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of North West Management - Ops Northern,3469.6
13/07/2010,2647971,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of North West Management - Ops Northern,52.2
13/07/2010,2647971,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,West Midlands Sub-Region - Ops Central,2356.83
13/07/2010,2647971,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,West Midlands Sub-Region - Ops Central,55.56
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,London operational staff,5.86
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,622.79
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,13.11
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,334.32
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South Central - Ops Southern,7.67
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,307.75
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,11.47
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,133.94
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Professional Standards Division,8.5
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,371.63
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,5.62
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,358.98
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,18.14
15/07/2010,2648340,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,London operational staff,376.8
28/07/2010,2648912,Atlantic Business Centre,Rent Licences (Not Leased),Estate Management,3160
13/07/2010,2648380,Atlantic Data Limited,Corporate Subscriptions,HR Service Centre,1334
13/07/2010,2648380,Atlantic Data Limited,Corporate Subscriptions,HR Service Centre,539.5
13/07/2010,2648389,Atlantic Data Limited,Corporate Subscriptions,HR Service Centre,420.75
13/07/2010,2648389,Atlantic Data Limited,Corporate Subscriptions,HR Service Centre,1170
15/07/2010,2648520,Auto Windscreens Limited,Car Miscellaneous Invoices,Head of Ops - South West - Ops Southern,452.8
08/07/2010,2647766,Automotive Leasing,Car Lease Costs - Purchases,Head of Ops - South West - Ops Southern,2527.81
08/07/2010,2647767,Automotive Leasing,Car Lease Costs - Purchases,Eastern Sub-Region - Ops Central,4607.28
08/07/2010,2647768,Automotive Leasing,Car Lease Costs - Purchases,Head of Operations - South East - Ops Southern,3793.88
08/07/2010,2647769,Automotive Leasing,Car Lease Costs - Purchases,Head of North West Management - Ops Northern,4616.13
08/07/2010,2647770,Automotive Leasing,Car Lease Costs - Purchases,HR Policy and Advice,2319.18
08/07/2010,2647771,Automotive Leasing,Car Lease Costs - Purchases,Head of Operations - South East - Ops Southern,2354.66
08/07/2010,2647772,Automotive Leasing,Car Lease Costs - Purchases,West Midlands Sub-Region - Ops Central,3766.58
08/07/2010,2647773,Automotive Leasing,Car Lease Costs - Purchases,Business Unit - Ops Northern,2301.82
08/07/2010,2647774,Automotive Leasing,Car Lease Costs - Purchases,West Midlands Sub-Region - Ops Central,3866.48
06/07/2010,2648284,Avocent Software Ltd,Software Support & Maintenance,IT Running Costs,39459.66
01/07/2010,2648053,Beaufort Training & Development,Consultants (Non Time Sheet User),HR Training and Development,400
01/07/2010,2648053,Beaufort Training & Development,Staff Training,HR Training and Development,1350
06/07/2010,2648353,Beaufort Training & Development,Staff Training,HR Training and Development,1100
06/07/2010,2648354,Beaufort Training & Development,Staff Training,HR Training and Development,1100
06/07/2010,2648355,Beaufort Training & Development,Staff Training,HR Training and Development,1100
06/07/2010,2648077,Bevan Brittan LLP,Legal & Professional Fees,Legal Directorate,22.31
06/07/2010,2648077,Bevan Brittan LLP,Legal & Professional Fees,Legal Directorate,593.66
26/07/2010,1024025,Blaby District Council S/O,Business Rates,Estate Management,"9,256.42"
21/07/2010,2648727,Boulden Management Consultants Ltd,Staff Training,HR Training and Development,2229
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,North East and Humberside,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Projects,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Projects,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,London operational staff,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,Audit Regulations,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,West Midlands Sub-Region - Ops Central,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,Head of Operations - South East - Ops Southern,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,North East and Humberside,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,Audit Approach Division,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,East Midlands Sub-Region - Ops Central,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,North East and Humberside,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,Head of Ops - South West - Ops Southern,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Projects,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,Information Management,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Projects,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Running Costs,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Projects,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Projects,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,Audit Approach Division,85.5
28/07/2010,2648934,British Computer Society,Professional Subscriptions,IT Projects,52
15/07/2010,2647870,British Gas Business,"Heat, Light & Power",Estate Management,1237.75
15/07/2010,2648428,British Gas Business,"Heat, Light & Power",Estate Management,2334.32
15/07/2010,2648439,British Gas Business,"Heat, Light & Power",Estate Management,1911.73
15/07/2010,2648441,British Gas Business,"Heat, Light & Power",Estate Management,1035.63
15/07/2010,2648249,British Institute of Facilities Management,Corporate Subscriptions,Estate Management,1389
21/07/2010,2648593,BT Business Comm,Telecommunication Rental & Maintenance,IT Running Costs,18408.99
28/07/2010,2648551,BT Conferencing,Telecommunication Charges,Regional Costs - Ops Southern,1561.43
28/07/2010,2648551,BT Conferencing,Telecommunication Charges,Housing Admin,197.2
13/07/2010,2648174,Cable & Wireless Communications,Telecommunication Rental & Maintenance,IT Running Costs,452.25
13/07/2010,2648460,Cable & Wireless Communications,Telecommunication Rental & Maintenance,IT Running Costs,7547.07
13/07/2010,2648461,Cable & Wireless Communications,Telecommunication Rental & Maintenance,IT Running Costs,66082.58
21/07/2010,2648697,Cable & Wireless Communications,Telecommunication Rental & Maintenance,IT Running Costs,502.5
23/07/2010,2648753,Cable & Wireless Communications,Telecommunication Rental & Maintenance,IT Running Costs,1475.1
23/07/2010,2648754,Cable & Wireless Communications,Telecommunication Rental & Maintenance,IT Running Costs,3754.8
28/07/2010,2648853,Cable & Wireless Communications,Telecommunication Rental & Maintenance,IT Running Costs,753.75
06/07/2010,2648313,Canada Life Ltd,Rent Licences (Not Leased),Estate Management,750
13/07/2010,2648508,Cannon Hygiene Ltd,Cleaning & Hygiene,Millbank - Facilities,711.75
13/07/2010,2648516,Cannon Hygiene Ltd,Cleaning & Hygiene,Westward House,736.68
06/07/2010,2648117,Church House Conference Centre,Conferences Hosted & Attended,Directorate Management,1296
15/07/2010,2648658,CIPD Enterprises Ltd,Staff Training,HR Training and Development,880
01/07/2010,2648105,CIPFA,Student Training,Graduate Trading Account,15455
06/07/2010,2648235,CIPFA,Student Training,Graduate Trading Account,1155
06/07/2010,2648237,CIPFA,Student Training,Graduate Trading Account,440
08/07/2010,2648264,CIPFA,Student Training,Graduate Trading Account,440
23/07/2010,2648807,CIPFA,Student Training,Graduate Trading Account,465
28/07/2010,2648819,CIPFA,Student Training,Graduate Trading Account,465
28/07/2010,2648827,CIPFA,Student Training,Graduate Trading Account,465
28/07/2010,2648828,CIPFA,Student Training,Graduate Trading Account,465
28/07/2010,2648887,CIPFA Business Ltd,Staff Training,HR Training and Development,910
05/07/2010,GPCJUL10,City Inn Westminster,Staff Travel & Subsistence Expenses,Chief Executive's Office,526.25
26/07/2010,1024015,City of Westminster S/O,Business Rates,Estate Management,"66,731.00"
06/07/2010,2648278,Clarke Willmott,Property Services Professional Fees,Estate Management,58.09
06/07/2010,2648278,Clarke Willmott,Property Services Professional Fees,Estate Management,1838.91
26/07/2010,1024022,Clarke Willmott LLP F/FLOW,Business Rates,Estate Management,"4,670.63"
28/07/2010,2648683,Connect Water Systems Central Ltd,Office Equipment Repairs & Maintenance,Business Unit - Ops Northern,509.7
01/07/2010,2648062,Conseq Ltd,Consultants (Non Time Sheet User),Studies,7300
06/07/2010,2648356,Conseq Ltd,Consultants (Non Time Sheet User),Studies,8760
01/07/2010,2648109,Corona Energy Ltd,"Heat, Light & Power",Estate Management,535.19
15/07/2010,2647728,Craig Shaw,Contractor Costs,LGH&CS management,3000
15/07/2010,2648494,Cumbria County Council,Contractor Costs,LG Fire Services,19536.87
15/07/2010,2648589,Cumbria County Council,Contractor Costs,LG Fire Services,1707.37
06/07/2010,2648265,David Sloan,Consultants (Non Time Sheet User),Health and Wellbeing,5500
23/07/2010,2648741,Davitt Jones Bould - MAIN ACCOUNT,Property Services Professional Fees,Estate Management,622.2
23/07/2010,2648741,Davitt Jones Bould - MAIN ACCOUNT,Property Services Professional Fees,Estate Management,21
23/07/2010,2648745,Davitt Jones Bould - MAIN ACCOUNT,Property Services Professional Fees,Estate Management,451.4
08/07/2010,2647663,Deloitte LLP No 2 Account,Corporate Subscriptions,HR Service Centre,690
08/07/2010,2648374,Deloitte LLP No 2 Account,Contractor Costs,London operational staff,2265
28/07/2010,2648957,Deloitte LLP No 2 Account,Contractor Costs,Technical Support Team,6655
08/07/2010,2647964,Department for Business Innovation & Skills (BIS),Conferences Hosted & Attended,HR Diversity,1304
08/07/2010,2648317,Durrants,Publications (External),Press Office,720
08/07/2010,2648321,Durrants,Publications (External),Press Office,430.7
08/07/2010,2648323,Durrants,Publications (External),Press Office,925.1
23/07/2010,2648852,Eastleigh Borough Council,Rent Licences (Not Leased),Estate Management,1200
06/07/2010,2648294,EDF Energy,"Heat, Light & Power",Estate Management,1308.36
06/07/2010,2648344,EDF Energy,"Heat, Light & Power",Estate Management,3941.84
13/07/2010,2648475,EDF Energy Customer Field Services,"Heat, Light & Power",Estate Management,1029.02
15/07/2010,2648634,Emerald Group Publishing Limited,Online Information Sources,Information Management,13230
13/07/2010,2648547,Equanet Ltd,IT Disks & Consumables,IT Running Costs,800
23/07/2010,2648837,Equanet Ltd,IT Disks & Consumables,IT Running Costs,908
15/07/2010,2648493,Eurest Services,Meetings,Business Unit - Ops Northern,510.9
06/07/2010,2648272,Evans Easyspace Limited,Rent Licences (Not Leased),Estate Management,1441.03
06/07/2010,2648250,Executive Development International,Staff Training,HR Training and Development,460.5
28/07/2010,2648978,Executive Development International,Staff Training,HR Training and Development,72.4
28/07/2010,2648978,Executive Development International,Staff Training,HR Training and Development,437.5
15/07/2010,2648495,Expotel Hotel Reservations Ltd,Hotels,All,3505.24
15/07/2010,2648496,Expotel Hotel Reservations Ltd,Hotels,All,13751.55
15/07/2010,2648497,Expotel Hotel Reservations Ltd,Hotels,All,2283.1
15/07/2010,2648563,Expotel Hotel Reservations Ltd,Hotels,All,17710.72
15/07/2010,2648564,Expotel Hotel Reservations Ltd,Hotels,All,1788.51
15/07/2010,2648591,Expotel Hotel Reservations Ltd,Hotels,All,18657.84
06/07/2010,2648352,Filton College,Student Training,HR Training and Development,1800
08/07/2010,2648373,Financial Reporting Council,Legal & Professional Fees,Professional Standards Division,56668
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,172.5
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,105
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,366
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,42
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,93
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,349.5
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,304.2
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,465
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,120
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,195
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,126
01/07/2010,2648066,Flora-Tec Ltd,"Planting, Grounds and Pests",Estate Management,1798.8
06/07/2010,2648205,Flora-Tec Ltd,"Planting, Grounds and Pests",Westward House,1107
06/07/2010,2648205,Flora-Tec Ltd,"Planting, Grounds and Pests",Westward House,828
06/07/2010,2648205,Flora-Tec Ltd,"Planting, Grounds and Pests",Nicholson House,15
06/07/2010,2648205,Flora-Tec Ltd,"Planting, Grounds and Pests",Millbank - Charity Commission,290.1
21/07/2010,2617209,GE Capital Solutions,Car Termination Penalties,West Midlands Sub-Region - Ops Central,-439.73
21/07/2010,2617209,GE Capital Solutions,Car Termination Penalties,West Midlands Sub-Region - Ops Central,977.3
21/07/2010,2642871,GE Capital Solutions,Car Termination Penalties,Head of Ops - South West - Ops Southern,86.19
21/07/2010,2642871,GE Capital Solutions,Car Termination Penalties,Head of Ops - South West - Ops Southern,744
13/07/2010,2647060,GE Capital Solutions,Car Termination Penalties,East Midlands Sub-Region - Ops Central,849
13/07/2010,2647060,GE Capital Solutions,Car Termination Penalties,East Midlands Sub-Region - Ops Central,-70.59
13/07/2010,2647067,GE Capital Solutions,Car Termination Penalties,Head of North West Management - Ops Northern,60.01
13/07/2010,2647067,GE Capital Solutions,Car Termination Penalties,Head of North West Management - Ops Northern,856.5
13/07/2010,2647068,GE Capital Solutions,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,2574.66
08/07/2010,2647807,GE Capital Solutions,Car Lease Costs - Purchases,North East and Humberside,917.11
08/07/2010,2647826,GE Capital Solutions,Car Lease Costs - Purchases,East Midlands Sub-Region - Ops Central,2760.29
13/07/2010,2648098,GE Capital Solutions,Car Lease Costs - Purchases,Technical Support Team,653.34
13/07/2010,2648147,GE Capital Solutions,Car Lease Costs - Purchases,Head of North West Management - Ops Northern,703.18
06/07/2010,2648279,Gerald Eve,Legal & Professional Fees,Professional Standards Division,675
06/07/2010,2648280,Gerald Eve,Legal & Professional Fees,Professional Standards Division,450
15/07/2010,2648291,Gradweb,Graduate Recruitment,Recruitment - Talent,4031.59
06/07/2010,2644681,Grant Thornton UK LLP (Northampton),Contractor Costs,Health Data Analysis,17925
08/07/2010,2647652,Grant Thornton UK LLP (Northampton),Corporate Subscriptions,HR Service Centre,782
06/07/2010,2648243,Grant Thornton UK LLP (Northampton),Contractor Costs,Health Data Analysis,4650
13/07/2010,2648258,Grant Thornton UK LLP (Northampton),Contractor Costs,Health Directorate - Payment by Results,10000
15/07/2010,2648573,Grant Thornton UK LLP (Northampton),Contractor Costs,North East and Humberside,4000
01/07/2010,2648128,GVA Grimley LLP,Property Services Professional Fees,Estate Management,1020
23/07/2010,2648796,GVA Grimley LLP,Property Services Professional Fees,Estate Management,2750
23/07/2010,2648796,GVA Grimley LLP,Property Services Professional Fees,Estate Management,3068.6
23/07/2010,2648796,GVA Grimley LLP,Property Services Professional Fees,Estate Management,2750
28/07/2010,2648951,GVA Grimley LLP,Property Services Professional Fees,Estate Management,2069
01/07/2010,2647829,Hays Accountancy Personnel,Contractors,All,62200.5
21/07/2010,2648116,Hays Accountancy Personnel,Contractors,All,51457.86
08/07/2010,2648366,Hays Accountancy Personnel,Contractors,All,40974.95
08/07/2010,2648501,Hays Accountancy Personnel,Contractors,All,58126.62
23/07/2010,2648799,Hemsley Fraser Training Group,Staff Training,HR Training and Development,699.3
08/07/2010,2648411,Hewlett Packard Ltd,IT Equipment Capital Purchases,IT Running Costs,17850.56
21/07/2010,2647837,Hilton Birmingham Metropole,Conferences Hosted & Attended,Communications - Internal,138823.85
13/07/2010,2648499,Hilton Leeds City,Conferences Hosted & Attended,HR Training and Development,1912.34
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,London operational staff,160
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Operations - South East - Ops Southern,5
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Support Services - Ops Southern,50
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Regional Core Team - Northern,5
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Housing Admin,25
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Regional Core Team - Northern,444.21
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,London operational staff,10
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,West Midlands Sub-Region - Ops Central,5
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Regional Core Team - Northern,69.25
21/07/2010,2644234,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Housing Admin,60
08/07/2010,2647342,Hitachi Capital Vehicle Solutions Ltd,Hitachi Lease BIF Suspense Account,All,489.39
08/07/2010,2647342,Hitachi Capital Vehicle Solutions Ltd,Hitachi Lease BIF Suspense Account,All,3696.88
08/07/2010,2647342,Hitachi Capital Vehicle Solutions Ltd,Hitachi Lease BIF Suspense Account,All,19061.43
08/07/2010,2647545,Hitachi Capital Vehicle Solutions Ltd,Car Termination Penalties,Head of North West Management - Ops Northern,600.65
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,80
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,68
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,East Midlands Sub-Region - Ops Central,112
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,IT Running Costs,104
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,West Midlands Sub-Region - Ops Central,68
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Operations - South East - Ops Southern,44
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Eastern Sub-Region - Ops Central,52
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Operations - South East - Ops Southern,28
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,124
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,HR Training and Development,124
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Recruitment - Talent,124
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,East Midlands Sub-Region - Ops Central,124
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,124
21/07/2010,2648082,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Support Services - Ops Southern,124
13/07/2010,2648310,Hitachi Capital Vehicle Solutions Ltd,Hitachi Lease BIF Suspense Account,All,1220.77
13/07/2010,2648310,Hitachi Capital Vehicle Solutions Ltd,Hitachi Lease BIF Suspense Account,All,1676.74
13/07/2010,2648426,Hitachi Capital Vehicle Solutions Ltd,Hitachi BIF Control Account,All,2457.27
21/07/2010,2648643,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,IT Running Costs,192.2
21/07/2010,2648643,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,HR Training and Development,120
21/07/2010,2648643,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,120
21/07/2010,2648643,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,East Midlands Sub-Region - Ops Central,116
21/07/2010,2648643,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,28
