Newcastle City Council Invoices over £250 paid in February 2013,,,,,,,,,
,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2013,ABIGAIL HOUSE,5805356,Revenue,1MG20,Ind Res Care Elderly         M,"-6,038.95 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ABIGAIL HOUSE,5805356,Revenue,1MG20,Ind Res Care Elderly         M,"18,864.02 "
City Services,CD - Exchequer Payroll Prep      ,Supplies & Services,18/02/2013,ACCENTURE,5798054,Revenue,1CF00,PAYROLL                      C,"6,170.16 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/02/2013,ACCEPT CARE,5797880,Revenue,1MK54,Dom Care Own Tenancy LD      M,-270.96 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ACCEPT CARE,5797880,Revenue,1MK50,Ind Supported Living LD      M,"1,817.20 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ACCEPT CARE,5797880,Revenue,1MK54,Dom Care Own Tenancy LD      M,"4,906.44 "
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,05/02/2013,ACCESS CONSTRUCTION,5785976,Capital,2N101,Capital Grants               K,"5,147.51 "
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,13/02/2013,ACCESS CONSTRUCTION,5794128,Capital,2N101,Capital Grants               K,"4,615.24 "
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,14/02/2013,ACCESS INDEPENDENT,5796131,Revenue,1V123,Blue Badge Applications      K,"2,012.00 "
Chief Executives,CD - Finance & Resources NOR           ,Supplies & Services,10/02/2013,ACCIDENT EXCHANGE LTD,5790010,Revenue,3RM09,MOTOR VEHICLE INSURANCE      F,362.96 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,10/02/2013,ACORN CURTAINS AND BLINDS,5789578,Revenue,1KVWC,Minor Works Contracts        K,"2,190.00 "
Adult & Culture,AS - Learning City         ,Supplies & Services,11/02/2013,ACORN CURTAINS AND BLINDS,5791471,Revenue,1EA34,Skills For Life FE Resources M,"1,065.72 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,14/02/2013,ACORN CURTAINS AND BLINDS,5795696,Revenue,1KVWC,Minor Works Contracts        K,630.00 
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,26/02/2013,ACORN TREATMENT AND HOUSING,5807726,Revenue,1MP27,DAT Residential Rehab        M,"4,455.00 "
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,26/02/2013,ACORN TREATMENT AND HOUSING,5807727,Revenue,1MP27,DAT Residential Rehab        M,"2,970.00 "
Environment & Regeneration,NS: Strategy               ,Supplies & Services,04/02/2013,ACP,5768208,Revenue,1KSCD,Ecternal Vehicle Tracking    K,735.47 
Environment & Regeneration,NS: Strategy               ,Supplies & Services,05/02/2013,ACP,5785979,Revenue,1KSCD,Ecternal Vehicle Tracking    K,"6,750.00 "
Environment & Regeneration,E&R Trans P&D              ,Supplies & Services,26/02/2013,ACT TRAVELWISE,5807842,Revenue,3V065,Joint LTP Team Costs         K,"1,500.00 "
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,21/02/2013,ACTION BUILDING MAINTENANCE LTD,5802425,Revenue,1KBAA,Building Contracts           K,"1,164.00 "
Childrens Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2013,ACTION FOR CHILDREN,5790306,Revenue,1MC22,IND Sector Foster Carer CostsE,"6,560.00 "
Childrens Services,Int Childhood Services     ,Third Party Payments,14/02/2013,ACTION FOR CHILDREN,5795745,Revenue,1EEM6,Woodlands Children's Centre  E,"9,068.00 "
Childrens Services,Int Childhood Services     ,Third Party Payments,14/02/2013,ACTION FOR CHILDREN,5795746,Revenue,1EEK1,Fenham Childrens Centre      E,"8,125.00 "
Childrens Services,Int Childhood Services     ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797989,Revenue,1EEJ7,Newburn Childrens Centre     E,"5,097.15 "
Childrens Services,Int Childhood Services     ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797989,Revenue,1EEK6,Denton Childrens Centre      E,"5,097.15 "
Childrens Services,Int Childhood Services     ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797989,Revenue,1EEK5,Westerhope Childrens Centre  E,"5,097.15 "
Childrens Services,Int Childhood Services     ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797989,Revenue,1EEH1,NBH CC Central Costs         E,"5,097.15 "
Childrens Services,Int Childhood Services     ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797989,Revenue,1EEL1,Lemington Childrens Centre   E,"5,097.15 "
Childrens Services,Int Childhood Services     ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797998,Revenue,1EEB1,C&B CC Central Costs         E,"1,960.00 "
Childrens Services,Int Childhood Services     ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797998,Revenue,1EEK1,Fenham Childrens Centre      E,"42,540.00 "
Childrens Services,Int Childhood Services     ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797998,Revenue,1EEM1,North Fenham Children's CentrE,0.00 
Childrens Services,Int Childhood Services     ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797998,Revenue,1EEM6,Woodlands Children's Centre  E,0.00 
Childrens Services,West Riverside S/Start           ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797978,Revenue,1EEG1,W River CC Central Costs     E,"4,203.00 "
Childrens Services,West Riverside S/Start           ,Third Party Payments,18/02/2013,ACTION FOR CHILDREN,5797986,Revenue,1EEG1,W River CC Central Costs     E,"30,127.50 "
Childrens Services,Childrens Services Support       ,Third Party Payments,20/02/2013,ACTION FOR CHILDREN,5801408,Revenue,1MB04,Childrens Standards Unit     E,"4,951.20 "
Childrens Services,Int Childhood Services     ,Third Party Payments,25/02/2013,ACTION FOR CHILDREN,5805548,Revenue,1EEB1,C&B CC Central Costs         E,"75,565.00 "
Childrens Services,Int Childhood Services     ,Third Party Payments,25/02/2013,ACTION FOR CHILDREN,5805548,Revenue,1EEK1,Fenham Childrens Centre      E,"8,367.00 "
Childrens Services,Int Childhood Services     ,Third Party Payments,25/02/2013,ACTION FOR CHILDREN,5805548,Revenue,1EEM1,North Fenham Children's CentrE,"4,644.00 "
Childrens Services,Int Childhood Services     ,Third Party Payments,25/02/2013,ACTION FOR CHILDREN,5805548,Revenue,1EEM6,Woodlands Children's Centre  E,"3,689.00 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2013,ACTIVE HORIZONS LTD,5791629,Revenue,1MG20,Ind Res Care Elderly         M,-476.80 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2013,ACTIVE HORIZONS LTD,5791629,Revenue,1MG20,Ind Res Care Elderly         M,"1,648.00 "
Childrens Services,Childrens Services Support       ,Transfer Payments,28/02/2013,ACTIVE TRAVEL,5787292,Revenue,1E+212,Transport Special            E,"1,755.00 "
Childrens Services,Childrens Services Support       ,Transfer Payments,28/02/2013,ACTIVE TRAVEL,5788034,Revenue,1E+212,Transport Special            E,"1,855.00 "
Chief Executives,CD - Electoral Reg               ,Supplies & Services,18/02/2013,ADARE LTD,5797910,Revenue,1FL01,Electoral Registration Unit  F,"1,008.55 "
Chief Executives,CD - Electoral Reg               ,Supplies & Services,18/02/2013,ADARE LTD,5797911,Revenue,1FL01,Electoral Registration Unit  F,600.00 
Chief Executives,CD - Electoral Reg               ,Supplies & Services,24/02/2013,ADARE LTD,5803855,Revenue,1FL01,Electoral Registration Unit  F,640.07 
Adult & Culture,Adult Serv Finance         ,Employees,19/02/2013,ADASS TREASURY,5800094,Revenue,1MA01,Strategic Management         M,495.00 
Environment & Regeneration,NS: District Heating       ,Supplies & Services,19/02/2013,ADC ELECTRICAL CO LTD(F),5799891,Revenue,1KR8E,CW Build Surv Team           K,293.00 
Environment & Regeneration,NS: District Heating       ,Supplies & Services,19/02/2013,ADC ELECTRICAL CO LTD(F),5799892,Revenue,1KR8E,CW Build Surv Team           K,715.00 
Environment & Regeneration,NS: District Heating       ,Supplies & Services,19/02/2013,ADC ELECTRICAL CO LTD(F),5799893,Revenue,1KR8E,CW Build Surv Team           K,"2,409.21 "
Environment & Regeneration,NS: District Heating       ,Supplies & Services,19/02/2013,ADC ELECTRICAL CO LTD(F),5799894,Revenue,1KR8E,CW Build Surv Team           K,425.00 
Environment & Regeneration,NS: District Heating       ,Premises,26/02/2013,ADC ELECTRICAL CO LTD(F),5804700,Revenue,1KR8L,CW District Heating          K,415.00 
Environment & Regeneration,NS: District Heating       ,Supplies & Services,26/02/2013,ADC ELECTRICAL CO LTD(F),5804710,Revenue,1KR8E,CW Build Surv Team           K,377.33 
Adult & Culture,Social Services                        ,Supplies & Services,19/02/2013,ADELPHI HOTEL,5799076,Revenue,1MN30,Asylum Seekers Adults        M,"2,488.50 "
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,04/02/2013,ADVANCE INSTALLATIONS LTD,5784993,Revenue,3KS04,Newcastle Warm Zone          K,"1,035.38 "
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,25/02/2013,ADVANCE INSTALLATIONS LTD,5805455,Revenue,3KS04,Newcastle Warm Zone          K,"2,974.00 "
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,25/02/2013,ADVANCE INSTALLATIONS LTD,5805461,Revenue,3KS04,Newcastle Warm Zone          K,"2,224.00 "
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,25/02/2013,ADVANCE INSTALLATIONS LTD,5805462,Revenue,3KS04,Newcastle Warm Zone          K,"1,851.43 "
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,25/02/2013,ADVANCE INSTALLATIONS LTD,5805463,Revenue,3KS04,Newcastle Warm Zone          K,822.67 
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,25/02/2013,ADVANCE INSTALLATIONS LTD,5805468,Revenue,3KS04,Newcastle Warm Zone          K,"1,000.00 "
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,26/02/2013,ADVANCE INSTALLATIONS LTD,5808338,Revenue,3KS04,Newcastle Warm Zone          K,"2,000.67 "
Environment & Regeneration,Allendale Building                     ,Supplies & Services,14/02/2013,ADVANCED INDUSTRIAL PRODUCTS,5795853,Revenue,1KR5W,Gas Serv West                K,508.92 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,03/02/2013,AEBI SCHMIDT UK LTD,5769239,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,415.72 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28/02/2013,AEBI SCHMIDT UK LTD,5800803,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,319.88 
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,21/02/2013,AECOM,5786056,Revenue,1V046,Freight Partnership          K,"8,376.00 "
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,28/02/2013,AECOM,5785998,Revenue,1V046,Freight Partnership          K,"10,458.00 "
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,04/02/2013,AFRICAN COMMUNITY ADVICE NORTH EAST,5785582,Revenue,1KN60,Byker Ward                   F,"5,000.00 "
Environment & Regeneration,Highways                               ,Supplies & Services,27/02/2013,AGD SYSTEMS LTD,5809181,Revenue,3KIMF,Highways Stock Account       K,"9,270.00 "
Adult & Culture,NS: Asset Man              ,Premises,05/02/2013,AIR TECHNIQUE,5786023,Revenue,1MG26,Byker Lodge                  M,335.00 
Environment & Regeneration,NS: Asset Man              ,Premises,10/02/2013,AIR TECHNIQUE,5789680,Revenue,1KL2B,Eldon Leisure                K,"1,535.00 "
Environment & Regeneration,NS: Asset Man              ,Premises,10/02/2013,AIR TECHNIQUE,5789681,Revenue,1KL4A,Centre For Sport             K,898.00 
Environment & Regeneration,NS: Asset Man              ,Premises,10/02/2013,AIR TECHNIQUE,5789682,Revenue,1KL1C,Outer West Pool              K,485.00 
Environment & Regeneration,NS: Asset Man              ,Premises,10/02/2013,AIR TECHNIQUE,5789683,Revenue,1KL2D,WAD                          K,862.00 
Environment & Regeneration,NS: Asset Man              ,Premises,10/02/2013,AIR TECHNIQUE,5789684,Revenue,1KL1B,City Pool                    K,362.00 
Environment & Regeneration,NS: Asset Man              ,Premises,10/02/2013,AIR TECHNIQUE,5789697,Revenue,1KL1D,East End Pool                K,"1,095.00 "
Adult & Culture,NS: Asset Man              ,Premises,13/02/2013,AIR TECHNIQUE,5794281,Revenue,1DF10,Theatre Royal Contribution   M,442.00 
Environment & Regeneration,NS: Asset Man              ,Premises,19/02/2013,AIR TECHNIQUE,5799869,Revenue,1KL1E,Elswick Pool                 K,306.00 
Environment & Regeneration,NS: Asset Man              ,Premises,19/02/2013,AIR TECHNIQUE,5799870,Revenue,1KL1G,GOSFORTH POOL                K,812.00 
HRA,HRA Finance                            ,Transfer Payments,13/02/2013,AJP PROPERTY SERVICES LTD,5793278,Revenue,1H019,A/S Spec Needs Cases         H,455.00 
Environment & Regeneration,HRA Finance                            ,Transfer Payments,19/02/2013,AJP PROPERTY SERVICES LTD,5799339,Revenue,1VH06,FHU Private Housing Team     K,"1,142.35 "
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,18/02/2013,AKW MEDI-CARE LTD,5748766,Revenue,1KBAA,Building Contracts           K,320.01 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,18/02/2013,AKW MEDI-CARE LTD,5798161,Revenue,1KBAA,Building Contracts           K,291.89 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,18/02/2013,AKW MEDI-CARE LTD,5798162,Revenue,1KBAA,Building Contracts           K,291.89 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,18/02/2013,AKW MEDI-CARE LTD,5798556,Revenue,1KBAA,Building Contracts           K,494.11 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,28/02/2013,AKW MEDI-CARE LTD,5803794,Revenue,1KBAA,Building Contracts           K,495.52 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,28/02/2013,AKW MEDI-CARE LTD,5803795,Revenue,1KBAA,Building Contracts           K,311.93 
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,14/02/2013,ALAN CARR DESIGN & PRINT,5796186,Revenue,1V204,Car Parking Infrastructure   K,318.00 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ALBANY HOUSE  (WHITLEY BAY),5805357,Revenue,1MM20,Ind Res Care MH              M,"6,204.08 "
Environment & Regeneration,Fleet Management System                ,Supplies & Services,04/02/2013,ALBANY MOTORS,5773643,Revenue,1KESA,Heavy Workshop Routine RepairK,668.40 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,05/02/2013,ALBANY MOTORS,5784526,Revenue,1KESA,Heavy Workshop Routine RepairK,350.00 
City Services,CD - Customer Service Devt       ,Supplies & Services,05/02/2013,ALBANY OFFICE FURNITURE SOLUTIONS,5780750,Revenue,1CC50,CSC MANAGEMENT               C,380.00 
Adult & Culture,Social Services                        ,Supplies & Services,13/02/2013,ALEX HENRY,5793816,Revenue,1DF06,INNER WEST ARTS OFFICER      M,"2,350.00 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,05/02/2013,ALLAN COURT RESIDENTIAL HOME,5786044,Revenue,3WH78,Fre Nursing Care Out Of Area M,869.60 
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2013,ALLAN COURT RESIDENTIAL HOME,5805657,Revenue,1MG10,Ind Nursing Care Elderly     M,"-5,128.56 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2013,ALLAN COURT RESIDENTIAL HOME,5805657,Revenue,1MG20,Ind Res Care Elderly         M,"-3,643.00 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ALLAN COURT RESIDENTIAL HOME,5805420,Revenue,3WH78,Fre Nursing Care Out Of Area M,869.60 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ALLAN COURT RESIDENTIAL HOME,5805657,Revenue,1MG10,Ind Nursing Care Elderly     M,"24,848.00 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ALLAN COURT RESIDENTIAL HOME,5805657,Revenue,1MG20,Ind Res Care Elderly         M,"15,220.00 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ALLAN COURT RESIDENTIAL HOME,5805657,Revenue,3WH71,Free Nursing Care Self FunderM,434.80 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ALLAN COURT RESIDENTIAL HOME,5805657,Revenue,3WH77,Free Nursing Care Com Care   M,"5,652.40 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ALLAN COURT RESIDENTIAL HOME,5805657,Revenue,3WH93,Continuing Care              M,"4,641.60 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ALLIED HEALTHCARE GROUP,5797860,Revenue,1MG51,Ind Home Per Care Elderly    M,"65,187.27 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ALLIED HEALTHCARE GROUP,5797860,Revenue,1MG52,Ind Home Dom Supp Elderly    M,"2,059.20 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ALLIED HEALTHCARE GROUP,5797860,Revenue,1MH51,Ind Home Per Care PD         M,"11,975.48 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ALLIED HEALTHCARE GROUP,5797860,Revenue,1MH52,Ind Home Dom Supp PD         M,620.18 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ALLIED HEALTHCARE GROUP,5797860,Revenue,1MK51,Ind Home-Per Care LD         M,"2,920.50 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ALLIED HEALTHCARE GROUP,5797860,Revenue,1MK52,Ind Home-Dom Supp LD         M,29.07 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ALLIED HEALTHCARE GROUP,5797860,Revenue,1MM51,Ind Home-Per Care MH         M,"1,562.00 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ALLIED HEALTHCARE GROUP,5797860,Revenue,1MM52,Ind Home-Dom Supp MH         M,193.80 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,ALLIED HEALTHCARE GROUP,5797860,Revenue,3WH96,Continuing Care-Dom Payments M,"1,793.65 "
Adult & Culture,NS: Asset Man              ,Premises,14/02/2013,ALLISON HEATING PRODUCTS,5776501,Revenue,1DF71,High Bridge Studios & GalleryM,"1,402.30 "
HRA,HRA Income                 ,Supplies & Services,19/02/2013,ALLPAY.NET LIMITED,5799949,Revenue,1HCTG,HRA Income - General  Team   H,"1,986.84 "
HRA,HRA Income                 ,Supplies & Services,27/02/2013,ALLPAY.NET LIMITED,5809732,Revenue,1HCTG,HRA Income - General  Team   H,264.15 
HRA,HRA Income                 ,Third Party Payments,27/02/2013,ALLPAY.NET LIMITED,5809732,Revenue,1HCTG,HRA Income - General  Team   H,664.35 
City Services,CD - IT Mgmt & Networks          ,Supplies & Services,27/02/2013,ALPHATEC,5776720,Revenue,1CP17,DIGITAL PRINTING             C,271.60 
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,13/02/2013,ALTONAIDS MOBILITY,5794393,Revenue,1V206,Shop Mobility                K,637.52 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,12/02/2013,ALZHEIMERS SOCIETY,5792922,Revenue,1MG60,IND Day Care Elderly         M,"15,181.40 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2013,AMBER HOUSE RESIDENTIAL HOME,5791659,Revenue,1MG20,Ind Res Care Elderly         M,"-1,183.88 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2013,AMBER HOUSE RESIDENTIAL HOME,5791659,Revenue,1MG20,Ind Res Care Elderly         M,"5,100.00 "
Environment & Regeneration,E&R - Technical Consultancy    ,Premises,04/02/2013,AMCO ENGINEERING,5608455,Revenue,1KKU6,OUSEBURN BARRAGE MAINTENANCE K,"10,323.00 "
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,05/02/2013,AMCO ENGINEERING,5786532,Revenue,1KKU6,OUSEBURN BARRAGE MAINTENANCE K,"10,323.00 "
Environment & Regeneration,NS: Capital Works          ,Employees,21/02/2013,AMTECH,5802440,Revenue,1KVEM,MECHANICAL STAND ALONE WORKS K,980.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,21/02/2013,AMTECH,5802434,Revenue,1KVEM,MECHANICAL STAND ALONE WORKS K,864.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,21/02/2013,AMTECH,5802440,Revenue,1KVEM,MECHANICAL STAND ALONE WORKS K,"1,737.50 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,21/02/2013,AMTECH,5802441,Revenue,1KVEM,MECHANICAL STAND ALONE WORKS K,864.00 
Adult & Culture,Social Services-Care Support           ,Third Party Payments,20/02/2013,ANCHOR TRUST,5801479,Revenue,3WH91,Supporting People            M,900.24 
Chief Executives,CD - Finance & Resources NOR           ,Supplies & Services,06/02/2013,ANDREW WILSON AND CO,5788158,Revenue,3RM12,PUBLIC LIABILITY INSURANCE   F,"18,096.72 "
Chief Executives,CD - Occup Health Unit           ,Supplies & Services,12/02/2013,ANNIE BARR ASSOCIATES LTD,5783639,Revenue,1FP30,Occupational Health          F,350.00 
Adult & Culture,CD - Legal Services              ,Supplies & Services,26/02/2013,AON HEWITT LIMITED,5803310,Revenue,1DF32,City Centre Tic              M,"2,875.00 "
Chief Executives,CD - Markets                     ,Supplies & Services,19/02/2013,APEX RADIO SYSTEMS LTD,5799612,Revenue,1DR03,Grainger Market              F,"1,500.00 "
Environment & Regeneration,E&R-Highway&Traffic Management   ,Capital Expenditure,27/02/2013,APPIA INFRASTRUCTURE SOLUTIONS LTD,5809190,Capital,2DP02,Devt Capital CC              K,500.00 
Environment & Regeneration,E&R ERS&PP                 ,Supplies & Services,14/02/2013,ARC ENVIRONMENTAL LTD,5796188,Revenue,1D562,River Tyne Sedementation     K,"16,692.00 "
Childrens Services,Schools Payment Agency                 ,Supplies & Services,26/02/2013,ARCO LTD,5806270,Revenue,1E+298,SB The Bridges-Roycroft Unit E,311.88 
Chief Executives,CD - Communities                 ,Supplies & Services,05/02/2013,AREEEBA DISTRIBUTION,5785935,Revenue,1KN43,West Gosforth Ward           F,240.00 
Chief Executives,CD - Communities                 ,Supplies & Services,05/02/2013,AREEEBA DISTRIBUTION,5785935,Revenue,1KN41,East Gosforth Ward           F,240.00 
Chief Executives,CD - Communities                 ,Supplies & Services,05/02/2013,AREEEBA DISTRIBUTION,5785935,Revenue,1KN42,Parklands Ward               F,240.00 
Environment & Regeneration,CD - Communities                 ,Supplies & Services,05/02/2013,AREEEBA DISTRIBUTION,5785934,Revenue,1KN20,Benwell & Scotswood Ward     K,360.00 
Chief Executives,CD - Communities                 ,Supplies & Services,25/02/2013,ARGOS BUSINESS SOLUTIONS,5799547,Revenue,1MB17,Children's Rights Team       F,367.44 
Environment & Regeneration,Highways                               ,Supplies & Services,26/02/2013,ARMCON LTD,5766666,Revenue,1KEMC,HIGHWAYS OVERHEADS           K,524.55 
